"","expert_1","expert_2","expert_3","expert_4","expert_5","expert_6","expert_7","expert_8","expert_9"
"pattern_62",8,14,10,11,8,13,11,10,14
"pattern_63",15,17,11,6,7,22,16,13,13
"pattern_64",15,13,7,8,7,20,12,11,7
"pattern_65",10,12,14,19,16,11,9,12,14
"pattern_66",6,10,16,21,18,9,11,12,14
"pattern_67",3,11,11,12,11,12,10,11,11
"pattern_68",15,17,11,6,9,22,18,13,13
"pattern_69",9,7,15,20,17,8,8,11,11
"pattern_70",15,15,5,6,5,18,12,9,9
"pattern_71",3,13,11,12,11,12,12,11,13
"pattern_72",15,15,11,16,13,12,8,9,15
"pattern_73",3,11,11,14,11,10,10,11,11
"pattern_74",15,13,5,6,5,18,12,9,7
"pattern_75",4,12,14,19,16,11,11,14,14
"pattern_76",9,9,11,12,9,14,12,11,11
"pattern_77",15,15,9,8,9,20,16,11,13
"pattern_78",5,11,9,10,9,14,8,11,11
"pattern_79",7,9,15,20,17,8,8,13,11
"pattern_80",8,10,14,19,16,9,7,12,12
"pattern_81",15,11,11,16,15,12,8,7,9
"pattern_82",1,13,13,16,13,12,12,13,13
"pattern_83",15,15,7,6,5,20,14,9,13
"pattern_84",15,13,5,4,3,18,12,9,7
"pattern_85",11,13,5,10,9,14,10,3,9
"pattern_86",13,15,5,4,5,18,12,9,9
"pattern_87",15,17,13,8,11,24,20,11,15
"pattern_88",5,13,15,20,17,10,10,15,15
"pattern_89",15,13,7,10,9,14,10,7,7
"pattern_90",3,11,11,16,13,10,10,11,11
"pattern_91",11,9,13,18,15,8,6,13,11
"pattern_92",15,15,11,8,11,24,18,13,15
"pattern_93",11,13,3,4,5,18,12,7,9
"pattern_94",6,10,12,13,10,13,11,12,10
"pattern_95",5,11,13,18,15,10,10,11,11
"pattern_96",15,15,9,6,7,20,16,11,11
"pattern_97",12,14,8,7,6,17,13,10,12
"pattern_98",10,10,12,17,14,11,7,10,12
"pattern_99",15,15,11,8,9,20,16,11,13
"pattern_100",3,11,11,14,11,12,10,11,11
"pattern_101",9,11,15,20,17,10,8,11,13
"pattern_102",15,11,9,14,13,10,8,5,9
"pattern_103",14,14,8,7,6,19,13,10,12
"pattern_104",15,15,9,10,9,16,12,9,9
"pattern_105",6,10,14,19,16,9,9,12,12
"pattern_106",15,17,9,8,9,20,12,9,11
"pattern_107",15,15,7,4,5,20,16,13,11
"pattern_108",15,7,7,12,11,12,8,7,5
"pattern_109",9,11,11,14,13,14,12,11,9
"pattern_110",8,10,14,19,16,11,9,10,12
"pattern_111",15,15,11,6,9,24,16,15,11
"pattern_112",4,12,10,11,10,11,11,10,12
"pattern_113",9,7,15,20,17,8,10,11,13
"pattern_114",4,10,10,13,10,11,9,10,10
"pattern_115",15,19,11,8,9,24,18,13,15
"pattern_116",15,15,9,4,5,20,14,13,11
"pattern_117",13,5,13,16,13,10,8,11,9
"pattern_118",15,15,11,10,11,24,16,13,11
"pattern_119",8,12,16,21,18,7,9,16,14
"pattern_120",3,13,15,18,15,12,12,13,13
"pattern_121",13,15,11,16,13,12,10,7,13
"pattern_122",4,12,10,11,10,13,9,12,12
"pattern_123",12,12,2,5,4,17,11,6,8
"pattern_124",7,9,11,16,13,10,8,9,9
"pattern_125",15,13,7,10,7,14,8,11,9
"pattern_126",14,10,12,17,16,11,7,8,8
"pattern_127",15,15,11,8,9,20,14,13,11
"pattern_128",11,11,13,18,15,10,6,9,11
"pattern_129",15,15,13,10,11,22,16,15,15
"pattern_130",15,15,5,4,5,18,12,9,9
"pattern_131",15,13,9,14,13,12,10,5,9
"pattern_132",2,14,14,17,14,13,13,14,14
"pattern_133",15,13,11,16,13,12,10,5,13
"pattern_134",6,14,10,11,10,15,9,10,12
"pattern_135",15,13,5,8,7,16,12,7,7
"pattern_136",11,9,13,18,17,8,8,9,9
"pattern_137",7,11,13,18,15,10,10,13,13
"pattern_138",15,15,9,8,7,20,14,11,13
"pattern_139",15,15,7,10,9,16,10,5,11
"pattern_140",15,17,11,6,9,22,18,15,13
"pattern_141",10,10,12,15,14,13,11,12,8
"pattern_142",11,15,7,10,7,16,12,7,13
"pattern_143",13,9,9,14,11,10,8,5,11
"pattern_144",15,17,7,4,7,22,16,11,13
"pattern_145",15,15,11,8,9,20,16,13,11
"pattern_146",15,15,9,8,7,20,14,13,9
"pattern_147",1,13,13,14,13,12,12,13,13
"pattern_148",15,11,7,12,11,12,8,7,7
"pattern_149",14,14,10,15,12,13,7,10,14
"pattern_150",15,9,13,16,15,12,8,9,7
"pattern_151",2,14,12,13,12,11,13,12,14
"pattern_152",15,17,7,6,7,22,16,9,13
"pattern_153",15,9,5,10,9,14,8,7,5
"pattern_154",7,11,17,22,19,8,8,15,13
"pattern_155",4,12,10,11,10,13,13,10,12
"pattern_156",13,15,11,16,15,14,12,7,13
"pattern_157",15,13,5,8,5,18,12,7,11
"pattern_158",15,13,9,8,9,20,16,11,11
"pattern_159",15,13,5,6,5,18,14,9,7
"pattern_160",15,11,11,16,13,10,8,7,11
"pattern_161",11,13,7,6,7,18,14,9,11
"pattern_162",15,15,11,10,11,20,16,13,15
"pattern_163",6,10,16,21,18,9,9,14,12
"pattern_164",3,13,13,16,13,12,12,13,13
"pattern_165",7,9,13,18,15,8,8,11,11
"pattern_166",15,17,9,6,9,20,16,9,11
"pattern_167",12,4,14,17,14,9,7,10,8
"pattern_168",8,14,8,11,8,13,9,8,12
"pattern_169",15,15,9,6,5,20,14,11,11
"pattern_170",15,15,5,8,7,18,12,7,11
"pattern_171",14,12,4,5,4,17,11,8,6
"pattern_172",14,8,12,15,14,11,9,10,8
"pattern_173",7,11,15,20,17,10,10,11,13
"pattern_174",3,13,13,16,13,14,12,13,13
"pattern_175",15,13,13,18,15,10,10,7,15
"pattern_176",14,14,4,5,4,19,13,8,10
"pattern_177",15,11,9,10,7,16,10,13,7
"pattern_178",15,15,9,4,7,20,16,11,11
"pattern_179",2,12,12,15,12,11,11,12,12
"pattern_180",6,12,8,9,8,17,9,10,10
"pattern_181",15,15,11,8,11,22,20,11,15
"pattern_182",4,12,10,13,12,11,11,10,10
"pattern_183",8,12,16,21,18,9,9,12,14
"pattern_184",8,8,16,19,16,9,11,12,12
"pattern_185",14,16,6,3,6,21,15,8,12
"pattern_186",15,13,13,18,15,12,10,7,15
"pattern_187",15,19,13,10,13,18,18,15,19
"pattern_188",9,9,11,16,13,8,8,9,11
"pattern_189",12,8,12,15,14,13,11,10,8
"pattern_190",15,17,9,8,9,20,16,11,13
"pattern_191",6,14,12,11,10,15,11,10,12
"pattern_192",11,9,13,18,15,10,6,9,11
"pattern_193",15,13,3,8,7,16,10,7,7
"pattern_194",7,9,17,22,19,8,10,13,13
"pattern_195",15,17,7,4,7,22,16,9,13
"pattern_196",15,13,11,16,13,12,8,9,15
"pattern_197",15,13,9,14,13,12,8,7,9
"pattern_198",15,15,7,4,5,20,14,11,9
"pattern_199",13,13,3,4,3,18,12,7,9
"pattern_200",8,8,14,17,14,11,9,12,10
"pattern_201",8,14,10,13,10,15,11,8,12
"pattern_202",9,9,17,22,19,6,10,13,13
"pattern_203",15,15,11,6,9,20,18,11,11
"pattern_204",6,14,10,11,10,15,11,10,14
"pattern_205",15,13,7,10,7,16,10,7,11
"pattern_206",15,15,7,8,7,18,14,9,9
"pattern_207",4,10,10,11,10,13,11,10,10
"pattern_208",15,15,7,10,9,16,12,7,9
"pattern_209",15,17,13,8,9,22,18,13,13
"pattern_210",6,12,12,15,14,13,11,10,10
"pattern_211",11,13,9,14,11,12,10,5,11
"pattern_212",15,15,11,10,11,20,18,11,13
"pattern_213",13,13,17,20,17,12,8,19,13
"pattern_214",15,15,9,6,9,24,16,11,13
"pattern_215",9,11,13,18,15,8,8,11,13
"pattern_216",3,13,13,18,15,12,12,13,13
"pattern_217",15,15,5,8,7,18,12,9,9
"pattern_218",11,5,13,16,13,10,8,9,9
"pattern_219",13,11,11,16,13,10,6,7,11
"pattern_220",15,17,11,6,9,22,16,15,11
"pattern_221",7,11,9,14,11,12,8,7,9
"pattern_222",14,12,10,15,12,11,7,8,10
"pattern_223",5,13,9,10,9,14,12,11,13
"pattern_224",12,14,12,17,14,13,11,8,14
"pattern_225",15,15,7,8,5,18,12,11,11
"pattern_226",15,11,9,12,11,14,10,9,7
"pattern_227",15,13,5,10,7,16,10,9,9
"pattern_228",12,16,6,3,6,19,13,10,12
"pattern_229",15,15,11,6,7,22,16,15,13
"pattern_230",9,9,13,18,15,10,8,9,11
"pattern_231",6,12,10,13,10,11,11,8,12
"pattern_232",15,13,15,10,11,22,18,15,13
"pattern_233",6,10,8,9,8,15,9,10,10
"pattern_234",15,9,15,16,13,12,8,11,7
"pattern_235",8,8,14,19,16,9,9,10,12
"pattern_236",15,17,9,6,9,22,14,11,11
"pattern_237",15,11,5,8,7,16,12,7,5
"pattern_238",15,11,11,6,7,20,16,13,15
"pattern_239",5,13,9,10,9,12,10,9,11
"pattern_240",14,10,12,17,16,9,9,8,10
"pattern_241",15,13,9,14,13,12,8,5,11
"pattern_242",15,15,5,4,5,20,14,9,11
"pattern_243",15,15,11,6,9,24,18,11,11
"pattern_244",14,14,8,11,8,15,9,6,12
"pattern_245",14,12,10,13,12,13,9,10,8
"pattern_246",10,6,14,19,16,7,7,10,10
"pattern_247",15,13,11,16,13,12,8,7,11
"pattern_248",15,9,13,16,15,10,6,9,7
"pattern_249",7,11,13,18,15,12,10,11,13
"pattern_250",15,13,9,4,7,22,18,13,13
"pattern_251",15,15,9,14,11,14,8,7,13
"pattern_252",9,7,17,20,17,8,10,13,11
"pattern_253",13,13,17,20,19,10,10,17,11
"pattern_254",10,12,16,21,18,7,11,12,16
"pattern_255",15,15,11,6,9,22,16,13,11
"pattern_256",13,5,13,16,15,10,8,9,7
"pattern_257",15,17,9,6,7,20,14,11,13
"pattern_258",15,13,5,10,9,16,12,7,7
"pattern_259",15,17,7,6,7,20,14,9,13
"pattern_260",1,13,13,14,13,12,12,13,13
"pattern_261",4,14,10,11,10,13,11,12,14
"pattern_262",15,15,7,8,7,18,12,7,13
"pattern_263",15,15,9,4,7,22,14,11,9
"pattern_264",9,7,13,18,15,8,8,9,11
"pattern_265",15,15,7,12,11,14,8,5,9
"pattern_266",13,15,7,6,5,18,12,11,11
"pattern_267",15,13,11,6,7,22,18,13,15
"pattern_268",15,11,3,8,7,16,10,7,9
"pattern_269",6,12,14,19,16,9,9,14,14
"pattern_270",13,13,11,16,13,10,6,9,13
"pattern_271",15,19,11,6,9,24,18,13,13
"pattern_272",7,13,9,10,9,14,10,7,11
"pattern_273",4,12,10,11,10,15,11,12,12
"pattern_274",15,7,15,18,17,10,8,11,7
"pattern_275",15,13,5,8,7,16,12,9,7
"pattern_276",15,15,7,10,7,18,12,7,13
"pattern_277",15,17,7,4,7,20,14,11,11
"pattern_278",15,17,13,10,11,24,16,15,15
"pattern_279",9,11,7,8,7,14,10,7,7
"pattern_280",15,15,13,10,9,22,18,15,15
"pattern_281",15,15,5,6,7,20,14,9,11
"pattern_282",7,11,7,8,7,14,10,11,11
"pattern_283",12,14,6,11,8,15,9,6,12
"pattern_284",15,17,9,8,9,22,14,11,11
"pattern_285",15,13,7,6,9,22,18,11,11
"pattern_286",10,8,12,17,16,9,9,8,10
"pattern_287",15,15,7,8,7,18,12,9,13
"pattern_288",15,13,9,8,7,18,14,11,7
"pattern_289",8,14,8,9,8,15,9,8,12
"pattern_290",15,17,9,4,7,22,16,13,11
"pattern_291",15,15,7,12,11,14,8,5,11
"pattern_292",15,17,13,8,9,24,18,17,15
"pattern_293",11,13,5,4,5,18,14,9,11
"pattern_294",14,14,8,11,10,13,11,6,10
"pattern_295",5,9,9,10,9,14,10,11,9
"pattern_296",9,11,13,18,15,10,10,9,13
"pattern_297",15,15,13,10,11,22,16,13,13
"pattern_298",2,14,14,15,14,13,13,14,14
"pattern_299",8,14,12,17,14,11,11,10,14
"pattern_300",15,13,5,8,5,16,10,9,9
"pattern_301",12,14,4,3,4,19,13,8,10
"pattern_302",15,17,13,8,9,20,16,13,15
"pattern_303",15,11,7,8,7,16,12,9,7
"pattern_304",14,14,6,3,4,19,13,10,8
"pattern_305",15,13,7,12,11,14,8,5,11
"pattern_306",15,15,5,6,7,18,12,9,9
"pattern_307",15,11,11,16,15,10,8,7,9
"pattern_308",8,16,10,9,8,15,13,8,14
"pattern_309",15,15,11,6,7,24,18,15,15
"pattern_310",6,10,8,9,10,15,11,8,8
"pattern_311",10,6,12,15,12,11,7,10,8
"pattern_312",15,15,7,2,5,20,14,11,9
"pattern_313",8,10,14,19,16,7,7,12,12
"pattern_314",15,13,3,8,7,18,12,5,9
"pattern_315",15,13,11,14,13,12,8,9,9
"pattern_316",15,15,11,6,7,22,18,13,15
"pattern_317",14,10,12,17,14,11,7,8,10
"pattern_318",7,9,15,18,15,10,10,13,11
"pattern_319",11,13,7,12,9,14,8,7,11
"pattern_320",5,11,9,10,9,12,12,9,11
"pattern_321",15,9,5,10,9,14,10,5,7
"pattern_322",4,12,10,13,10,11,11,10,12
"pattern_323",15,17,11,8,11,26,18,13,15
"pattern_324",14,12,10,15,12,9,5,8,10
"pattern_325",6,14,14,19,16,11,11,16,16
"pattern_326",7,13,13,18,15,12,10,11,13
"pattern_327",15,17,13,10,11,24,22,13,15
"pattern_328",15,11,11,16,15,10,10,7,11
"pattern_329",11,7,15,18,17,10,10,11,9
"pattern_330",11,15,9,10,7,16,10,9,13
"pattern_331",11,9,13,18,15,6,6,11,11
"pattern_332",15,11,5,8,5,16,10,9,7
"pattern_333",15,15,5,10,9,16,10,7,11
"pattern_334",10,6,12,17,14,9,7,8,10
"pattern_335",14,14,8,11,10,15,11,4,10
"pattern_336",5,13,11,16,13,12,12,13,13
"pattern_337",4,12,12,15,12,13,11,12,12
"pattern_338",14,12,12,17,14,9,9,6,14
"pattern_339",5,13,11,12,11,14,10,11,13
"pattern_340",15,15,7,10,9,18,12,9,13
"pattern_341",15,15,7,4,5,22,16,9,11
"pattern_342",6,14,8,11,8,13,11,8,12
"pattern_343",15,11,11,14,13,12,6,9,11
"pattern_344",12,8,12,17,14,7,7,8,10
"pattern_345",2,12,12,13,12,11,11,12,12
"pattern_346",15,13,5,6,5,18,12,9,7
"pattern_347",15,15,11,6,9,20,16,11,13
"pattern_348",10,10,10,15,12,13,7,10,12
"pattern_349",10,14,8,7,6,17,11,8,12
"pattern_350",1,15,15,16,15,14,14,15,15
"pattern_351",12,8,14,19,18,7,7,10,8
"pattern_352",15,13,9,6,7,22,14,13,9
"pattern_353",15,13,13,16,15,12,8,11,15
"pattern_354",8,8,14,17,14,11,9,12,8
"pattern_355",14,10,12,17,14,9,7,8,10
"pattern_356",10,14,6,11,10,13,9,6,10
"pattern_357",3,11,11,12,11,14,12,11,11
"pattern_358",8,12,16,21,18,9,9,16,14
"pattern_359",15,15,9,6,7,22,16,13,11
"pattern_360",6,12,14,19,16,11,11,12,14
"pattern_361",15,17,7,6,7,20,14,11,11
"pattern_362",15,13,7,6,5,18,14,9,7
"pattern_363",15,15,5,8,7,16,10,7,9
"pattern_364",8,10,16,21,18,7,7,14,12
"pattern_365",15,15,5,4,5,20,14,7,11
"pattern_366",15,15,9,6,9,20,16,11,13
"pattern_367",12,12,10,15,12,11,9,6,12
"pattern_368",15,13,7,12,11,14,10,7,9
"pattern_369",15,17,9,6,7,20,14,11,13
"pattern_370",8,8,14,19,16,9,9,10,12
"pattern_371",15,13,7,6,5,18,12,11,7
"pattern_372",15,11,9,10,7,12,10,9,9
"pattern_373",10,12,12,17,14,9,7,10,12
"pattern_374",8,14,10,11,8,13,11,8,12
"pattern_375",15,15,9,6,7,22,14,13,9
"pattern_376",8,10,8,9,8,15,9,12,8
"pattern_377",15,17,13,10,11,22,14,15,13
"pattern_378",12,12,8,13,10,13,9,4,10
"pattern_379",10,10,12,17,14,11,7,8,10
"pattern_380",15,11,11,14,13,14,10,9,7
"pattern_381",15,17,11,8,9,20,16,13,15
"pattern_382",15,17,7,8,7,18,12,11,11
"pattern_383",14,14,8,11,10,15,9,6,12
"pattern_384",4,12,14,17,14,11,11,12,12
"pattern_385",14,14,4,7,6,17,11,8,8
"pattern_386",15,15,9,6,7,22,18,11,13
"pattern_387",13,13,9,14,11,14,10,5,11
"pattern_388",4,12,10,11,10,13,9,10,10
"pattern_389",15,13,9,12,11,12,6,9,11
"pattern_390",5,11,11,14,11,12,10,11,11
"pattern_391",15,15,11,8,9,22,16,13,11
"pattern_392",15,13,11,8,9,24,18,11,11
"pattern_393",15,11,9,12,11,12,8,9,7
"pattern_394",10,12,12,17,14,11,9,8,12
"pattern_395",15,15,9,6,7,22,16,9,13
"pattern_396",11,7,15,18,15,8,8,11,7
"pattern_397",13,11,9,14,13,10,6,7,7
"pattern_398",15,13,13,18,15,10,8,11,13
"pattern_399",8,8,14,19,16,9,9,14,10
"pattern_400",10,10,10,15,12,11,9,6,10
"pattern_401",15,17,7,6,7,20,14,9,11
"pattern_402",15,15,11,8,9,22,14,13,13
"pattern_403",11,11,11,16,13,12,6,9,9
"pattern_404",11,11,11,16,13,8,6,9,11
"pattern_405",9,9,13,18,15,8,8,11,9
"pattern_406",15,15,11,8,11,22,16,13,13
"pattern_407",6,12,8,9,10,15,9,8,8
"pattern_408",13,15,9,14,13,12,10,5,9
"pattern_409",15,13,7,6,5,20,12,11,7
"pattern_410",15,15,9,6,7,22,14,11,9
"pattern_411",6,12,10,15,12,11,11,10,12
"pattern_412",15,15,9,10,9,16,10,7,13
"pattern_413",13,11,13,18,15,12,6,11,13
"pattern_414",15,17,7,6,9,20,14,9,11
"pattern_415",15,13,7,6,5,18,12,11,7
"pattern_416",8,12,8,9,6,13,9,8,10
"pattern_417",14,8,12,15,14,11,7,8,6
"pattern_418",15,19,9,6,9,22,16,11,15
"pattern_419",15,15,5,8,7,16,10,9,9
"pattern_420",15,15,11,6,7,20,16,13,13
"pattern_421",13,15,5,4,5,20,14,9,11
"pattern_422",15,7,13,16,15,12,10,11,9
"pattern_423",9,13,7,12,9,12,10,5,11
"pattern_424",15,9,5,10,7,14,8,7,9
"pattern_425",15,13,11,8,9,22,16,11,9
"pattern_426",11,15,9,8,7,16,10,9,13
"pattern_427",15,15,9,4,7,22,18,11,13
"pattern_428",15,13,11,14,11,10,6,9,11
"pattern_429",12,10,14,19,16,7,9,10,12
"pattern_430",13,13,11,16,13,10,8,11,15
"pattern_431",15,13,7,4,5,20,16,9,9
"pattern_432",11,7,13,16,15,10,10,9,9
"pattern_433",6,14,10,11,10,13,11,10,14
"pattern_434",15,17,13,10,13,24,18,15,15
"pattern_435",15,13,11,16,13,12,8,7,13
"pattern_436",15,15,9,8,9,22,18,11,15
"pattern_437",10,10,14,19,16,9,7,10,12
"pattern_438",15,15,5,6,7,18,12,9,9
"pattern_439",15,13,11,16,15,10,10,7,11
"pattern_440",15,11,5,10,9,14,8,7,5
"pattern_441",8,12,12,17,14,11,11,10,14
"pattern_442",9,9,13,16,13,12,10,13,11
"pattern_443",15,11,11,16,15,10,6,9,7
"pattern_444",15,15,5,6,5,20,14,7,11
"pattern_445",11,11,13,18,15,8,8,9,13
"pattern_446",14,16,8,5,8,21,13,12,10
"pattern_447",15,15,15,10,13,18,18,15,17
"pattern_448",7,9,9,14,11,12,8,9,9
"pattern_449",15,13,5,10,9,16,10,5,9
"pattern_450",15,15,13,10,11,24,18,13,11
"pattern_451",15,15,9,12,11,14,10,9,9
"pattern_452",13,13,11,16,13,10,8,7,13
"pattern_453",13,11,11,16,13,10,6,9,11
"pattern_454",14,14,6,9,8,17,11,10,8
"pattern_455",12,14,6,5,4,19,13,8,12
"pattern_456",14,16,8,7,6,19,13,10,14
"pattern_457",15,13,5,8,7,16,10,9,7
"pattern_458",5,11,15,20,17,10,12,13,15
"pattern_459",15,17,13,10,11,20,16,13,17
"pattern_460",10,8,12,17,14,9,5,10,8
"pattern_461",9,7,13,16,13,10,8,11,7
"pattern_462",10,12,10,15,12,11,9,8,12
"pattern_463",11,13,5,4,3,18,12,9,11
"pattern_464",15,15,11,8,9,22,18,15,13
"pattern_465",15,13,9,10,9,16,12,9,9
"pattern_466",9,13,13,18,15,10,10,11,15
"pattern_467",9,9,15,18,15,10,12,13,13
"pattern_468",6,12,8,9,8,13,9,8,10
"pattern_469",15,19,11,8,11,22,16,13,15
"pattern_470",7,11,9,10,9,16,12,9,11
"pattern_471",11,9,11,16,13,8,6,9,9
"pattern_472",7,11,13,18,15,10,8,13,13
"pattern_473",15,7,13,16,15,12,10,11,5
"pattern_474",15,17,11,6,9,22,16,15,11
"pattern_475",15,11,7,10,9,14,10,5,5
"pattern_476",15,15,5,10,9,18,12,7,11
"pattern_477",9,11,5,6,5,18,10,9,9
"pattern_478",10,12,14,19,16,9,9,10,14
"pattern_479",12,16,10,9,8,17,11,10,14
"pattern_480",15,15,7,4,3,20,14,13,11
"pattern_481",7,11,7,8,7,14,10,9,11
"pattern_482",14,14,8,13,10,13,7,6,12
"pattern_483",9,7,15,18,15,10,10,11,11
"pattern_484",15,15,11,6,7,20,16,13,13
"pattern_485",12,8,12,17,14,9,11,8,14
"pattern_486",8,10,12,17,14,11,9,12,12
"pattern_487",4,12,12,17,14,11,11,12,12
"pattern_488",15,11,9,12,11,14,10,9,5
"pattern_489",15,11,11,16,13,10,8,5,13
"pattern_490",15,13,7,8,7,18,14,9,7
"pattern_491",15,11,9,10,9,18,12,11,5
"pattern_492",15,13,13,10,9,22,16,13,11
"pattern_493",8,10,6,9,6,13,9,8,10
"pattern_494",15,15,7,10,9,16,12,9,9
"pattern_495",9,7,11,16,13,10,6,9,9
"pattern_496",11,11,13,18,15,10,8,11,13
"pattern_497",9,9,15,20,19,8,10,11,11
"pattern_498",11,7,13,18,15,8,6,9,9
"pattern_499",15,13,9,12,11,14,8,7,13
"pattern_500",9,11,17,20,17,10,10,17,13
"pattern_501",15,17,9,6,7,22,16,11,15
"pattern_502",14,10,10,15,12,11,9,4,12
"pattern_503",4,12,12,15,12,13,11,12,12
"pattern_504",15,15,9,6,7,20,16,13,11
"pattern_505",11,9,13,18,15,6,8,9,13
"pattern_506",13,17,9,8,7,18,12,9,15
"pattern_507",15,17,13,10,11,20,14,13,15
"pattern_508",15,15,7,12,11,12,6,5,9
"pattern_509",15,15,13,10,11,24,18,15,13
"pattern_510",8,12,8,13,10,11,9,6,10
"pattern_511",5,9,9,10,9,14,10,9,9
"pattern_512",15,17,13,10,11,22,18,15,17
"pattern_513",8,10,12,17,14,7,9,10,12
"pattern_514",15,13,7,8,7,18,12,11,11
"pattern_515",13,7,13,16,15,10,8,9,5
"pattern_516",15,13,9,14,11,12,6,7,13
"pattern_517",15,15,11,8,7,22,14,13,11
"pattern_518",14,8,14,17,16,11,9,10,8
"pattern_519",15,17,13,8,9,22,18,13,13
"pattern_520",6,12,8,9,8,13,11,10,12
"pattern_521",12,6,12,15,14,11,9,8,8
"pattern_522",14,12,8,13,10,13,7,6,12
"pattern_523",15,19,11,10,13,20,18,13,15
"pattern_524",11,13,7,6,5,18,12,9,11
"pattern_525",4,12,12,17,14,11,11,12,12
"pattern_526",15,15,9,14,13,14,10,5,9
"pattern_527",15,17,11,8,11,22,18,13,15
"pattern_528",14,16,6,3,6,19,13,10,10
"pattern_529",13,9,5,10,7,14,8,9,9
"pattern_530",6,12,14,19,16,9,9,12,12
"pattern_531",15,11,7,10,9,14,10,7,7
"pattern_532",15,13,9,14,13,12,8,7,11
"pattern_533",15,19,9,8,9,18,12,9,13
"pattern_534",15,15,19,20,21,10,16,13,17
"pattern_535",15,13,11,6,7,22,18,13,15
"pattern_536",10,8,10,13,12,13,9,8,6
"pattern_537",9,11,9,14,11,10,8,5,9
"pattern_538",9,9,11,16,13,10,6,9,9
"pattern_539",15,13,9,8,9,20,16,11,11
"pattern_540",13,9,13,18,15,10,6,9,9
"pattern_541",14,14,10,15,12,13,9,8,14
"pattern_542",12,12,8,13,10,11,7,6,8
"pattern_543",3,13,15,18,15,12,12,15,15
"pattern_544",9,11,15,20,17,6,10,11,15
"pattern_545",15,11,9,12,9,14,8,9,9
"pattern_546",7,11,7,8,7,16,8,9,9
"pattern_547",15,13,9,4,7,22,18,13,13
"pattern_548",14,16,6,11,10,13,7,6,10
"pattern_549",15,19,11,8,11,22,18,13,15
"pattern_550",14,12,12,17,14,11,7,8,12
"pattern_551",15,11,5,6,5,18,14,7,7
"pattern_552",12,16,6,7,6,17,11,6,12
"pattern_553",15,11,9,14,11,12,6,9,9
"pattern_554",12,12,14,19,16,9,9,10,14
"pattern_555",15,11,5,10,9,14,10,5,5
"pattern_556",15,17,15,10,11,22,18,15,17
