"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"100-32","pos","kmeans","Stubborn",4,72,48865,0.6108125
"100-32","pos","kmeans","Stubborn",6,1613,1881525,23.5190625
"100-32","pos","kmeans","Stubborn",8,10732,5580172,69.75215
"100-32","pos","kmeans","Stubborn",10,32533,7579481,94.7435125
"100-32","pos","kmeans","Influencer",0,0,0,0
"100-32","pos","kmeans","Influencer",2,0,0,0
"100-32","pos","kmeans","Influencer",4,0,0,0
"100-32","pos","kmeans","Influencer",6,1,1,1.25e-05
"100-32","pos","kmeans","Influencer",8,27,118,0.001475
"100-32","pos","kmeans","Influencer",10,213,1034,0.012925
"100-32","pos","kmeans","Uninterested",0,0,0,0
"100-32","pos","kmeans","Uninterested",2,0,0,0
"100-32","pos","kmeans","Uninterested",4,0,0,0
"100-32","pos","kmeans","Uninterested",6,0,0,0
"100-32","pos","kmeans","Uninterested",8,4,7,8.75e-05
"100-32","pos","kmeans","Uninterested",10,74,173,0.0021625
"100-32","pos","kmeans","Homo.Economicus",0,0,0,0
"100-32","pos","kmeans","Homo.Economicus",2,0,0,0
"100-32","pos","kmeans","Homo.Economicus",4,0,0,0
"100-32","pos","kmeans","Homo.Economicus",6,12,93,0.0011625
"100-32","pos","kmeans","Homo.Economicus",8,462,22279,0.2784875
"100-32","pos","kmeans","Homo.Economicus",10,4535,2589139,32.3642375
"100-32","pos","kmeans","Cluster8",0,0,0,0
"100-32","pos","kmeans","Cluster8",2,0,0,0
"100-32","pos","kmeans","Cluster8",4,0,0,0
"100-32","pos","kmeans","Cluster8",6,1,2,2.5e-05
"100-32","pos","kmeans","Cluster8",8,95,1481,0.0185125
"100-32","pos","kmeans","Cluster8",10,1855,1610843,20.1355375
"100-32","pos","sins","Early Adopter",0,0,0,0
"100-32","pos","sins","Early Adopter",2,0,0,0
"100-32","pos","sins","Early Adopter",4,0,0,0
"100-32","pos","sins","Early Adopter",6,8,23,0.0002875
"100-32","pos","sins","Early Adopter",8,93,683,0.0085375
"100-32","pos","sins","Early Adopter",10,463,3974,0.049675
"100-32","pos","sins","Uninterested",0,0,0,0
"100-32","pos","sins","Uninterested",2,0,0,0
"100-32","pos","sins","Uninterested",4,0,0,0
"100-32","pos","sins","Uninterested",6,1,1,1.25e-05
"100-32","pos","sins","Uninterested",8,149,687,0.0085875
"100-32","pos","sins","Uninterested",10,4911,345592,4.3199
"100-32","pos","sins","Homo Economicus",0,0,0,0
"100-32","pos","sins","Homo Economicus",2,0,0,0
"100-32","pos","sins","Homo Economicus",4,12,69,0.0008625
"100-32","pos","sins","Homo Economicus",6,333,203725,2.5465625
"100-32","pos","sins","Homo Economicus",8,2988,1647383,20.5922875
"100-32","pos","sins","Homo Economicus",10,13425,6288545,78.6068125
"100-32","pos","sins","Fearful",0,0,0,0
"100-32","pos","sins","Fearful",2,0,0,0
"100-32","pos","sins","Fearful",4,10,6025,0.0753125
"100-32","pos","sins","Fearful",6,439,802663,10.0332875
"100-32","pos","sins","Fearful",8,4568,4307380,53.84225
"100-32","pos","sins","Fearful",10,20058,6425067,80.3133375
"100-32","pos","sins","Stubborn",0,0,0,0
"100-32","pos","sins","Stubborn",2,0,0,0
"100-32","pos","sins","Stubborn",4,11,654,0.008175
"100-32","pos","sins","Stubborn",6,300,36462,0.455775
"100-32","pos","sins","Stubborn",8,3273,1649374,20.617175
"100-32","pos","sins","Stubborn",10,15231,3434414,42.930175
"100-32","pos","sins","Influencer",0,0,0,0
"100-32","pos","sins","Influencer",2,0,0,0
"100-32","pos","sins","Influencer",4,0,0,0
"100-32","pos","sins","Influencer",6,1,1,1.25e-05
"100-32","pos","sins","Influencer",8,15,536,0.0067
"100-32","pos","sins","Influencer",10,123,1058,0.013225
"100-32","pos","sins","Careful",0,0,0,0
"100-32","pos","sins","Careful",2,0,0,0
"100-32","pos","sins","Careful",4,71,769736,9.6217
"100-32","pos","sins","Careful",6,1530,3169514,39.618925
"100-32","pos","sins","Careful",8,10625,5298950,66.236875
"100-32","pos","sins","Careful",10,32242,6838602,85.482525
"100-32","ext","experts","Early Adopter",0,0,0,0
"100-32","ext","experts","Early Adopter",2,1,11,0.0001375
"100-32","ext","experts","Early Adopter",4,69,34068,0.42585
"100-32","ext","experts","Early Adopter",6,1058,1753508,21.91885
"100-32","ext","experts","Early Adopter",8,5769,2664069,33.3008625
"100-32","ext","experts","Early Adopter",10,16949,4096859,51.2107375
"100-32","ext","experts","Uninterested",0,0,0,0
"100-32","ext","experts","Uninterested",2,0,0,0
"100-32","ext","experts","Uninterested",4,7,7,8.75e-05
"100-32","ext","experts","Uninterested",6,125,1126855,14.0856875
"100-32","ext","experts","Uninterested",8,1326,1582596,19.78245
"100-32","ext","experts","Uninterested",10,6702,3088513,38.6064125
"100-32","ext","experts","Homo Economicus",0,0,0,0
"100-32","ext","experts","Homo Economicus",2,1,1,1.25e-05
"100-32","ext","experts","Homo Economicus",4,85,2453,0.0306625
"100-32","ext","experts","Homo Economicus",6,1327,282152,3.5269
"100-32","ext","experts","Homo Economicus",8,8039,1157177,14.4647125
"100-32","ext","experts","Homo Economicus",10,27265,3956047,49.4505875
"100-32","ext","experts","Fearful",0,0,0,0
"100-32","ext","experts","Fearful",2,3,35,0.0004375
"100-32","ext","experts","Fearful",4,200,13369,0.1671125
"100-32","ext","experts","Fearful",6,2467,578117,7.2264625
"100-32","ext","experts","Fearful",8,12666,2105304,26.3163
"100-32","ext","experts","Fearful",10,35150,4675879,58.4484875
"100-32","ext","experts","Stubborn",0,1,143,0.0017875
"100-32","ext","experts","Stubborn",2,54,226145,2.8268125
"100-32","ext","experts","Stubborn",4,888,1986765,24.8345625
"100-32","ext","experts","Stubborn",6,4935,2445455,30.5681875
"100-32","ext","experts","Stubborn",8,13725,3563200,44.54
"100-32","ext","experts","Stubborn",10,27720,4739901,59.2487625
"100-32","ext","experts","Influencer",0,0,0,0
"100-32","ext","experts","Influencer",2,1,3,3.75e-05
"100-32","ext","experts","Influencer",4,113,195416,2.4427
"100-32","ext","experts","Influencer",6,1324,2654806,33.185075
"100-32","ext","experts","Influencer",8,6200,3727836,46.59795
"100-32","ext","experts","Influencer",10,16526,4378435,54.7304375
"100-32","ext","experts","Careful",0,0,0,0
"100-32","ext","experts","Careful",2,1,12,0.00015
"100-32","ext","experts","Careful",4,112,10533,0.1316625
"100-32","ext","experts","Careful",6,1694,234491,2.9311375
"100-32","ext","experts","Careful",8,9563,1158604,14.48255
"100-32","ext","experts","Careful",10,28775,2319211,28.9901375
"100-32","ext","experts","Activist",0,0,0,0
"100-32","ext","experts","Activist",2,5,77,0.0009625
"100-32","ext","experts","Activist",4,215,6079,0.0759875
"100-32","ext","experts","Activist",6,1900,1385311,17.3163875
"100-32","ext","experts","Activist",8,7771,2155976,26.9497
"100-32","ext","experts","Activist",10,24266,3150990,39.387375
"100-32","ext","kmeans","Early.Adopter",0,0,0,0
"100-32","ext","kmeans","Early.Adopter",2,2,38,0.000475
"100-32","ext","kmeans","Early.Adopter",4,124,39865,0.4983125
"100-32","ext","kmeans","Early.Adopter",6,1373,227283,2.8410375
"100-32","ext","kmeans","Early.Adopter",8,6421,848505,10.6063125
"100-32","ext","kmeans","Early.Adopter",10,18217,2363555,29.5444375
"100-32","ext","kmeans","Fearful",0,0,0,0
"100-32","ext","kmeans","Fearful",2,39,135616,1.6952
"100-32","ext","kmeans","Fearful",4,800,592820,7.41025
"100-32","ext","kmeans","Fearful",6,5158,1163618,14.545225
"100-32","ext","kmeans","Fearful",8,16990,1986327,24.8290875
"100-32","ext","kmeans","Fearful",10,39266,3182136,39.7767
"100-32","ext","kmeans","Careful",0,1,8,1e-04
"100-32","ext","kmeans","Careful",2,83,14990,0.187375
"100-32","ext","kmeans","Careful",4,1481,302757,3.7844625
"100-32","ext","kmeans","Careful",6,9494,1167791,14.5973875
"100-32","ext","kmeans","Careful",8,29209,2102067,26.2758375
"100-32","ext","kmeans","Careful",10,52472,2718902,33.986275
"100-32","ext","kmeans","Stubborn",0,1,18,0.000225
"100-32","ext","kmeans","Stubborn",2,49,7707,0.0963375
"100-32","ext","kmeans","Stubborn",4,655,339182,4.239775
"100-32","ext","kmeans","Stubborn",6,4563,1070972,13.38715
"100-32","ext","kmeans","Stubborn",8,18252,1874669,23.4333625
"100-32","ext","kmeans","Stubborn",10,45215,2957234,36.965425
"100-32","ext","kmeans","Influencer",0,0,0,0
"100-32","ext","kmeans","Influencer",2,1,10,0.000125
"100-32","ext","kmeans","Influencer",4,75,398,0.004975
"100-32","ext","kmeans","Influencer",6,648,30593,0.3824125
"100-32","ext","kmeans","Influencer",8,3516,656877,8.2109625
"100-32","ext","kmeans","Influencer",10,11249,2137562,26.719525
"100-32","ext","kmeans","Uninterested",0,0,0,0
"100-32","ext","kmeans","Uninterested",2,25,162,0.002025
"100-32","ext","kmeans","Uninterested",4,542,8001,0.1000125
"100-32","ext","kmeans","Uninterested",6,3923,181634,2.270425
"100-32","ext","kmeans","Uninterested",8,14080,1246248,15.5781
"100-32","ext","kmeans","Uninterested",10,29460,3111541,38.8942625
"100-32","ext","kmeans","Homo.Economicus",0,1,1,1.25e-05
"100-32","ext","kmeans","Homo.Economicus",2,39,5194,0.064925
"100-32","ext","kmeans","Homo.Economicus",4,809,205249,2.5656125
"100-32","ext","kmeans","Homo.Economicus",6,5671,1044691,13.0586375
"100-32","ext","kmeans","Homo.Economicus",8,18404,2057504,25.7188
"100-32","ext","kmeans","Homo.Economicus",10,37133,3461375,43.2671875
"100-32","ext","kmeans","Cluster8",0,0,0,0
"100-32","ext","kmeans","Cluster8",2,35,2042,0.025525
"100-32","ext","kmeans","Cluster8",4,767,62273,0.7784125
"100-32","ext","kmeans","Cluster8",6,4587,567635,7.0954375
"100-32","ext","kmeans","Cluster8",8,13430,1476183,18.4522875
"100-32","ext","kmeans","Cluster8",10,27527,2540451,31.7556375
"100-32","ext","sins","Early Adopter",0,0,0,0
"100-32","ext","sins","Early Adopter",2,0,0,0
"100-32","ext","sins","Early Adopter",4,8,249,0.0031125
"100-32","ext","sins","Early Adopter",6,238,317752,3.9719
"100-32","ext","sins","Early Adopter",8,1843,1191933,14.8991625
"100-32","ext","sins","Early Adopter",10,7370,3455441,43.1930125
"100-32","ext","sins","Uninterested",0,0,0,0
"100-32","ext","sins","Uninterested",2,0,0,0
"100-32","ext","sins","Uninterested",4,15,32,4e-04
"100-32","ext","sins","Uninterested",6,306,13344,0.1668
"100-32","ext","sins","Uninterested",8,2117,1419019,17.7377375
"100-32","ext","sins","Uninterested",10,10627,2231907,27.8988375
"100-32","ext","sins","Homo Economicus",0,0,0,0
"100-32","ext","sins","Homo Economicus",2,0,0,0
"100-32","ext","sins","Homo Economicus",4,8,53,0.0006625
"100-32","ext","sins","Homo Economicus",6,238,2706,0.033825
"100-32","ext","sins","Homo Economicus",8,2997,157582,1.969775
"100-32","ext","sins","Homo Economicus",10,15445,1906947,23.8368375
"100-32","ext","sins","Fearful",0,0,0,0
"100-32","ext","sins","Fearful",2,0,0,0
"100-32","ext","sins","Fearful",4,35,1933,0.0241625
"100-32","ext","sins","Fearful",6,844,182530,2.281625
"100-32","ext","sins","Fearful",8,6765,1176219,14.7027375
"100-32","ext","sins","Fearful",10,24970,2231283,27.8910375
"100-32","ext","sins","Stubborn",0,0,0,0
"100-32","ext","sins","Stubborn",2,2,6,7.5e-05
"100-32","ext","sins","Stubborn",4,111,722,0.009025
"100-32","ext","sins","Stubborn",6,1662,43648,0.5456
"100-32","ext","sins","Stubborn",8,9296,509153,6.3644125
"100-32","ext","sins","Stubborn",10,29325,3598773,44.9846625
"100-32","ext","sins","Influencer",0,0,0,0
"100-32","ext","sins","Influencer",2,0,0,0
"100-32","ext","sins","Influencer",4,2,2,2.5e-05
"100-32","ext","sins","Influencer",6,74,4425,0.0553125
"100-32","ext","sins","Influencer",8,973,137491,1.7186375
"100-32","ext","sins","Influencer",10,4628,2278442,28.480525
"100-32","ext","sins","Careful",0,0,0,0
"100-32","ext","sins","Careful",2,1,12784,0.1598
"100-32","ext","sins","Careful",4,161,179719,2.2464875
"100-32","ext","sins","Careful",6,2289,702630,8.782875
"100-32","ext","sins","Careful",8,12481,1656929,20.7116125
"100-32","ext","sins","Careful",10,34899,2433394,30.417425
"10-32","pos","experts","Early Adopter",0,0,0,0
"10-32","pos","experts","Early Adopter",2,0,0,0
"10-32","pos","experts","Early Adopter",4,34,442,0.005525
"10-32","pos","experts","Early Adopter",6,396,4043,0.0505375
"10-32","pos","experts","Early Adopter",8,1397,14465,0.1808125
"10-32","pos","experts","Early Adopter",10,2988,73674,0.920925
"10-32","pos","experts","Uninterested",0,0,0,0
"10-32","pos","experts","Uninterested",2,0,0,0
"10-32","pos","experts","Uninterested",4,0,0,0
"10-32","pos","experts","Uninterested",6,24,193,0.0024125
"10-32","pos","experts","Uninterested",8,151,686,0.008575
"10-32","pos","experts","Uninterested",10,598,3879,0.0484875
"10-32","pos","experts","Homo Economicus",0,0,0,0
"10-32","pos","experts","Homo Economicus",2,0,0,0
"10-32","pos","experts","Homo Economicus",4,7,32,4e-04
"10-32","pos","experts","Homo Economicus",6,347,1846,0.023075
"10-32","pos","experts","Homo Economicus",8,3821,968889,12.1111125
"10-32","pos","experts","Homo Economicus",10,17333,6217952,77.7244
"10-32","pos","experts","Fearful",0,0,0,0
"10-32","pos","experts","Fearful",2,0,0,0
"10-32","pos","experts","Fearful",4,26,264,0.0033
"10-32","pos","experts","Fearful",6,1280,1927015,24.0876875
"10-32","pos","experts","Fearful",8,9596,5478088,68.4761
"10-32","pos","experts","Fearful",10,28781,7414974,92.687175
"10-32","pos","experts","Stubborn",0,0,0,0
"10-32","pos","experts","Stubborn",2,16,68,0.00085
"10-32","pos","experts","Stubborn",4,204,1379,0.0172375
"10-32","pos","experts","Stubborn",6,879,10413,0.1301625
"10-32","pos","experts","Stubborn",8,2223,65163,0.8145375
"10-32","pos","experts","Stubborn",10,4204,208724,2.60905
"10-32","pos","experts","Influencer",0,0,0,0
"10-32","pos","experts","Influencer",2,3,4,5e-05
"10-32","pos","experts","Influencer",4,28,141,0.0017625
"10-32","pos","experts","Influencer",6,145,1286,0.016075
"10-32","pos","experts","Influencer",8,446,3474,0.043425
"10-32","pos","experts","Influencer",10,1052,7563,0.0945375
"10-32","pos","experts","Careful",0,0,0,0
"10-32","pos","experts","Careful",2,1,30,0.000375
"10-32","pos","experts","Careful",4,102,73156,0.91445
"10-32","pos","experts","Careful",6,1731,2011918,25.148975
"10-32","pos","experts","Careful",8,9949,5667982,70.849775
"10-32","pos","experts","Careful",10,29283,7626893,95.3361625
"10-32","pos","experts","Activist",0,0,0,0
"10-32","pos","experts","Activist",2,1,11,0.0001375
"10-32","pos","experts","Activist",4,81,5077,0.0634625
"10-32","pos","experts","Activist",6,840,61295,0.7661875
"10-32","pos","experts","Activist",8,2959,232847,2.9105875
"10-32","pos","experts","Activist",10,11733,3491971,43.6496375
"10-32","pos","kmeans","Early.Adopter",0,0,0,0
"10-32","pos","kmeans","Early.Adopter",2,0,0,0
"10-32","pos","kmeans","Early.Adopter",4,0,0,0
"10-32","pos","kmeans","Early.Adopter",6,1,1,1.25e-05
"10-32","pos","kmeans","Early.Adopter",8,31,36,0.00045
"10-32","pos","kmeans","Early.Adopter",10,396,725,0.0090625
"10-32","pos","kmeans","Fearful",0,0,0,0
"10-32","pos","kmeans","Fearful",2,0,0,0
"10-32","pos","kmeans","Fearful",4,1,108,0.00135
"10-32","pos","kmeans","Fearful",6,271,111210,1.390125
"10-32","pos","kmeans","Fearful",8,3520,4231663,52.8957875
"10-32","pos","kmeans","Fearful",10,16287,7138988,89.23735
"10-32","pos","kmeans","Careful",0,1,2391,0.0298875
"10-32","pos","kmeans","Careful",2,127,269823,3.3727875
"10-32","pos","kmeans","Careful",4,2070,3338536,41.7317
"10-32","pos","kmeans","Careful",6,11893,6757924,84.47405
"10-32","pos","kmeans","Careful",8,32617,7802575,97.5321875
"10-32","pos","kmeans","Careful",10,52589,7959056,99.4882
"10-32","pos","kmeans","Stubborn",0,0,0,0
"10-32","pos","kmeans","Stubborn",2,0,0,0
"10-32","pos","kmeans","Stubborn",4,69,64222,0.802775
"10-32","pos","kmeans","Stubborn",6,1647,1902148,23.77685
"10-32","pos","kmeans","Stubborn",8,10998,5670373,70.8796625
"10-32","pos","kmeans","Stubborn",10,33316,7646355,95.5794375
"10-32","pos","kmeans","Influencer",0,0,0,0
"10-32","pos","kmeans","Influencer",2,0,0,0
"10-32","pos","kmeans","Influencer",4,0,0,0
"10-32","pos","kmeans","Influencer",6,2,28,0.00035
"10-32","pos","kmeans","Influencer",8,44,186,0.002325
"10-32","pos","kmeans","Influencer",10,246,1089,0.0136125
"10-32","pos","kmeans","Uninterested",0,0,0,0
"10-32","pos","kmeans","Uninterested",2,0,0,0
"10-32","pos","kmeans","Uninterested",4,0,0,0
"10-32","pos","kmeans","Uninterested",6,0,0,0
"10-32","pos","kmeans","Uninterested",8,7,8,1e-04
"10-32","pos","kmeans","Uninterested",10,78,139,0.0017375
"10-32","pos","kmeans","Homo.Economicus",0,0,0,0
"10-32","pos","kmeans","Homo.Economicus",2,0,0,0
"10-32","pos","kmeans","Homo.Economicus",4,0,0,0
"10-32","pos","kmeans","Homo.Economicus",6,14,107,0.0013375
"10-32","pos","kmeans","Homo.Economicus",8,462,22245,0.2780625
"10-32","pos","kmeans","Homo.Economicus",10,4461,2594864,32.4358
"10-32","pos","kmeans","Cluster8",0,0,0,0
"10-32","pos","kmeans","Cluster8",2,0,0,0
"10-32","pos","kmeans","Cluster8",4,0,0,0
"10-32","pos","kmeans","Cluster8",6,1,1,1.25e-05
"10-32","pos","kmeans","Cluster8",8,87,1139,0.0142375
"10-32","pos","kmeans","Cluster8",10,1716,1638286,20.478575
"10-32","pos","sins","Early Adopter",0,0,0,0
"10-32","pos","sins","Early Adopter",2,0,0,0
"10-32","pos","sins","Early Adopter",4,0,0,0
"10-32","pos","sins","Early Adopter",6,8,14,0.000175
"10-32","pos","sins","Early Adopter",8,101,600,0.0075
"10-32","pos","sins","Early Adopter",10,493,4742,0.059275
"10-32","pos","sins","Uninterested",0,0,0,0
"10-32","pos","sins","Uninterested",2,0,0,0
"10-32","pos","sins","Uninterested",4,0,0,0
"10-32","pos","sins","Uninterested",6,3,3,3.75e-05
"10-32","pos","sins","Uninterested",8,178,925,0.0115625
"10-32","pos","sins","Uninterested",10,4651,372178,4.652225
"10-32","pos","sins","Homo Economicus",0,0,0,0
"10-32","pos","sins","Homo Economicus",2,0,0,0
"10-32","pos","sins","Homo Economicus",4,11,73,0.0009125
"10-32","pos","sins","Homo Economicus",6,366,203850,2.548125
"10-32","pos","sins","Homo Economicus",8,3344,1702846,21.285575
"10-32","pos","sins","Homo Economicus",10,14360,6383757,79.7969625
"10-32","pos","sins","Fearful",0,0,0,0
"10-32","pos","sins","Fearful",2,0,0,0
"10-32","pos","sins","Fearful",4,11,6442,0.080525
"10-32","pos","sins","Fearful",6,507,794382,9.929775
"10-32","pos","sins","Fearful",8,4960,4301807,53.7725875
"10-32","pos","sins","Fearful",10,21079,6465741,80.8217625
"10-32","pos","sins","Stubborn",0,0,0,0
"10-32","pos","sins","Stubborn",2,0,0,0
"10-32","pos","sins","Stubborn",4,11,355,0.0044375
"10-32","pos","sins","Stubborn",6,254,36418,0.455225
"10-32","pos","sins","Stubborn",8,3549,1696068,21.20085
"10-32","pos","sins","Stubborn",10,16330,3448274,43.103425
"10-32","pos","sins","Influencer",0,0,0,0
"10-32","pos","sins","Influencer",2,0,0,0
"10-32","pos","sins","Influencer",4,0,0,0
"10-32","pos","sins","Influencer",6,0,0,0
"10-32","pos","sins","Influencer",8,18,503,0.0062875
"10-32","pos","sins","Influencer",10,162,1122,0.014025
"10-32","pos","sins","Careful",0,0,0,0
"10-32","pos","sins","Careful",2,0,0,0
"10-32","pos","sins","Careful",4,64,768014,9.600175
"10-32","pos","sins","Careful",6,1466,3113882,38.923525
"10-32","pos","sins","Careful",8,10332,5274129,65.9266125
"10-32","pos","sins","Careful",10,31369,6872662,85.908275
"10-32","ext","experts","Early Adopter",0,0,0,0
"10-32","ext","experts","Early Adopter",2,2,11,0.0001375
"10-32","ext","experts","Early Adopter",4,75,34538,0.431725
"10-32","ext","experts","Early Adopter",6,1102,1747160,21.8395
"10-32","ext","experts","Early Adopter",8,5954,2640683,33.0085375
"10-32","ext","experts","Early Adopter",10,17503,4092739,51.1592375
"10-32","ext","experts","Uninterested",0,0,0,0
"10-32","ext","experts","Uninterested",2,0,0,0
"10-32","ext","experts","Uninterested",4,4,8,1e-04
"10-32","ext","experts","Uninterested",6,145,1129420,14.11775
"10-32","ext","experts","Uninterested",8,1447,1575857,19.6982125
"10-32","ext","experts","Uninterested",10,7095,3061359,38.2669875
"10-32","ext","experts","Homo Economicus",0,0,0,0
"10-32","ext","experts","Homo Economicus",2,3,3,3.75e-05
"10-32","ext","experts","Homo Economicus",4,114,2974,0.037175
"10-32","ext","experts","Homo Economicus",6,1546,283938,3.549225
"10-32","ext","experts","Homo Economicus",8,8834,1242944,15.5368
"10-32","ext","experts","Homo Economicus",10,28553,4083724,51.04655
"10-32","ext","experts","Fearful",0,0,0,0
"10-32","ext","experts","Fearful",2,6,81,0.0010125
"10-32","ext","experts","Fearful",4,236,14256,0.1782
"10-32","ext","experts","Fearful",6,2789,592173,7.4021625
"10-32","ext","experts","Fearful",8,13476,2171806,27.147575
"10-32","ext","experts","Fearful",10,36416,4729645,59.1205625
"10-32","ext","experts","Stubborn",0,1,176,0.0022
"10-32","ext","experts","Stubborn",2,62,221569,2.7696125
"10-32","ext","experts","Stubborn",4,945,1968817,24.6102125
"10-32","ext","experts","Stubborn",6,5213,2413690,30.171125
"10-32","ext","experts","Stubborn",8,14403,3559005,44.4875625
"10-32","ext","experts","Stubborn",10,28827,4715043,58.9380375
"10-32","ext","experts","Influencer",0,0,0,0
"10-32","ext","experts","Influencer",2,2,3,3.75e-05
"10-32","ext","experts","Influencer",4,115,169756,2.12195
"10-32","ext","experts","Influencer",6,1406,2616202,32.702525
"10-32","ext","experts","Influencer",8,6403,3672319,45.9039875
"10-32","ext","experts","Influencer",10,16986,4336587,54.2073375
"10-32","ext","experts","Careful",0,0,0,0
"10-32","ext","experts","Careful",2,1,23,0.0002875
"10-32","ext","experts","Careful",4,114,9020,0.11275
"10-32","ext","experts","Careful",6,1753,230443,2.8805375
"10-32","ext","experts","Careful",8,10066,1148539,14.3567375
"10-32","ext","experts","Careful",10,30061,2340438,29.255475
"10-32","ext","experts","Activist",0,0,0,0
"10-32","ext","experts","Activist",2,6,54,0.000675
"10-32","ext","experts","Activist",4,202,6414,0.080175
"10-32","ext","experts","Activist",6,1972,1406921,17.5865125
"10-32","ext","experts","Activist",8,8162,2151508,26.89385
"10-32","ext","experts","Activist",10,25745,3199690,39.996125
"10-32","ext","kmeans","Early.Adopter",0,0,0,0
"10-32","ext","kmeans","Early.Adopter",2,3,23,0.0002875
"10-32","ext","kmeans","Early.Adopter",4,137,43241,0.5405125
"10-32","ext","kmeans","Early.Adopter",6,1329,249466,3.118325
"10-32","ext","kmeans","Early.Adopter",8,6555,864407,10.8050875
"10-32","ext","kmeans","Early.Adopter",10,18542,2393410,29.917625
"10-32","ext","kmeans","Fearful",0,1,5,6.25e-05
"10-32","ext","kmeans","Fearful",2,41,138124,1.72655
"10-32","ext","kmeans","Fearful",4,855,612928,7.6616
"10-32","ext","kmeans","Fearful",6,5559,1182995,14.7874375
"10-32","ext","kmeans","Fearful",8,17946,2001671,25.0208875
"10-32","ext","kmeans","Fearful",10,40938,3246736,40.5842
"10-32","ext","kmeans","Careful",0,1,4,5e-05
"10-32","ext","kmeans","Careful",2,85,14960,0.187
