"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"100-9","pos","kmeans","Influencer",0,0,0,0
"100-9","pos","kmeans","Influencer",2,0,0,0
"100-9","pos","kmeans","Influencer",4,0,0,0
"100-9","pos","kmeans","Influencer",6,7,3249,0.0406125
"100-9","pos","kmeans","Influencer",8,54,4097025,51.2128125
"100-9","pos","kmeans","Influencer",10,62,8000000,100
"100-9","pos","kmeans","Uninterested",0,0,0,0
"100-9","pos","kmeans","Uninterested",2,0,0,0
"100-9","pos","kmeans","Uninterested",4,0,0,0
"100-9","pos","kmeans","Uninterested",6,2,3,3.75e-05
"100-9","pos","kmeans","Uninterested",8,48,6574752,82.1844
"100-9","pos","kmeans","Uninterested",10,62,8000000,100
"100-9","pos","kmeans","Homo.Economicus",0,0,0,0
"100-9","pos","kmeans","Homo.Economicus",2,0,0,0
"100-9","pos","kmeans","Homo.Economicus",4,0,0,0
"100-9","pos","kmeans","Homo.Economicus",6,0,0,0
"100-9","pos","kmeans","Homo.Economicus",8,31,1508647,18.8580875
"100-9","pos","kmeans","Homo.Economicus",10,62,8000000,100
"100-9","pos","kmeans","X8",0,0,0,0
"100-9","pos","kmeans","X8",2,0,0,0
"100-9","pos","kmeans","X8",4,0,0,0
"100-9","pos","kmeans","X8",6,0,0,0
"100-9","pos","kmeans","X8",8,38,1511351,18.8918875
"100-9","pos","kmeans","X8",10,62,8000000,100
"100-9","pos","sins","Early.Adopter",0,0,0,0
"100-9","pos","sins","Early.Adopter",2,0,0,0
"100-9","pos","sins","Early.Adopter",4,0,0,0
"100-9","pos","sins","Early.Adopter",6,7,4619,0.0577375
"100-9","pos","sins","Early.Adopter",8,52,4218591,52.7323875
"100-9","pos","sins","Early.Adopter",10,62,8000000,100
"100-9","pos","sins","Uninterested",0,0,0,0
"100-9","pos","sins","Uninterested",2,0,0,0
"100-9","pos","sins","Uninterested",4,3,2695,0.0336875
"100-9","pos","sins","Uninterested",6,33,5483411,68.5426375
"100-9","pos","sins","Uninterested",8,59,7997518,99.968975
"100-9","pos","sins","Uninterested",10,62,8000000,100
"100-9","pos","sins","Homo.Economicus",0,0,0,0
"100-9","pos","sins","Homo.Economicus",2,3,418,0.005225
"100-9","pos","sins","Homo.Economicus",4,23,4440572,55.50715
"100-9","pos","sins","Homo.Economicus",6,53,5507357,68.8419625
"100-9","pos","sins","Homo.Economicus",8,62,8000000,100
"100-9","pos","sins","Homo.Economicus",10,62,8000000,100
"100-9","pos","sins","Fearful",0,0,0,0
"100-9","pos","sins","Fearful",2,0,0,0
"100-9","pos","sins","Fearful",4,0,0,0
"100-9","pos","sins","Fearful",6,12,3629314,45.366425
"100-9","pos","sins","Fearful",8,57,7995609,99.9451125
"100-9","pos","sins","Fearful",10,62,8000000,100
"100-9","pos","sins","Stubborn",0,0,0,0
"100-9","pos","sins","Stubborn",2,0,0,0
"100-9","pos","sins","Stubborn",4,0,0,0
"100-9","pos","sins","Stubborn",6,32,4444163,55.5520375
"100-9","pos","sins","Stubborn",8,57,5592039,69.9004875
"100-9","pos","sins","Stubborn",10,62,8000000,100
"100-9","pos","sins","Influencer",0,0,0,0
"100-9","pos","sins","Influencer",2,0,0,0
"100-9","pos","sins","Influencer",4,2,5,6.25e-05
"100-9","pos","sins","Influencer",6,30,375719,4.6964875
"100-9","pos","sins","Influencer",8,60,7853809,98.1726125
"100-9","pos","sins","Influencer",10,62,8000000,100
"100-9","pos","sins","Careful",0,0,0,0
"100-9","pos","sins","Careful",2,0,0,0
"100-9","pos","sins","Careful",4,0,0,0
"100-9","pos","sins","Careful",6,32,5561581,69.5197625
"100-9","pos","sins","Careful",8,61,7999999,99.9999875
"100-9","pos","sins","Careful",10,62,8000000,100
"100-9","ext","experts","Early.Adopter",0,0,0,0
"100-9","ext","experts","Early.Adopter",2,0,0,0
"100-9","ext","experts","Early.Adopter",4,15,4511762,56.397025
"100-9","ext","experts","Early.Adopter",6,142,6959645,86.9955625
"100-9","ext","experts","Early.Adopter",8,208,7600517,95.0064625
"100-9","ext","experts","Early.Adopter",10,213,8000000,100
"100-9","ext","experts","Uninterested",0,0,0,0
"100-9","ext","experts","Uninterested",2,0,0,0
"100-9","ext","experts","Uninterested",4,10,203033,2.5379125
"100-9","ext","experts","Uninterested",6,126,6907985,86.3498125
"100-9","ext","experts","Uninterested",8,208,7999978,99.999725
"100-9","ext","experts","Uninterested",10,213,8000000,100
"100-9","ext","experts","Homo.Economicus",0,0,0,0
"100-9","ext","experts","Homo.Economicus",2,0,0,0
"100-9","ext","experts","Homo.Economicus",4,13,2920440,36.5055
"100-9","ext","experts","Homo.Economicus",6,116,6926352,86.5794
"100-9","ext","experts","Homo.Economicus",8,204,7605067,95.0633375
"100-9","ext","experts","Homo.Economicus",10,213,8000000,100
"100-9","ext","experts","Fearful",0,0,0,0
"100-9","ext","experts","Fearful",2,0,0,0
"100-9","ext","experts","Fearful",4,12,2795274,34.940925
"100-9","ext","experts","Fearful",6,110,6935126,86.689075
"100-9","ext","experts","Fearful",8,201,7605075,95.0634375
"100-9","ext","experts","Fearful",10,213,8000000,100
"100-9","ext","experts","Stubborn",0,0,0,0
"100-9","ext","experts","Stubborn",2,4,2833832,35.4229
"100-9","ext","experts","Stubborn",4,78,6555569,81.9446125
"100-9","ext","experts","Stubborn",6,173,7185836,89.82295
"100-9","ext","experts","Stubborn",8,211,7605238,95.065475
"100-9","ext","experts","Stubborn",10,213,8000000,100
"100-9","ext","experts","Influencer",0,0,0,0
"100-9","ext","experts","Influencer",2,0,0,0
"100-9","ext","experts","Influencer",4,10,2698604,33.73255
"100-9","ext","experts","Influencer",6,102,5805185,72.5648125
"100-9","ext","experts","Influencer",8,202,7256588,90.70735
"100-9","ext","experts","Influencer",10,213,8000000,100
"100-9","ext","experts","Careful",0,0,0,0
"100-9","ext","experts","Careful",2,0,0,0
"100-9","ext","experts","Careful",4,0,0,0
"100-9","ext","experts","Careful",6,90,5814774,72.684675
"100-9","ext","experts","Careful",8,199,7604042,95.050525
"100-9","ext","experts","Careful",10,213,8000000,100
"100-9","ext","experts","Activist",0,0,0,0
"100-9","ext","experts","Activist",2,0,0,0
"100-9","ext","experts","Activist",4,44,4852952,60.6619
"100-9","ext","experts","Activist",6,155,7179257,89.7407125
"100-9","ext","experts","Activist",8,209,7605231,95.0653875
"100-9","ext","experts","Activist",10,213,8000000,100
"100-9","ext","kmeans","Early.Adopter",0,0,0,0
"100-9","ext","kmeans","Early.Adopter",2,0,0,0
"100-9","ext","kmeans","Early.Adopter",4,0,0,0
"100-9","ext","kmeans","Early.Adopter",6,41,2055884,25.69855
"100-9","ext","kmeans","Early.Adopter",8,195,7698139,96.2267375
"100-9","ext","kmeans","Early.Adopter",10,213,8000000,100
"100-9","ext","kmeans","Fearful",0,0,0,0
"100-9","ext","kmeans","Fearful",2,0,0,0
"100-9","ext","kmeans","Fearful",4,0,0,0
"100-9","ext","kmeans","Fearful",6,0,0,0
"100-9","ext","kmeans","Fearful",8,90,4416246,55.203075
"100-9","ext","kmeans","Fearful",10,213,8000000,100
"100-9","ext","kmeans","Careful",0,0,0,0
"100-9","ext","kmeans","Careful",2,0,0,0
"100-9","ext","kmeans","Careful",4,43,2446350,30.579375
"100-9","ext","kmeans","Careful",6,160,6472503,80.9062875
"100-9","ext","kmeans","Careful",8,211,7998967,99.9870875
"100-9","ext","kmeans","Careful",10,213,8000000,100
"100-9","ext","kmeans","Stubborn",0,0,0,0
"100-9","ext","kmeans","Stubborn",2,0,0,0
"100-9","ext","kmeans","Stubborn",4,0,0,0
"100-9","ext","kmeans","Stubborn",6,41,1730863,21.6357875
"100-9","ext","kmeans","Stubborn",8,187,7994876,99.93595
"100-9","ext","kmeans","Stubborn",10,213,8000000,100
"100-9","ext","kmeans","Influencer",0,0,0,0
"100-9","ext","kmeans","Influencer",2,0,0,0
"100-9","ext","kmeans","Influencer",4,0,0,0
"100-9","ext","kmeans","Influencer",6,49,1989950,24.874375
"100-9","ext","kmeans","Influencer",8,193,6607754,82.596925
"100-9","ext","kmeans","Influencer",10,213,8000000,100
"100-9","ext","kmeans","Uninterested",0,0,0,0
"100-9","ext","kmeans","Uninterested",2,0,0,0
"100-9","ext","kmeans","Uninterested",4,0,0,0
"100-9","ext","kmeans","Uninterested",6,46,783511,9.7938875
"100-9","ext","kmeans","Uninterested",8,204,7998421,99.9802625
"100-9","ext","kmeans","Uninterested",10,213,8000000,100
"100-9","ext","kmeans","Homo.Economicus",0,0,0,0
"100-9","ext","kmeans","Homo.Economicus",2,0,0,0
"100-9","ext","kmeans","Homo.Economicus",4,0,0,0
"100-9","ext","kmeans","Homo.Economicus",6,0,0,0
"100-9","ext","kmeans","Homo.Economicus",8,87,4978196,62.22745
"100-9","ext","kmeans","Homo.Economicus",10,213,8000000,100
"100-9","ext","kmeans","X8",0,0,0,0
"100-9","ext","kmeans","X8",2,0,0,0
"100-9","ext","kmeans","X8",4,0,0,0
"100-9","ext","kmeans","X8",6,0,0,0
"100-9","ext","kmeans","X8",8,167,6954111,86.9263875
"100-9","ext","kmeans","X8",10,213,8000000,100
"100-9","ext","sins","Early.Adopter",0,0,0,0
"100-9","ext","sins","Early.Adopter",2,0,0,0
"100-9","ext","sins","Early.Adopter",4,0,0,0
"100-9","ext","sins","Early.Adopter",6,61,4847011,60.5876375
"100-9","ext","sins","Early.Adopter",8,192,7247687,90.5960875
"100-9","ext","sins","Early.Adopter",10,213,8000000,100
"100-9","ext","sins","Uninterested",0,0,0,0
"100-9","ext","sins","Uninterested",2,0,0,0
"100-9","ext","sins","Uninterested",4,11,1191315,14.8914375
"100-9","ext","sins","Uninterested",6,132,5950324,74.37905
"100-9","ext","sins","Uninterested",8,210,7999981,99.9997625
"100-9","ext","sins","Uninterested",10,213,8000000,100
"100-9","ext","sins","Homo.Economicus",0,0,0,0
"100-9","ext","sins","Homo.Economicus",2,2,3,3.75e-05
"100-9","ext","sins","Homo.Economicus",4,43,3840073,48.0009125
"100-9","ext","sins","Homo.Economicus",6,149,7277522,90.969025
"100-9","ext","sins","Homo.Economicus",8,209,7999862,99.998275
"100-9","ext","sins","Homo.Economicus",10,213,8000000,100
"100-9","ext","sins","Fearful",0,0,0,0
"100-9","ext","sins","Fearful",2,0,0,0
"100-9","ext","sins","Fearful",4,0,0,0
"100-9","ext","sins","Fearful",6,30,1351744,16.8968
"100-9","ext","sins","Fearful",8,187,6810765,85.1345625
"100-9","ext","sins","Fearful",10,213,8000000,100
"100-9","ext","sins","Stubborn",0,0,0,0
"100-9","ext","sins","Stubborn",2,0,0,0
"100-9","ext","sins","Stubborn",4,0,0,0
"100-9","ext","sins","Stubborn",6,75,5130478,64.130975
"100-9","ext","sins","Stubborn",8,196,7312800,91.41
"100-9","ext","sins","Stubborn",10,213,8000000,100
"100-9","ext","sins","Influencer",0,0,0,0
"100-9","ext","sins","Influencer",2,0,0,0
"100-9","ext","sins","Influencer",4,17,796043,9.9505375
"100-9","ext","sins","Influencer",6,118,5619575,70.2446875
"100-9","ext","sins","Influencer",8,206,7939957,99.2494625
"100-9","ext","sins","Influencer",10,213,8000000,100
"100-9","ext","sins","Careful",0,0,0,0
"100-9","ext","sins","Careful",2,0,0,0
"100-9","ext","sins","Careful",4,0,0,0
"100-9","ext","sins","Careful",6,81,2362758,29.534475
"100-9","ext","sins","Careful",8,203,6830628,85.38285
"100-9","ext","sins","Careful",10,213,8000000,100
"10-9","pos","experts","Early.Adopter",0,0,0,0
"10-9","pos","experts","Early.Adopter",2,0,0,0
"10-9","pos","experts","Early.Adopter",4,4,50823,0.6352875
"10-9","pos","experts","Early.Adopter",6,31,1637565,20.4695625
"10-9","pos","experts","Early.Adopter",8,63,5695577,71.1947125
"10-9","pos","experts","Early.Adopter",10,68,8000000,100
"10-9","pos","experts","Uninterested",0,0,0,0
"10-9","pos","experts","Uninterested",2,0,0,0
"10-9","pos","experts","Uninterested",4,1,11,0.0001375
"10-9","pos","experts","Uninterested",6,27,3675503,45.9437875
"10-9","pos","experts","Uninterested",8,64,7997806,99.972575
"10-9","pos","experts","Uninterested",10,68,8000000,100
"10-9","pos","experts","Homo.Economicus",0,0,0,0
"10-9","pos","experts","Homo.Economicus",2,0,0,0
"10-9","pos","experts","Homo.Economicus",4,11,1444950,18.061875
"10-9","pos","experts","Homo.Economicus",6,44,5256645,65.7080625
"10-9","pos","experts","Homo.Economicus",8,65,5796475,72.4559375
"10-9","pos","experts","Homo.Economicus",10,68,8000000,100
"10-9","pos","experts","Fearful",0,0,0,0
"10-9","pos","experts","Fearful",2,0,0,0
"10-9","pos","experts","Fearful",4,9,4115,0.0514375
"10-9","pos","experts","Fearful",6,37,5253683,65.6710375
"10-9","pos","experts","Fearful",8,66,5794452,72.43065
"10-9","pos","experts","Fearful",10,68,8000000,100
"10-9","pos","experts","Stubborn",0,0,0,0
"10-9","pos","experts","Stubborn",2,4,50823,0.6352875
"10-9","pos","experts","Stubborn",4,22,1635069,20.4383625
"10-9","pos","experts","Stubborn",6,46,5256648,65.7081
"10-9","pos","experts","Stubborn",8,66,5796480,72.456
"10-9","pos","experts","Stubborn",10,68,8000000,100
"10-9","pos","experts","Influencer",0,0,0,0
"10-9","pos","experts","Influencer",2,0,0,0
"10-9","pos","experts","Influencer",4,3,3740,0.04675
"10-9","pos","experts","Influencer",6,20,246398,3.079975
"10-9","pos","experts","Influencer",8,60,5498236,68.72795
"10-9","pos","experts","Influencer",10,68,8000000,100
"10-9","pos","experts","Careful",0,0,0,0
"10-9","pos","experts","Careful",2,0,0,0
"10-9","pos","experts","Careful",4,0,0,0
"10-9","pos","experts","Careful",6,36,5253682,65.671025
"10-9","pos","experts","Careful",8,63,5794439,72.4304875
"10-9","pos","experts","Careful",10,68,8000000,100
"10-9","pos","experts","Activist",0,0,0,0
"10-9","pos","experts","Activist",2,0,0,0
"10-9","pos","experts","Activist",4,17,1447740,18.09675
"10-9","pos","experts","Activist",6,44,5256645,65.7080625
"10-9","pos","experts","Activist",8,66,5796480,72.456
"10-9","pos","experts","Activist",10,68,8000000,100
"10-9","pos","kmeans","Early.Adopter",0,0,0,0
"10-9","pos","kmeans","Early.Adopter",2,0,0,0
"10-9","pos","kmeans","Early.Adopter",4,0,0,0
"10-9","pos","kmeans","Early.Adopter",6,1,1,1.25e-05
"10-9","pos","kmeans","Early.Adopter",8,54,4006912,50.0864
"10-9","pos","kmeans","Early.Adopter",10,68,8000000,100
"10-9","pos","kmeans","Fearful",0,0,0,0
"10-9","pos","kmeans","Fearful",2,0,0,0
"10-9","pos","kmeans","Fearful",4,0,0,0
"10-9","pos","kmeans","Fearful",6,0,0,0
"10-9","pos","kmeans","Fearful",8,41,5491273,68.6409125
"10-9","pos","kmeans","Fearful",10,68,8000000,100
"10-9","pos","kmeans","Careful",0,0,0,0
"10-9","pos","kmeans","Careful",2,0,0,0
"10-9","pos","kmeans","Careful",4,33,5252854,65.660675
"10-9","pos","kmeans","Careful",6,61,5794437,72.4304625
"10-9","pos","kmeans","Careful",8,67,7999998,99.999975
"10-9","pos","kmeans","Careful",10,68,8000000,100
"10-9","pos","kmeans","Stubborn",0,0,0,0
"10-9","pos","kmeans","Stubborn",2,0,0,0
"10-9","pos","kmeans","Stubborn",4,0,0,0
"10-9","pos","kmeans","Stubborn",6,26,4569446,57.118075
"10-9","pos","kmeans","Stubborn",8,65,7999996,99.99995
"10-9","pos","kmeans","Stubborn",10,68,8000000,100
"10-9","pos","kmeans","Influencer",0,0,0,0
"10-9","pos","kmeans","Influencer",2,0,0,0
"10-9","pos","kmeans","Influencer",4,0,0,0
"10-9","pos","kmeans","Influencer",6,9,2832,0.0354
"10-9","pos","kmeans","Influencer",8,59,4082015,51.0251875
"10-9","pos","kmeans","Influencer",10,68,8000000,100
"10-9","pos","kmeans","Uninterested",0,0,0,0
"10-9","pos","kmeans","Uninterested",2,0,0,0
"10-9","pos","kmeans","Uninterested",4,0,0,0
"10-9","pos","kmeans","Uninterested",6,1,5,6.25e-05
"10-9","pos","kmeans","Uninterested",8,55,6558730,81.984125
"10-9","pos","kmeans","Uninterested",10,68,8000000,100
"10-9","pos","kmeans","Homo.Economicus",0,0,0,0
"10-9","pos","kmeans","Homo.Economicus",2,0,0,0
"10-9","pos","kmeans","Homo.Economicus",4,0,0,0
"10-9","pos","kmeans","Homo.Economicus",6,0,0,0
"10-9","pos","kmeans","Homo.Economicus",8,35,1502351,18.7793875
"10-9","pos","kmeans","Homo.Economicus",10,68,8000000,100
"10-9","pos","kmeans","X8",0,0,0,0
"10-9","pos","kmeans","X8",2,0,0,0
"10-9","pos","kmeans","X8",4,0,0,0
"10-9","pos","kmeans","X8",6,0,0,0
"10-9","pos","kmeans","X8",8,41,1505137,18.8142125
"10-9","pos","kmeans","X8",10,68,8000000,100
"10-9","pos","sins","Early.Adopter",0,0,0,0
"10-9","pos","sins","Early.Adopter",2,0,0,0
"10-9","pos","sins","Early.Adopter",4,0,0,0
"10-9","pos","sins","Early.Adopter",6,9,4088,0.0511
"10-9","pos","sins","Early.Adopter",8,58,4194758,52.434475
"10-9","pos","sins","Early.Adopter",10,68,8000000,100
"10-9","pos","sins","Uninterested",0,0,0,0
"10-9","pos","sins","Uninterested",2,0,0,0
"10-9","pos","sins","Uninterested",4,4,2778,0.034725
"10-9","pos","sins","Uninterested",6,35,5482737,68.5342125
"10-9","pos","sins","Uninterested",8,65,7997896,99.9737
"10-9","pos","sins","Uninterested",10,68,8000000,100
"10-9","pos","sins","Homo.Economicus",0,0,0,0
"10-9","pos","sins","Homo.Economicus",2,3,350,0.004375
"10-9","pos","sins","Homo.Economicus",4,24,4443088,55.5386
"10-9","pos","sins","Homo.Economicus",6,58,5504587,68.8073375
"10-9","pos","sins","Homo.Economicus",8,68,8000000,100
"10-9","pos","sins","Homo.Economicus",10,68,8000000,100
"10-9","pos","sins","Fearful",0,0,0,0
"10-9","pos","sins","Fearful",2,0,0,0
"10-9","pos","sins","Fearful",4,0,0,0
"10-9","pos","sins","Fearful",6,13,3602303,45.0287875
"10-9","pos","sins","Fearful",8,61,7996532,99.95665
"10-9","pos","sins","Fearful",10,68,8000000,100
"10-9","pos","sins","Stubborn",0,0,0,0
"10-9","pos","sins","Stubborn",2,0,0,0
"10-9","pos","sins","Stubborn",4,0,0,0
"10-9","pos","sins","Stubborn",6,33,4446678,55.583475
"10-9","pos","sins","Stubborn",8,63,5582722,69.784025
"10-9","pos","sins","Stubborn",10,68,8000000,100
"10-9","pos","sins","Influencer",0,0,0,0
"10-9","pos","sins","Influencer",2,0,0,0
"10-9","pos","sins","Influencer",4,2,12,0.00015
"10-9","pos","sins","Influencer",6,32,357510,4.468875
"10-9","pos","sins","Influencer",8,66,7826794,97.834925
"10-9","pos","sins","Influencer",10,68,8000000,100
"10-9","pos","sins","Careful",0,0,0,0
"10-9","pos","sins","Careful",2,0,0,0
"10-9","pos","sins","Careful",4,0,0,0
"10-9","pos","sins","Careful",6,34,5555307,69.4413375
"10-9","pos","sins","Careful",8,65,7999996,99.99995
"10-9","pos","sins","Careful",10,68,8000000,100
"10-9","ext","experts","Early.Adopter",0,0,0,0
"10-9","ext","experts","Early.Adopter",2,0,0,0
"10-9","ext","experts","Early.Adopter",4,15,4457471,55.7183875
"10-9","ext","experts","Early.Adopter",6,146,6974767,87.1845875
"10-9","ext","experts","Early.Adopter",8,204,7598387,94.9798375
"10-9","ext","experts","Early.Adopter",10,208,8000000,100
"10-9","ext","experts","Uninterested",0,0,0,0
"10-9","ext","experts","Uninterested",2,0,0,0
"10-9","ext","experts","Uninterested",4,10,203162,2.539525
"10-9","ext","experts","Uninterested",6,121,6904615,86.3076875
"10-9","ext","experts","Uninterested",8,205,7999979,99.9997375
"10-9","ext","experts","Uninterested",10,208,8000000,100
"10-9","ext","experts","Homo.Economicus",0,0,0,0
"10-9","ext","experts","Homo.Economicus",2,0,0,0
"10-9","ext","experts","Homo.Economicus",4,12,2876841,35.9605125
"10-9","ext","experts","Homo.Economicus",6,120,6915447,86.4430875
"10-9","ext","experts","Homo.Economicus",8,203,7604122,95.051525
"10-9","ext","experts","Homo.Economicus",10,208,8000000,100
"10-9","ext","experts","Fearful",0,0,0,0
"10-9","ext","experts","Fearful",2,0,0,0
"10-9","ext","experts","Fearful",4,11,2767925,34.5990625
"10-9","ext","experts","Fearful",6,114,6919277,86.4909625
"10-9","ext","experts","Fearful",8,201,7604141,95.0517625
"10-9","ext","experts","Fearful",10,208,8000000,100
"10-9","ext","experts","Stubborn",0,0,0,0
"10-9","ext","experts","Stubborn",2,4,2794863,34.9357875
"10-9","ext","experts","Stubborn",4,79,6524906,81.561325
"10-9","ext","experts","Stubborn",6,178,7206745,90.0843125
"10-9","ext","experts","Stubborn",8,207,7604267,95.0533375
"10-9","ext","experts","Stubborn",10,208,8000000,100
"10-9","ext","experts","Influencer",0,0,0,0
"10-9","ext","experts","Influencer",2,0,0,0
"10-9","ext","experts","Influencer",4,10,2660217,33.2527125
"10-9","ext","experts","Influencer",6,102,5807920,72.599
"10-9","ext","experts","Influencer",8,196,7267133,90.8391625
"10-9","ext","experts","Influencer",10,208,8000000,100
"10-9","ext","experts","Careful",0,0,0,0
"10-9","ext","experts","Careful",2,0,0,0
"10-9","ext","experts","Careful",4,0,0,0
"10-9","ext","experts","Careful",6,91,5815146,72.689325
"10-9","ext","experts","Careful",8,199,7602892,95.03615
"10-9","ext","experts","Careful",10,208,8000000,100
"10-9","ext","experts","Activist",0,0,0,0
"10-9","ext","experts","Activist",2,0,0,0
"10-9","ext","experts","Activist",4,42,4832362,60.404525
"10-9","ext","experts","Activist",6,158,7199990,89.999875
"10-9","ext","experts","Activist",8,206,7604265,95.0533125
"10-9","ext","experts","Activist",10,208,8000000,100
"10-9","ext","kmeans","Early.Adopter",0,0,0,0
"10-9","ext","kmeans","Early.Adopter",2,0,0,0
"10-9","ext","kmeans","Early.Adopter",4,0,0,0
"10-9","ext","kmeans","Early.Adopter",6,43,2067783,25.8472875
"10-9","ext","kmeans","Early.Adopter",8,192,7706257,96.3282125
"10-9","ext","kmeans","Early.Adopter",10,208,8000000,100
"10-9","ext","kmeans","Fearful",0,0,0,0
"10-9","ext","kmeans","Fearful",2,0,0,0
"10-9","ext","kmeans","Fearful",4,0,0,0
"10-9","ext","kmeans","Fearful",6,0,0,0
"10-9","ext","kmeans","Fearful",8,83,4403650,55.045625
"10-9","ext","kmeans","Fearful",10,208,8000000,100
"10-9","ext","kmeans","Careful",0,0,0,0
"10-9","ext","kmeans","Careful",2,0,0,0
"10-9","ext","kmeans","Careful",4,45,2506412,31.33015
"10-9","ext","kmeans","Careful",6,165,6452146,80.651825
"10-9","ext","kmeans","Careful",8,206,7998751,99.9843875
"10-9","ext","kmeans","Careful",10,208,8000000,100
"10-9","ext","kmeans","Stubborn",0,0,0,0
"10-9","ext","kmeans","Stubborn",2,0,0,0
"10-9","ext","kmeans","Stubborn",4,0,0,0
"10-9","ext","kmeans","Stubborn",6,43,1758104,21.9763
"10-9","ext","kmeans","Stubborn",8,183,7993754,99.921925
"10-9","ext","kmeans","Stubborn",10,208,8000000,100
"10-9","ext","kmeans","Influencer",0,0,0,0
"10-9","ext","kmeans","Influencer",2,0,0,0
"10-9","ext","kmeans","Influencer",4,0,0,0
"10-9","ext","kmeans","Influencer",6,52,2004774,25.059675
"10-9","ext","kmeans","Influencer",8,189,6587576,82.3447
"10-9","ext","kmeans","Influencer",10,208,8000000,100
"10-9","ext","kmeans","Uninterested",0,0,0,0
"10-9","ext","kmeans","Uninterested",2,0,0,0
"10-9","ext","kmeans","Uninterested",4,0,0,0
