sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
political_bootstrap,bootstrap político,331,6,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",731,331,1615.8721213643153,1804.243073214056,-766.9360606821576,0,0
political_bootstrap,bootstrap político,331,7,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,768,331,1687.8021489847724,1715.6648873836584,-837.9010744923862,0,0
political_bootstrap,bootstrap político,331,7,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,768,331,1698.241328662219,1767.898174659434,-834.1206643311095,0,0
political_bootstrap,bootstrap político,331,7,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,768,331,1677.5625141013395,1816.8762060957697,-808.7812570506698,29,6
political_bootstrap,bootstrap político,331,7,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",768,331,1683.418789155048,1878.4579579472502,-799.709394577524,0,0
political_bootstrap,bootstrap político,332,8,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,775,332,1702.397831403292,1730.3150095794122,-845.198915701646,0,0
political_bootstrap,bootstrap político,332,8,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,775,332,1705.519376009852,1775.3123214501522,-837.759688004926,0,0
political_bootstrap,bootstrap político,332,8,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,775,332,1684.458328928687,1824.0442198092874,-812.2291644643435,0,0
political_bootstrap,bootstrap político,332,8,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",775,332,1680.1373297336454,1870.9047139371326,-799.0686648668227,0,0
political_bootstrap,bootstrap político,335,9,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,787,335,1727.397881369641,1755.4072508601455,-857.6989406848205,5,2
political_bootstrap,bootstrap político,335,9,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,787,335,1717.644975979758,1787.668399706019,-843.822487989879,14,4
political_bootstrap,bootstrap político,335,9,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,787,335,1712.4897081293873,1852.5365555819094,-826.2448540646936,0,0
political_bootstrap,bootstrap político,335,9,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",787,335,1719.8696658082686,1915.9352522417994,-817.9348329041343,0,0
political_bootstrap,bootstrap político,335,10,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,769,335,1694.7645891922778,1722.6351350093116,-841.3822945961389,0,0
political_bootstrap,bootstrap político,335,10,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,769,335,1700.2336287690207,1769.9099933116054,-835.1168143845103,14,3
political_bootstrap,bootstrap político,335,10,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,769,335,1710.5087082561045,1849.8614373412738,-825.2543541280522,0,0
political_bootstrap,bootstrap político,335,10,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,769,335,1725.8881910796008,1920.982011798838,-820.9440955398004,0,0
political_bootstrap,bootstrap político,339,11,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,782,339,1724.1849789971589,1752.1561074404308,-856.0924894985794,5,2
political_bootstrap,bootstrap político,339,11,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,782,339,1733.03897905918,1802.9668001673597,-851.51948952959,14,2
political_bootstrap,bootstrap político,339,11,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,782,339,1736.8761682504187,1876.731810466778,-838.4380841252093,0,0
political_bootstrap,bootstrap político,339,11,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",782,339,1753.4826369237326,1949.2805360266357,-834.7413184618663,0,0
political_bootstrap,bootstrap político,331,12,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,778,331,1712.5494158566667,1740.489775001737,-850.2747079283333,0,0
political_bootstrap,bootstrap político,331,12,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,778,331,1721.1513531069686,1791.0022509696444,-845.5756765534843,14,4
political_bootstrap,bootstrap político,331,12,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,778,331,1698.181010351602,1837.8828060769538,-819.090505175801,29,4
political_bootstrap,bootstrap político,331,12,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",778,331,1715.3868640294809,1910.9693780449734,-815.6934320147404,0,0
political_bootstrap,bootstrap político,343,13,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,815,343,1791.1806637110492,1819.3997923904944,-889.5903318555246,5,2
political_bootstrap,bootstrap político,343,13,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,815,343,1793.7096317134885,1864.2574534121015,-881.8548158567443,0,0
political_bootstrap,bootstrap político,343,13,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",815,343,1783.9145403144018,1925.0101837116276,-861.9572701572009,0,0
political_bootstrap,bootstrap político,343,13,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",815,343,1789.5546820936136,1982.385394736489,-853.7773410468068,0,0
political_bootstrap,bootstrap político,329,14,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,765,329,1680.1860392073795,1708.0252942103386,-834.0930196036898,5,2
political_bootstrap,bootstrap político,329,14,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,765,329,1684.458585216063,1754.056722723461,-827.2292926080315,14,2
political_bootstrap,bootstrap político,329,14,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,765,329,1680.5516179163476,1819.7478929311437,-810.2758089581738,0,0
political_bootstrap,bootstrap político,329,14,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",765,329,1695.9943374746933,1886.2292466615813,-806.9971687373467,0,0
political_bootstrap,bootstrap político,327,15,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,739,327,1621.7555877456812,1649.3873752713703,-804.8777938728406,0,0
political_bootstrap,bootstrap político,327,15,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,739,327,1616.8815004813187,1685.9609692955416,-793.4407502406593,0,0
political_bootstrap,bootstrap político,327,15,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,739,327,1621.3138049455613,1759.4727425740073,-780.6569024727806,0,0
political_bootstrap,bootstrap político,327,15,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(1) Hessian is numerically singular: parameters are not uniquely determined 
In addition: Absolute convergence criterion was met, but relative criterion was not met",739,327,1623.223870251825,1816.6463829316494,-769.6119351259125,41,5
political_bootstrap,bootstrap político,333,16,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,769,333,1683.950533703305,1711.8210795203388,-835.9752668516525,5,2
political_bootstrap,bootstrap político,333,16,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,769,333,1686.8341485035658,1756.5105130461504,-828.4170742517829,14,4
political_bootstrap,bootstrap político,333,16,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,,769,333,1688.3674522312642,1827.7201813164336,-814.1837261156321,0,0
