term,estimate,std.error,statistic,p.value,coef.type,sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,term_label,tipo_termino,is_significant
z_SECURITY,-0.12040384504078853,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Seguridad,Dimensión,FALSE
z_COMPETENCE,-0.3483730508759748,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Competencia,Dimensión,FALSE
z_AUTONOMY,-0.030493965023667906,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Autonomía,Dimensión,FALSE
z_PHYSIOLOGICAL,0.07635992347905352,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Materialidad,Dimensión,FALSE
z_RELATEDNESS,-1.1393154133224428,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Vinculación,Dimensión,FALSE
z_STIMULATION,0.48106129216506,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Estímulo,Dimensión,FALSE
z_POPULARITY,0.3196763268445743,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Popularidad,Dimensión,FALSE
z_MEANING,0.05680745234061312,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Significado,Dimensión,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,0.14868317186892804,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Estímulo,Interacción,FALSE
macro_archetype_5G3_Fearful_Careful:z_STIMULATION,0.3593677848649674,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G3 Fearful Careful x Dimensión: Estímulo,Interacción,FALSE
macro_archetype_5G4_HomoEconomicus:z_STIMULATION,-0.9951573415100758,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G4 HomoEconomicus x Dimensión: Estímulo,Interacción,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,-2.1917057963949693,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Materialidad,Interacción,FALSE
macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,0.8335326237485573,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G3 Fearful Careful x Dimensión: Materialidad,Interacción,FALSE
macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,0.10373396319054948,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G4 HomoEconomicus x Dimensión: Materialidad,Interacción,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,0.34568630903284586,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Seguridad financiera,Interacción,FALSE
macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,-0.753425488450998,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G3 Fearful Careful x Dimensión: Seguridad financiera,Interacción,FALSE
macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,-1.226677118670033,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G4 HomoEconomicus x Dimensión: Seguridad financiera,Interacción,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,1.5449990398154334,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Autonomía,Interacción,FALSE
macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,-0.45869149548867294,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G3 Fearful Careful x Dimensión: Autonomía,Interacción,FALSE
macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,0.4280033754796445,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G4 HomoEconomicus x Dimensión: Autonomía,Interacción,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,0.5419774280071454,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Significado,Interacción,FALSE
macro_archetype_5G3_Fearful_Careful:z_MEANING,-0.02124033744460608,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G3 Fearful Careful x Dimensión: Significado,Interacción,FALSE
macro_archetype_5G4_HomoEconomicus:z_MEANING,0.09987606342500459,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G4 HomoEconomicus x Dimensión: Significado,Interacción,FALSE
Knowledge|Considering,-1.2116115922740454,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),Knowledge|Considering,Umbral de etapa,FALSE
Considering|Done,0.43709014835330373,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),Considering|Done,Umbral de etapa,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer,-0.07458134618704859,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,FALSE
macro_archetype_5G3_Fearful_Careful,-0.20721883575764105,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,FALSE
macro_archetype_5G4_HomoEconomicus,-0.3442491213265263,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
z_FINANCIAL,0.752396479469448,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),Dimensión: Seguridad financiera,Dimensión,FALSE
