context,variable,category,n,total_n,prop
01_all_integrated_rows,country_model_grouped,LV,18,4118,0.004371053909664886
01_all_integrated_rows,country_model_grouped,SI,17,4118,0.00412821758135017
01_all_integrated_rows,country_model_grouped,CH,12,4118,0.0029140359397765905
01_all_integrated_rows,country_model_grouped,DK,11,4118,0.0026711996114618746
01_all_integrated_rows,country_model_grouped,SK,10,4118,0.0024283632831471587
01_all_integrated_rows,age_group_model,25_34,1493,4118,0.3625546381738708
01_all_integrated_rows,age_group_model,18_24,1053,4118,0.2557066537153958
01_all_integrated_rows,age_group_model,45_54,752,4118,0.18261291889266634
01_all_integrated_rows,age_group_model,35_44,370,4118,0.08984944147644487
01_all_integrated_rows,age_group_model,unknown,217,4118,0.052695483244293344
01_all_integrated_rows,age_group_model,65_plus,118,4118,0.028654686741136474
01_all_integrated_rows,age_group_model,55_64,115,4118,0.027926177756192327
01_all_integrated_rows,gender_model,male,2067,4118,0.5019426906265178
01_all_integrated_rows,gender_model,female,1876,4118,0.455560951918407
01_all_integrated_rows,gender_model,unknown,128,4118,0.03108305002428363
01_all_integrated_rows,gender_model,other,47,4118,0.011413307430791646
01_all_integrated_rows,education_model,high,1915,4118,0.4650315687226809
01_all_integrated_rows,education_model,unknown,1278,4118,0.3103448275862069
01_all_integrated_rows,education_model,medium,833,4118,0.20228266148615834
01_all_integrated_rows,education_model,other,55,4118,0.013355998057309373
01_all_integrated_rows,education_model,conflict,29,4118,0.007042253521126761
01_all_integrated_rows,education_model,low,8,4118,0.001942690626517727
01_all_integrated_rows,employment_model,employed,2546,4118,0.6182612918892666
01_all_integrated_rows,employment_model,student,559,4118,0.1357455075279262
01_all_integrated_rows,employment_model,unknown,448,4118,0.10879067508499271
01_all_integrated_rows,employment_model,unemployed,304,4118,0.07382224380767363
01_all_integrated_rows,employment_model,other,137,4118,0.033268576979116074
01_all_integrated_rows,employment_model,retired,89,4118,0.021612433220009712
01_all_integrated_rows,employment_model,inactive_other,35,4118,0.008499271491015056
01_all_integrated_rows,city_size_model,unknown,2997,4118,0.7277804759592035
01_all_integrated_rows,city_size_model,rural_small,1120,4118,0.2719766877124818
01_all_integrated_rows,city_size_model,conflict,1,4118,2.4283632831471587e-4
01_all_integrated_rows,tenure_model,unknown,3005,4118,0.7297231665857212
01_all_integrated_rows,tenure_model,owner_with_mortgage,681,4118,0.1653715395823215
01_all_integrated_rows,tenure_model,rent,371,4118,0.09009227780475959
01_all_integrated_rows,tenure_model,other,34,4118,0.00825643516270034
01_all_integrated_rows,tenure_model,family_home,23,4118,0.0055852355512384655
01_all_integrated_rows,tenure_model,conflict,4,4118,9.713453132588635e-4
01_all_integrated_rows,income_model,unknown,2354,4118,0.5716367168528412
01_all_integrated_rows,income_model,medium,814,4118,0.19766877124817872
01_all_integrated_rows,income_model,low,543,4118,0.13186012627489072
01_all_integrated_rows,income_model,high,407,4118,0.09883438562408936
01_all_integrated_rows,vote_status_declared,unknown,3011,4118,0.7311801845556095
01_all_integrated_rows,vote_status_declared,voter,484,4118,0.11753278290432248
01_all_integrated_rows,vote_status_declared,uncertain,475,4118,0.11534725594949004
01_all_integrated_rows,vote_status_declared,abstainer,142,4118,0.034482758620689655
01_all_integrated_rows,vote_status_declared,conflict,6,4118,0.0014570179698882952
01_all_integrated_rows,voted_observed,Missing,3492,4118,0.8479844584749878
01_all_integrated_rows,voted_observed,1,484,4118,0.11753278290432248
01_all_integrated_rows,voted_observed,0,142,4118,0.034482758620689655
01_all_integrated_rows,political_left_right_model,Missing,3165,4118,0.7685769791160758
01_all_integrated_rows,political_left_right_model,50,64,4118,0.015541525012141816
01_all_integrated_rows,political_left_right_model,0,61,4118,0.01481301602719767
01_all_integrated_rows,political_left_right_model,20,59,4118,0.014327343370568237
01_all_integrated_rows,political_left_right_model,25,56,4118,0.013598834385624089
01_all_integrated_rows,political_left_right_model,10,46,4118,0.011170471102476931
01_all_integrated_rows,political_left_right_model,30,46,4118,0.011170471102476931
01_all_integrated_rows,political_left_right_model,60,41,4118,0.00995628946090335
01_all_integrated_rows,political_left_right_model,15,40,4118,0.009713453132588635
01_all_integrated_rows,political_left_right_model,40,39,4118,0.00947061680427392
01_all_integrated_rows,political_left_right_model,45,23,4118,0.0055852355512384655
01_all_integrated_rows,political_left_right_model,35,22,4118,0.005342399222923749
01_all_integrated_rows,political_left_right_model,55,22,4118,0.005342399222923749
01_all_integrated_rows,political_left_right_model,65,20,4118,0.0048567265662943174
01_all_integrated_rows,political_left_right_model,75,17,4118,0.00412821758135017
01_all_integrated_rows,political_left_right_model,19,16,4118,0.003885381253035454
01_all_integrated_rows,political_left_right_model,70,16,4118,0.003885381253035454
01_all_integrated_rows,political_left_right_model,33,15,4118,0.003642544924720738
01_all_integrated_rows,political_left_right_model,23,14,4118,0.003399708596406022
01_all_integrated_rows,political_left_right_model,11,10,4118,0.0024283632831471587
01_all_integrated_rows,political_left_right_model,12,10,4118,0.0024283632831471587
01_all_integrated_rows,political_left_right_model,7,10,4118,0.0024283632831471587
01_all_integrated_rows,political_left_right_model,80,10,4118,0.0024283632831471587
01_all_integrated_rows,political_left_right_model,100,9,4118,0.002185526954832443
01_all_integrated_rows,political_left_right_model,16,9,4118,0.002185526954832443
01_all_integrated_rows,political_left_right_model,17,9,4118,0.002185526954832443
01_all_integrated_rows,political_left_right_model,26,9,4118,0.002185526954832443
01_all_integrated_rows,political_left_right_model,37,9,4118,0.002185526954832443
01_all_integrated_rows,political_left_right_model,85,9,4118,0.002185526954832443
01_all_integrated_rows,political_left_right_model,13,8,4118,0.001942690626517727
01_all_integrated_rows,political_left_right_model,14,8,4118,0.001942690626517727
01_all_integrated_rows,political_left_right_model,18,8,4118,0.001942690626517727
01_all_integrated_rows,political_left_right_model,36,8,4118,0.001942690626517727
01_all_integrated_rows,political_left_right_model,5,8,4118,0.001942690626517727
01_all_integrated_rows,political_left_right_model,51,8,4118,0.001942690626517727
01_all_integrated_rows,political_left_right_model,21,7,4118,0.001699854298203011
01_all_integrated_rows,political_left_right_model,22,7,4118,0.001699854298203011
01_all_integrated_rows,political_left_right_model,24,7,4118,0.001699854298203011
01_all_integrated_rows,political_left_right_model,49,7,4118,0.001699854298203011
01_all_integrated_rows,political_left_right_model,9,7,4118,0.001699854298203011
01_all_integrated_rows,political_left_right_model,38,6,4118,0.0014570179698882952
01_all_integrated_rows,political_left_right_model,44,6,4118,0.0014570179698882952
01_all_integrated_rows,political_left_right_model,47,6,4118,0.0014570179698882952
01_all_integrated_rows,political_left_right_model,48,6,4118,0.0014570179698882952
01_all_integrated_rows,political_left_right_model,73,6,4118,0.0014570179698882952
01_all_integrated_rows,political_left_right_model,28,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,29,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,32,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,42,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,52,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,6,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,61,5,4118,0.0012141816415735794
01_all_integrated_rows,political_left_right_model,1,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,2,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,27,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,4,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,41,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,77,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,8,4,4118,9.713453132588635e-4
01_all_integrated_rows,political_left_right_model,34,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,43,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,46,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,53,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,57,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,58,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,67,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,68,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,90,3,4118,7.285089849441476e-4
01_all_integrated_rows,political_left_right_model,3,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,31,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,54,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,56,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,62,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,63,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,66,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,69,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,72,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,74,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,76,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,83,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,84,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,87,2,4118,4.8567265662943174e-4
01_all_integrated_rows,political_left_right_model,39,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,59,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,64,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,78,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,79,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,81,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,82,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,86,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,89,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,92,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_left_right_model,99,1,4118,2.4283632831471587e-4
01_all_integrated_rows,political_block_model,unknown,3165,4118,0.7685769791160758
01_all_integrated_rows,political_block_model,left,290,4118,0.07042253521126761
01_all_integrated_rows,political_block_model,extreme_left,273,4118,0.06629431762991743
01_all_integrated_rows,political_block_model,centre,256,4118,0.06216610004856726
01_all_integrated_rows,political_block_model,right,101,4118,0.024526469159786304
01_all_integrated_rows,political_block_model,extreme_right,33,4118,0.008013598834385623
01_all_integrated_rows,self_classification_raw,Missing,3003,4118,0.7292374939290918
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,323,4118,0.07843613404565324
01_all_integrated_rows,self_classification_raw,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,280,4118,0.06799417192812045
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it improves my safety or that of my household.,167,4118,0.04055366682855755
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it helps reduce my environmental impact.,135,4118,0.03278290432248664
01_all_integrated_rows,self_classification_raw,"I would invest out of ethical or social commitment to environmental protection, regardless of direct personal benefits.",88,4118,0.021369596891694997
01_all_integrated_rows,self_classification_raw,"I am more likely to invest if it improves my social status or aligns with the norms of my colleagues, friends, or family.",46,4118,0.011170471102476931
01_all_integrated_rows,self_classification_raw,"I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",32,4118,0.007770762506070908
01_all_integrated_rows,self_classification_raw,Νone of the above.,29,4118,0.007042253521126761
01_all_integrated_rows,self_classification_raw,"I consider myself an early adopter and enjoy following the latest trends, even if this involves some risks or impacts on the environment.",11,4118,0.0026711996114618746
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it helps reduce my environmental impact.,1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it improves my safety or that of my household.,1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw,"My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding. | I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw_clean,Missing,3003,4118,0.7292374939290918
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,323,4118,0.07843613404565324
01_all_integrated_rows,self_classification_raw_clean,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,280,4118,0.06799417192812045
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it improves my safety or that of my household.,167,4118,0.04055366682855755
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it helps reduce my environmental impact.,135,4118,0.03278290432248664
01_all_integrated_rows,self_classification_raw_clean,"I would invest out of ethical or social commitment to environmental protection, regardless of direct personal benefits.",88,4118,0.021369596891694997
01_all_integrated_rows,self_classification_raw_clean,"I am more likely to invest if it improves my social status or aligns with the norms of my colleagues, friends, or family.",46,4118,0.011170471102476931
01_all_integrated_rows,self_classification_raw_clean,"I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",32,4118,0.007770762506070908
01_all_integrated_rows,self_classification_raw_clean,Νone of the above.,29,4118,0.007042253521126761
01_all_integrated_rows,self_classification_raw_clean,"I consider myself an early adopter and enjoy following the latest trends, even if this involves some risks or impacts on the environment.",11,4118,0.0026711996114618746
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it helps reduce my environmental impact.,1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it improves my safety or that of my household.,1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_raw_clean,"My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding. | I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",1,4118,2.4283632831471587e-4
01_all_integrated_rows,self_classification_archetype_model,Missing,3003,4118,0.7292374939290918
01_all_integrated_rows,self_classification_archetype_model,Careful,324,4118,0.07867897037396794
01_all_integrated_rows,self_classification_archetype_model,Homo economicus,280,4118,0.06799417192812045
01_all_integrated_rows,self_classification_archetype_model,Fearful,168,4118,0.04079650315687227
01_all_integrated_rows,self_classification_archetype_model,Activist,136,4118,0.03302574065080136
01_all_integrated_rows,self_classification_archetype_model,Stubborn,88,4118,0.021369596891694997
01_all_integrated_rows,self_classification_archetype_model,Influencer,46,4118,0.011170471102476931
01_all_integrated_rows,self_classification_archetype_model,Uninterested,33,4118,0.008013598834385623
01_all_integrated_rows,self_classification_archetype_model,None,29,4118,0.007042253521126761
01_all_integrated_rows,self_classification_archetype_model,Early adopter,11,4118,0.0026711996114618746
01_all_integrated_rows,row_quality_final,usable_complete,3209,4118,0.7792617775619233
01_all_integrated_rows,row_quality_final,usable_partial,443,4118,0.10757649344341913
01_all_integrated_rows,row_quality_final,no_determinants,283,4118,0.06872268091306459
01_all_integrated_rows,row_quality_final,usable_complete_limited_metadata,89,4118,0.021612433220009712
01_all_integrated_rows,row_quality_final,too_many_missing_determinants,62,4118,0.015055852355512385
01_all_integrated_rows,row_quality_final,usable_partial_limited_metadata,23,4118,0.0055852355512384655
01_all_integrated_rows,row_quality_final,suspicious_determinants,9,4118,0.002185526954832443
01_all_integrated_rows,usable_for_main_analysis,TRUE,3764,4118,0.9140359397765906
01_all_integrated_rows,usable_for_main_analysis,FALSE,354,4118,0.08596406022340942
01_all_integrated_rows,usable_for_clustering,TRUE,3764,4118,0.9140359397765906
01_all_integrated_rows,usable_for_clustering,FALSE,354,4118,0.08596406022340942
01_all_integrated_rows,political_lr_group,Missing,3165,4118,0.7685769791160758
01_all_integrated_rows,political_lr_group,20_39_left,290,4118,0.07042253521126761
01_all_integrated_rows,political_lr_group,00_19_extreme_left,273,4118,0.06629431762991743
01_all_integrated_rows,political_lr_group,40_59_centre,215,4118,0.05220981058766391
01_all_integrated_rows,political_lr_group,60_79_right,132,4118,0.03205439533754249
01_all_integrated_rows,political_lr_group,80_100_extreme_right,43,4118,0.010441962117532783
02_usable_for_main_analysis,dataset_source,diego,1899,3764,0.5045164718384697
02_usable_for_main_analysis,dataset_source,why,971,3764,0.2579702444208289
02_usable_for_main_analysis,dataset_source,rv,894,3764,0.23751328374070138
02_usable_for_main_analysis,source_survey,Survey_September2023_cleaned,1899,3764,0.5045164718384697
02_usable_for_main_analysis,source_survey,Investment_Arquetypes_2022,971,3764,0.2579702444208289
02_usable_for_main_analysis,source_survey,decision,840,3764,0.22316684378320936
02_usable_for_main_analysis,source_survey,concerns2;decision,16,3764,0.004250797024442083
02_usable_for_main_analysis,source_survey,concerns2;decision;poverty,12,3764,0.003188097768331562
02_usable_for_main_analysis,source_survey,concerns2;decision;energy_crisis;poverty,10,3764,0.002656748140276302
02_usable_for_main_analysis,source_survey,decision;energy_crisis,9,3764,0.002391073326248672
02_usable_for_main_analysis,source_survey,decision;energy_crisis;poverty,6,3764,0.001594048884165781
02_usable_for_main_analysis,source_survey,decision;poverty,1,3764,2.6567481402763017e-4
02_usable_for_main_analysis,country_model,DE,785,3764,0.2085547290116897
02_usable_for_main_analysis,country_model,IT,747,3764,0.19845908607863974
02_usable_for_main_analysis,country_model,ES,596,3764,0.15834218916046758
02_usable_for_main_analysis,country_model,NL,385,3764,0.10228480340063761
02_usable_for_main_analysis,country_model,GR,235,3764,0.062433581296493096
02_usable_for_main_analysis,country_model,FR,204,3764,0.05419766206163656
02_usable_for_main_analysis,country_model,PL,135,3764,0.035866099893730075
02_usable_for_main_analysis,country_model,BE,133,3764,0.035334750265674814
02_usable_for_main_analysis,country_model,GB,112,3764,0.02975557917109458
02_usable_for_main_analysis,country_model,HU,81,3764,0.021519659936238045
02_usable_for_main_analysis,country_model,Missing,58,3764,0.015409139213602551
02_usable_for_main_analysis,country_model,IE,36,3764,0.009564293304994687
02_usable_for_main_analysis,country_model,PT,34,3764,0.009032943676939426
02_usable_for_main_analysis,country_model,RO,32,3764,0.008501594048884165
02_usable_for_main_analysis,country_model,CZ,31,3764,0.008235919234856535
02_usable_for_main_analysis,country_model,AT,28,3764,0.007438894792773645
02_usable_for_main_analysis,country_model,SE,23,3764,0.006110520722635494
02_usable_for_main_analysis,country_model,FI,21,3764,0.005579171094580234
02_usable_for_main_analysis,country_model,LV,18,3764,0.004782146652497344
02_usable_for_main_analysis,country_model,SI,16,3764,0.004250797024442083
02_usable_for_main_analysis,country_model,CH,11,3764,0.002922422954303932
02_usable_for_main_analysis,country_model,DK,9,3764,0.002391073326248672
02_usable_for_main_analysis,country_model,SK,9,3764,0.002391073326248672
02_usable_for_main_analysis,country_model,NO,8,3764,0.0021253985122210413
02_usable_for_main_analysis,country_model,EE,7,3764,0.0018597236981934113
02_usable_for_main_analysis,country_model,BG,3,3764,7.970244420828905e-4
02_usable_for_main_analysis,country_model,IS,2,3764,5.313496280552603e-4
02_usable_for_main_analysis,country_model,LT,2,3764,5.313496280552603e-4
02_usable_for_main_analysis,country_model,OTHER_EU,2,3764,5.313496280552603e-4
02_usable_for_main_analysis,country_model,MT,1,3764,2.6567481402763017e-4
02_usable_for_main_analysis,country_model_grouped,DE,785,3764,0.2085547290116897
02_usable_for_main_analysis,country_model_grouped,IT,747,3764,0.19845908607863974
02_usable_for_main_analysis,country_model_grouped,ES,596,3764,0.15834218916046758
02_usable_for_main_analysis,country_model_grouped,NL,385,3764,0.10228480340063761
02_usable_for_main_analysis,country_model_grouped,GR,235,3764,0.062433581296493096
02_usable_for_main_analysis,country_model_grouped,FR,204,3764,0.05419766206163656
02_usable_for_main_analysis,country_model_grouped,PL,135,3764,0.035866099893730075
02_usable_for_main_analysis,country_model_grouped,BE,133,3764,0.035334750265674814
02_usable_for_main_analysis,country_model_grouped,GB,112,3764,0.02975557917109458
02_usable_for_main_analysis,country_model_grouped,HU,81,3764,0.021519659936238045
02_usable_for_main_analysis,country_model_grouped,UNKNOWN,58,3764,0.015409139213602551
02_usable_for_main_analysis,country_model_grouped,IE,36,3764,0.009564293304994687
02_usable_for_main_analysis,country_model_grouped,PT,34,3764,0.009032943676939426
02_usable_for_main_analysis,country_model_grouped,RO,32,3764,0.008501594048884165
02_usable_for_main_analysis,country_model_grouped,CZ,31,3764,0.008235919234856535
02_usable_for_main_analysis,country_model_grouped,AT,28,3764,0.007438894792773645
02_usable_for_main_analysis,country_model_grouped,OTHER_COUNTRIES,25,3764,0.0066418703506907545
02_usable_for_main_analysis,country_model_grouped,SE,23,3764,0.006110520722635494
02_usable_for_main_analysis,country_model_grouped,FI,21,3764,0.005579171094580234
02_usable_for_main_analysis,country_model_grouped,LV,18,3764,0.004782146652497344
02_usable_for_main_analysis,country_model_grouped,SI,16,3764,0.004250797024442083
02_usable_for_main_analysis,country_model_grouped,CH,11,3764,0.002922422954303932
02_usable_for_main_analysis,country_model_grouped,DK,9,3764,0.002391073326248672
02_usable_for_main_analysis,country_model_grouped,SK,9,3764,0.002391073326248672
02_usable_for_main_analysis,age_group_model,25_34,1418,3764,0.3767268862911796
02_usable_for_main_analysis,age_group_model,18_24,1016,3764,0.26992561105207225
02_usable_for_main_analysis,age_group_model,45_54,708,3764,0.18809776833156217
02_usable_for_main_analysis,age_group_model,35_44,321,3764,0.08528161530286929
02_usable_for_main_analysis,age_group_model,unknown,119,3764,0.031615302869287994
02_usable_for_main_analysis,age_group_model,65_plus,96,3764,0.025504782146652496
02_usable_for_main_analysis,age_group_model,55_64,86,3764,0.022848034006376194
02_usable_for_main_analysis,gender_model,male,1905,3764,0.5061105207226355
02_usable_for_main_analysis,gender_model,female,1754,3764,0.46599362380446335
02_usable_for_main_analysis,gender_model,unknown,63,3764,0.0167375132837407
02_usable_for_main_analysis,gender_model,other,42,3764,0.011158342189160468
02_usable_for_main_analysis,education_model,high,1870,3764,0.49681190223166843
02_usable_for_main_analysis,education_model,unknown,1033,3764,0.27444208289054195
02_usable_for_main_analysis,education_model,medium,816,3764,0.21679064824654623
