bootstrap_id,self_classification_archetype_model,n,total_n,prop
37,Stubborn,43,1000,0.043
37,Uninterested,15,1000,0.015
38,Activist,77,1000,0.077
38,Careful,174,1000,0.174
38,Early adopter,8,1000,0.008
38,Fearful,86,1000,0.086
38,Homo economicus,180,1000,0.18
38,Influencer,27,1000,0.027
38,Missing,386,1000,0.386
38,None,9,1000,0.009
38,Stubborn,39,1000,0.039
38,Uninterested,14,1000,0.014
39,Activist,60,1000,0.06
39,Careful,182,1000,0.182
39,Early adopter,7,1000,0.007
39,Fearful,80,1000,0.08
39,Homo economicus,176,1000,0.176
39,Influencer,24,1000,0.024
39,Missing,395,1000,0.395
39,None,11,1000,0.011
39,Stubborn,52,1000,0.052
39,Uninterested,13,1000,0.013
40,Activist,63,1000,0.063
40,Careful,198,1000,0.198
40,Early adopter,6,1000,0.006
40,Fearful,86,1000,0.086
40,Homo economicus,173,1000,0.173
40,Influencer,19,1000,0.019
40,Missing,381,1000,0.381
40,None,16,1000,0.016
40,Stubborn,45,1000,0.045
40,Uninterested,13,1000,0.013
41,Activist,87,1000,0.087
41,Careful,178,1000,0.178
41,Early adopter,7,1000,0.007
41,Fearful,88,1000,0.088
41,Homo economicus,150,1000,0.15
41,Influencer,20,1000,0.02
41,Missing,403,1000,0.403
41,None,12,1000,0.012
41,Stubborn,39,1000,0.039
41,Uninterested,16,1000,0.016
42,Activist,65,1000,0.065
42,Careful,191,1000,0.191
42,Early adopter,10,1000,0.01
42,Fearful,82,1000,0.082
42,Homo economicus,170,1000,0.17
42,Influencer,23,1000,0.023
42,Missing,385,1000,0.385
42,None,19,1000,0.019
42,Stubborn,41,1000,0.041
42,Uninterested,14,1000,0.014
43,Activist,74,1000,0.074
43,Careful,154,1000,0.154
43,Early adopter,9,1000,0.009
43,Fearful,84,1000,0.084
43,Homo economicus,184,1000,0.184
43,Influencer,34,1000,0.034
43,Missing,390,1000,0.39
43,None,12,1000,0.012
43,Stubborn,46,1000,0.046
43,Uninterested,13,1000,0.013
44,Activist,60,1000,0.06
44,Careful,152,1000,0.152
44,Early adopter,6,1000,0.006
44,Fearful,100,1000,0.1
44,Homo economicus,187,1000,0.187
44,Influencer,23,1000,0.023
44,Missing,388,1000,0.388
44,None,24,1000,0.024
44,Stubborn,44,1000,0.044
44,Uninterested,16,1000,0.016
45,Activist,94,1000,0.094
45,Careful,186,1000,0.186
45,Early adopter,5,1000,0.005
45,Fearful,94,1000,0.094
45,Homo economicus,162,1000,0.162
45,Influencer,24,1000,0.024
45,Missing,379,1000,0.379
45,None,10,1000,0.01
45,Stubborn,41,1000,0.041
45,Uninterested,5,1000,0.005
46,Activist,78,1000,0.078
46,Careful,195,1000,0.195
46,Early adopter,7,1000,0.007
46,Fearful,80,1000,0.08
46,Homo economicus,168,1000,0.168
46,Influencer,25,1000,0.025
46,Missing,362,1000,0.362
46,None,15,1000,0.015
46,Stubborn,59,1000,0.059
46,Uninterested,11,1000,0.011
47,Activist,65,1000,0.065
47,Careful,168,1000,0.168
47,Early adopter,14,1000,0.014
47,Fearful,83,1000,0.083
47,Homo economicus,186,1000,0.186
47,Influencer,32,1000,0.032
47,Missing,388,1000,0.388
47,None,13,1000,0.013
47,Stubborn,39,1000,0.039
47,Uninterested,12,1000,0.012
48,Activist,68,1000,0.068
48,Careful,182,1000,0.182
48,Early adopter,6,1000,0.006
48,Fearful,81,1000,0.081
48,Homo economicus,180,1000,0.18
48,Influencer,30,1000,0.03
48,Missing,389,1000,0.389
48,None,13,1000,0.013
48,Stubborn,43,1000,0.043
48,Uninterested,8,1000,0.008
49,Activist,81,1000,0.081
49,Careful,167,1000,0.167
49,Early adopter,7,1000,0.007
49,Fearful,85,1000,0.085
49,Homo economicus,180,1000,0.18
49,Influencer,32,1000,0.032
49,Missing,391,1000,0.391
49,None,12,1000,0.012
49,Stubborn,34,1000,0.034
49,Uninterested,11,1000,0.011
50,Activist,80,1000,0.08
50,Careful,191,1000,0.191
50,Early adopter,2,1000,0.002
50,Fearful,72,1000,0.072
50,Homo economicus,169,1000,0.169
50,Influencer,20,1000,0.02
50,Missing,397,1000,0.397
50,None,12,1000,0.012
50,Stubborn,41,1000,0.041
50,Uninterested,16,1000,0.016
51,Activist,73,1000,0.073
51,Careful,171,1000,0.171
51,Early adopter,9,1000,0.009
51,Fearful,79,1000,0.079
51,Homo economicus,190,1000,0.19
51,Influencer,26,1000,0.026
51,Missing,368,1000,0.368
51,None,25,1000,0.025
51,Stubborn,43,1000,0.043
51,Uninterested,16,1000,0.016
52,Activist,94,1000,0.094
52,Careful,176,1000,0.176
52,Early adopter,5,1000,0.005
52,Fearful,97,1000,0.097
52,Homo economicus,166,1000,0.166
52,Influencer,26,1000,0.026
52,Missing,379,1000,0.379
52,None,9,1000,0.009
52,Stubborn,32,1000,0.032
52,Uninterested,16,1000,0.016
53,Activist,74,1000,0.074
53,Careful,167,1000,0.167
53,Early adopter,8,1000,0.008
53,Fearful,79,1000,0.079
53,Homo economicus,177,1000,0.177
53,Influencer,32,1000,0.032
53,Missing,391,1000,0.391
53,None,16,1000,0.016
53,Stubborn,39,1000,0.039
53,Uninterested,17,1000,0.017
54,Activist,101,1000,0.101
54,Careful,181,1000,0.181
54,Early adopter,8,1000,0.008
54,Fearful,80,1000,0.08
54,Homo economicus,172,1000,0.172
54,Influencer,25,1000,0.025
54,Missing,378,1000,0.378
54,None,12,1000,0.012
54,Stubborn,35,1000,0.035
54,Uninterested,8,1000,0.008
55,Activist,76,1000,0.076
55,Careful,182,1000,0.182
55,Early adopter,8,1000,0.008
55,Fearful,81,1000,0.081
55,Homo economicus,176,1000,0.176
55,Influencer,19,1000,0.019
55,Missing,389,1000,0.389
55,None,19,1000,0.019
55,Stubborn,32,1000,0.032
55,Uninterested,18,1000,0.018
56,Activist,78,1000,0.078
56,Careful,175,1000,0.175
56,Early adopter,9,1000,0.009
56,Fearful,73,1000,0.073
56,Homo economicus,182,1000,0.182
56,Influencer,31,1000,0.031
56,Missing,380,1000,0.38
56,None,15,1000,0.015
56,Stubborn,48,1000,0.048
56,Uninterested,9,1000,0.009
57,Activist,68,1000,0.068
57,Careful,182,1000,0.182
57,Early adopter,7,1000,0.007
57,Fearful,98,1000,0.098
57,Homo economicus,170,1000,0.17
57,Influencer,23,1000,0.023
57,Missing,391,1000,0.391
57,None,15,1000,0.015
57,Stubborn,39,1000,0.039
57,Uninterested,7,1000,0.007
58,Activist,82,1000,0.082
58,Careful,167,1000,0.167
58,Early adopter,6,1000,0.006
58,Fearful,82,1000,0.082
58,Homo economicus,189,1000,0.189
58,Influencer,31,1000,0.031
58,Missing,373,1000,0.373
58,None,14,1000,0.014
58,Stubborn,43,1000,0.043
58,Uninterested,13,1000,0.013
59,Activist,89,1000,0.089
59,Careful,168,1000,0.168
59,Early adopter,9,1000,0.009
59,Fearful,89,1000,0.089
59,Homo economicus,159,1000,0.159
59,Influencer,34,1000,0.034
59,Missing,371,1000,0.371
59,None,14,1000,0.014
59,Stubborn,45,1000,0.045
59,Uninterested,22,1000,0.022
60,Activist,73,1000,0.073
60,Careful,160,1000,0.16
60,Early adopter,9,1000,0.009
60,Fearful,96,1000,0.096
60,Homo economicus,186,1000,0.186
60,Influencer,24,1000,0.024
60,Missing,382,1000,0.382
60,None,11,1000,0.011
60,Stubborn,44,1000,0.044
60,Uninterested,15,1000,0.015
61,Activist,77,1000,0.077
61,Careful,187,1000,0.187
61,Early adopter,6,1000,0.006
61,Fearful,79,1000,0.079
61,Homo economicus,179,1000,0.179
61,Influencer,28,1000,0.028
61,Missing,387,1000,0.387
61,None,8,1000,0.008
61,Stubborn,38,1000,0.038
61,Uninterested,11,1000,0.011
62,Activist,72,1000,0.072
62,Careful,179,1000,0.179
62,Early adopter,4,1000,0.004
62,Fearful,99,1000,0.099
62,Homo economicus,167,1000,0.167
62,Influencer,26,1000,0.026
62,Missing,378,1000,0.378
62,None,15,1000,0.015
62,Stubborn,41,1000,0.041
62,Uninterested,19,1000,0.019
63,Activist,59,1000,0.059
63,Careful,186,1000,0.186
63,Early adopter,11,1000,0.011
63,Fearful,86,1000,0.086
63,Homo economicus,163,1000,0.163
63,Influencer,32,1000,0.032
63,Missing,394,1000,0.394
63,None,16,1000,0.016
63,Stubborn,33,1000,0.033
63,Uninterested,20,1000,0.02
64,Activist,79,1000,0.079
64,Careful,178,1000,0.178
64,Early adopter,6,1000,0.006
64,Fearful,91,1000,0.091
64,Homo economicus,168,1000,0.168
64,Influencer,24,1000,0.024
64,Missing,383,1000,0.383
64,None,15,1000,0.015
64,Stubborn,45,1000,0.045
64,Uninterested,11,1000,0.011
65,Activist,65,1000,0.065
65,Careful,184,1000,0.184
65,Early adopter,9,1000,0.009
65,Fearful,93,1000,0.093
65,Homo economicus,186,1000,0.186
65,Influencer,23,1000,0.023
65,Missing,371,1000,0.371
65,None,10,1000,0.01
65,Stubborn,40,1000,0.04
65,Uninterested,19,1000,0.019
66,Activist,75,1000,0.075
66,Careful,174,1000,0.174
66,Early adopter,11,1000,0.011
66,Fearful,92,1000,0.092
66,Homo economicus,179,1000,0.179
66,Influencer,32,1000,0.032
66,Missing,379,1000,0.379
66,None,14,1000,0.014
66,Stubborn,33,1000,0.033
66,Uninterested,11,1000,0.011
67,Activist,72,1000,0.072
67,Careful,167,1000,0.167
67,Early adopter,5,1000,0.005
67,Fearful,103,1000,0.103
67,Homo economicus,183,1000,0.183
67,Influencer,25,1000,0.025
67,Missing,368,1000,0.368
67,None,15,1000,0.015
67,Stubborn,48,1000,0.048
67,Uninterested,14,1000,0.014
68,Activist,69,1000,0.069
68,Careful,181,1000,0.181
68,Early adopter,4,1000,0.004
68,Fearful,86,1000,0.086
68,Homo economicus,147,1000,0.147
68,Influencer,27,1000,0.027
68,Missing,390,1000,0.39
68,None,30,1000,0.03
68,Stubborn,51,1000,0.051
68,Uninterested,15,1000,0.015
69,Activist,92,1000,0.092
69,Careful,170,1000,0.17
69,Early adopter,7,1000,0.007
69,Fearful,89,1000,0.089
69,Homo economicus,161,1000,0.161
69,Influencer,34,1000,0.034
69,Missing,376,1000,0.376
69,None,13,1000,0.013
69,Stubborn,43,1000,0.043
69,Uninterested,15,1000,0.015
70,Activist,73,1000,0.073
70,Careful,176,1000,0.176
70,Early adopter,10,1000,0.01
70,Fearful,81,1000,0.081
70,Homo economicus,173,1000,0.173
70,Influencer,19,1000,0.019
70,Missing,397,1000,0.397
70,None,23,1000,0.023
70,Stubborn,39,1000,0.039
70,Uninterested,9,1000,0.009
71,Activist,62,1000,0.062
71,Careful,178,1000,0.178
71,Early adopter,9,1000,0.009
71,Fearful,97,1000,0.097
71,Homo economicus,170,1000,0.17
71,Influencer,26,1000,0.026
71,Missing,378,1000,0.378
71,None,22,1000,0.022
71,Stubborn,41,1000,0.041
71,Uninterested,17,1000,0.017
72,Activist,66,1000,0.066
72,Careful,193,1000,0.193
72,Early adopter,7,1000,0.007
72,Fearful,81,1000,0.081
72,Homo economicus,167,1000,0.167
72,Influencer,25,1000,0.025
72,Missing,394,1000,0.394
72,None,18,1000,0.018
72,Stubborn,37,1000,0.037
72,Uninterested,12,1000,0.012
73,Activist,75,1000,0.075
73,Careful,186,1000,0.186
73,Early adopter,11,1000,0.011
73,Fearful,81,1000,0.081
73,Homo economicus,164,1000,0.164
73,Influencer,27,1000,0.027
73,Missing,386,1000,0.386
73,None,16,1000,0.016
73,Stubborn,40,1000,0.04
73,Uninterested,14,1000,0.014
74,Activist,71,1000,0.071
74,Careful,163,1000,0.163
74,Early adopter,11,1000,0.011
74,Fearful,80,1000,0.08
74,Homo economicus,176,1000,0.176
74,Influencer,30,1000,0.03
74,Missing,388,1000,0.388
74,None,22,1000,0.022
74,Stubborn,40,1000,0.04
74,Uninterested,19,1000,0.019
75,Activist,65,1000,0.065
75,Careful,176,1000,0.176
75,Early adopter,5,1000,0.005
75,Fearful,98,1000,0.098
75,Homo economicus,158,1000,0.158
75,Influencer,31,1000,0.031
75,Missing,402,1000,0.402
75,None,16,1000,0.016
75,Stubborn,38,1000,0.038
75,Uninterested,11,1000,0.011
76,Activist,71,1000,0.071
76,Careful,197,1000,0.197
76,Early adopter,2,1000,0.002
76,Fearful,87,1000,0.087
76,Homo economicus,168,1000,0.168
76,Influencer,28,1000,0.028
76,Missing,369,1000,0.369
76,None,21,1000,0.021
76,Stubborn,42,1000,0.042
76,Uninterested,15,1000,0.015
77,Activist,87,1000,0.087
77,Careful,163,1000,0.163
77,Early adopter,3,1000,0.003
77,Fearful,92,1000,0.092
77,Homo economicus,178,1000,0.178
77,Influencer,16,1000,0.016
77,Missing,385,1000,0.385
77,None,18,1000,0.018
77,Stubborn,47,1000,0.047
77,Uninterested,11,1000,0.011
78,Activist,79,1000,0.079
78,Careful,173,1000,0.173
78,Early adopter,5,1000,0.005
78,Fearful,83,1000,0.083
78,Homo economicus,171,1000,0.171
78,Influencer,30,1000,0.03
78,Missing,392,1000,0.392
78,None,17,1000,0.017
78,Stubborn,36,1000,0.036
78,Uninterested,14,1000,0.014
79,Activist,66,1000,0.066
79,Careful,195,1000,0.195
79,Early adopter,9,1000,0.009
79,Fearful,89,1000,0.089
79,Homo economicus,163,1000,0.163
79,Influencer,32,1000,0.032
79,Missing,368,1000,0.368
79,None,20,1000,0.02
79,Stubborn,44,1000,0.044
79,Uninterested,14,1000,0.014
80,Activist,73,1000,0.073
80,Careful,177,1000,0.177
80,Early adopter,9,1000,0.009
80,Fearful,92,1000,0.092
80,Homo economicus,167,1000,0.167
80,Influencer,25,1000,0.025
80,Missing,379,1000,0.379
80,None,21,1000,0.021
80,Stubborn,39,1000,0.039
80,Uninterested,18,1000,0.018
81,Activist,80,1000,0.08
81,Careful,183,1000,0.183
81,Early adopter,5,1000,0.005
81,Fearful,95,1000,0.095
81,Homo economicus,163,1000,0.163
81,Influencer,19,1000,0.019
81,Missing,384,1000,0.384
81,None,17,1000,0.017
81,Stubborn,38,1000,0.038
81,Uninterested,16,1000,0.016
82,Activist,67,1000,0.067
82,Careful,166,1000,0.166
82,Early adopter,10,1000,0.01
82,Fearful,83,1000,0.083
82,Homo economicus,171,1000,0.171
82,Influencer,35,1000,0.035
82,Missing,404,1000,0.404
82,None,16,1000,0.016
82,Stubborn,33,1000,0.033
82,Uninterested,15,1000,0.015
83,Activist,85,1000,0.085
83,Careful,189,1000,0.189
83,Early adopter,6,1000,0.006
83,Fearful,85,1000,0.085
83,Homo economicus,168,1000,0.168
83,Influencer,33,1000,0.033
83,Missing,371,1000,0.371
83,None,10,1000,0.01
83,Stubborn,35,1000,0.035
83,Uninterested,18,1000,0.018
84,Activist,69,1000,0.069
84,Careful,180,1000,0.18
84,Early adopter,5,1000,0.005
84,Fearful,91,1000,0.091
84,Homo economicus,160,1000,0.16
84,Influencer,26,1000,0.026
84,Missing,398,1000,0.398
84,None,16,1000,0.016
84,Stubborn,44,1000,0.044
84,Uninterested,11,1000,0.011
85,Activist,55,1000,0.055
85,Careful,193,1000,0.193
85,Early adopter,4,1000,0.004
85,Fearful,100,1000,0.1
85,Homo economicus,190,1000,0.19
85,Influencer,24,1000,0.024
85,Missing,363,1000,0.363
85,None,16,1000,0.016
85,Stubborn,41,1000,0.041
85,Uninterested,14,1000,0.014
86,Activist,74,1000,0.074
86,Careful,165,1000,0.165
86,Early adopter,13,1000,0.013
86,Fearful,88,1000,0.088
86,Homo economicus,174,1000,0.174
86,Influencer,27,1000,0.027
86,Missing,385,1000,0.385
86,None,15,1000,0.015
86,Stubborn,43,1000,0.043
86,Uninterested,16,1000,0.016
87,Activist,66,1000,0.066
87,Careful,202,1000,0.202
87,Early adopter,6,1000,0.006
87,Fearful,80,1000,0.08
87,Homo economicus,152,1000,0.152
87,Influencer,25,1000,0.025
87,Missing,374,1000,0.374
87,None,19,1000,0.019
87,Stubborn,57,1000,0.057
87,Uninterested,19,1000,0.019
88,Activist,75,1000,0.075
88,Careful,173,1000,0.173
88,Early adopter,7,1000,0.007
88,Fearful,85,1000,0.085
88,Homo economicus,167,1000,0.167
88,Influencer,30,1000,0.03
