analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,matrix_32_z_abs,KM5,EFA3,87.5,8,8,7,87.5,87.5,77.77777777777777,det_01_profits; det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_27_fun; det_32_own_significance
COMPLETE,matrix_32_z_abs,KM6,EFA4,53.333333333333336,15,8,8,53.333333333333336,100,53.333333333333336,det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy
EUROPE,matrix_32_raw_0_1,KM1,EFA6,62.5,8,8,5,62.5,62.5,45.45454545454545,det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
EUROPE,matrix_32_raw_0_1,KM2,EFA2,50,12,8,6,50,75,42.857142857142854,det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit; det_16_commitment; det_21_rights_and_duties
EUROPE,matrix_32_raw_0_1,KM3,EFA5,21.428571428571427,14,8,3,21.428571428571427,37.5,15.789473684210526,det_09_safety; det_13_technical_fit; det_19_wellbeing
EUROPE,matrix_32_raw_0_1,KM4,EFA1,20,15,8,3,20,37.5,15,det_01_profits; det_10_cost_efficiency; det_11_knowledge
EUROPE,matrix_32_raw_0_1,KM5,EFA3,28.571428571428573,14,8,4,28.571428571428573,50,22.22222222222222,det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EUROPE,matrix_32_raw_0_1,KM6,EFA4,37.5,8,8,3,37.5,37.5,23.076923076923077,det_06_climate_protection; det_08_trust; det_14_environmental_concerns
EUROPE,matrix_32_pos_0_1,KM1,EFA3,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
EUROPE,matrix_32_pos_0_1,KM2,EFA6,62.5,8,8,5,62.5,62.5,45.45454545454545,det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EUROPE,matrix_32_pos_0_1,KM3,EFA2,40,15,8,6,40,75,35.294117647058826,det_04_added_value; det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_21_rights_and_duties; det_32_own_significance
EUROPE,matrix_32_pos_0_1,KM4,EFA5,37.5,8,8,3,37.5,37.5,23.076923076923077,det_07_legal; det_08_trust; det_09_safety
EUROPE,matrix_32_pos_0_1,KM5,EFA1,87.5,8,8,7,87.5,87.5,77.77777777777777,det_01_profits; det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
EUROPE,matrix_32_pos_0_1,KM6,EFA4,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_26_novelty; det_27_fun
EUROPE,matrix_32_ext_0_1,KM1,EFA6,77.77777777777777,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
EUROPE,matrix_32_ext_0_1,KM2,EFA3,42.857142857142854,14,8,6,42.857142857142854,75,37.5,det_03_risk_profile; det_08_trust; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EUROPE,matrix_32_ext_0_1,KM3,EFA4,62.5,8,8,5,62.5,62.5,45.45454545454545,det_08_trust; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment
EUROPE,matrix_32_ext_0_1,KM4,EFA5,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_14_environmental_concerns; det_22_peer_pressure
EUROPE,matrix_32_ext_0_1,KM5,EFA1,12.5,8,8,1,12.5,12.5,6.666666666666667,det_02_credit_score
EUROPE,matrix_32_ext_0_1,KM6,EFA2,53.333333333333336,15,8,8,53.333333333333336,100,53.333333333333336,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_20_coziness
EUROPE,matrix_32_z_abs,KM1,EFA2,100,8,8,8,100,100,100,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
EUROPE,matrix_32_z_abs,KM2,EFA6,36.36363636363637,11,8,4,36.36363636363637,50,26.666666666666668,det_01_profits; det_02_credit_score; det_07_legal; det_21_rights_and_duties
EUROPE,matrix_32_z_abs,KM3,EFA3,60,10,8,6,60,75,50,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_17_adherence; det_23_support; det_32_own_significance
EUROPE,matrix_32_z_abs,KM4,EFA1,46.666666666666664,15,8,7,46.666666666666664,87.5,43.75,det_01_profits; det_02_credit_score; det_05_frugality; det_25_agreement; det_26_novelty; det_27_fun; det_32_own_significance
EUROPE,matrix_32_z_abs,KM5,EFA4,75,8,8,6,75,75,60,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing; det_20_coziness
EUROPE,matrix_32_z_abs,KM6,EFA5,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy
LATAM,matrix_32_raw_0_1,KM1,EFA3,6.666666666666667,15,8,1,6.666666666666667,12.5,4.545454545454546,det_18_autonomy
LATAM,matrix_32_raw_0_1,KM2,EFA6,53.84615384615385,13,8,7,53.84615384615385,87.5,50,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
LATAM,matrix_32_raw_0_1,KM3,EFA1,12.5,8,8,1,12.5,12.5,6.666666666666667,det_13_technical_fit
LATAM,matrix_32_raw_0_1,KM4,EFA4,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_15_self_satisfaction
