analysis_sample,matrix_name,matrix,greedy_d_strategy,greedy_h,weighting,n_kmeans_prototypes,min_kmeans_signature_size,max_kmeans_signature_size,n_efa_factors,efa_top_n_determinants,n_valid_efa_bootstraps,efa_reference_bootstrap,mean_efa_alignment_similarity,median_efa_alignment_similarity,mean_kmeans_efa_similarity,median_kmeans_efa_similarity,min_kmeans_efa_similarity,max_kmeans_efa_similarity,n_kmeans_efa_matches_ge_75,mean_best_kmeans_expert_jaccard,max_best_kmeans_expert_jaccard,mean_best_efa_expert_jaccard,max_best_efa_expert_jaccard,coverage_after_6_prototypes
LATAM,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,84,72.41666666666667,75,41.93019943019943,50,7.6923076923076925,75,1,39.61131461131461,50,30.017575017575016,44.44444444444444,83.46252976190162
LATAM,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,32,68.41666666666667,75,48.657407407407405,50,26.666666666666668,62.5,0,31.44101770262761,41.666666666666664,31.939492968904734,54.54545454545455,26.314970238093224
DIEGO,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,22,51.97916666666667,50,43.09116809116809,42.22222222222222,30.76923076923077,60,0,41.12064921662445,47.05882352941177,38.87085137085137,55.55555555555556,27.924315476185328
DIEGO,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,77,48.333333333333336,50,42.08333333333333,44.166666666666664,0,75,1,47.81424715635242,75,37.91208791208791,55.55555555555556,56.74476190475709
DIEGO,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,58,42.020833333333336,37.5,39.707329707329706,40.4040404040404,26.666666666666668,50,0,34.12217412217412,55.55555555555556,24.197790227201992,40,3.887410714284724
DIEGO,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,100,99,42.10416666666667,37.5,39.517195767195766,36.60714285714286,33.333333333333336,55.55555555555556,0,26.96969696969697,33.333333333333336,27.332389832389833,42.857142857142854,3.0413392857134993
RENOVISOR,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,30,81.125,87.5,39.520757020757024,34.523809523809526,20,87.5,1,45.6209912092265,54.54545454545455,32.694342694342694,44.44444444444444,83.22345238095026
RENOVISOR,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,22,71.27083333333334,75,42.68518518518518,45.55555555555556,0,75,1,52.64043948254475,63.63636363636363,34.7551495345613,44.44444444444444,95.1441369047609
RENOVISOR,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,85,66.91666666666666,62.5,42.06196581196581,35.41666666666667,20,75,1,48.24532085561497,69.23076923076923,31.583231583231584,44.44444444444444,80.65139880952381
RENOVISOR,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,68,69.625,75,56.051587301587304,53.57142857142857,33.333333333333336,87.5,2,33.48016505911243,44.44444444444444,32.50841750841751,44.44444444444444,33.67220238095123
WHY_EUROPE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,32,63.20833333333333,62.5,38.13746438746439,34.13461538461539,13.333333333333334,62.5,0,43.80718954248366,69.23076923076923,31.512142541554308,54.54545454545455,78.84080357142655
WHY_EUROPE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,32,59.29166666666667,62.5,39.49786324786325,43.07692307692308,0,75,1,49.31393497569968,68.75,31.13335466276643,44.44444444444444,90.71461309523704
WHY_EUROPE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,13,6,8,100,46,56.52083333333333,50,44.355413105413106,41.66666666666667,22.22222222222222,87.5,1,45.71160321160321,75,29.57657810598987,55.55555555555556,64.09375000000057
WHY_EUROPE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,6,50.91666666666666,50,40.833333333333336,43.75,20,62.5,0,38.32371332371332,54.54545454545455,31.798800328212092,44.44444444444444,5.821339285713914
WHY_LATAM,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,45,79.375,87.5,35.324074074074076,40.97222222222222,8.333333333333334,58.333333333333336,0,40.51180301180301,50,27.928226457638225,44.44444444444444,93.47651785714032
WHY_LATAM,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,100,84,75.8125,75,39.08730158730159,42.26190476190476,0,87.5,1,49.10130718954248,66.66666666666667,29.665704665704666,44.44444444444444,95.88053571428584
WHY_LATAM,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,84,72.41666666666667,75,40.74074074074074,35,11.11111111111111,75,2,43.716931216931215,60,29.223924223924225,44.44444444444444,83.66916666666368
WHY_LATAM,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,32,68.39583333333333,75,49.67592592592592,52.77777777777778,12.5,75,1,35.52036199095023,41.666666666666664,31.939492968904734,54.54545454545455,22.81244047618821
