"archetype_id","cluster"
1660,1
1663,1
1666,1
1667,1
1668,1
1670,1
1673,1
1674,1
1676,1
1677,1
1680,1
1681,1
1684,1
1685,1
1686,1
1687,1
1690,1
1691,1
1693,1
1699,1
1704,1
1707,1
1708,1
1709,1
1710,1
1712,1
1714,1
1715,1
1718,1
1722,1
1727,1
1731,1
1732,1
1733,1
1734,1
1739,1
1741,1
1743,1
1746,1
1748,1
1750,1
1751,1
1752,1
1755,1
1760,1
1764,1
1766,1
1770,1
1771,1
1772,1
1776,1
1778,1
1782,1
1783,1
1785,1
1787,1
1788,1
1789,1
1795,1
1797,1
1798,1
1799,1
1800,1
1802,1
1803,1
1804,1
1806,1
1810,1
1813,1
1821,1
1822,1
1824,1
1826,1
1827,1
1830,1
1832,1
1836,1
1838,1
1840,1
1843,1
1845,1
1847,1
1848,1
1849,1
1854,1
1857,1
1860,1
1861,1
1863,1
1865,1
1866,1
1868,1
1869,1
1871,1
1872,1
1876,1
1877,1
1881,1
1883,1
1885,1
1888,1
1890,1
1893,1
1894,1
1895,1
1896,1
1898,1
1899,1
1900,1
1902,1
1905,1
1906,1
1908,1
1909,1
1914,1
1916,1
1918,1
1919,1
1922,1
1923,1
1927,1
1930,1
1932,1
1933,1
1934,1
1935,1
1937,1
1939,1
1940,1
1943,1
1944,1
1947,1
1948,1
1949,1
1953,1
1956,1
1960,1
1964,1
1966,1
1968,1
1969,1
1970,1
1971,1
1977,1
1978,1
1982,1
1986,1
1988,1
1991,1
1992,1
1995,1
1996,1
2009,1
2016,1
2020,1
2021,1
2022,1
2025,1
2027,1
2031,1
2032,1
2033,1
2034,1
2036,1
2039,1
2040,1
2042,1
2044,1
2045,1
2047,1
2050,1
2051,1
2057,1
2061,1
2067,1
2068,1
2070,1
2072,1
2081,1
2082,1
2083,1
2084,1
2086,1
2087,1
2088,1
2092,1
2093,1
2094,1
2095,1
2098,1
2099,1
2100,1
2103,1
2104,1
2105,1
2107,1
2108,1
2109,1
2114,1
2117,1
2120,1
2122,1
2123,1
2124,1
2125,1
2130,1
2133,1
2136,1
2139,1
2145,1
2146,1
2151,1
2152,1
2154,1
2156,1
2159,1
2164,1
2166,1
2167,1
2168,1
2170,1
2171,1
2173,1
2179,1
2183,1
2186,1
2189,1
2193,1
2194,1
2195,1
2200,1
2201,1
2204,1
2206,1
2208,1
2209,1
2213,1
2215,1
2216,1
2224,1
2226,1
2230,1
2232,1
2236,1
2239,1
2241,1
2242,1
2254,1
2255,1
2256,1
2259,1
2262,1
2263,1
2264,1
2266,1
2268,1
2269,1
2271,1
2274,1
2276,1
2281,1
2282,1
2286,1
2288,1
2293,1
2299,1
2300,1
2301,1
2303,1
2306,1
2307,1
2309,1
2311,1
2320,1
2322,1
2325,1
2329,1
2332,1
2336,1
2342,1
2343,1
2348,1
2349,1
2353,1
2355,1
2359,1
2360,1
2361,1
2363,1
2365,1
2366,1
2367,1
2369,1
2377,1
2385,1
2388,1
2391,1
2393,1
2398,1
2399,1
2400,1
2405,1
2407,1
2408,1
2409,1
2411,1
2415,1
2420,1
2421,1
2423,1
2424,1
2427,1
2430,1
2431,1
2439,1
2440,1
2441,1
2444,1
2450,1
2455,1
2463,1
2467,1
2469,1
2471,1
2477,1
2479,1
2480,1
2485,1
2488,1
2490,1
2493,1
2494,1
2496,1
2504,1
2506,1
2507,1
2508,1
2511,1
2512,1
2514,1
2515,1
2516,1
2517,1
2519,1
2522,1
2525,1
2531,1
2533,1
2534,1
2541,1
2545,1
2547,1
2549,1
2552,1
2554,1
2557,1
2559,1
2561,1
2562,1
2563,1
2564,1
2565,1
2569,1
2574,1
2580,1
2583,1
2586,1
2588,1
2589,1
2592,1
2596,1
2598,1
2601,1
2603,1
2604,1
2605,1
2607,1
2611,1
2614,1
2617,1
2621,1
2623,1
2625,1
2626,1
2627,1
2628,1
2630,1
2633,1
2638,1
2644,1
2647,1
2650,1
2651,1
2655,1
2656,1
2658,1
2661,1
