integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
25,rv__5a2310ebdf5bd00001b37474,rv,concerns2;decision,PL,PL,35_44,female,employed,usable_partial,TRUE,TRUE,31,17,83,60,62,51,64,76,90,88,93,81,70,60,85,70,60,80,79,63,50,93,10,46,4,4,49,18,7,16,11,7,55
26,rv__5a2dbc92e2032600017f4b1d,rv,decision,DE,DE,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,8,69,33,32,41,0,57,59,19,76,60,29,60,20,80,55,62,40,85,64,59,18,9,10,54,52,24,0,20,15,3,57
27,rv__5abb9bcff69e940001d9171e,rv,decision;energy_crisis,PL,PL,18_24,female,employed,usable_complete,TRUE,TRUE,32,100,100,100,79,100,76,100,100,100,100,100,100,100,78,100,100,100,76,100,100,100,52,55,27,68,60,72,68,65,52,57,100
29,rv__5aeb24e22bd17300018779f2,rv,decision,EE,OTHER_COUNTRIES,25_34,female,employed,usable_complete,TRUE,TRUE,32,51,100,62,28,76,51,61,61,51,58,56,80,64,44,89,53,37,19,55,63,57,40,43,55,56,9,71,58,45,53,46,92
30,rv__5af6e439672ea800010d4e92,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,100,0,80,70,100,25,100,100,20,100,75,100,100,15,100,100,100,100,35,30,40,0,0,0,0,20,10,0,0,0,0,20
31,rv__5b0710e7a84dcf0001beee8a,rv,decision,GB,GB,55_64,female,employed,usable_complete,TRUE,TRUE,32,85,94,91,76,82,25,35,55,43,84,74,57,87,52,65,58,60,61,73,66,66,34,11,16,69,40,4,39,56,17,37,37
32,rv__5b0f27321e55760001b9a8a5,rv,decision,GB,GB,45_54,female,employed,usable_partial,TRUE,TRUE,31,61,81,26,62,62,81,92,57,66,91,80,77,65,75,68,71,73,65,91,85,79,10,58,14,75,50,67,14,24,12,17,67
35,rv__5b3f242f9c2ec600014ef9fc,rv,decision,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,100,75,75,100,100,25,75,80,100,85,100,60,55,35,70,70,80,90,100,100,60,60,65,10,75,60,3,0,0,40,5,40
36,rv__5b472672d4c93b00019bbc49,rv,decision,GB,GB,25_34,male,employed,usable_complete,TRUE,TRUE,32,78,70,79,58,40,90,70,88,90,60,95,25,85,91,55,80,90,72,64,80,35,0,67,0,60,65,17,0,0,0,0,60
37,rv__5b55c6a2e173e60001963940,rv,decision,CH,CH,25_34,male,student,usable_partial,TRUE,TRUE,31,100,100,90,95,90,90,100,100,100,90,90,85,90,90,80,90,90,100,90,100,100,85,90,75,100,85,80,90,50,85,80,95
38,rv__5b648251bd56550001bf31fd,rv,decision,DE,DE,55_64,female,employed,usable_complete,TRUE,TRUE,32,90,25,100,40,90,60,85,90,80,100,90,100,55,65,100,90,80,59,100,70,70,0,45,15,35,20,15,0,15,0,10,65
39,rv__5b681788ca518a0001c7a755,rv,decision,GB,GB,45_54,male,employed,usable_complete,TRUE,TRUE,32,17,14,78,77,100,91,100,100,75,81,95,83,100,91,80,100,95,78,74,82,81,0,84,0,100,21,0,0,0,62,0,76
45,rv__5bafd12a70f8df0001be84a7,rv,decision,PL,PL,35_44,male,employed,usable_complete,TRUE,TRUE,32,60,80,85,95,67,90,100,85,100,95,100,85,95,90,95,95,95,90,98,98,100,25,25,25,30,70,51,51,60,30,35,90
47,rv__5bf3199ebe7c7300017b710a,rv,decision,DE,DE,35_44,male,employed,usable_complete,TRUE,TRUE,32,89,25,70,35,80,57,84,58,59,88,85,88,86,42,86,79,74,60,68,67,66,47,35,80,47,74,32,16,35,14,80,19
49,rv__5c18daaae467040001e68fc4,rv,decision,GB,GB,35_44,female,employed,usable_partial,TRUE,TRUE,31,85,66,90,100,74,35,70,90,75,50,100,75,75,50,70,78,65,85,70,40,60,6,15,1,80,20,50,0,40,0,0,50
51,rv__5c3a139774d1c6000138da11,rv,decision,GB,GB,35_44,male,employed,usable_complete,TRUE,TRUE,32,29,38,92,59,88,64,24,23,70,62,47,72,100,100,58,86,27,21,100,75,100,100,99,50,74,60,54,75,49,50,80,46
52,rv__5c4d8d706b23ab0001a34af2,rv,decision,GB,GB,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,85,80,25,10,94,0,100,80,80,93,85,85,50,20,75,65,63,10,14,35,100,0,0,0,98,0,0,0,3,0,2,80
56,rv__5c59ceb27e554c0001257ff4,rv,decision,HU,HU,25_34,female,employed,usable_complete,TRUE,TRUE,32,73,100,96,90,60,89,100,88,65,79,91,62,82,86,70,68,86,38,77,68,87,19,42,6,100,39,26,10,11,19,0,18
58,rv__5c609a727557640001f516c5,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,58,31,76,79,75,76,48,50,50,62,37,48,49,71,84,70,81,46,84,65,69,13,28,27,47,23,20,25,24,26,72,51
59,rv__5c66cc9246bfc200019044b8,rv,decision,HU,HU,35_44,unknown,employed,usable_complete_limited_metadata,TRUE,TRUE,32,40,70,100,65,80,60,100,100,100,100,100,55,90,60,85,100,100,90,100,85,100,30,100,55,100,0,50,20,0,25,70,50
64,rv__5c8ec442bda58f00125002a3,rv,decision,GB,GB,25_34,male,employed,usable_complete,TRUE,TRUE,32,75,94,26,0,16,0,100,25,50,92,100,0,100,5,100,35,70,19,61,51,100,14,0,0,10,16,10,0,0,0,0,0
66,rv__5cadbee8470c560001de5739,rv,decision,GB,GB,45_54,male,student,usable_complete,TRUE,TRUE,32,69,99,97,11,80,0,16,75,15,88,65,81,95,3,84,56,64,52,100,40,60,25,0,0,51,53,15,5,0,0,0,32
69,rv__5cd53d40aeb4100001c18aa8,rv,decision,IT,IT,35_44,female,employed,usable_partial,TRUE,TRUE,31,31,39,59,50,72,78,81,88,59,56,82,81,80,86,79,59,54,44,58,57,65,22,70,11,24,55,26,40,25,43,14,59
71,rv__5ce9462a90bfb10015ab205c,rv,decision,GR,GR,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,20,100,85,15,70,90,85,95,100,86,92,100,40,90,70,65,66,70,81,90,80,11,60,10,80,20,11,0,15,0,10,60
73,rv__5cf101ea48405a0018415d09,rv,decision,PL,PL,45_54,female,employed,usable_partial,TRUE,TRUE,30,87,19,61,4,11,50,62,82,75,61,90,60,77,61,98,64,70,70,71,100,30,14,50,11,90,66,12,17,17,18,0,100
74,rv__5cf510ccb0bafb00161ffd56,rv,decision,GB,GB,25_34,female,employed,usable_partial,TRUE,TRUE,31,100,39,73,70,40,64,47,80,85,63,51,64,79,66,74,62,78,64,71,63,66,77,41,18,59,50,23,17,39,35,38,67
75,rv__5cfc3dfaceb2d50019394664,rv,decision,GR,GR,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,64,81,61,51,51,51,61,61,72,63,70,56,60,60,88,62,100,73,61,68,61,25,28,20,53,38,36,13,24,33,37,38
76,rv__5d00d7e1a6d3c500194518f5,rv,decision,NO,OTHER_COUNTRIES,35_44,female,employed,usable_complete,TRUE,TRUE,32,69,55,70,51,65,60,73,70,86,86,93,51,38,65,74,81,70,64,51,60,57,13,35,11,72,23,27,9,9,21,21,30
79,rv__5d1f54b95538e6001a843293,rv,decision,BE,BE,35_44,female,employed,usable_complete,TRUE,TRUE,32,36,86,38,39,83,92,86,71,87,70,81,70,87,91,96,89,92,97,90,93,78,9,62,38,54,11,31,19,15,62,13,93
80,rv__5d24b3cfa433c000166f91bf,rv,decision,DE,DE,25_34,male,employed,usable_complete,TRUE,TRUE,32,70,74,65,57,69,70,50,67,58,89,91,85,70,66,62,69,74,58,71,65,80,40,45,23,40,58,52,30,31,13,22,59
81,rv__5d3873197860c8001a106e02,rv,decision,HU,HU,35_44,male,employed,usable_partial,TRUE,TRUE,30,90,80,100,50,90,50,100,100,100,100,100,100,100,50,100,100,100,100,100,100,80,5,0,50,90,70,90,0,0,0,0,90
82,rv__5d404c6a584cc80017e81001,rv,decision,GB,GB,55_64,female,retired,usable_partial,TRUE,TRUE,31,41,67,63,68,64,82,76,82,61,83,100,67,74,50,76,72,72,80,49,49,15,19,51,0,82,16,0,0,33,30,0,22
83,rv__5d542c3a5af5900019bc80c4,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,63,72,89,65,67,80,75,74,25,86,77,85,86,82,81,81,85,61,64,56,84,55,67,17,14,13,15,8,47,8,13,72
85,rv__5d6558fa16871700012ea47b,rv,concerns2;decision;energy_crisis;poverty,SI,SI,55_64,female,employed,usable_complete,TRUE,TRUE,32,81,100,88,99,100,79,100,100,100,100,100,27,75,49,100,75,100,76,100,100,100,61,49,34,90,50,65,0,69,59,0,45
86,rv__5d6eb49ab682cc000173982b,rv,decision,GR,GR,55_64,female,unemployed,usable_complete,TRUE,TRUE,32,85,76,77,57,60,75,100,100,99,100,100,87,98,79,99,100,74,82,100,93,100,78,65,68,57,99,31,37,61,63,76,58
88,rv__5d776e218a8d1d00166d36a6,rv,decision,GB,GB,35_44,male,employed,usable_complete,TRUE,TRUE,32,61,74,69,60,46,41,100,37,77,69,61,75,73,100,80,70,71,61,60,60,100,0,40,54,0,54,28,71,63,45,0,41
91,rv__5d7e41aea60f7b00013cf1af,rv,decision,PL,PL,25_34,female,employed,usable_complete,TRUE,TRUE,32,60,56,95,72,82,45,66,89,89,70,76,57,67,51,89,87,85,56,55,100,53,27,12,36,62,58,26,27,1,52,6,53
92,rv__5d8878251f684d0001737c56,rv,decision,GB,GB,45_54,female,other,usable_partial,TRUE,TRUE,31,68,79,73,18,24,35,96,84,77,68,90,73,79,41,78,73,51,40,77,75,69,21,18,32,84,45,50,10,49,19,28,56
96,rv__5daae19f8a06b60016d1bc32,rv,decision,IT,IT,35_44,female,employed,usable_complete,TRUE,TRUE,32,35,100,50,50,50,75,50,25,30,100,100,0,100,100,80,70,100,40,75,50,15,0,0,0,70,15,20,0,0,0,0,90
97,rv__5db643d245c296000bdf256b,rv,decision,PT,PT,25_34,male,employed,usable_complete,TRUE,TRUE,32,60,67,22,51,19,76,64,81,70,70,78,65,56,72,70,69,84,66,88,83,76,53,66,82,79,26,78,10,20,15,54,51
99,rv__5dde680c40460edc4a5dc1a2,rv,decision,CZ,CZ,35_44,female,employed,usable_complete,TRUE,TRUE,32,64,63,74,65,91,75,87,100,49,98,99,63,40,97,86,61,88,52,72,34,91,0,73,0,14,13,0,0,0,2,1,11
101,rv__5dea7920381d631928f04be5,rv,decision,FR,FR,35_44,female,employed,usable_complete,TRUE,TRUE,32,55,80,65,60,70,80,60,75,70,85,75,75,80,80,65,70,70,100,35,55,75,0,25,25,25,35,55,0,0,0,0,80
103,rv__5e06667850221303e42bdfc4,rv,decision,CZ,CZ,25_34,male,employed,usable_complete,TRUE,TRUE,32,100,64,76,80,75,0,44,72,39,100,81,58,74,0,76,83,71,75,83,76,39,17,31,11,55,23,20,33,20,25,42,28
104,rv__5e1f3d1426d9742781af7332,rv,decision,DE,DE,25_34,female,student,usable_partial,TRUE,TRUE,31,65,15,75,60,40,60,95,85,60,75,90,90,90,50,80,60,75,60,60,60,70,20,60,5,50,20,75,10,30,5,15,60
105,rv__5e35394d2149184e1a3d0450,rv,decision,GB,GB,25_34,female,employed,usable_partial,TRUE,TRUE,31,20,26,36,44,35,83,89,21,89,57,61,50,49,81,36,83,87,38,60,40,82,0,41,0,53,11,22,0,0,15,0,65
107,rv__5e440e4f19962228cf949247,rv,decision,FR,FR,35_44,male,employed,usable_complete,TRUE,TRUE,32,70,25,85,55,55,35,75,70,100,90,85,45,90,70,100,60,100,75,80,80,60,35,45,20,65,40,45,0,20,20,10,80
108,rv__5e4f73d0ca55663b5b9d18b0,rv,decision,FR,FR,45_54,female,employed,usable_complete,TRUE,TRUE,32,48,55,85,75,40,39,96,65,100,75,80,40,65,53,45,60,68,45,70,55,60,56,38,5,75,42,1,5,8,6,10,52
111,rv__5e5cc9ce92d80948da643ebc,rv,decision,IT,IT,35_44,female,employed,usable_complete,TRUE,TRUE,32,66,65,65,66,70,57,86,54,93,86,69,40,91,72,95,75,77,73,92,83,53,14,46,0,5,15,4,0,19,7,0,69
112,rv__5e6e14f53c76d23b934a67f3,rv,decision,IT,IT,25_34,female,student,usable_complete,TRUE,TRUE,32,76,83,57,35,92,57,88,53,67,89,89,60,66,72,70,63,61,20,90,60,90,18,50,30,66,55,19,12,10,14,25,25
114,rv__5e8244d17412d49657c3e6d8,rv,decision,DE,DE,35_44,male,employed,usable_complete,TRUE,TRUE,32,65,58,56,59,76,64,53,70,68,78,88,75,76,65,56,73,66,65,53,53,40,23,27,24,26,55,37,19,20,23,26,21
115,rv__5e86116068b86421a020e345,rv,decision,PT,PT,25_34,female,employed,usable_complete,TRUE,TRUE,32,64,49,75,55,55,31,70,56,81,76,92,59,86,43,53,76,79,62,60,55,61,55,21,26,65,43,34,11,41,37,22,39
116,rv__5e86e0a50a340d32316afe9d,rv,decision,LV,LV,35_44,female,employed,usable_complete,TRUE,TRUE,32,91,100,75,50,55,0,18,62,28,100,100,62,89,0,77,43,38,55,50,50,50,22,26,1,23,53,59,53,22,0,24,22
117,rv__5e8b11aaa9b690000bb6ae1f,rv,concerns2;decision,PL,PL,45_54,female,employed,usable_complete,TRUE,TRUE,32,77,80,79,78,83,71,79,72,82,79,58,33,84,76,73,58,60,57,80,81,71,22,58,12,75,63,20,30,38,26,29,68
118,rv__5e8f740429529124dfc3e7a5,rv,decision,PL,PL,25_34,male,student,usable_complete,TRUE,TRUE,32,68,59,68,56,64,48,90,55,90,70,68,62,62,63,62,51,67,65,49,82,71,21,28,12,73,62,57,12,32,27,18,54
119,rv__5e92267dcc3d6c553eb8c817,rv,decision,PL,PL,25_34,male,employed,usable_partial,TRUE,TRUE,29,70,85,50,50,85,45,35,80,50,80,95,75,40,35,40,60,65,60,60,50,55,15,25,20,79,74,15,50,75,20,40,35
121,rv__5e9c3ff1cf719d151612648f,rv,concerns2;decision;energy_crisis;poverty,IT,IT,55_64,female,unknown,usable_complete,TRUE,TRUE,32,71,75,100,61,90,95,100,94,100,100,100,80,100,92,100,51,100,75,90,85,100,50,81,0,0,28,20,5,70,0,0,100
122,rv__5ea693e4c7977b01157ba82c,rv,decision,AT,AT,35_44,female,employed,usable_complete,TRUE,TRUE,32,62,74,57,33,65,0,91,83,50,100,58,33,100,72,47,66,0,0,100,100,100,58,0,0,24,18,0,0,13,0,0,0
123,rv__5ea8010daf54da1e951b8861,rv,decision,PL,PL,25_34,male,employed,usable_complete,TRUE,TRUE,32,62,65,76,87,61,35,61,44,68,73,100,28,87,73,74,79,96,68,59,84,37,28,58,13,87,40,30,9,71,16,31,25
125,rv__5eb29fdddac67500082c1089,rv,decision,GB,GB,45_54,male,other,usable_complete,TRUE,TRUE,32,94,91,86,44,100,54,73,100,80,100,98,100,92,30,100,89,86,94,100,83,36,25,28,14,100,27,39,17,54,10,21,71
126,rv__5eb71d89ed8104645e640ad7,rv,decision,GR,GR,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,43,76,44,53,60,100,100,100,62,31,100,53,100,100,63,47,56,41,66,58,100,0,40,0,0,48,0,0,0,0,0,100
128,rv__5ec96e3609117f0a67231842,rv,decision,IE,IE,55_64,male,employed,usable_complete,TRUE,TRUE,32,82,94,81,69,90,95,76,90,95,99,91,97,91,100,100,82,84,80,85,86,66,56,51,34,76,55,23,2,9,60,16,21
129,rv__5eda1423dd2241017d85fd44,rv,decision,FI,FI,25_34,male,employed,usable_complete,TRUE,TRUE,32,40,80,70,75,70,95,95,80,70,75,85,75,65,95,60,75,80,65,65,60,90,15,55,30,90,70,60,20,15,20,30,55
130,rv__5ee93e0226f9f0167b877dbe,rv,decision,GB,GB,25_34,male,employed,usable_complete,TRUE,TRUE,32,36,66,69,63,40,70,62,35,37,65,65,70,39,60,32,66,57,35,68,24,66,27,64,64,67,61,38,32,62,65,62,37
131,rv__5eff6065cc8d32014292657f,rv,decision,GB,GB,35_44,female,employed,usable_partial,TRUE,TRUE,30,35,90,64,50,50,30,85,85,80,50,81,82,85,84,90,50,70,90,80,20,70,0,75,0,7,10,10,0,0,0,0,80
133,rv__5f01b7e94738d231487f2911,rv,decision,CZ,CZ,35_44,male,employed,usable_complete,TRUE,TRUE,32,60,80,80,60,90,40,40,90,100,90,100,75,100,30,55,40,90,70,70,60,70,30,30,20,25,30,90,15,40,35,30,15
135,rv__5f10d13957b4763f401690e5,rv,decision,GB,GB,35_44,female,employed,usable_complete,TRUE,TRUE,32,80,100,100,80,100,100,100,100,100,100,80,0,100,80,100,100,100,50,100,100,100,0,60,100,100,60,0,0,100,30,0,100
137,rv__5f21ff288900cb4709dd49aa,rv,decision,IT,IT,65_plus,female,employed,usable_complete,TRUE,TRUE,32,79,77,84,75,78,86,87,85,90,88,92,86,83,85,76,80,84,84,91,82,86,40,87,63,72,66,69,67,71,54,66,66
138,rv__5f280cc370354e08a8f2895c,rv,decision,GB,GB,45_54,female,other,usable_complete,TRUE,TRUE,32,80,20,100,75,80,50,100,100,50,100,100,90,100,60,90,100,90,80,80,85,100,2,20,25,100,60,70,0,0,0,0,25
139,rv__5f2af36061a10a452cd8dc4e,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,100,99,66,0,0,0,61,58,89,95,100,82,62,13,99,92,85,67,90,90,1,66,9,3,65,57,91,71,78,57,67,80
140,rv__5f2dcc4c7989510ff7699cab,rv,decision,DK,DK,25_34,female,student,usable_partial,TRUE,TRUE,31,30,40,80,30,50,100,100,60,65,50,100,70,86,100,30,100,70,100,0,30,100,0,0,80,10,50,100,0,0,20,0,100
142,rv__5f4c175e219f12824882c23d,rv,decision,PL,PL,18_24,male,student,usable_complete,TRUE,TRUE,32,85,70,80,90,85,70,100,80,80,100,90,80,80,75,75,65,90,80,75,65,100,20,60,30,75,40,69,0,10,10,0,80
143,rv__5f4d6c27b03547a378fcb44a,rv,decision,GR,GR,25_34,female,employed,usable_complete,TRUE,TRUE,32,60,65,65,70,85,91,76,80,65,90,65,81,76,80,80,60,79,80,55,91,80,30,60,19,65,29,30,0,25,15,30,60
144,rv__5f5b1fe3c6a95e22e2af8908,rv,decision,GB,GB,55_64,female,employed,usable_complete,TRUE,TRUE,32,30,60,70,30,80,42,60,60,65,80,70,60,55,30,65,70,60,10,70,70,40,20,30,10,60,30,45,10,10,10,10,56
146,rv__5f632ea32e85353d93872c67,rv,decision;energy_crisis,HU,HU,25_34,male,unknown,usable_complete,TRUE,TRUE,32,53,100,45,73,30,40,89,82,43,72,72,81,65,40,76,65,80,50,58,73,67,65,37,48,89,14,84,15,34,16,56,57
147,rv__5f6cd5ce1758e90f12ae1123,rv,decision,PT,PT,25_34,male,employed,usable_complete,TRUE,TRUE,32,45,60,58,53,25,44,65,55,60,70,80,52,67,45,80,61,75,65,69,85,45,30,44,20,80,55,50,20,50,30,15,57
150,rv__5f8c0f0018ada633f6d834e9,rv,decision,GR,GR,35_44,male,employed,usable_partial,TRUE,TRUE,31,80,100,75,50,90,65,100,70,75,100,90,55,50,50,50,50,100,75,80,70,100,0,0,0,80,25,0,0,0,0,0,20
151,rv__5f92f97ed0f407056dfd3268,rv,decision,FR,FR,25_34,male,employed,usable_complete,TRUE,TRUE,32,61,39,34,33,66,36,72,47,63,35,38,68,67,67,29,69,31,61,76,66,67,65,68,68,77,63,55,76,42,55,67,65
153,rv__5fa7c31cb18ef755c9d84b5a,rv,decision,GR,GR,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,61,79,63,42,65,62,50,85,58,73,73,29,70,65,58,72,71,52,40,64,63,58,50,28,59,29,55,19,2,30,33,57
154,rv__5fabbdb69389ea01dd402172,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,60,40,90,50,50,70,75,70,78,77,80,50,80,74,30,57,80,80,70,50,100,60,50,30,70,50,50,20,0,20,50,30
155,rv__5fb2d087a956be967181e2d1,rv,decision,PL,PL,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,40,85,65,90,95,97,40,65,60,95,60,75,70,90,75,70,70,75,70,70,65,45,45,10,60,35,70,35,30,60,20,80
156,rv__5fbbc75f884010d82bf37532,rv,decision;energy_crisis;poverty,PL,PL,25_34,male,unknown,usable_complete,TRUE,TRUE,32,77,63,32,77,61,79,100,82,83,80,78,62,81,71,30,60,32,33,30,60,85,13,59,19,86,26,17,15,18,19,20,33
158,rv__5fd2adf66655bf09907c7056,rv,decision,NL,NL,25_34,male,employed,usable_partial,TRUE,TRUE,31,20,90,40,50,30,55,70,100,50,75,100,55,70,70,35,70,20,20,50,40,70,0,20,0,60,60,0,0,0,0,0,60
159,rv__5fe328a0a53c57f645dc0b19,rv,decision;energy_crisis;poverty,IT,IT,35_44,male,unknown,usable_complete,TRUE,TRUE,32,81,70,86,61,40,90,89,66,61,63,75,80,39,61,72,74,66,70,67,74,70,28,29,0,29,63,36,9,40,17,9,66
161,rv__600a9ab59e9b701db49fbec1,rv,decision,PT,PT,25_34,male,employed,usable_complete,TRUE,TRUE,32,64,88,71,49,62,63,77,100,74,75,70,49,71,81,74,71,75,70,73,73,67,31,38,28,70,25,66,33,27,30,36,48
162,rv__600c1969c144272a8e7edb05,rv,decision,FR,FR,45_54,male,employed,usable_complete,TRUE,TRUE,32,80,50,70,11,80,85,85,80,75,90,90,80,90,70,95,25,80,70,80,80,80,20,35,0,90,20,10,0,20,0,0,20
164,rv__60154af277ec314fd8fe1449,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,49,40,39,79,76,84,76,69,88,75,65,71,74,79,76,69,67,83,83,76,60,66,86,67,72,39,74,59,28,37,68,72
165,rv__60245c7c3df42d131232cedb,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,60,94,90,24,61,90,84,91,37,80,90,49,99,75,72,75,90,75,61,59,61,25,10,0,0,5,3,0,7,35,6,14
166,rv__602b2d3fb9bd922649dcb9c5,rv,decision,GR,GR,18_24,female,employed,usable_complete,TRUE,TRUE,32,41,34,74,51,35,71,70,41,66,63,84,27,33,71,63,70,66,35,61,53,55,23,73,18,68,72,62,20,21,20,30,56
168,rv__602fe67919eaccd752eea5a5,rv,decision,PT,PT,25_34,female,employed,usable_complete,TRUE,TRUE,32,80,65,73,72,50,69,81,75,79,69,65,73,85,56,65,70,73,73,77,85,74,30,74,31,60,45,43,60,28,28,35,67
169,rv__6034e1952ed073efce57a8a7,rv,decision,GR,GR,25_34,male,employed,usable_complete,TRUE,TRUE,32,79,69,32,43,76,71,78,77,74,72,77,72,84,66,78,74,78,69,73,59,53,8,24,12,70,67,9,18,22,22,7,10
170,rv__603a293ee62ae15da2674441,rv,decision,PL,PL,18_24,male,student,usable_complete,TRUE,TRUE,32,67,83,73,41,75,67,82,67,68,70,81,75,69,77,74,23,74,70,80,59,62,37,39,42,63,84,37,33,35,24,29,30
171,rv__60456799ca80066961f3fa3c,rv,decision,PT,PT,25_34,female,employed,usable_complete,TRUE,TRUE,32,35,30,59,60,35,45,55,68,60,65,60,70,80,40,60,63,61,65,70,83,85,55,30,34,70,30,71,55,35,20,30,37
172,rv__604dedd2805fe682c5bc51c0,rv,decision,HU,HU,35_44,female,employed,usable_complete,TRUE,TRUE,32,60,57,55,40,44,40,73,62,56,60,58,67,61,39,59,61,76,44,55,56,81,41,36,27,58,53,36,27,25,34,30,59
174,rv__6058cb3a85a0e6ac773f0de2,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,95,85,50,70,95,57,82,88,100,100,90,80,80,56,90,100,60,97,100,95,71,18,60,31,92,50,70,1,57,70,14,90
175,rv__605ab9d5c01d0b0fc69930c5,rv,decision,GB,GB,35_44,male,employed,usable_complete,TRUE,TRUE,32,59,36,62,64,53,73,80,74,67,77,81,65,63,76,37,76,58,60,64,45,62,18,35,39,35,53,36,16,16,15,21,73
