integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_financial,dim_security,dim_competence,dim_autonomy,dim_physiological,dim_relatedness,dim_stimulation,dim_popularity,dim_meaning
2708,diego__diego_489,diego,Survey_September2023_cleaned,IT,IT,18_24,male,student,usable_complete,TRUE,TRUE,32,0.8109047365534503,0.9055870286181301,0.811972518124473,0.6978569735906597,0.5,0.5974361526917941,0.7156195015255142,0.5424029776754022,0.8584368309421979
2709,diego__diego_490,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5,0.6505631244432485,0.6303078790122627,0.6003121816096995,0.5599108229915308,0.5912739852931121,0.7889107564273543,0.5370706564101697,0.6131104694560704
2710,diego__diego_491,diego,Survey_September2023_cleaned,IT,IT,25_34,female,student,usable_complete,TRUE,TRUE,32,0.5551112154114131,0.7216825924045661,0.688527125350133,0.7397671591279946,0.7828213616363546,0.6493727252255475,0.6822215965291127,0.5,0.810722960775425
2711,diego__diego_492,diego,Survey_September2023_cleaned,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.671238438087799,0.5844167219515541,0.6299863465514643,0.6317870151430635,0.8086944569855845,0.5923595784370925,0.6572631808056382,0.5794217746625285,0.6161583172415946
2712,diego__diego_493,diego,Survey_September2023_cleaned,IT,IT,18_24,female,employed,usable_complete,TRUE,TRUE,32,0.6281548352673371,0.575202451083284,0.876248903241639,0.7098345791759982,0.9431063632808753,0.6731621930641223,0.7907989413689605,0.6756578563021296,0.6071914823877721
2713,diego__diego_494,diego,Survey_September2023_cleaned,GR,GR,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.6345638224815298,0.6570679896867696,0.6308287740435969,0.6473102100214135,0.5,0.6365781630951617,0.5283130727490652,0.624516053664862,0.7692693370252822
2714,diego__diego_495,diego,Survey_September2023_cleaned,IT,IT,18_24,male,student,usable_complete,TRUE,TRUE,32,0.6029018214077038,0.6336116124805031,0.5347888794591628,0.6943370569657457,0.7563934694557635,0.6947535029709203,0.5356585401951548,0.5,0.5
2715,diego__diego_496,diego,Survey_September2023_cleaned,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.6148340610073395,0.6846206692289661,0.7223900062264845,0.8023590324305547,0.6193263747813428,0.6261239055798831,0.5,0.595739864318586,0.861853437395984
2716,diego__diego_497,diego,Survey_September2023_cleaned,IT,IT,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.614308036489686,0.6587817510332935,0.5116334172778734,0.6151221624832248,0.9244750798524758,0.5,0.5502410552984702,0.5,0.6052283027568913
2717,diego__diego_498,diego,Survey_September2023_cleaned,ES,ES,18_24,female,student,usable_complete,TRUE,TRUE,32,0.7725230953449814,0.6940353539972873,0.7001495359276402,0.611790523854758,0.5204779114336833,0.6016847428517123,0.5306073973151133,0.5967088169940842,0.6559341084871374
2718,diego__diego_499,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.541562671585689,0.6012967175439278,0.8038215167487085,0.7396321166011773,0.5176962315027347,0.5,0.7120831529390093,0.5176970735695283,0.8679268647472137
2719,diego__diego_500,diego,Survey_September2023_cleaned,IT,IT,25_34,female,student,usable_complete,TRUE,TRUE,32,0.6339264221006016,0.6620994917257784,0.6525641810029762,0.6941498629446645,0.7371088199804243,0.6891513968283928,0.5,0.6253950254799249,0.8102370805272957
2720,diego__diego_501,diego,Survey_September2023_cleaned,GR,GR,18_24,male,student,usable_complete,TRUE,TRUE,32,0.5,0.5446432112715921,0.6461940162931981,0.7576555618201902,0.5,0.5,0.5,0.5,0.911751808485617
2721,diego__diego_502,diego,Survey_September2023_cleaned,GR,GR,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5270332727307128,0.7396544879601287,0.7642049377175324,0.7436000302852425,0.5,0.533395926712139,0.7343960254094832,0.5145704428383671,0.6204112351721943
2722,diego__diego_503,diego,Survey_September2023_cleaned,GR,GR,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.6012204971186144,0.7417094095715747,0.8057778111928626,0.8488365129878732,0.8050355654507844,0.5846206524193747,0.7813800629126082,0.6682701672881393,0.7655955739117614
2723,diego__diego_504,diego,Survey_September2023_cleaned,ES,ES,18_24,male,student,usable_complete,TRUE,TRUE,32,0.6849994287987572,0.7742948443363055,0.5726079071465682,0.6426008751678052,0.6145506584933764,0.6757131686651782,0.815108232410209,0.5881441593442446,0.8849276212296179
2724,diego__diego_505,diego,Survey_September2023_cleaned,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.6137891522548259,0.6918159507419297,0.8552908687479404,0.8090683294050467,0.6297444956689513,0.6902897165775566,0.5,0.5350593995841171,0.7973702626168135
2725,diego__diego_506,diego,Survey_September2023_cleaned,IT,IT,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.5970842343206878,0.5834839641582334,0.6712593801946485,0.6676839609616236,0.657685501834781,0.5306133251392164,0.5,0.5363336325098158,0.60713826987226
2726,diego__diego_507,diego,Survey_September2023_cleaned,GR,GR,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.6826586987032905,0.7839201417341163,0.6267930909382377,0.6012588241029411,0.5,0.715153149033972,0.5215185421589128,0.594063015505672,0.6537390982540868
2727,diego__diego_508,diego,Survey_September2023_cleaned,ES,ES,45_54,male,unemployed,usable_complete,TRUE,TRUE,32,0.5613372886835966,0.6169523662530132,0.7242550658707643,0.6338314652324976,0.6957167273415771,0.5430254555201108,0.8269094278417516,0.505284359280052,0.6972292266177309
2728,diego__diego_509,diego,Survey_September2023_cleaned,ES,ES,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5710007617173287,0.5824947458338263,0.6658796135746363,0.7180066048879793,0.5,0.5209096877892432,0.5,0.576501038734624,0.6485757325083732
2729,diego__diego_510,diego,Survey_September2023_cleaned,ES,ES,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5562263247928291,0.6603727961923666,0.7352898231160742,0.6671507043075517,0.9240817553288327,0.5449175451449539,0.5,0.5345485551166991,0.5222552442612934
2730,diego__diego_511,diego,Survey_September2023_cleaned,ES,ES,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.6227946740276096,0.8742156978953503,0.7555745247717481,0.7901086547925968,0.8760284178936393,0.5397920437166719,0.8114846079274409,0.5883714672273831,0.6574944625128831
2731,diego__diego_512,diego,Survey_September2023_cleaned,ES,ES,18_24,male,student,usable_complete,TRUE,TRUE,32,0.5956170871209016,0.6623905162924697,0.6400626076967055,0.7599529921932182,0.5,0.5583485319685015,0.6010553566818873,0.5,0.5597214445113335
2732,diego__diego_513,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5,0.578773402766547,0.5575397065229003,0.5904580083268285,0.5636900787392598,0.5315922930894589,0.9264689649024751,0.5829148518360575,0.5
2733,diego__diego_514,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5899079446333176,0.516398965854098,0.6170640632147396,0.5937730071786603,0.9084403494602984,0.6956942272475215,0.6438921555321954,0.5742419000828847,0.7570369732031988
2734,diego__diego_515,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5671542144029617,0.7416547688078835,0.7937468229074847,0.8292941807655547,0.9670198171016526,0.5809196746869135,0.7361485746895,0.7727082268800752,0.7716389669856062
2735,diego__diego_516,diego,Survey_September2023_cleaned,IT,IT,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5622957756564935,0.7004129017010987,0.6727568984659377,0.5998651322457009,0.6500237594644339,0.5008745563688596,0.5,0.5888370010510697,0.5
2736,diego__diego_517,diego,Survey_September2023_cleaned,GR,GR,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6916077738596222,0.679661063999014,0.6056103103185976,0.5927813078056885,0.5968410186142419,0.6293221000016969,0.6684132760601633,0.505974184241402,0.5993972888868871
2737,diego__diego_518,diego,Survey_September2023_cleaned,ES,ES,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.58568600875182,0.5398978111536247,0.6594765473111197,0.7235731851959184,0.5,0.6614239419040938,0.530286536261289,0.5404254893012685,0.6552399684104632
2738,diego__diego_519,diego,Survey_September2023_cleaned,IT,IT,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.6569314625736086,0.619781588144188,0.7420321216519334,0.5311398626814485,0.5173657361456843,0.6961198417283069,0.6277019529712853,0.7964482601522223,0.7538707244596772
2739,diego__diego_520,diego,Survey_September2023_cleaned,IT,IT,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5495712686349229,0.7363518396708039,0.6685109929125552,0.677226619280523,0.8708870182824295,0.5212015487874208,0.60902918076849,0.5260747781278002,0.5684175067555152
2740,diego__diego_521,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.6711184518771353,0.5867873916615042,0.6770883154290277,0.5759012001382764,0.6650973608899289,0.5824034186055854,0.6186740508103817,0.5680089422868551,0.8064416108295108
2741,diego__diego_522,diego,Survey_September2023_cleaned,GR,GR,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5877432125804993,0.6613035843056186,0.5084633953663942,0.8371599750601104,0.5236990680954314,0.5861978059620923,0.5517800518636353,0.5471137809403968,0.614589674757697
