analysis_sample,determinant,n_pos_ge_MAX,n_ext_ge_threshold,mean_raw_0_100,sd_raw_0_100,prop_pos_ge_MAX,prop_ext_ge_threshold
EUROPE,det_01_profits,2076,1673,52.07875786905682,27.199914420889865,0.5515409139213603,0.4444739638682253
EUROPE,det_02_credit_score,2222,1804,55.1248560701896,27.96310678670043,0.5903294367693943,0.47927736450584485
EUROPE,det_03_risk_profile,2523,1584,58.88653531321364,24.595167791378508,0.6702975557917109,0.4208289054197662
EUROPE,det_04_added_value,2503,1368,57.57293116711573,23.42846319258894,0.6649840595111584,0.36344314558979807
EUROPE,det_05_frugality,2097,1593,52.35829254253972,26.207341175063128,0.5571200850159405,0.42321997874601486
EUROPE,det_06_climate_protection,2436,1598,57.68594442388392,25.199271573442196,0.6471838469713072,0.42454835281615305
EUROPE,det_07_legal,2575,1714,61.32412689497452,25.7589217783725,0.6841126461211477,0.45536663124335813
EUROPE,det_08_trust,3059,1975,68.74831227540605,22.344237494851285,0.8126992561105207,0.5247077577045696
EUROPE,det_09_safety,2816,1653,63.57778101541385,23.68930402870123,0.7481402763018066,0.4391604675876727
EUROPE,det_10_cost_efficiency,3023,2058,69.28070928983936,23.17351020091634,0.803134962805526,0.546758767268863
EUROPE,det_11_knowledge,3155,2093,71.43726589264207,21.64307256177171,0.8382040382571733,0.55605738575983
EUROPE,det_12_own_competence,2614,1544,59.59812454075785,23.906528269034393,0.6944739638682252,0.410201912858661
EUROPE,det_13_technical_fit,2933,1813,66.33062883130776,23.229696678209457,0.7792242295430393,0.4816684378320935
EUROPE,det_14_environmental_concerns,2809,1706,63.66151093924659,23.47526654232116,0.7462805526036131,0.4532412327311371
EUROPE,det_15_self_satisfaction,3136,1977,69.83960238223582,21.46972394187365,0.8331562167906482,0.5252391073326249
EUROPE,det_16_commitment,3103,1721,68.0696986708483,20.623299711141843,0.8243889479277364,0.45722635494155156
EUROPE,det_17_adherence,3187,1939,70.73800231037401,20.376850570532792,0.8467056323060573,0.5151434643995749
EUROPE,det_18_autonomy,2482,1417,57.976274171033936,23.564315685906614,0.6594048884165781,0.37646121147715195
EUROPE,det_19_wellbeing,2716,1704,62.494598831240395,24.63815036353852,0.7215727948990436,0.4527098831030818
EUROPE,det_20_coziness,2477,1473,58.674285139215236,23.935278933043215,0.65807651434644,0.39133900106269925
EUROPE,det_21_rights_and_duties,2538,1573,59.6933723867577,24.618212268989378,0.6742826780021254,0.41790648246546225
EUROPE,det_22_peer_pressure,1378,1736,39.671880063694104,25.64769031625945,0.3660998937300744,0.461211477151966
EUROPE,det_23_support,1689,1492,45.71009327857745,25.29550232893423,0.4487247608926674,0.39638682252922425
EUROPE,det_24_socialising,1136,1901,36.17987067244835,25.898414138118547,0.3018065887353879,0.5050478214665249
EUROPE,det_25_agreement,1940,1629,49.71996616050537,26.649784502895997,0.5154091392136025,0.43278427205100956
EUROPE,det_26_novelty,2200,1582,53.56533073113496,26.030540485724895,0.5844845908607864,0.42029755579171096
EUROPE,det_27_fun,1886,1622,48.349370256323596,26.88678220082746,0.5010626992561105,0.43092454835281613
EUROPE,det_28_recognition,913,2113,31.621743263141386,25.546540242895645,0.24256110520722635,0.5613708820403825
EUROPE,det_29_trends,931,1955,33.066353738949594,24.163996533437253,0.2473432518597237,0.519394261424017
EUROPE,det_30_authority,1213,1721,38.004794851847905,25.48019709680883,0.3222635494155154,0.45722635494155156
EUROPE,det_31_approval,794,2126,30.137041317237287,24.35472705099012,0.21094580233793836,0.5648246546227418
EUROPE,det_32_own_significance,2542,1507,58.9801362461175,24.056445748267667,0.675345377258236,0.40037194473963866
LATAM,det_01_profits,521,325,71.91447368421052,21.57380927212473,0.8569078947368421,0.5345394736842105
LATAM,det_02_credit_score,550,380,76.64967105263159,20.712210977630917,0.9046052631578947,0.625
LATAM,det_03_risk_profile,522,280,70.15131578947367,19.712015542561698,0.8585526315789473,0.4605263157894737
LATAM,det_04_added_value,407,209,57.87171052631577,22.322187506142747,0.6694078947368421,0.34375
LATAM,det_05_frugality,392,241,59.18256578947368,24.25980788760716,0.6447368421052632,0.3963815789473684
LATAM,det_06_climate_protection,413,232,61.338815789473706,22.951715090891533,0.6792763157894737,0.3815789473684211
LATAM,det_07_legal,454,287,65.97368421052632,24.616250072327034,0.7467105263157895,0.4720394736842105
LATAM,det_08_trust,500,298,69.12664473684211,21.839056663977658,0.8223684210526315,0.4901315789473684
LATAM,det_09_safety,529,293,71.16611842105264,20.589748974495556,0.8700657894736842,0.4819078947368421
LATAM,det_10_cost_efficiency,583,426,81.82401315789473,15.965478068745174,0.9588815789473685,0.7006578947368421
LATAM,det_11_knowledge,532,392,75.70559210526318,21.329234525595282,0.875,0.6447368421052632
LATAM,det_12_own_competence,568,367,77.7532894736842,17.36368388308913,0.9342105263157895,0.6036184210526315
LATAM,det_13_technical_fit,543,318,73.91611842105264,19.13115755832284,0.8930921052631579,0.5230263157894737
LATAM,det_14_environmental_concerns,429,243,62.44736842105264,23.257965838427758,0.7055921052631579,0.3996710526315789
LATAM,det_15_self_satisfaction,572,380,77.91776315789474,17.258853381076044,0.9407894736842105,0.625
LATAM,det_16_commitment,537,320,72.35690789473685,19.826577231659716,0.8832236842105263,0.5263157894736842
LATAM,det_17_adherence,539,365,74.11842105263159,20.30401043334661,0.8865131578947368,0.600328947368421
LATAM,det_18_autonomy,521,285,69.73519736842105,19.68275434009129,0.8569078947368421,0.46875
LATAM,det_19_wellbeing,535,328,72.76480263157895,20.37035053332666,0.8799342105263158,0.5394736842105263
LATAM,det_20_coziness,476,262,65.89802631578948,21.82964135224569,0.7828947368421053,0.4309210526315789
LATAM,det_21_rights_and_duties,519,319,71.00164473684211,21.387497246675345,0.8536184210526315,0.524671052631579
LATAM,det_22_peer_pressure,261,264,42.09375,25.94035917926463,0.4292763157894737,0.4342105263157895
LATAM,det_23_support,379,227,55.345394736842124,24.55855615806439,0.6233552631578947,0.37335526315789475
LATAM,det_24_socialising,192,311,37.0131578947369,27.411558990470507,0.3157894736842105,0.5115131578947368
LATAM,det_25_agreement,364,247,55.1677631578947,26.209047074060212,0.5986842105263158,0.40625
LATAM,det_26_novelty,400,239,57.60032894736842,25.501554687697748,0.6578947368421053,0.3930921052631579
LATAM,det_27_fun,295,261,47.896381578947384,26.94256726580226,0.48519736842105265,0.4292763157894737
LATAM,det_28_recognition,205,337,37.097039473684255,29.10191359817888,0.3371710526315789,0.5542763157894737
LATAM,det_29_trends,264,273,43.2088815789474,27.18871967975881,0.4342105263157895,0.44901315789473684
LATAM,det_30_authority,250,277,42.52138157894737,27.6675284144763,0.41118421052631576,0.4555921052631579
LATAM,det_31_approval,107,376,27.008223684210517,25.108691528029045,0.17598684210526316,0.618421052631579
LATAM,det_32_own_significance,446,237,62.72368421052632,22.836990534029376,0.7335526315789473,0.38980263157894735
DIEGO,det_01_profits,742,912,43.41045003640295,27.46311664701179,0.3907319641916798,0.4802527646129542
DIEGO,det_02_credit_score,720,850,42.30224236345108,26.1897590758616,0.3791469194312796,0.4476040021063718
DIEGO,det_03_risk_profile,947,779,49.896218493383756,25.911223574069243,0.4986835176408636,0.41021590310689837
DIEGO,det_04_added_value,1214,822,57.68852707373542,25.490862960779648,0.6392838335966298,0.43285939968404424
DIEGO,det_05_frugality,748,861,43.22254509221676,26.522925332177916,0.39389152185360715,0.45339652448657186
