analysis_sample,weighting,method,matrix_name,d_det,d_hamming,n_prototypes_used,n_bootstraps,n_unique_patterns,final_covered_pct,first_prototype_covered_pct,last_prototype_increment_pct,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,radius_can_cover_any_pattern
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,6,12,100,2206,63.643095238093366,17.43690476190423,1.6399999999999522,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,8,12,100,2206,82.0466666666642,17.930952380951833,1.389285714285673,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,10,12,100,2206,96.12976190475906,19.370238095237497,0.10357142857142547,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,0,12,100,2300,9.560714285713987,1.9023809523808926,0.41999999999998683,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,2,12,100,2300,26.228095238094415,10.287380952380632,0.7285714285714057,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,4,12,100,2300,43.764761904760526,15.734047619047121,0.27547619047618177,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,6,12,100,2300,61.984285714283814,17.43333333333278,2.1128571428570777,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,8,12,100,2300,79.98119047618798,17.784047619047055,1.229047619047581,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,10,12,100,2300,93.6902380952352,19.096190476189864,0.8316666666666408,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,0,12,100,945,37.03976190476155,14.467142857142736,0.9373809523809429,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,2,12,100,945,66.03880952380885,16.36547619047605,1.7799999999999816,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,4,12,100,945,88.45523809523726,17.979761904761745,1.2107142857142739,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,6,12,100,945,97.99571428571336,19.138095238095058,0.11190476190476077,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,8,11,100,945,99.99999999999885,20.553095238095032,0.024999999999999745,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,10,6,100,945,99.999999999999,22.871904761904517,0.028571428571428276,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,0,12,100,1142,31.59880952380913,11.674047619047489,0.7271428571428481,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,2,12,100,1142,57.75738095238025,16.272619047618868,1.129999999999986,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,4,12,100,1142,85.13785714285613,17.644047619047413,1.5928571428571237,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,6,12,100,1142,95.54095238095125,18.597619047618828,1.186904761904747,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,8,12,100,1142,99.89642857142734,20.155952380952126,0.08571428571428465,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,10,7,100,1142,99.99999999999878,21.2714285714283,0.07499999999999907,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,0,12,100,1362,27.943333333332912,8.712380952380826,0.7921428571428454,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,2,12,100,1362,52.773095238094434,16.32595238095215,1.7261904761904505,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,4,12,100,1362,79.75428571428452,17.44047619047594,2.4545238095237703,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,6,12,100,1362,94.86404761904626,17.769047619047363,0.9376190476190334,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,8,12,100,1362,99.19214285714135,18.679761904761627,0.15714285714285478,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,10,8,100,1362,99.99999999999848,22.688095238094895,0.09999999999999849,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,11,0,12,100,1556,22.87023809523767,9.683333333333161,0.789999999999985,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,11,2,12,100,1556,48.929047619046706,14.845238095237832,1.0761904761904562,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,11,4,12,100,1556,74.21999999999859,17.365476190475874,1.3554761904761652,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,11,6,12,100,1556,90.94238095237925,17.90119047619015,0.617857142857131,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,11,8,12,100,1556,98.51428571428393,19.092857142856786,0.2869047619047565,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,11,10,12,100,1556,99.99999999999805,23.229285714285275,0.024999999999999526,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,12,0,12,100,1745,16.23952380952344,2.6835714285713665,0.710238095238079,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,12,2,12,100,1745,40.88047619047527,12.617142857142571,0.6138095238095098,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,12,4,12,100,1745,66.0849999999985,16.04880952380917,0.6199999999999861,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,12,6,12,100,1745,87.02714285714092,17.904761904761497,0.3907142857142769,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,12,8,12,100,1745,97.39214285714071,18.913095238094794,0.47499999999998926,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,12,10,12,100,1745,99.89642857142637,22.70857142857088,0.10357142857142622,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,13,0,12,100,1886,11.963333333333061,1.925238095238052,0.654999999999985,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,13,2,12,100,1886,39.319761904761016,8.328095238095052,1.7233333333332945,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,13,4,12,100,1886,57.86928571428439,13.307619047618747,0.7299999999999836,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,13,6,12,100,1886,81.1159523809506,16.569047619047232,1.3180952380952091,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,13,8,12,100,1886,95.5345238095216,18.46190476190431,0.7285714285714121,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,13,10,12,100,1886,99.54285714285494,20.13714285714235,0.08214285714285528,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,14,0,12,100,2044,11.45214285714259,2.6499999999999377,0.5676190476190343,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,14,2,12,100,2044,31.949523809523058,3.8499999999999086,1.6885714285713889,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,14,4,12,100,2044,55.887619047617754,6.312857142856993,2.126666666666616,28,4,12,85.71428571428571,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,14,6,12,100,2044,77.68047619047437,10.49309523809501,2.3385714285713735,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,14,8,12,100,2044,91.15880952380736,14.364523809523464,0.1523809523809488,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,14,10,12,100,2044,98.80714285714058,22.106428571428125,0.2554761904761844,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,15,0,12,100,2171,10.470476190475907,1.549999999999958,0.40857142857141737,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,15,2,12,100,2171,29.877619047618225,3.1799999999999122,0.2799999999999923,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,15,4,12,100,2171,48.8335714285701,5.888809523809359,1.0133333333333059,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,15,6,12,100,2171,72.29642857142663,11.50214285714256,0.8988095238094991,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,15,8,12,100,2171,89.6233333333309,20.803095238094677,0.9133333333333082,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,15,10,12,100,2171,98.39452380952105,28.1211904761897,0.1154761904761873,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,0,12,100,956,38.04261904761867,16.354761904761762,0.7978571428571338,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,2,12,100,956,66.43333333333264,17.690476190476033,1.5269047619047453,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,4,12,100,956,90.73428571428477,17.715476190476032,2.9178571428571094,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,6,12,100,956,98.89999999999901,18.211904761904595,0.3821428571428529,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,8,11,100,956,99.999999999999,20.823809523809306,0.024999999999999724,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,10,6,100,956,99.99999999999898,24.11428571428544,0.07857142857142771,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,0,12,100,1176,31.44119047619006,12.41357142857128,0.6899999999999906,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,2,12,100,1176,60.37880952380871,17.34404761904741,0.5299999999999929,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,4,12,100,1176,82.27119047618939,17.690476190475973,0.7499999999999899,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,6,12,100,1176,95.92261904761781,18.447619047618815,0.30904761904761485,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,8,12,100,1176,99.81785714285583,20.627380952380676,0.2571428571428536,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,10,8,100,1176,99.99999999999865,23.16928571428538,0.02499999999999966,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,0,12,100,1328,27.10928571428529,8.00309523809512,0.6399999999999902,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,2,12,100,1328,56.107142857142,16.4726190476188,1.2749999999999808,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,4,12,100,1328,77.70952380952262,17.583333333333066,4.505952380952306,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,6,12,100,1328,94.34999999999863,17.926190476190197,3.08571428571424,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,8,12,100,1328,99.20595238095092,19.46190476190445,0.04999999999999924,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,10,10,100,1328,99.9999999999985,21.85095238095201,0.02499999999999962,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,11,0,12,100,1489,22.879761904761505,6.932619047618928,0.7399999999999872,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,11,2,12,100,1489,48.291190476189634,14.03690476190452,1.2799999999999783,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,11,4,12,100,1489,72.44428571428448,17.222619047618757,1.4285714285714042,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,11,6,12,100,1489,84.39238095237954,18.076190476190163,0.1499999999999974,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,11,8,12,100,1489,98.32071428571264,20.1911904761901,0.10714285714285529,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,11,10,12,100,1489,99.92499999999829,22.538095238094808,0.049999999999999135,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,12,0,12,100,1609,19.296666666666262,4.585476190476092,0.7999999999999833,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,12,2,12,100,1609,46.28833333333237,11.857142857142605,1.2702380952380685,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,12,4,12,100,1609,65.03952380952244,16.201190476190124,1.2690476190475934,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,12,6,12,100,1609,83.02619047618876,17.647619047618658,2.324285714285666,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,12,8,12,100,1609,96.98380952380754,18.854761904761478,2.364285714285665,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,12,10,12,100,1609,99.82499999999791,21.493809523809016,0.07857142857142693,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,13,0,12,100,1761,17.93595238095194,3.6038095238094328,0.7507142857142673,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,13,2,12,100,1761,44.328333333332246,12.729285714285401,1.31142857142854,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,13,4,12,100,1761,64.65261904761748,15.961904761904366,1.2428571428571136,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,13,6,12,100,1761,83.48761904761703,17.276190476190035,1.024523809523785,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,13,8,12,100,1761,94.30761904761681,18.584523809523326,1.4816666666666314,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,13,10,12,100,1761,99.18928571428337,21.7759523809518,0.47499999999998843,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,14,0,12,100,1877,15.118809523809194,2.837619047618982,0.5723809523809399,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,14,2,12,100,1877,41.78833333333242,11.62166666666641,1.0099999999999778,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,14,4,12,100,1877,62.840952380951,16.030238095237735,1.3671428571428277,28,4,12,85.71428571428571,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,14,6,12,100,1877,77.65952380952213,17.486904761904356,2.082142857142813,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,14,8,12,100,1877,92.28238095237899,18.408333333332898,0.29404761904761256,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,14,10,12,100,1877,99.18214285714075,20.790476190475687,0.1857142857142816,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,15,0,12,100,1964,11.255714285714022,1.9999999999999525,0.5499999999999869,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,15,2,12,100,1964,33.70928571428492,2.899999999999931,1.6035714285713911,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,15,4,12,100,1964,58.72023809523671,4.018571428571333,2.371904761904703,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,15,6,12,100,1964,73.74833333333162,8.051666666666488,2.153095238095189,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,15,8,12,100,1964,88.99690476190273,15.923333333332982,1.7780952380951962,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,15,10,12,100,1964,97.91952380952158,22.217857142856637,0.4023809523809428,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,0,12,100,1661,19.995238095237678,5.682857142857023,0.41714285714284854,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,2,12,100,1661,41.332619047618174,17.140476190475827,1.0980952380952163,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,4,12,100,1661,70.73357142856997,17.61190476190439,1.4133333333333054,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,6,12,100,1661,87.75214285714114,18.08809523809485,0.37166666666665904,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,8,12,100,1661,99.19023809523617,20.139047619047183,0.1269047619047593,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,10,7,100,1661,99.99999999999802,23.12547619047569,0.31309523809523165,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,0,12,100,1889,16.747619047618695,5.635476190476068,0.26380952380951833,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,2,12,100,1889,33.041428571427886,14.333571428571128,0.6702380952380815,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,4,12,100,1889,59.43857142857022,17.563095238094874,1.062619047619026,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,6,12,100,1889,86.66309523809346,18.36904761904723,1.5471428571428258,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,8,12,100,1889,97.65333333333145,20.273095238094808,0.5961904761904638,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,10,11,100,1889,99.99999999999807,24.05809523809473,0.04999999999999897,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,0,12,100,2033,14.181904761904455,6.569761904761761,0.28047619047618444,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,2,12,100,2033,26.820476190475603,14.436904761904449,0.39999999999999136,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,4,12,100,2033,49.27357142857036,17.47976190476153,0.8469047619047435,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,6,12,100,2033,78.17142857142689,18.03452380952342,2.3947619047618542,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,8,12,100,2033,94.07642857142666,19.03238095238053,0.6711904761904617,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,10,12,100,2033,99.55357142856937,21.99499999999951,0.1119047619047595,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,11,0,12,100,2164,12.548095238094914,4.59595238095226,0.28666666666665935,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,11,2,12,100,2164,24.656190476189845,12.101190476190165,0.17690476190475737,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,11,4,12,100,2164,41.42404761904656,16.424047619047194,1.6445238095237682,22,4,9,81.81818181818181,FALSE
