analysis_sample,weighting,method,matrix_name,d_det,d_hamming,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,radius_can_cover_any_pattern
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,6,90,NA,89.94833333333145,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,6,95,NA,89.94833333333145,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,8,80,5,99.61071428571219,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,8,85,6,99.61071428571219,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,8,90,6,99.61071428571219,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,8,95,7,99.61071428571219,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,10,80,4,99.99999999999774,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,10,85,4,99.99999999999774,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,10,90,5,99.99999999999774,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,10,95,5,99.99999999999774,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,0,80,NA,23.74023809523757,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,0,85,NA,23.74023809523757,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,0,90,NA,23.74023809523757,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,0,95,NA,23.74023809523757,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,2,80,NA,46.45166666666563,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,2,85,NA,46.45166666666563,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,2,90,NA,46.45166666666563,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,2,95,NA,46.45166666666563,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,4,80,NA,71.80690476190317,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,4,85,NA,71.80690476190317,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,4,90,NA,71.80690476190317,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,4,95,NA,71.80690476190317,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,6,80,8,88.54833333333139,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,6,85,10,88.54833333333139,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,6,90,NA,88.54833333333139,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,6,95,NA,88.54833333333139,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,8,80,4,97.48499999999783,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,8,85,4,97.48499999999783,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,8,90,5,97.48499999999783,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,8,95,9,97.48499999999783,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,10,80,4,99.99999999999778,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,10,85,4,99.99999999999778,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,10,90,4,99.99999999999778,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,10,95,4,99.99999999999778,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,0,80,NA,20.1397619047614,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,0,85,NA,20.1397619047614,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,0,90,NA,20.1397619047614,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,0,95,NA,20.1397619047614,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,2,80,NA,43.790238095237,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,2,85,NA,43.790238095237,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,2,90,NA,43.790238095237,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,2,95,NA,43.790238095237,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,4,80,NA,63.33166666666511,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,4,85,NA,63.33166666666511,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,4,90,NA,63.33166666666511,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,4,95,NA,63.33166666666511,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,6,80,10,83.1904761904741,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,6,85,NA,83.1904761904741,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,6,90,NA,83.1904761904741,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,6,95,NA,83.1904761904741,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,8,80,5,95.82285714285477,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,8,85,5,95.82285714285477,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,8,90,7,95.82285714285477,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,8,95,11,95.82285714285477,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,10,80,4,99.89999999999758,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,10,85,4,99.89999999999758,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,10,90,4,99.89999999999758,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,10,95,5,99.89999999999758,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,0,80,NA,16.594285714285338,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,0,85,NA,16.594285714285338,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,0,90,NA,16.594285714285338,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,0,95,NA,16.594285714285338,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,2,80,NA,38.891666666665785,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,2,85,NA,38.891666666665785,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,2,90,NA,38.891666666665785,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,2,95,NA,38.891666666665785,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,4,80,NA,58.664047619046315,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,4,85,NA,58.664047619046315,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,4,90,NA,58.664047619046315,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,4,95,NA,58.664047619046315,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,6,80,NA,76.09785714285543,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,6,85,NA,76.09785714285543,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,6,90,NA,76.09785714285543,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,6,95,NA,76.09785714285543,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,8,80,5,91.80571428571227,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,8,85,7,91.80571428571227,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,8,90,11,91.80571428571227,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,8,95,NA,91.80571428571227,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,10,80,4,99.3952380952359,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,10,85,4,99.3952380952359,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,10,90,5,99.3952380952359,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,10,95,6,99.3952380952359,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,0,80,NA,14.131666666666302,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,0,85,NA,14.131666666666302,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,0,90,NA,14.131666666666302,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,0,95,NA,14.131666666666302,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,2,80,NA,35.841428571427635,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,2,85,NA,35.841428571427635,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,2,90,NA,35.841428571427635,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,2,95,NA,35.841428571427635,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,4,80,NA,53.958095238093875,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,4,85,NA,53.958095238093875,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,4,90,NA,53.958095238093875,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,4,95,NA,53.958095238093875,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,6,80,NA,72.09190476190294,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,6,85,NA,72.09190476190294,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,6,90,NA,72.09190476190294,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,6,95,NA,72.09190476190294,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,8,80,6,88.61047619047399,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,8,85,10,88.61047619047399,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,8,90,NA,88.61047619047399,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,8,95,NA,88.61047619047399,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,10,80,4,98.33928571428318,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,10,85,4,98.33928571428318,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,10,90,6,98.33928571428318,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,10,95,8,98.33928571428318,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,0,80,NA,12.299047619047279,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,0,85,NA,12.299047619047279,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,0,90,NA,12.299047619047279,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,0,95,NA,12.299047619047279,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,2,80,NA,33.26214285714194,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,2,85,NA,33.26214285714194,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,2,90,NA,33.26214285714194,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,2,95,NA,33.26214285714194,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,4,80,NA,52.75880952380806,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,4,85,NA,52.75880952380806,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,4,90,NA,52.75880952380806,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,4,95,NA,52.75880952380806,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,6,80,NA,68.92166666666472,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,6,85,NA,68.92166666666472,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,6,90,NA,68.92166666666472,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,6,95,NA,68.92166666666472,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,8,80,7,85.61452380952142,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,8,85,12,85.61452380952142,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,8,90,NA,85.61452380952142,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,8,95,NA,85.61452380952142,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,10,80,4,96.10190476190208,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,10,85,6,96.10190476190208,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,10,90,8,96.10190476190208,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,10,95,12,96.10190476190208,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,0,80,NA,11.37166666666633,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,0,85,NA,11.37166666666633,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,0,90,NA,11.37166666666633,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,0,95,NA,11.37166666666633,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,2,80,NA,29.12071428571343,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,2,85,NA,29.12071428571343,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,2,90,NA,29.12071428571343,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,2,95,NA,29.12071428571343,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,4,80,NA,46.95119047618907,28,4,12,85.71428571428571,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,4,85,NA,46.95119047618907,28,4,12,85.71428571428571,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,4,90,NA,46.95119047618907,28,4,12,85.71428571428571,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,4,95,NA,46.95119047618907,28,4,12,85.71428571428571,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,6,80,NA,63.643095238093366,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,6,85,NA,63.643095238093366,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,6,90,NA,63.643095238093366,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,6,95,NA,63.643095238093366,28,6,11,78.57142857142857,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,8,80,11,82.0466666666642,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,8,85,NA,82.0466666666642,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,8,90,NA,82.0466666666642,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,8,95,NA,82.0466666666642,28,8,10,71.42857142857143,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,10,80,5,96.12976190475906,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,10,85,5,96.12976190475906,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,10,90,8,96.12976190475906,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,10,95,11,96.12976190475906,28,10,9,64.28571428571429,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,0,80,NA,9.560714285713987,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,0,85,NA,9.560714285713987,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,0,90,NA,9.560714285713987,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,0,95,NA,9.560714285713987,30,0,15,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,2,80,NA,26.228095238094415,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,2,85,NA,26.228095238094415,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,2,90,NA,26.228095238094415,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,2,95,NA,26.228095238094415,30,2,14,93.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,4,80,NA,43.764761904760526,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,4,85,NA,43.764761904760526,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,4,90,NA,43.764761904760526,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,4,95,NA,43.764761904760526,30,4,13,86.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,6,80,NA,61.984285714283814,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,6,85,NA,61.984285714283814,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,6,90,NA,61.984285714283814,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,6,95,NA,61.984285714283814,30,6,12,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,8,80,NA,79.98119047618798,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,8,85,NA,79.98119047618798,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,8,90,NA,79.98119047618798,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,8,95,NA,79.98119047618798,30,8,11,73.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,10,80,7,93.6902380952352,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,10,85,7,93.6902380952352,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,10,90,10,93.6902380952352,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,15,10,95,NA,93.6902380952352,30,10,10,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,0,80,NA,37.03976190476155,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,0,85,NA,37.03976190476155,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,0,90,NA,37.03976190476155,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,0,95,NA,37.03976190476155,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,2,80,NA,66.03880952380885,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,2,85,NA,66.03880952380885,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,2,90,NA,66.03880952380885,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,2,95,NA,66.03880952380885,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,4,80,7,88.45523809523726,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,4,85,10,88.45523809523726,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,4,90,NA,88.45523809523726,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,4,95,NA,88.45523809523726,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,6,80,5,97.99571428571336,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,6,85,6,97.99571428571336,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,6,90,7,97.99571428571336,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,6,95,8,97.99571428571336,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,8,80,4,99.99999999999885,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,8,85,4,99.99999999999885,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,8,90,4,99.99999999999885,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,8,95,5,99.99999999999885,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,10,80,4,99.999999999999,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,10,85,4,99.999999999999,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,10,90,4,99.999999999999,16,10,3,37.5,FALSE
