method,matrix_name,d_det,d_hamming,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available
EFA,matrix_32_ext_0_1,11,1,85,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,1,90,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,1,95,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,2,80,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,2,85,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,2,90,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,2,95,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,3,80,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,3,85,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,3,90,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,3,95,NA,28.65809523809446
EFA,matrix_32_ext_0_1,11,4,80,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,4,85,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,4,90,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,4,95,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,5,80,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,5,85,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,5,90,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,5,95,NA,45.06547619047498
EFA,matrix_32_ext_0_1,11,6,80,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,6,85,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,6,90,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,6,95,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,7,80,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,7,85,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,7,90,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,7,95,NA,64.52714285714114
EFA,matrix_32_ext_0_1,11,8,80,10,85.78428571428344
EFA,matrix_32_ext_0_1,11,8,85,12,85.78428571428344
EFA,matrix_32_ext_0_1,11,8,90,NA,85.78428571428344
EFA,matrix_32_ext_0_1,11,8,95,NA,85.78428571428344
EFA,matrix_32_ext_0_1,11,9,80,10,85.78428571428344
EFA,matrix_32_ext_0_1,11,9,85,12,85.78428571428344
EFA,matrix_32_ext_0_1,11,9,90,NA,85.78428571428344
EFA,matrix_32_ext_0_1,11,9,95,NA,85.78428571428344
EFA,matrix_32_ext_0_1,11,10,80,4,98.28666666666412
EFA,matrix_32_ext_0_1,11,10,85,4,98.28666666666412
EFA,matrix_32_ext_0_1,11,10,90,6,98.28666666666412
EFA,matrix_32_ext_0_1,11,10,95,9,98.28666666666412
EFA,matrix_32_ext_0_1,12,0,80,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,0,85,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,0,90,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,0,95,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,1,80,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,1,85,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,1,90,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,1,95,NA,7.615714285714063
EFA,matrix_32_ext_0_1,12,2,80,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,2,85,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,2,90,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,2,95,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,3,80,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,3,85,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,3,90,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,3,95,NA,26.174285714284938
EFA,matrix_32_ext_0_1,12,4,80,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,4,85,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,4,90,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,4,95,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,5,80,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,5,85,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,5,90,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,5,95,NA,43.29380952380828
EFA,matrix_32_ext_0_1,12,6,80,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,6,85,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,6,90,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,6,95,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,7,80,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,7,85,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,7,90,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,7,95,NA,58.58285714285543
EFA,matrix_32_ext_0_1,12,8,80,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,8,85,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,8,90,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,8,95,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,9,80,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,9,85,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,9,90,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,9,95,NA,77.36309523809304
EFA,matrix_32_ext_0_1,12,10,80,4,96.42999999999734
EFA,matrix_32_ext_0_1,12,10,85,5,96.42999999999734
EFA,matrix_32_ext_0_1,12,10,90,7,96.42999999999734
EFA,matrix_32_ext_0_1,12,10,95,12,96.42999999999734
EFA,matrix_32_ext_0_1,13,0,80,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,0,85,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,0,90,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,0,95,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,1,80,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,1,85,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,1,90,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,1,95,NA,7.621904761904532
EFA,matrix_32_ext_0_1,13,2,80,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,2,85,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,2,90,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,2,95,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,3,80,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,3,85,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,3,90,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,3,95,NA,23.915714285713573
EFA,matrix_32_ext_0_1,13,4,80,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,4,85,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,4,90,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,4,95,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,5,80,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,5,85,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,5,90,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,5,95,NA,38.55476190476079
EFA,matrix_32_ext_0_1,13,6,80,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,6,85,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,6,90,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,6,95,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,7,80,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,7,85,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,7,90,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,7,95,NA,55.78595238095078
EFA,matrix_32_ext_0_1,13,8,80,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,8,85,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,8,90,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,8,95,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,9,80,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,9,85,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,9,90,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,9,95,NA,76.8809523809502
EFA,matrix_32_ext_0_1,13,10,80,4,94.61952380952117
EFA,matrix_32_ext_0_1,13,10,85,7,94.61952380952117
EFA,matrix_32_ext_0_1,13,10,90,8,94.61952380952117
EFA,matrix_32_ext_0_1,13,10,95,NA,94.61952380952117
EFA,matrix_32_ext_0_1,14,0,80,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,0,85,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,0,90,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,0,95,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,1,80,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,1,85,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,1,90,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,1,95,NA,6.773571428571201
EFA,matrix_32_ext_0_1,14,2,80,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,2,85,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,2,90,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,2,95,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,3,80,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,3,85,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,3,90,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,3,95,NA,21.287380952380236
EFA,matrix_32_ext_0_1,14,4,80,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,4,85,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,4,90,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,4,95,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,5,80,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,5,85,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,5,90,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,5,95,NA,33.56166666666556
EFA,matrix_32_ext_0_1,14,6,80,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,6,85,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,6,90,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,6,95,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,7,80,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,7,85,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,7,90,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,7,95,NA,47.50071428571276
EFA,matrix_32_ext_0_1,14,8,80,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,8,85,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,8,90,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,8,95,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,9,80,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,9,85,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,9,90,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,9,95,NA,70.3547619047596
EFA,matrix_32_ext_0_1,14,10,80,7,91.49809523809222
EFA,matrix_32_ext_0_1,14,10,85,9,91.49809523809222
EFA,matrix_32_ext_0_1,14,10,90,11,91.49809523809222
EFA,matrix_32_ext_0_1,14,10,95,NA,91.49809523809222
EFA,matrix_32_ext_0_1,15,0,80,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,0,85,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,0,90,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,0,95,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,1,80,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,1,85,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,1,90,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,1,95,NA,5.988809523809308
EFA,matrix_32_ext_0_1,15,2,80,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,2,85,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,2,90,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,2,95,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,3,80,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,3,85,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,3,90,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,3,95,NA,18.0526190476184
EFA,matrix_32_ext_0_1,15,4,80,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,4,85,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,4,90,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,4,95,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,5,80,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,5,85,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,5,90,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,5,95,NA,31.675714285713156
EFA,matrix_32_ext_0_1,15,6,80,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,6,85,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,6,90,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,6,95,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,7,80,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,7,85,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,7,90,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,7,95,NA,44.74333333333177
EFA,matrix_32_ext_0_1,15,8,80,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,8,85,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,8,90,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,8,95,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,9,80,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,9,85,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,9,90,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,9,95,NA,66.27047619047387
EFA,matrix_32_ext_0_1,15,10,80,7,88.62952380952069
EFA,matrix_32_ext_0_1,15,10,85,10,88.62952380952069
EFA,matrix_32_ext_0_1,15,10,90,NA,88.62952380952069
EFA,matrix_32_ext_0_1,15,10,95,NA,88.62952380952069
EFA,matrix_32_pos_0_1,8,0,80,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,0,85,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,0,90,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,0,95,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,1,80,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,1,85,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,1,90,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,1,95,NA,22.35309523809489
EFA,matrix_32_pos_0_1,8,2,80,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,2,85,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,2,90,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,2,95,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,3,80,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,3,85,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,3,90,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,3,95,NA,48.868333333332565
EFA,matrix_32_pos_0_1,8,4,80,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,4,85,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,4,90,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,4,95,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,5,80,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,5,85,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,5,90,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,5,95,NA,77.62095238095118
EFA,matrix_32_pos_0_1,8,6,80,6,93.16309523809385
EFA,matrix_32_pos_0_1,8,6,85,6,93.16309523809385
EFA,matrix_32_pos_0_1,8,6,90,9,93.16309523809385
EFA,matrix_32_pos_0_1,8,6,95,NA,93.16309523809385
EFA,matrix_32_pos_0_1,8,7,80,6,93.16309523809385
EFA,matrix_32_pos_0_1,8,7,85,6,93.16309523809385
EFA,matrix_32_pos_0_1,8,7,90,9,93.16309523809385
EFA,matrix_32_pos_0_1,8,7,95,NA,93.16309523809385
EFA,matrix_32_pos_0_1,8,8,80,4,99.59285714285559
EFA,matrix_32_pos_0_1,8,8,85,5,99.59285714285559
EFA,matrix_32_pos_0_1,8,8,90,5,99.59285714285559
EFA,matrix_32_pos_0_1,8,8,95,6,99.59285714285559
EFA,matrix_32_pos_0_1,8,9,80,4,99.59285714285559
EFA,matrix_32_pos_0_1,8,9,85,5,99.59285714285559
EFA,matrix_32_pos_0_1,8,9,90,5,99.59285714285559
EFA,matrix_32_pos_0_1,8,9,95,6,99.59285714285559
EFA,matrix_32_pos_0_1,8,10,80,3,99.99999999999837
EFA,matrix_32_pos_0_1,8,10,85,4,99.99999999999837
EFA,matrix_32_pos_0_1,8,10,90,4,99.99999999999837
EFA,matrix_32_pos_0_1,8,10,95,5,99.99999999999837
EFA,matrix_32_pos_0_1,9,0,80,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,0,85,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,0,90,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,0,95,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,1,80,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,1,85,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,1,90,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,1,95,NA,20.648095238094843
EFA,matrix_32_pos_0_1,9,2,80,NA,46.256904761903854
EFA,matrix_32_pos_0_1,9,2,85,NA,46.256904761903854
EFA,matrix_32_pos_0_1,9,2,90,NA,46.256904761903854
EFA,matrix_32_pos_0_1,9,2,95,NA,46.256904761903854
EFA,matrix_32_pos_0_1,9,3,80,NA,46.256904761903854
EFA,matrix_32_pos_0_1,9,3,85,NA,46.256904761903854
EFA,matrix_32_pos_0_1,9,3,90,NA,46.256904761903854
