stage,dimension,determinant,n,mean,median,sd,min,max
Unaware but curious,Autonomy,Self-satisfaction,85,73.34117647058824,75,18.510970325970586,25,100
Unaware but curious,Autonomy,Commitment,89,72.53932584269663,73,17.38210690478684,25,100
Unaware but curious,Autonomy,Adherence,87,75.643678160919535,76,14.931609215207867,32,100
Unaware but curious,Autonomy,Self-sufficiency,85,64.15294117647059,69,23.399484061443246,0,100
Unaware but curious,Materiality,Wellbeing,46,75.32608695652173,76.5,20.410296255486223,14,100
Unaware but curious,Materiality,Comfort,45,66.13333333333334,70,22.660137205714754,10,100
Unaware but curious,Relatedness,Rights and duties,20,70.6,76,22.464943449973923,34,100
Unaware but curious,Relatedness,Peer pressure,23,51.78260869565217,64,26.155056041265503,10,100
Unaware but curious,Relatedness,Social support,20,64.8,65,21.4368104461756,25,100
Unaware but curious,Relatedness,Socialising,19,40.31578947368421,35,25.11319403460824,0,95
Unaware but curious,Relatedness,Agreement,21,78.76190476190476,80,16.139717351629063,50,100
Unaware but curious,Stimulation,Novelty,23,45.56521739130435,42,24.48343797708699,0,90
Unaware but curious,Stimulation,Fun,22,31.68181818181818,25,23.992829015267127,0,72
Unaware but curious,Stimulation,Recognition,23,15.652173913043478,10,20.91021650175334,0,85
Unaware but curious,Popularity,Trends,9,42.44444444444444,38,22.192966853888144,9,73
Unaware but curious,Popularity,Authority,9,38.888888888888886,33,14.48658383163923,23,63
Unaware but curious,Meaning,Approval,100,23.19,20,23.824567152416435,0,100
Unaware but curious,Meaning,Personal significance,98,61.01020408163265,65,23.35847708015899,0,100
