d_det,d_hamming,coverage_threshold,equal_candidate,equal_element,both_not_reached,same_result,difference_candidate_minus_element,abs_difference
13,4,90,11,11,FALSE,TRUE,0,0
13,6,80,3,4,FALSE,FALSE,-1,1
13,6,85,4,5,FALSE,FALSE,-1,1
13,6,90,5,5,FALSE,TRUE,0,0
13,8,80,2,3,FALSE,FALSE,-1,1
13,8,85,3,3,FALSE,TRUE,0,0
13,8,90,3,3,FALSE,TRUE,0,0
13,10,80,2,2,FALSE,TRUE,0,0
13,10,85,2,2,FALSE,TRUE,0,0
13,10,90,2,2,FALSE,TRUE,0,0
14,0,80,NA,NA,TRUE,TRUE,NA,NA
14,0,85,NA,NA,TRUE,TRUE,NA,NA
14,0,90,NA,NA,TRUE,TRUE,NA,NA
14,2,80,NA,NA,TRUE,TRUE,NA,NA
14,2,85,NA,NA,TRUE,TRUE,NA,NA
14,2,90,NA,NA,TRUE,TRUE,NA,NA
14,4,80,7,7,FALSE,TRUE,0,0
14,4,85,8,9,FALSE,FALSE,-1,1
14,4,90,10,10,FALSE,TRUE,0,0
14,6,80,4,4,FALSE,TRUE,0,0
14,6,85,4,4,FALSE,TRUE,0,0
14,6,90,4,5,FALSE,FALSE,-1,1
14,8,80,3,3,FALSE,TRUE,0,0
14,8,85,3,3,FALSE,TRUE,0,0
14,8,90,4,3,FALSE,FALSE,1,1
14,10,80,2,2,FALSE,TRUE,0,0
14,10,85,2,2,FALSE,TRUE,0,0
14,10,90,2,2,FALSE,TRUE,0,0
15,0,80,NA,NA,TRUE,TRUE,NA,NA
15,0,85,NA,NA,TRUE,TRUE,NA,NA
15,0,90,NA,NA,TRUE,TRUE,NA,NA
15,2,80,NA,NA,TRUE,TRUE,NA,NA
15,2,85,NA,NA,TRUE,TRUE,NA,NA
15,2,90,NA,NA,TRUE,TRUE,NA,NA
15,4,80,7,8,FALSE,FALSE,-1,1
15,4,85,9,9,FALSE,TRUE,0,0
15,4,90,11,12,FALSE,FALSE,-1,1
15,6,80,4,4,FALSE,TRUE,0,0
15,6,85,4,4,FALSE,TRUE,0,0
15,6,90,5,6,FALSE,FALSE,-1,1
15,8,80,3,4,FALSE,FALSE,-1,1
15,8,85,3,4,FALSE,FALSE,-1,1
15,8,90,3,4,FALSE,FALSE,-1,1
15,10,80,2,2,FALSE,TRUE,0,0
15,10,85,2,2,FALSE,TRUE,0,0
15,10,90,2,2,FALSE,TRUE,0,0
