participant_id,macro_archetype_5,self_profile,adoption_stage,stage,technology,FINANCIAL,SECURITY,COMPETENCE,AUTONOMY,PHYSIOLOGICAL,RELATEDNESS,STIMULATION,POPULARITY,MEANING
222,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Comunidad energética,NA,NA,NA,76.5,NA,45.8,NA,NA,0
222,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Bomba de calor,NA,NA,72,76.5,NA,NA,3,NA,NA
223,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,NA,NA,NA,73.75,NA,NA,NA,NA,37.5
223,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Vehículo eléctrico,61,NA,NA,NA,NA,NA,NA,NA,37.5
224,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,NA,NA,NA,NA,NA,NA,13.333333333333334,NA,52.5
224,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Bomba de calor,28,NA,76.25,NA,NA,NA,NA,NA,52.5
224,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Almacenamiento energético,28,NA,76.25,NA,NA,NA,NA,NA,52.5
225,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Calefacción fósil o biomasa,NA,NA,67.6,80.66666666666667,NA,NA,NA,NA,49
226,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Renovación de envolvente,56.6,NA,NA,57.25,NA,NA,NA,NA,18
226,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Bomba de calor,56.6,NA,NA,NA,57.5,NA,NA,NA,18
226,G1_Activist_Stubborn_Sentient,Sensible,Knowledge,"No la conoce, pero le genera curiosidad",Sistemas inteligentes del hogar,56.6,NA,NA,NA,57.5,NA,NA,NA,18
227,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Renovación de envolvente,71,NA,75,NA,NA,NA,NA,NA,32.5
227,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Almacenamiento energético,71,NA,75,NA,NA,NA,NA,NA,32.5
228,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,NA,67.5,NA,75,NA,NA,NA,NA,NA
230,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Calefacción fósil o biomasa,56.333333333333336,NA,NA,NA,NA,NA,NA,NA,NA
231,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Bomba de calor,NA,NA,NA,NA,75.5,NA,NA,NA,42.5
231,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Renovación de envolvente,68.33333333333333,70.33333333333333,65.8,NA,NA,NA,NA,NA,NA
232,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Comunidad energética,NA,53.75,58,NA,NA,NA,NA,NA,35
232,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Renovación de envolvente,NA,53.75,NA,NA,75,NA,NA,NA,35
233,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Comunidad energética,NA,NA,NA,74,NA,34.666666666666664,NA,NA,37
233,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Vehículo eléctrico,38.5,72,NA,NA,NA,NA,NA,NA,37
234,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,NA,NA,NA,76.25,NA,NA,NA,NA,NA
235,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Cambio de tarifa eléctrica,NA,NA,NA,82.75,NA,NA,NA,NA,20
235,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Renovación de envolvente,NA,46,NA,NA,NA,NA,NA,NA,NA
236,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Comunidad energética,NA,NA,NA,NA,NA,NA,NA,NA,74.5
237,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Comunidad energética,NA,NA,NA,NA,NA,53,NA,NA,35
237,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Renovación de envolvente,46.75,NA,84.2,NA,NA,NA,NA,NA,35
237,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Sistema de refrigeración,46.75,NA,NA,NA,NA,NA,NA,NA,35
238,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,NA,NA,NA,NA,NA,NA,0,NA,NA
238,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Comunidad energética,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Renovación de envolvente,NA,NA,NA,NA,NA,NA,NA,NA,34.5
241,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Ventilación con recuperador,48.75,70,65,NA,NA,NA,NA,NA,NA
242,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,62.5,NA,NA,52.5,NA,85,NA,NA,NA
242,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Ventilación con recuperador,62.5,NA,NA,52.5,NA,NA,23.333333333333332,NA,NA
243,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Electrodomésticos eficientes,70.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
243,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Renovación de envolvente,NA,67.25,NA,NA,NA,NA,NA,NA,NA
243,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Almacenamiento energético,NA,67.25,62.25,NA,NA,NA,NA,NA,NA
244,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Cambio de tarifa eléctrica,53.4,NA,NA,NA,NA,NA,NA,NA,49.5
244,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,53.4,NA,NA,NA,NA,NA,NA,NA,49.5
245,G4_HomoEconomicus,Homo economicus,Considering,La conoce / la consideraría,Comunidad energética,67.5,79.5,NA,NA,NA,NA,NA,NA,75
246,G3_Fearful_Careful,Cuidadoso/a,Done,Implementada,Comunidad energética,54.25,NA,NA,NA,NA,63.2,NA,NA,47.5
246,G3_Fearful_Careful,Cuidadoso/a,Considering,La conoce / la consideraría,Bomba de calor,54.25,NA,NA,77.75,NA,NA,NA,NA,47.5
246,G3_Fearful_Careful,Cuidadoso/a,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,54.25,NA,NA,77.75,NA,NA,NA,NA,NA
247,G3_Fearful_Careful,Cuidadoso/a,Done,Implementada,Renovación de envolvente,NA,NA,NA,65.5,NA,NA,35,NA,52
247,G3_Fearful_Careful,Cuidadoso/a,Considering,La conoce / la consideraría,Almacenamiento energético,NA,NA,NA,65.5,NA,NA,35,NA,52
247,G3_Fearful_Careful,Cuidadoso/a,Knowledge,"No la conoce, pero le genera curiosidad",Ventilación con recuperador,NA,NA,NA,65.5,NA,66,NA,NA,52
248,G3_Fearful_Careful,Cuidadoso/a,Done,Implementada,Medidas de microeficiencia,70.2,NA,NA,75.33333333333333,NA,NA,NA,NA,53.5
248,G3_Fearful_Careful,Cuidadoso/a,Considering,La conoce / la consideraría,Renovación de envolvente,70.2,NA,79.6,NA,NA,NA,NA,NA,53.5
248,G3_Fearful_Careful,Cuidadoso/a,Knowledge,"No la conoce, pero le genera curiosidad",Ventilación con recuperador,NA,NA,79.6,75.33333333333333,NA,NA,NA,NA,53.5
250,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Bomba de calor,NA,NA,NA,NA,NA,NA,NA,NA,26
250,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Vehículo eléctrico,44,NA,NA,NA,NA,81.33333333333333,NA,NA,26
250,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Ventilación con recuperador,NA,NA,NA,83.75,72,NA,NA,NA,26
251,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Agua caliente sanitaria,NA,NA,NA,76,NA,NA,30,NA,58.5
251,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Sistemas inteligentes del hogar,NA,NA,68,76,NA,NA,NA,NA,58.5
251,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,NA,NA,NA,NA,NA,NA,30,NA,58.5
252,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Calefacción fósil o biomasa,NA,90.66666666666667,NA,NA,NA,NA,NA,NA,NA
252,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,NA,90.66666666666667,NA,NA,NA,NA,NA,NA,NA
253,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Ascensor,NA,NA,NA,NA,84,NA,NA,NA,NA
253,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,68.8,NA,71,NA,NA,NA,NA,NA,NA
254,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,NA,NA,NA,NA,NA,NA,NA,NA,51
254,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Agua caliente sanitaria,62,NA,NA,70,NA,NA,NA,NA,51
255,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Vehículo eléctrico,40,NA,NA,57.75,NA,NA,NA,NA,49
255,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,40,NA,65.6,NA,NA,NA,NA,NA,49
256,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Calefacción fósil o biomasa,74,NA,NA,NA,72,NA,NA,NA,54
256,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Almacenamiento energético,74,NA,NA,NA,NA,NA,NA,NA,NA
257,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Cambio de tarifa eléctrica,NA,NA,NA,68.5,NA,NA,NA,NA,52
257,G1_Activist_Stubborn_Sentient,Sensible,Knowledge,"No la conoce, pero le genera curiosidad",Calefacción fósil o biomasa,NA,NA,NA,68.5,NA,NA,29,NA,52
258,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,51,47.5,NA,NA,80,NA,NA,NA,NA
258,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Ventilación con recuperador,NA,NA,NA,NA,80,NA,NA,NA,NA
259,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,NA,NA,74.2,NA,71,NA,NA,NA,26.5
259,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Vehículo eléctrico,NA,NA,74.2,NA,NA,NA,6.333333333333333,NA,26.5
259,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,NA,89.25,74.2,72,NA,NA,NA,NA,NA
261,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Cambio de tarifa eléctrica,71.5,NA,NA,NA,NA,NA,NA,NA,43
262,G4_HomoEconomicus,Homo economicus,Done,Implementada,Comunidad energética,37,NA,NA,75,NA,NA,NA,NA,NA
262,G4_HomoEconomicus,Homo economicus,Considering,La conoce / la consideraría,Sistema de refrigeración,NA,NA,67,NA,NA,NA,NA,NA,NA
262,G4_HomoEconomicus,Homo economicus,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,NA,60,NA,NA,NA,NA,NA,NA,NA
263,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Electrodomésticos eficientes,23,NA,NA,NA,12.5,NA,NA,NA,NA
263,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Agua caliente sanitaria,NA,NA,NA,NA,12.5,NA,1.6666666666666667,NA,NA
265,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Medidas de microeficiencia,89.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
265,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Renovación de envolvente,89.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
266,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Comunidad energética,NA,NA,NA,46.25,NA,NA,NA,NA,NA
266,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Ascensor,37.8,NA,75.4,NA,65,NA,NA,NA,NA
266,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Sistemas inteligentes del hogar,37.8,NA,75.4,NA,NA,49.8,NA,NA,NA
267,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,60,NA,NA,10,NA,NA,NA,NA,10
267,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Ventilación con recuperador,60,NA,64,NA,NA,NA,NA,NA,NA
268,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,56.4,NA,NA,NA,61.5,NA,NA,NA,40.5
268,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Vehículo eléctrico,56.4,NA,NA,NA,61.5,NA,NA,NA,40.5
268,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,56.4,NA,NA,NA,61.5,NA,NA,NA,40.5
269,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,67,NA,NA,NA,NA,NA,NA,NA,NA
271,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Comunidad energética,NA,NA,NA,NA,NA,NA,11.5,NA,35.5
271,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Renovación de envolvente,43.8,NA,75,NA,NA,NA,11.5,NA,NA
271,G1_Activist_Stubborn_Sentient,Sensible,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,43.8,NA,75,64.75,NA,NA,NA,NA,NA
272,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Cambio de tarifa eléctrica,NA,NA,NA,NA,NA,NA,NA,NA,50
272,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Ascensor,NA,NA,NA,NA,NA,NA,0,NA,NA
272,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Sistemas inteligentes del hogar,NA,NA,NA,NA,NA,NA,0,NA,NA
274,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,43,79.66666666666667,NA,NA,NA,NA,NA,NA,NA
274,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Comunidad energética,NA,79.66666666666667,77.4,65.75,NA,NA,NA,NA,NA
274,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Vehículo eléctrico,43,79.66666666666667,NA,65.75,NA,NA,NA,NA,NA
