analysis_sample,method,matrix_name,d_det,n_signature_instances,matrix
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,8,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,9,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,10,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,11,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,12,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,13,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,14,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_raw_0_1,15,3000,RAW
WHY_EUROPE,KMEANS,matrix_32_z_abs,8,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,9,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,10,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,11,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,12,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,13,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,14,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_z_abs,15,3000,Z_ABS
WHY_LATAM,EFA,matrix_32_ext_0_1,8,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,9,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,10,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,11,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,12,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,13,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,14,3000,EXT
WHY_LATAM,EFA,matrix_32_ext_0_1,15,3000,EXT
WHY_LATAM,EFA,matrix_32_pos_0_1,8,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,9,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,10,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,11,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,12,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,13,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,14,3000,POS
WHY_LATAM,EFA,matrix_32_pos_0_1,15,3000,POS
WHY_LATAM,EFA,matrix_32_raw_0_1,8,3000,RAW
WHY_LATAM,EFA,matrix_32_raw_0_1,9,3000,RAW
WHY_LATAM,EFA,matrix_32_raw_0_1,10,3000,RAW
WHY_LATAM,EFA,matrix_32_raw_0_1,11,3000,RAW
WHY_LATAM,EFA,matrix_32_raw_0_1,12,3000,RAW
