analysis_sample,weighting,method,matrix_name,matrix,d_hamming,prototype,incremental_covered_pct,cumulative_covered_pct,center_signature_size,center_active_determinants
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,7,3,16.399404761904428,50.54446428571363,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,3,20.21693452380893,55.90779761904667,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,3,23.95550595238029,61.46229166666557,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,3,27.313482142856333,67.17419642857001,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,4,0.5011607142857166,3.7806845238095472,11,det_07_legal; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,1,4,1.3718452380952453,7.959166666666714,12,det_07_legal; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,2,4,2.7201488095238258,16.14276785714294,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,3,4,4.924970238095238,25.091636904761984,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,4,4,7.090892857142913,32.31047619047643,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,5,4,4.1500595238095315,37.953422619048034,15,det_02_credit_score; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,6,4,2.255059523809535,44.16148809523859,15,det_02_credit_score; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,7,4,8.405059523809667,58.94952380952329,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,4,10.37404761904784,66.2818452380945,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,4,12.540029761905075,74.00232142857064,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,4,14.625267857143267,81.79946428571328,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,5,0.45854166666666885,4.239226190476216,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,1,5,0.3869940476190495,8.346160714285762,8,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,2,5,2.301517857142869,18.444285714285808,15,det_02_credit_score; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
