analysis_sample,weighting,method,matrix_name,d_hamming,n_prototypes_used,n_unique_patterns,final_covered_pct,first_prototype_covered_pct,last_prototype_increment_pct
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,6,12,5385,99.38008928571202,40.78672619047532,0.08788690476190256
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,7,12,5385,99.91398809523581,55.579851190474955,0.022113095238094686
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,8,12,5385,99.99687499999835,65.9021726190467,0.003124999999999922
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,9,8,5385,99.99999999999845,75.26020833333254,0.009374999999999767
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,10,5,5385,99.99999999999874,83.43934523809457,0.006249999999999844
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,0,12,5385,7.570833333333334,0.9791666666666666,0.4625
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,1,12,5385,25.416666666666668,2.375,0.8666666666666667
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,2,12,5385,54.479166666666664,5.283333333333333,3.0083333333333333
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,3,12,5385,76.7125,8.933333333333334,0.9416666666666667
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,4,12,5385,90.7625,15.895833333333334,1.45
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,5,12,5385,93.77083333333333,25.3375,0.09166666666666666
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,6,12,5385,99.37083333333334,39.84583333333333,0.075
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,7,12,5385,99.7125,54.4125,0.0375
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,8,12,5385,100,64.95416666666667,0.008333333333333333
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,9,8,5385,100,74.7,0.008333333333333333
COMPLETE,equal_element,KMEANS,matrix_32_pos_0_1,10,4,5385,100,83.14166666666667,0.025
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,0,12,11667,7.361339285714257,1.0650595238095206,0.39104166666666484
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,1,12,11667,15.627142857142795,4.521636904761888,0.6129166666666641
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,2,12,11667,35.32276785714271,10.333809523809489,2.1019345238095157
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,3,12,11667,50.543541666666414,14.988749999999904,1.7618452380952305
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,4,12,11667,71.44276785714247,20.209434523809318,0.7545238095238063
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,5,12,11667,84.15779761904706,25.055386904761622,0.6900297619047584
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,6,12,11667,92.39642857142844,28.649226190476295,1.025297619047614
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,7,12,11667,95.62538690476241,32.80988095238143,0.9342857142857094
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,8,12,11667,96.97595238095353,38.0027976190482,0.17568452380952315
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,9,12,11667,99.08625000000207,43.37726190476264,0.07499999999999969
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,10,12,11667,99.81562500000193,48.9376190476199,0.04717261904761886
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,0,12,11667,6.645833333333333,0.9625,0.3416666666666667
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,1,12,11667,14.470833333333333,4.204166666666667,1.2958333333333334
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,2,12,11667,31.758333333333333,9.833333333333334,0.9916666666666667
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,3,12,11667,47.458333333333336,14.529166666666667,1.8916666666666666
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,4,12,11667,69.2125,19.8875,0.8666666666666667
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,5,12,11667,82.49166666666666,24.791666666666668,1.025
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,6,12,11667,91.04583333333333,28.404166666666665,0.48333333333333334
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,7,12,11667,94.37083333333334,32.5625,0.2708333333333333
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,8,12,11667,96.525,37.72083333333333,0.19166666666666668
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,9,12,11667,99.25416666666666,43.1,0.11666666666666667
COMPLETE,equal_element,KMEANS,matrix_32_ext_0_1,10,12,11667,99.65,48.65833333333333,0.2875
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,0,12,18052,3.046517857142778,0.5994642857142698,0.1398809523809488
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,1,12,18052,7.415744047618853,1.7921428571428102,0.308124999999992
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,2,12,18052,17.939851190475725,4.787232142857008,0.6164285714285556
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,3,12,18052,28.37729166666593,8.044017857142686,0.6021428571428412
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,4,12,18052,42.65059523809429,12.186458333333128,1.3631249999999704
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,5,12,18052,57.5729464285697,16.284196428570834,2.2150297619047095
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,6,12,18052,72.23184523809276,21.179702380951465,1.7867261904761462
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,7,12,18052,80.91630952380713,26.257351190475017,1.6978571428571074
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,8,12,18052,88.06032738094932,29.902857142855776,0.5591666666666516
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,9,12,18052,94.85895833333109,33.73720238095208,0.35047619047618156
COMPLETE,equal_candidate,KMEANS,matrix_32_z_abs,10,12,18052,98.69943452380808,38.80943452381038,0.15761904761904355
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,0,12,18052,2.9541666666666666,0.5916666666666667,0.12083333333333333
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,1,12,18052,6.3,1.7708333333333333,0.25
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,2,12,18052,16.416666666666668,4.695833333333334,0.6
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,3,12,18052,27.05,7.854166666666667,0.8416666666666667
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,4,12,18052,41.7875,11.845833333333333,1.7208333333333334
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,5,12,18052,54.266666666666666,15.7875,0.4875
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,6,12,18052,71.32916666666667,20.516666666666666,1.8541666666666667
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,7,12,18052,79.25833333333334,25.429166666666667,1.4958333333333333
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,8,12,18052,85.7375,28.95,0.10833333333333334
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,9,12,18052,94.49166666666666,32.69166666666667,0.19166666666666668
COMPLETE,equal_element,KMEANS,matrix_32_z_abs,10,12,18052,98.32083333333334,37.666666666666664,0.2375
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,0,12,12160,10.296994047618655,2.044345238095164,0.41163690476188847
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,1,12,12160,18.3935119047612,4.124851190476038,0.5973809523809291
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,2,12,12160,33.47705357142728,6.409374999999757,1.32860119047614
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,3,12,12160,45.37770833333156,8.680505952380633,1.8572023809523142
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,4,12,12160,56.09669642856916,10.937351190475798,0.31874999999998765
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,5,12,12160,67.05425595237837,13.187053571428093,3.5477380952379547
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,6,12,12160,77.71836309523526,15.498363095237446,1.136071428571385
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,7,12,12160,91.03148809523506,17.899107142856366,2.8495535714284768
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,8,12,12160,96.24422619047255,18.56306547618963,2.4187499999999154
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,9,12,12160,98.44342261904325,19.411726190475264,0.05714285714285493
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,10,12,12160,99.50639880951927,20.91886904761797,0.14642857142856575
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,0,12,12160,9.629166666666666,1.8708333333333333,0.3625
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,1,12,12160,17.145833333333332,3.7875,1.1458333333333333
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,2,12,12160,31.416666666666668,5.9625,1.6666666666666667
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,3,12,12160,44.1125,8.120833333333334,1.5541666666666667
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,4,12,12160,55.641666666666666,10.2625,1.9083333333333334
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,5,12,12160,68.8625,12.395833333333334,4.2
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,6,12,12160,79.05833333333334,14.608333333333333,1.6708333333333334
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,7,12,12160,91.7625,16.933333333333334,0.175
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,8,12,12160,96.19583333333334,17.766666666666666,0.4708333333333333
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,9,12,12160,98.71666666666667,18.795833333333334,0.10416666666666667
COMPLETE,equal_element,EFA,matrix_32_raw_0_1,10,12,12160,99.3125,20.558333333333334,0.1125
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,0,12,12851,9.355892857142516,1.8083928571427939,0.36389880952379583
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,1,12,12851,18.794583333332643,3.6650892857141546,0.6421726190475955
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,2,12,12851,28.613005952379908,5.782738095237885,1.0985119047618643
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,3,12,12851,43.66907738095074,7.939136904761626,1.9213988095237418
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,4,12,12851,60.02547619047383,10.328571428571077,1.852470238095175
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,5,12,12851,69.51214285714028,12.728273809523404,1.2987499999999532
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,6,12,12851,82.02059523809227,15.303571428570777,1.2598511904761474
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,7,12,12851,89.68116071428241,17.922172619046798,0.8453273809523486
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,12,12851,94.47303571428135,18.725089285713377,0.33113095238094037
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,12,12851,98.23238095237596,19.53857142857044,0.28726190476189434
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,12,12851,99.50601190475679,20.507499999998917,0.1486607142857088
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,0,12,12851,8.454166666666667,1.575,0.3458333333333333
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,1,12,12851,16.9,3.2083333333333335,0.5208333333333334
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,2,12,12851,27.033333333333335,5.166666666666667,1.3541666666666667
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,3,12,12851,41.0375,7.179166666666666,0.7875
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,4,12,12851,57.87916666666667,9.491666666666667,1.55
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,5,12,12851,67.325,11.816666666666666,1.2333333333333334
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,6,12,12851,80.1625,14.3625,1.1125
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,7,12,12851,89.2625,16.9625,0.5958333333333333
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,8,12,12851,95.14166666666667,17.979166666666668,0.6208333333333333
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,9,12,12851,98.46666666666667,18.995833333333334,0.025
COMPLETE,equal_element,EFA,matrix_32_pos_0_1,10,12,12851,99.3875,20.154166666666665,0.125
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,0,12,15378,6.564404761904798,1.4481845238095343,0.2510119047619061
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,1,12,15378,13.345684523809599,3.4305357142857362,0.45023809523809777
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,2,12,15378,27.76217261904777,6.2463392857143205,0.8563392857142906
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,3,12,15378,37.546190476190624,8.583333333333393,0.7001785714285749
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,4,12,15378,50.85038690476222,10.87648809523818,2.403720238095261
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,5,12,15378,59.57559523809575,13.124107142857238,2.2286904761904953
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,6,12,15378,71.0485119047625,15.43005952380954,2.0860714285714486
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,7,12,15378,79.62616071428523,17.81309523809525,0.17866071428571534
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,12,15378,86.69089285714207,18.286309523809496,0.4186011904761926
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,12,15378,90.98077380952293,18.920833333333242,0.4161607142857163
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,12,15378,95.8946130952371,20.113839285714086,0.6465178571428601
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,0,12,15378,5.720833333333333,1.3125,0.22083333333333333
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,1,12,15378,11.858333333333333,3.1166666666666667,0.35
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,2,12,15378,24.6875,5.775,1.4416666666666667
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,3,12,15378,33.72083333333333,8.008333333333333,0.6833333333333333
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,4,12,15378,46.50833333333333,10.1875,2.75
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,5,12,15378,54.53333333333333,12.3125,1.2458333333333333
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,6,12,15378,67.975,14.516666666666667,1.0083333333333333
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,7,12,15378,77.39166666666667,16.816666666666666,0.575
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,8,12,15378,84.5,17.4125,0.14166666666666666
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,9,12,15378,90.4125,18.2,2.0083333333333333
COMPLETE,equal_element,EFA,matrix_32_ext_0_1,10,12,15378,94.7125,19.583333333333332,0.32916666666666666
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,0,12,17310,5.602291666666807,0.8212202380952589,0.18122023809524282
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,1,12,17310,9.126339285714518,3.6273511904762823,0.25479166666667313
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,2,12,17310,17.577470238095692,8.038065476190686,0.4369642857142965
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,3,12,17310,25.29315476190543,11.090922619047914,0.41532738095239147
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,4,12,17310,38.13514880952468,14.163958333333644,2.109017857142912
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,5,12,17310,50.276309523810546,16.769672619047974,1.5799702380952838
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,6,12,17310,63.09678571428742,17.332767857143185,1.731547619047666
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,7,12,17310,73.65375000000235,17.869642857143162,0.6053273809523961
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,8,12,17310,82.40071428571628,18.434642857143146,0.7919940476190677
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,9,12,17310,91.92026785714415,19.148630952381225,0.3824404761904861
COMPLETE,equal_candidate,EFA,matrix_32_z_abs,10,12,17310,96.76559523809634,20.380386904762158,0.45654761904763047
COMPLETE,equal_element,EFA,matrix_32_z_abs,0,12,17310,5.008333333333334,0.7,0.16666666666666666
COMPLETE,equal_element,EFA,matrix_32_z_abs,1,12,17310,8.4125,3.1875,0.24583333333333332
COMPLETE,equal_element,EFA,matrix_32_z_abs,2,12,17310,16.6,7.245833333333334,0.575
COMPLETE,equal_element,EFA,matrix_32_z_abs,3,12,17310,23.7,10.15,0.2833333333333333
COMPLETE,equal_element,EFA,matrix_32_z_abs,4,12,17310,35.55416666666667,13.125,0.425
COMPLETE,equal_element,EFA,matrix_32_z_abs,5,12,17310,47.32083333333333,15.6375,0.25416666666666665
COMPLETE,equal_element,EFA,matrix_32_z_abs,6,12,17310,59.291666666666664,16.279166666666665,1.1541666666666666
COMPLETE,equal_element,EFA,matrix_32_z_abs,7,12,17310,71.79583333333333,16.9,0.5708333333333333
COMPLETE,equal_element,EFA,matrix_32_z_abs,8,12,17310,81.95416666666667,17.55,0.8083333333333333
COMPLETE,equal_element,EFA,matrix_32_z_abs,9,12,17310,90.725,18.379166666666666,0.5333333333333333
COMPLETE,equal_element,EFA,matrix_32_z_abs,10,12,17310,95.95833333333333,19.783333333333335,0.4125
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,12,9304,4.739166666666578,0.4885416666666574,0.33764880952380316
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,12,9304,17.504613095237776,1.3733035714285458,0.5313690476190381
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,2,12,9304,38.20863095238024,4.203630952380873,1.3703571428571182
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,3,12,9304,57.3579761904751,7.493035714285594,0.8165476190476045
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,4,12,9304,77.29324404761763,12.342827380952196,1.4691369047618796
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,5,12,9304,87.89217261904655,17.159136904761585,1.7545238095237803
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,6,12,9304,95.0534523809513,23.776398809523332,1.287083333333315
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,7,12,9304,98.3517559523803,30.855595238095184,0.31452380952380393
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,8,12,9304,99.36964285714238,38.08803571428568,0.1959821428571393
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,9,12,9304,99.82723214285659,45.4711904761903,0.013392857142856901
EUROPE,equal_candidate,KMEANS,matrix_32_raw_0_1,10,12,9304,99.96562499999942,51.87232142857128,0.006249999999999887
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,0,12,9304,4.375,0.44166666666666665,0.3
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,1,12,9304,17.4125,2.2583333333333333,1.2291666666666667
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,2,12,9304,36.141666666666666,6.129166666666666,1.3916666666666666
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,3,12,9304,54.74583333333333,12.9125,0.8791666666666667
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,4,12,9304,76.19583333333334,20.620833333333334,1.7958333333333334
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,5,12,9304,87.04583333333333,27.541666666666668,2.1625
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,6,12,9304,94.59166666666667,34.0625,0.42083333333333334
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,7,12,9304,97.1625,39.55833333333333,0.17083333333333334
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,8,12,9304,99.2375,43.94166666666667,0.20833333333333334
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,9,12,9304,99.80416666666666,48,0.016666666666666666
EUROPE,equal_element,KMEANS,matrix_32_raw_0_1,10,12,9304,99.9375,51.354166666666664,0.008333333333333333
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,0,12,7005,8.311041666666558,1.0372023809523683,0.5010714285714218
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,1,12,7005,25.905833333332993,2.9119047619047245,1.310595238095221
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,2,12,7005,52.867351190475524,7.815029761904663,1.6444940476190273
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,3,12,7005,70.98163690476102,13.453630952380765,1.3674999999999833
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,4,12,7005,86.38193452380835,21.46107142857114,2.013660714285688
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,5,12,7005,92.26877976190356,29.70476190476165,1.3229166666666528
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,6,12,7005,97.93241071428497,39.532232142856806,0.15895833333333134
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,7,12,7005,99.46002976190407,50.231994047618684,0.030357142857142468
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,8,12,7005,99.90535714285637,58.21089285714215,0.03214285714285673
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,9,12,7005,99.94910714285561,67.55991071428488,0.0035714285714285258
EUROPE,equal_candidate,KMEANS,matrix_32_pos_0_1,10,9,7005,99.99999999999842,76.79261904761809,0.0062499999999999205
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,0,12,7005,7.608333333333333,0.9416666666666667,0.43333333333333335
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,1,12,7005,23.6375,2.7083333333333335,0.5291666666666667
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,2,12,7005,49.891666666666666,7.483333333333333,1.3666666666666667
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,3,12,7005,68.525,12.958333333333334,1.6958333333333333
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,4,12,7005,82.99583333333334,20.733333333333334,2.6708333333333334
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,5,12,7005,91.5,28.775,0.6458333333333334
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,6,12,7005,97.4375,38.4625,0.08333333333333333
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,7,12,7005,99.2625,48.954166666666666,0.09583333333333334
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,8,12,7005,99.85,56.795833333333334,0.016666666666666666
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,9,12,7005,99.9375,65.94166666666666,0.008333333333333333
EUROPE,equal_element,KMEANS,matrix_32_pos_0_1,10,10,7005,100,75.10416666666667,0.004166666666666667
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,0,12,14238,5.935535714285674,0.7701488095238042,0.345178571428569
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,1,12,14238,16.659315476190365,3.8723214285714023,0.265089285714284
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,2,12,14238,32.05285714285693,7.527261904761865,1.045029761904756
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,3,12,14238,45.8076785714284,13.010178571428536,0.9391071428571376
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,4,12,14238,63.70800595238057,18.03627976190456,1.0047916666666599
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,5,12,14238,73.27580357142779,23.58050595238062,0.38303571428571154
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,6,12,14238,81.88372023809492,29.342202380952216,1.5096130952380897
EUROPE,equal_candidate,KMEANS,matrix_32_ext_0_1,7,12,14238,88.59726190476228,33.046130952381525,0.15880952380952287
