prolific_id,prolific_status,prolific_country_raw,prolific_country_code,prolific_country_of_birth,prolific_country_of_birth_code,prolific_age,prolific_sex,prolific_ethnicity_simplified,prolific_nationality,prolific_language,prolific_student_status,prolific_employment_status,prolific_files
56e6f0dec89073000de74780,APPROVED,Sweden,SE,Ireland,IE,31,Female,White,Ireland,English,Yes,DATA_EXPIRED,prolific_export_63316268c0d0d441c2e46377.csv
56fd94d5291bb50008ea5805,APPROVED,Poland,PL,Poland,PL,32,Female,White,Poland,Polish,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5716a9b1c5aca2000a8d44d3,APPROVED,Greece,GR,Greece,GR,26,Female,White,Greece,Greek,Yes,Unemployed (and job seeking),prolific_export_633161d71da17ce25a7d09b2.csv
572bc38f34b25a0010dbe9c4,APPROVED,Mexico,MX,Mexico,MX,37,Male,Other,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5789972670c76a00012433b3,APPROVED,Spain,ES,Spain,ES,41,Female,White,Spain,Spanish,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
578b4394ad1a6c0001466a6d,APPROVED,Italy,IT,Italy,IT,45,Male,White,Italy,Italian,No,Part-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
57a4e76dbaec1b000169924a,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_638657f445c7d89faeb56017.csv
57d0540392da98000100c72f,APPROVED,Chile,CL,Chile,CL,35,Female,White,Chile,English,Yes,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
57e928630cb6700001dd8f8a,APPROVED,Portugal,PT,Portugal,PT,29,Female,White,Portugal,Portuguese,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
587905adc34844000174ee45,APPROVED,Finland,FI,Finland,FI,35,Male,White,Finland,Finnish,Yes,Full-Time,prolific_export_63316268c0d0d441c2e46377.csv
588f58e8d2b27900019967d0,APPROVED,Spain,ES,Spain,ES,56,Female,White,Spain,Spanish,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5894f21fb1a4ae0001ce5532,APPROVED,Netherlands,NL,Croatia,HR,29,Female,White,Croatia,English,No,Part-Time,prolific_export_6331612f32727d005c9466da.csv
58a20857c5bcf000011b09ff,APPROVED,Austria,AT,Austria,AT,32,Male,White,Austria,German,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
58c62eac444ade00010231a9,APPROVED,Italy,IT,Italy,IT,54,Male,White,Italy,Italian,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
58d11f7947aa1e000104718a,APPROVED,Italy,IT,Italy,IT,50,Male,DATA_EXPIRED,Italy,Italian,No,DATA_EXPIRED,prolific_export_6331619a33b45c3d8eed0f5d.csv
58dcfd5a09694a0001a35e0b,APPROVED,Italy,IT,Italy,IT,32,Female,White,Italy,Italian,Yes,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
58eec50e45de510001b5dcef,APPROVED,Czech Republic,CZ,Czech Republic,CZ,29,Male,White,Czech Republic,Czech,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
58f82417edbd82000169bce8,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_638657f445c7d89faeb56017.csv
5906ff5f0070cb000186b5fb,APPROVED,Germany,DE,Germany,DE,62,Male,White,Germany,German,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5908ec21bc185d00011aa205,APPROVED,Chile,CL,Chile,CL,61,Male,Other,Chile,Spanish,No,Due to start a new job within the next month,prolific_export_638657f445c7d89faeb56017.csv
5909f8b6bc185d00011aa307,APPROVED,Hungary,HU,Hungary,HU,36,Female,White,Hungary,Hungarian,No,Full-Time,prolific_export_633162142c195a4b173e2fab.csv
591a1f4800a5650001276188,APPROVED,Germany,DE,Germany,DE,38,Male,White,Germany,German,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
593903964f76be000186cd9e,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_6331619a33b45c3d8eed0f5d.csv
593ac6bf06c3b80001d67167,APPROVED,Spain,ES,Spain,ES,34,Male,White,Spain,English,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
594ec14a3e9d730001924da6,APPROVED,France,FR,France,FR,37,Female,White,France,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
5962799cb752840001ca478b,APPROVED,Germany,DE,Germany,DE,35,Male,White,Germany,German,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5974ce5364b35a00019dd811,APPROVED,France,FR,France,FR,23,Male,White,France,French,No,Full-Time,prolific_export_6322dfdcb013fdf74851c4d7.csv
5978550fd40612000168332d,APPROVED,Portugal,PT,Portugal,PT,29,Female,White,Portugal,Portuguese,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
598c2748e339120001fb8875,APPROVED,Mexico,MX,Mexico,MX,35,Male,Mixed,Mexico,Spanish,Yes,Part-Time,prolific_export_638657f445c7d89faeb56017.csv
5991980db83f800001a5e38f,APPROVED,Ireland,IE,United Kingdom,GB,67,Male,White,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_63316268c0d0d441c2e46377.csv
59a426b35fd74b0001abfa4f,APPROVED,Germany,DE,Germany,DE,39,Female,White,Germany,German,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
59c4eb2d5535800001a8e182,APPROVED,Spain,ES,Spain,ES,55,Female,White,Spain,Spanish,No,DATA_EXPIRED,prolific_export_6331619a33b45c3d8eed0f5d.csv
59d40cd1c732930001d8896c,APPROVED,Finland,FI,Finland,FI,23,Male,White,Finland,Finnish,Yes,Unemployed (and job seeking),prolific_export_63316268c0d0d441c2e46377.csv
59da7e94416c900001ea5b52,APPROVED,France,FR,France,FR,36,Female,Mixed,France,English,No,Part-Time,prolific_export_6331612f32727d005c9466da.csv
59fc62af7ecfc50001be032b,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_6331619a33b45c3d8eed0f5d.csv
59fc8aba087f2e0001ead671,APPROVED,Ireland,IE,Ireland,IE,42,Female,White,Ireland,English,No,Full-Time,prolific_export_63316268c0d0d441c2e46377.csv
5a06ebf2c259f300017656ee,APPROVED,Germany,DE,Germany,DE,25,Male,White,Germany,German,Yes,Part-Time,prolific_export_6331612f32727d005c9466da.csv
5a19b5076e1ea9000124f940,APPROVED,France,FR,France,FR,41,Male,Mixed,France,French,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5a3892fc3e523d0001945089,APPROVED,Spain,ES,Spain,ES,32,Male,White,Spain,Spanish,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5a5110bb76d1c60001aaa059,APPROVED,Italy,IT,Italy,IT,45,Male,White,Italy,Italian,No,Unemployed (and job seeking),prolific_export_6331619a33b45c3d8eed0f5d.csv
5a53fa64e0cf3d0001260c9d,APPROVED,Austria,AT,Germany,DE,27,Female,White,Germany,"English, German",Yes,Part-Time,prolific_export_6331612f32727d005c9466da.csv
5a5c0728ac5624000153f533,APPROVED,Mexico,MX,United States,US,40,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5a5dc26facc75b00017a8374,APPROVED,Italy,IT,Italy,IT,48,Male,White,Italy,Italian,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5a60a51863394a0001552447,APPROVED,Portugal,PT,Portugal,PT,25,Female,White,Portugal,Portuguese,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5a6327acb9e3b50001a6ec7c,APPROVED,France,FR,France,FR,23,Male,White,France,English,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5a64bb3035f26b0001492e6a,APPROVED,Italy,IT,Italy,IT,47,Male,White,Italy,Italian,No,Unemployed (and job seeking),prolific_export_6331619a33b45c3d8eed0f5d.csv
5a7fab56f49c9a0001f3549e,APPROVED,Germany,DE,Germany,DE,29,Male,White,Germany,German,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5a874306f49c9a0001f39714,APPROVED,Mexico,MX,Mexico,MX,35,Female,White,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5a945d966475f900019fac27,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_633162142c195a4b173e2fab.csv
5a948fb31eda41000136244e,APPROVED,Chile,CL,Chile,CL,25,Male,Mixed,Chile,"English, Spanish",DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5a95825b1eda41000136321d,APPROVED,Belgium,BE,Belgium,BE,26,Female,White,Belgium,French,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5aad8904e1546900019aef8e,APPROVED,Spain,ES,Spain,ES,47,Male,White,Spain,Spanish,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5abb40a3e1546900019b9230,APPROVED,Netherlands,NL,Turkey,TR,31,Male,DATA_EXPIRED,Turkey,Turkish,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
5abd0b935cd105000161ea7b,APPROVED,Italy,IT,Italy,IT,40,Male,White,Italy,Italian,No,DATA_EXPIRED,prolific_export_6331619a33b45c3d8eed0f5d.csv
5ac2a8065cd10500016219df,APPROVED,Spain,ES,Spain,ES,58,Male,White,Spain,Spanish,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5ac78faa68b65b00018d72a1,APPROVED,France,FR,France,FR,46,Male,White,France,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_6331612f32727d005c9466da.csv
5ac9c4415cd1050001626162,APPROVED,Mexico,MX,Mexico,MX,33,Male,Mixed,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5acb4b2ffa3b4e000173aa2c,APPROVED,Poland,PL,Poland,PL,34,Male,White,Poland,Polish,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5acb896da3ba7a0001b4e99f,APPROVED,Spain,ES,Spain,ES,36,Male,White,Spain,Spanish,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5acc65f668b65b00018db322,APPROVED,Spain,ES,Spain,ES,43,Female,White,Spain,Spanish,No,Part-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5acdd627436f5500010046ac,APPROVED,Spain,ES,"Venezuela, Bolivarian Republic of",VE,57,Male,Other,Spain,Spanish,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5ace73bb68b65b00018dcea7,TIMED-OUT,Spain,ES,Spain,ES,34,Female,White,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_6331619a33b45c3d8eed0f5d.csv
5ad63c167f70c10001904bc5,APPROVED,Italy,IT,Italy,IT,23,Female,White,Italy,Italian,Yes,Other,prolific_export_6331619a33b45c3d8eed0f5d.csv
5adf6992dee8590001b060a8,APPROVED,Italy,IT,Italy,IT,29,Male,White,Italy,Italian,No,Part-Time,prolific_export_6324376597f7b837a1043faf.csv
5adf7fbc09eae200011305a5,APPROVED,Mexico,MX,Mexico,MX,52,Female,Mixed,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5aea8c59ae889e00018624c2,APPROVED,Mexico,MX,Mexico,MX,28,Male,Mixed,Mexico,Spanish,Yes,Part-Time,prolific_export_638657f445c7d89faeb56017.csv
5aeab425f00c7f00018f74d0,APPROVED,Spain,ES,Spain,ES,24,Female,White,Spain,Spanish,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5aeaef0715a9c300011acf19,APPROVED,Poland,PL,Poland,PL,23,Male,White,Poland,Polish,No,Part-Time,prolific_export_633161d71da17ce25a7d09b2.csv
5aeb22854333520001387c7b,APPROVED,Belgium,BE,Belgium,BE,30,Female,White,Belgium,Dutch,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
5af43b1ea37f390001276490,APPROVED,Mexico,MX,Mexico,MX,28,Female,Mixed,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5af9900aa8dec500015655bc,APPROVED,Italy,IT,Italy,IT,36,Female,White,Italy,Italian,No,Other,prolific_export_6331619a33b45c3d8eed0f5d.csv
5af9a04dfdaeac00010d6549,APPROVED,Germany,DE,Germany,DE,25,Male,White,Germany,German,Yes,Unemployed (and job seeking),prolific_export_6331612f32727d005c9466da.csv
5afdcfb796a88e0001ff3fdc,APPROVED,Germany,DE,Germany,DE,35,Male,White,Germany,German,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5b01647dc66dc6000197d6ea,APPROVED,Slovenia,SI,Slovenia,SI,28,Female,Mixed,Slovenia,Slovenian,No,Unemployed (and job seeking),prolific_export_633162142c195a4b173e2fab.csv
5b0f5ef5444cef0001ca968b,APPROVED,Mexico,MX,Mexico,MX,32,Female,White,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b1008e4e9270900013c0c8e,APPROVED,France,FR,Estonia,EE,28,Female,White,Estonia,Estonian,DATA_EXPIRED,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5b130d21444cef0001cadec7,APPROVED,Belgium,BE,Belgium,BE,29,Male,White,Belgium,German,Yes,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5b157b3bea49770001630696,APPROVED,Mexico,MX,United States,US,33,Female,Other,Mexico,Spanish,Yes,Part-Time,prolific_export_638657f445c7d89faeb56017.csv
5b1775aebdf4e10001631c75,APPROVED,Belgium,BE,Belgium,BE,23,Female,White,Belgium,Dutch,Yes,Part-Time,prolific_export_6331612f32727d005c9466da.csv
5b19a8072767e20001e4eaaf,APPROVED,Mexico,MX,Mexico,MX,33,Male,Mixed,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5b21646bdf28a7000166f4dc,APPROVED,Germany,DE,Germany,DE,31,Male,White,Germany,German,No,Part-Time,prolific_export_6331612f32727d005c9466da.csv
5b222aff59f9620001c109cb,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_63316268c0d0d441c2e46377.csv
5b226e6138fc0c0001313347,APPROVED,Italy,IT,Italy,IT,60,Female,White,Italy,Italian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_6331619a33b45c3d8eed0f5d.csv
5b264e0c0ec82d0001d207eb,APPROVED,Austria,AT,Austria,AT,23,Female,White,Austria,German,Yes,Other,prolific_export_6331612f32727d005c9466da.csv
5b27c8c9051c6e00019d0c96,APPROVED,Chile,CL,"Venezuela, Bolivarian Republic of",VE,54,Male,Mixed,"Venezuela, Bolivarian Republic of",Spanish,No,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b2e7ece975e260001e921b7,APPROVED,Latvia,LV,Latvia,LV,22,Female,White,Latvia,Latvian,No,Part-Time,prolific_export_63316268c0d0d441c2e46377.csv
5b3455bf532e3d00018e6e8b,APPROVED,Mexico,MX,Mexico,MX,46,Male,Mixed,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b36e844cf5e6a00018303a8,APPROVED,Mexico,MX,Mexico,MX,31,Male,White,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5b3d6a9ec2aa1000017781a0,APPROVED,Chile,CL,United Kingdom,GB,67,Male,White,United Kingdom,English,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5b3f242f9c2ec600014ef9fc,APPROVED,Italy,IT,Italy,IT,42,Female,White,Italy,English,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5b41ff131581c70001e8ecf2,APPROVED,Finland,FI,Finland,FI,37,Female,White,Finland,Finnish,No,Part-Time,prolific_export_6324376597f7b837a1043faf.csv
5b45113dcd6a5500018c5dd0,APPROVED,Finland,FI,Finland,FI,30,Male,White,Finland,Finnish,Yes,Other,prolific_export_63316268c0d0d441c2e46377.csv
5b477fdb56e0140001ac7720,APPROVED,Mexico,MX,Mexico,MX,49,Male,Mixed,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b4f49a511ab5d0001c5fba6,APPROVED,Spain,ES,"Venezuela, Bolivarian Republic of",VE,32,Female,White,Spain,English,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5b56dd19e689060001c8fae3,APPROVED,France,FR,United Kingdom,GB,36,Male,Mixed,United Kingdom,English,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5b5fdd52b36c3400014718b9,APPROVED,Mexico,MX,Mexico,MX,26,Female,White,Mexico,Spanish,No,Unemployed (and job seeking),prolific_export_638657f445c7d89faeb56017.csv
5b648251bd56550001bf31fd,APPROVED,Germany,DE,Germany,DE,50,Female,White,Germany,German,No,Part-Time,prolific_export_6331612f32727d005c9466da.csv
5b689fa3cda8590001db3c99,APPROVED,Mexico,MX,Mexico,MX,34,Female,Mixed,Mexico,Spanish,DATA_EXPIRED,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5b6dada03ce3ab0001fd077c,APPROVED,Italy,IT,Italy,IT,28,Female,White,Italy,Italian,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5b6fc83e8d336b0001fe77b4,APPROVED,Mexico,MX,Mexico,MX,41,Female,White,Mexico,Spanish,No,Part-Time,prolific_export_638657f445c7d89faeb56017.csv
5b70f979b719140001ee93b9,APPROVED,Italy,IT,Italy,IT,26,Female,White,Italy,Italian,Yes,Other,prolific_export_6331619a33b45c3d8eed0f5d.csv
5b715fbd6d79f00001375b11,APPROVED,Poland,PL,Poland,PL,27,Male,White,Poland,Italian,No,Full-Time,prolific_export_633161d71da17ce25a7d09b2.csv
5b755869d5d7a80001b45a1e,APPROVED,Spain,ES,Spain,ES,25,Female,White,Spain,Catalan,Yes,Part-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5b7850cef642ed0001517c4d,APPROVED,Chile,CL,Chile,CL,56,Female,White,Chile,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5b7b8153db11320001c412e8,APPROVED,Mexico,MX,Mexico,MX,32,Female,Other,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5b7c3611b22fe60001df1efd,APPROVED,Mexico,MX,Mexico,MX,31,Male,White,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b8c1c692c54a1000132d068,APPROVED,France,FR,France,FR,23,Female,White,France,French,Yes,Other,prolific_export_6331612f32727d005c9466da.csv
5b8c8e7d0c740e00019d55c3,APPROVED,Mexico,MX,Mexico,MX,37,Male,Mixed,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b8fe84a1a3ec10001a81642,APPROVED,Chile,CL,Chile,CL,22,Male,Other,Chile,Spanish,Yes,Other,prolific_export_638657f445c7d89faeb56017.csv
5b8ffa34cef28400010c05d9,APPROVED,France,FR,France,FR,27,Female,White,France,French,Yes,Other,prolific_export_6331612f32727d005c9466da.csv
5b9125803e41080001a850e5,APPROVED,Italy,IT,Italy,IT,25,Male,White,Italy,Italian,Yes,Due to start a new job within the next month,prolific_export_6331619a33b45c3d8eed0f5d.csv
5b930339301eda0001ba2446,APPROVED,Hungary,HU,Hungary,HU,36,Male,White,Hungary,Hungarian,No,Full-Time,prolific_export_633162142c195a4b173e2fab.csv
5b9858a3fe82f50001caef03,APPROVED,Mexico,MX,Mexico,MX,26,Male,Mixed,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5b9cd49a1b99540001d77b39,APPROVED,Spain,ES,Spain,ES,40,Male,White,Spain,Spanish,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5ba1606a7afca3000194ff8a,APPROVED,Germany,DE,France,FR,37,Male,White,Germany,French,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
5ba85b3a46de410001ecf951,APPROVED,Mexico,MX,Mexico,MX,30,Male,White,Mexico,Spanish,No,Unemployed (and job seeking),prolific_export_638657f445c7d89faeb56017.csv
5ba8a1d2c16a9c0001497a21,APPROVED,Belgium,BE,Belgium,BE,30,Male,White,Belgium,Dutch,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5ba988cc4a16920001d48564,APPROVED,Poland,PL,Poland,PL,29,Male,White,Poland,Polish,No,Other,prolific_export_633161d71da17ce25a7d09b2.csv
5bad564f2b86390001ccdd4c,APPROVED,Italy,IT,Italy,IT,60,Male,White,Italy,Italian,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5bad60642259980001c84ccf,APPROVED,Germany,DE,Tunisia,TN,29,Male,White,Tunisia,Arabic,DATA_EXPIRED,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
5baf6705848bbd0001d6fc8a,APPROVED,Poland,PL,Poland,PL,27,Female,White,Poland,English,No,Full-Time,prolific_export_633161d71da17ce25a7d09b2.csv
5bb105d357281d0001ff257b,APPROVED,Chile,CL,Chile,CL,24,Male,Mixed,Chile,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5bb511c6689fc5000149c703,APPROVED,Mexico,MX,Mexico,MX,46,Female,Other,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,prolific_export_638657f445c7d89faeb56017.csv
5bb635a5b734a20001f7a902,APPROVED,Chile,CL,Chile,CL,24,Male,White,Chile,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_638657f445c7d89faeb56017.csv
5bbc6d161b8d350001eb3888,TIMED-OUT,Italy,IT,Italy,IT,39,Male,White,Italy,Italian,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5bbfeaeb785edb0001fac427,APPROVED,Mexico,MX,United States,US,30,Male,Other,United States,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5bc0ffa6b548c500012783cc,APPROVED,Mexico,MX,Mexico,MX,35,Male,Other,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5bc3c42f8a4890000153f6c3,APPROVED,Netherlands,NL,Netherlands,NL,31,Female,White,Netherlands,Dutch,Yes,Part-Time,prolific_export_6331612f32727d005c9466da.csv
5bc4784e85214800017d8c1a,APPROVED,Hungary,HU,Hungary,HU,32,Male,White,Hungary,Hungarian,No,Unemployed (and job seeking),prolific_export_633162142c195a4b173e2fab.csv
5bcae4e85c2b810001dc2466,APPROVED,Poland,PL,Poland,PL,27,Male,White,Poland,Polish,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
5bdc52f3ee217b00012467e0,APPROVED,France,FR,France,FR,35,Male,White,France,French,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
5bdf68f1bb523d0001865fa7,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_638657f445c7d89faeb56017.csv
5bdf91dbb32fa800012ea282,APPROVED,Mexico,MX,Mexico,MX,47,Male,White,Mexico,Spanish,No,Full-Time,prolific_export_638657f445c7d89faeb56017.csv
5be5930cb64b4c0001c67f75,APPROVED,Spain,ES,Italy,IT,46,Male,White,Italy,Italian,No,Full-Time,prolific_export_6331619a33b45c3d8eed0f5d.csv
5be933421781990001f85d66,APPROVED,France,FR,France,FR,26,Female,White,France,French,Yes,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5be95af71ca46b0001862746,APPROVED,Germany,DE,Germany,DE,47,Male,White,Germany,German,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
5be971d66739f900018e4e23,APPROVED,Spain,ES,Spain,ES,45,Female,White,Spain,Spanish,No,DATA_EXPIRED,prolific_export_6331619a33b45c3d8eed0f5d.csv
5bf2b2beccb4f80001f8c582,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_6331612f32727d005c9466da.csv
