bootstrap_id,country_code,n_draws,n_unique_people,unique_share
99,MX,517,228,0.4410058027079304
100,CL,78,39,0.5
100,CO,13,2,0.15384615384615385
100,MX,517,224,0.4332688588007737
101,CL,78,35,0.44871794871794873
101,CO,13,3,0.23076923076923078
101,MX,517,218,0.42166344294003866
102,CL,78,35,0.44871794871794873
102,CO,13,3,0.23076923076923078
102,MX,517,216,0.41779497098646035
103,CL,78,40,0.5128205128205128
103,CO,13,3,0.23076923076923078
103,MX,517,218,0.42166344294003866
104,CL,78,42,0.5384615384615384
104,CO,13,3,0.23076923076923078
104,MX,517,231,0.44680851063829785
105,CL,78,39,0.5
105,CO,13,3,0.23076923076923078
105,MX,517,225,0.43520309477756286
106,CL,78,40,0.5128205128205128
106,CO,13,3,0.23076923076923078
106,MX,517,227,0.43907156673114117
107,CL,78,37,0.47435897435897434
107,CO,13,3,0.23076923076923078
107,MX,517,238,0.46034816247582205
108,CL,78,37,0.47435897435897434
108,CO,13,2,0.15384615384615385
108,MX,517,219,0.42359767891682787
109,CL,78,37,0.47435897435897434
109,CO,13,3,0.23076923076923078
109,MX,517,229,0.44294003868471954
110,CL,78,40,0.5128205128205128
110,CO,13,3,0.23076923076923078
110,MX,517,218,0.42166344294003866
111,CL,78,39,0.5
111,CO,13,3,0.23076923076923078
111,MX,517,222,0.42940038684719534
112,CL,78,40,0.5128205128205128
112,CO,13,3,0.23076923076923078
112,MX,517,227,0.43907156673114117
113,CL,78,39,0.5
113,CO,13,2,0.15384615384615385
113,MX,517,228,0.4410058027079304
114,CL,78,40,0.5128205128205128
114,CO,13,3,0.23076923076923078
114,MX,517,232,0.44874274661508706
115,CL,78,38,0.48717948717948717
115,CO,13,3,0.23076923076923078
115,MX,517,229,0.44294003868471954
116,CL,78,42,0.5384615384615384
116,CO,13,3,0.23076923076923078
116,MX,517,223,0.43133462282398455
117,CL,78,36,0.46153846153846156
117,CO,13,3,0.23076923076923078
117,MX,517,233,0.4506769825918762
118,CL,78,34,0.4358974358974359
118,CO,13,3,0.23076923076923078
118,MX,517,228,0.4410058027079304
119,CL,78,40,0.5128205128205128
119,CO,13,3,0.23076923076923078
119,MX,517,217,0.4197292069632495
120,CL,78,38,0.48717948717948717
120,CO,13,2,0.15384615384615385
120,MX,517,229,0.44294003868471954
121,CL,78,37,0.47435897435897434
121,CO,13,3,0.23076923076923078
121,MX,517,228,0.4410058027079304
122,CL,78,37,0.47435897435897434
122,CO,13,3,0.23076923076923078
122,MX,517,225,0.43520309477756286
123,CL,78,34,0.4358974358974359
123,CO,13,2,0.15384615384615385
123,MX,517,231,0.44680851063829785
124,CL,78,39,0.5
124,CO,13,3,0.23076923076923078
124,MX,517,240,0.46421663442940037
125,CL,78,35,0.44871794871794873
125,CO,13,2,0.15384615384615385
125,MX,517,224,0.4332688588007737
126,CL,78,37,0.47435897435897434
126,CO,13,2,0.15384615384615385
126,MX,517,226,0.437137330754352
127,CL,78,42,0.5384615384615384
127,CO,13,2,0.15384615384615385
127,MX,517,223,0.43133462282398455
128,CL,78,41,0.5256410256410257
128,CO,13,3,0.23076923076923078
128,MX,517,227,0.43907156673114117
129,CL,78,37,0.47435897435897434
129,CO,13,3,0.23076923076923078
129,MX,517,225,0.43520309477756286
130,CL,78,34,0.4358974358974359
130,CO,13,3,0.23076923076923078
130,MX,517,227,0.43907156673114117
131,CL,78,35,0.44871794871794873
131,CO,13,3,0.23076923076923078
131,MX,517,215,0.4158607350096712
132,CL,78,38,0.48717948717948717
132,CO,13,3,0.23076923076923078
132,MX,517,231,0.44680851063829785
133,CL,78,44,0.5641025641025641
133,CO,13,2,0.15384615384615385
133,MX,517,221,0.4274661508704062
134,CL,78,38,0.48717948717948717
134,CO,13,3,0.23076923076923078
134,MX,517,233,0.4506769825918762
135,CL,78,37,0.47435897435897434
135,CO,13,3,0.23076923076923078
135,MX,517,221,0.4274661508704062
136,CL,78,34,0.4358974358974359
136,CO,13,3,0.23076923076923078
136,MX,517,230,0.4448742746615087
137,CL,78,42,0.5384615384615384
137,CO,13,3,0.23076923076923078
137,MX,517,223,0.43133462282398455
138,CL,78,37,0.47435897435897434
138,CO,13,3,0.23076923076923078
138,MX,517,227,0.43907156673114117
139,CL,78,35,0.44871794871794873
139,CO,13,3,0.23076923076923078
139,MX,517,225,0.43520309477756286
140,CL,78,40,0.5128205128205128
140,CO,13,2,0.15384615384615385
140,MX,517,223,0.43133462282398455
141,CL,78,37,0.47435897435897434
141,CO,13,3,0.23076923076923078
141,MX,517,234,0.4526112185686654
142,CL,78,39,0.5
142,CO,13,3,0.23076923076923078
142,MX,517,222,0.42940038684719534
143,CL,78,42,0.5384615384615384
143,CO,13,2,0.15384615384615385
143,MX,517,226,0.437137330754352
144,CL,78,43,0.5512820512820513
144,CO,13,3,0.23076923076923078
144,MX,517,225,0.43520309477756286
145,CL,78,39,0.5
145,CO,13,3,0.23076923076923078
145,MX,517,229,0.44294003868471954
146,CL,78,42,0.5384615384615384
146,CO,13,3,0.23076923076923078
146,MX,517,229,0.44294003868471954
147,CL,78,40,0.5128205128205128
147,CO,13,3,0.23076923076923078
147,MX,517,235,0.45454545454545453
148,CL,78,34,0.4358974358974359
148,CO,13,3,0.23076923076923078
148,MX,517,221,0.4274661508704062
149,CL,78,39,0.5
149,CO,13,3,0.23076923076923078
149,MX,517,234,0.4526112185686654
150,CL,78,36,0.46153846153846156
150,CO,13,3,0.23076923076923078
150,MX,517,226,0.437137330754352
151,CL,78,38,0.48717948717948717
151,CO,13,2,0.15384615384615385
151,MX,517,229,0.44294003868471954
152,CL,78,41,0.5256410256410257
152,CO,13,2,0.15384615384615385
152,MX,517,221,0.4274661508704062
153,CL,78,36,0.46153846153846156
153,CO,13,2,0.15384615384615385
153,MX,517,222,0.42940038684719534
154,CL,78,41,0.5256410256410257
154,CO,13,3,0.23076923076923078
154,MX,517,227,0.43907156673114117
155,CL,78,42,0.5384615384615384
155,CO,13,3,0.23076923076923078
155,MX,517,230,0.4448742746615087
156,CL,78,41,0.5256410256410257
156,CO,13,3,0.23076923076923078
156,MX,517,229,0.44294003868471954
157,CL,78,40,0.5128205128205128
157,CO,13,2,0.15384615384615385
157,MX,517,222,0.42940038684719534
158,CL,78,38,0.48717948717948717
158,CO,13,3,0.23076923076923078
158,MX,517,227,0.43907156673114117
159,CL,78,38,0.48717948717948717
159,CO,13,3,0.23076923076923078
159,MX,517,224,0.4332688588007737
160,CL,78,31,0.3974358974358974
160,CO,13,3,0.23076923076923078
160,MX,517,230,0.4448742746615087
161,CL,78,35,0.44871794871794873
161,CO,13,3,0.23076923076923078
161,MX,517,213,0.4119922630560928
162,CL,78,36,0.46153846153846156
162,CO,13,2,0.15384615384615385
162,MX,517,231,0.44680851063829785
163,CL,78,39,0.5
163,CO,13,2,0.15384615384615385
163,MX,517,237,0.4584139264990329
164,CL,78,41,0.5256410256410257
164,CO,13,3,0.23076923076923078
164,MX,517,225,0.43520309477756286
165,CL,78,35,0.44871794871794873
165,CO,13,3,0.23076923076923078
165,MX,517,223,0.43133462282398455
166,CL,78,36,0.46153846153846156
166,CO,13,3,0.23076923076923078
166,MX,517,237,0.4584139264990329
167,CL,78,44,0.5641025641025641
167,CO,13,3,0.23076923076923078
167,MX,517,228,0.4410058027079304
168,CL,78,41,0.5256410256410257
168,CO,13,3,0.23076923076923078
168,MX,517,231,0.44680851063829785
169,CL,78,33,0.4230769230769231
169,CO,13,2,0.15384615384615385
169,MX,517,224,0.4332688588007737
170,CL,78,34,0.4358974358974359
170,CO,13,3,0.23076923076923078
170,MX,517,221,0.4274661508704062
171,CL,78,39,0.5
171,CO,13,3,0.23076923076923078
171,MX,517,230,0.4448742746615087
172,CL,78,40,0.5128205128205128
172,CO,13,3,0.23076923076923078
172,MX,517,227,0.43907156673114117
173,CL,78,41,0.5256410256410257
173,CO,13,3,0.23076923076923078
173,MX,517,233,0.4506769825918762
174,CL,78,38,0.48717948717948717
174,CO,13,2,0.15384615384615385
174,MX,517,219,0.42359767891682787
175,CL,78,43,0.5512820512820513
175,CO,13,2,0.15384615384615385
175,MX,517,221,0.4274661508704062
176,CL,78,38,0.48717948717948717
176,CO,13,3,0.23076923076923078
176,MX,517,235,0.45454545454545453
177,CL,78,42,0.5384615384615384
177,CO,13,2,0.15384615384615385
177,MX,517,238,0.46034816247582205
178,CL,78,36,0.46153846153846156
178,CO,13,3,0.23076923076923078
178,MX,517,221,0.4274661508704062
179,CL,78,41,0.5256410256410257
179,CO,13,3,0.23076923076923078
179,MX,517,226,0.437137330754352
180,CL,78,40,0.5128205128205128
180,CO,13,3,0.23076923076923078
180,MX,517,230,0.4448742746615087
181,CL,78,37,0.47435897435897434
181,CO,13,3,0.23076923076923078
181,MX,517,233,0.4506769825918762
182,CL,78,41,0.5256410256410257
182,CO,13,2,0.15384615384615385
182,MX,517,225,0.43520309477756286
183,CL,78,39,0.5
183,CO,13,2,0.15384615384615385
183,MX,517,228,0.4410058027079304
184,CL,78,41,0.5256410256410257
184,CO,13,3,0.23076923076923078
184,MX,517,218,0.42166344294003866
185,CL,78,39,0.5
185,CO,13,3,0.23076923076923078
185,MX,517,225,0.43520309477756286
186,CL,78,39,0.5
186,CO,13,3,0.23076923076923078
186,MX,517,243,0.4700193423597679
187,CL,78,36,0.46153846153846156
187,CO,13,2,0.15384615384615385
187,MX,517,231,0.44680851063829785
188,CL,78,37,0.47435897435897434
188,CO,13,3,0.23076923076923078
188,MX,517,233,0.4506769825918762
189,CL,78,40,0.5128205128205128
189,CO,13,2,0.15384615384615385
189,MX,517,227,0.43907156673114117
190,CL,78,38,0.48717948717948717
190,CO,13,2,0.15384615384615385
190,MX,517,222,0.42940038684719534
191,CL,78,36,0.46153846153846156
191,CO,13,3,0.23076923076923078
191,MX,517,225,0.43520309477756286
192,CL,78,37,0.47435897435897434
192,CO,13,3,0.23076923076923078
192,MX,517,240,0.46421663442940037
193,CL,78,37,0.47435897435897434
193,CO,13,3,0.23076923076923078
193,MX,517,216,0.41779497098646035
194,CL,78,39,0.5
194,CO,13,3,0.23076923076923078
194,MX,517,227,0.43907156673114117
195,CL,78,40,0.5128205128205128
195,CO,13,2,0.15384615384615385
195,MX,517,228,0.4410058027079304
196,CL,78,33,0.4230769230769231
196,CO,13,3,0.23076923076923078
196,MX,517,225,0.43520309477756286
197,CL,78,40,0.5128205128205128
197,CO,13,2,0.15384615384615385
197,MX,517,222,0.42940038684719534
198,CL,78,41,0.5256410256410257
198,CO,13,3,0.23076923076923078
198,MX,517,220,0.425531914893617
199,CL,78,37,0.47435897435897434
199,CO,13,2,0.15384615384615385
199,MX,517,225,0.43520309477756286
200,CL,78,40,0.5128205128205128
200,CO,13,3,0.23076923076923078
200,MX,517,233,0.4506769825918762
201,CL,78,39,0.5
201,CO,13,3,0.23076923076923078
201,MX,517,228,0.4410058027079304
202,CL,78,37,0.47435897435897434
202,CO,13,3,0.23076923076923078
202,MX,517,227,0.43907156673114117
203,CL,78,39,0.5
203,CO,13,3,0.23076923076923078
203,MX,517,229,0.44294003868471954
204,CL,78,40,0.5128205128205128
204,CO,13,2,0.15384615384615385
204,MX,517,220,0.425531914893617
205,CL,78,41,0.5256410256410257
205,CO,13,2,0.15384615384615385
205,MX,517,230,0.4448742746615087
206,CL,78,38,0.48717948717948717
206,CO,13,3,0.23076923076923078
206,MX,517,219,0.42359767891682787
207,CL,78,36,0.46153846153846156
207,CO,13,3,0.23076923076923078
207,MX,517,226,0.437137330754352
208,CL,78,36,0.46153846153846156
208,CO,13,2,0.15384615384615385
208,MX,517,223,0.43133462282398455
209,CL,78,42,0.5384615384615384
209,CO,13,3,0.23076923076923078
209,MX,517,229,0.44294003868471954
210,CL,78,34,0.4358974358974359
210,CO,13,2,0.15384615384615385
210,MX,517,221,0.4274661508704062
211,CL,78,44,0.5641025641025641
211,CO,13,2,0.15384615384615385
211,MX,517,222,0.42940038684719534
212,CL,78,35,0.44871794871794873
212,CO,13,2,0.15384615384615385
212,MX,517,242,0.46808510638297873
213,CL,78,38,0.48717948717948717
213,CO,13,2,0.15384615384615385
213,MX,517,220,0.425531914893617
214,CL,78,36,0.46153846153846156
214,CO,13,2,0.15384615384615385
214,MX,517,221,0.4274661508704062
215,CL,78,42,0.5384615384615384
215,CO,13,3,0.23076923076923078
215,MX,517,233,0.4506769825918762
216,CL,78,40,0.5128205128205128
216,CO,13,2,0.15384615384615385
216,MX,517,229,0.44294003868471954
217,CL,78,39,0.5
217,CO,13,2,0.15384615384615385
217,MX,517,227,0.43907156673114117
218,CL,78,40,0.5128205128205128
218,CO,13,2,0.15384615384615385
218,MX,517,230,0.4448742746615087
219,CL,78,39,0.5
219,CO,13,2,0.15384615384615385
219,MX,517,235,0.45454545454545453
220,CL,78,34,0.4358974358974359
220,CO,13,2,0.15384615384615385
220,MX,517,228,0.4410058027079304
221,CL,78,37,0.47435897435897434
221,CO,13,2,0.15384615384615385
221,MX,517,223,0.43133462282398455
222,CL,78,41,0.5256410256410257
222,CO,13,3,0.23076923076923078
222,MX,517,221,0.4274661508704062
223,CL,78,34,0.4358974358974359
223,CO,13,3,0.23076923076923078
223,MX,517,232,0.44874274661508706
224,CL,78,37,0.47435897435897434
224,CO,13,3,0.23076923076923078
224,MX,517,220,0.425531914893617
225,CL,78,41,0.5256410256410257
225,CO,13,3,0.23076923076923078
225,MX,517,228,0.4410058027079304
226,CL,78,38,0.48717948717948717
226,CO,13,2,0.15384615384615385
226,MX,517,233,0.4506769825918762
227,CL,78,42,0.5384615384615384
227,CO,13,2,0.15384615384615385
227,MX,517,221,0.4274661508704062
228,CL,78,37,0.47435897435897434
228,CO,13,3,0.23076923076923078
228,MX,517,220,0.425531914893617
229,CL,78,38,0.48717948717948717
229,CO,13,2,0.15384615384615385
229,MX,517,227,0.43907156673114117
230,CL,78,42,0.5384615384615384
230,CO,13,2,0.15384615384615385
230,MX,517,225,0.43520309477756286
231,CL,78,40,0.5128205128205128
231,CO,13,3,0.23076923076923078
231,MX,517,220,0.425531914893617
232,CL,78,43,0.5512820512820513
232,CO,13,3,0.23076923076923078
232,MX,517,227,0.43907156673114117
233,CL,78,39,0.5
233,CO,13,2,0.15384615384615385
233,MX,517,221,0.4274661508704062
234,CL,78,37,0.47435897435897434
234,CO,13,3,0.23076923076923078
234,MX,517,223,0.43133462282398455
235,CL,78,36,0.46153846153846156
235,CO,13,3,0.23076923076923078
235,MX,517,222,0.42940038684719534
236,CL,78,41,0.5256410256410257
236,CO,13,3,0.23076923076923078
236,MX,517,221,0.4274661508704062
237,CL,78,37,0.47435897435897434
237,CO,13,3,0.23076923076923078
237,MX,517,229,0.44294003868471954
238,CL,78,37,0.47435897435897434
238,CO,13,3,0.23076923076923078
238,MX,517,226,0.437137330754352
239,CL,78,37,0.47435897435897434
239,CO,13,2,0.15384615384615385
239,MX,517,231,0.44680851063829785
240,CL,78,36,0.46153846153846156
240,CO,13,3,0.23076923076923078
240,MX,517,239,0.4622823984526112
241,CL,78,42,0.5384615384615384
241,CO,13,3,0.23076923076923078
241,MX,517,220,0.425531914893617
242,CL,78,36,0.46153846153846156
242,CO,13,3,0.23076923076923078
242,MX,517,219,0.42359767891682787
243,CL,78,40,0.5128205128205128
243,CO,13,3,0.23076923076923078
243,MX,517,222,0.42940038684719534
244,CL,78,38,0.48717948717948717
244,CO,13,3,0.23076923076923078
244,MX,517,221,0.4274661508704062
245,CL,78,44,0.5641025641025641
245,CO,13,3,0.23076923076923078
245,MX,517,223,0.43133462282398455
246,CL,78,41,0.5256410256410257
246,CO,13,2,0.15384615384615385
246,MX,517,227,0.43907156673114117
247,CL,78,39,0.5
247,CO,13,2,0.15384615384615385
247,MX,517,212,0.41005802707930367
248,CL,78,38,0.48717948717948717
248,CO,13,2,0.15384615384615385
248,MX,517,228,0.4410058027079304
249,CL,78,37,0.47435897435897434
249,CO,13,3,0.23076923076923078
249,MX,517,221,0.4274661508704062
250,CL,78,39,0.5
250,CO,13,3,0.23076923076923078
250,MX,517,220,0.425531914893617
251,CL,78,37,0.47435897435897434
251,CO,13,2,0.15384615384615385
251,MX,517,225,0.43520309477756286
252,CL,78,38,0.48717948717948717
252,CO,13,3,0.23076923076923078
252,MX,517,232,0.44874274661508706
253,CL,78,41,0.5256410256410257
253,CO,13,3,0.23076923076923078
253,MX,517,221,0.4274661508704062
254,CL,78,38,0.48717948717948717
254,CO,13,3,0.23076923076923078
254,MX,517,224,0.4332688588007737
255,CL,78,37,0.47435897435897434
255,CO,13,2,0.15384615384615385
255,MX,517,220,0.425531914893617
256,CL,78,39,0.5
256,CO,13,3,0.23076923076923078
256,MX,517,229,0.44294003868471954
257,CL,78,41,0.5256410256410257
257,CO,13,3,0.23076923076923078
257,MX,517,235,0.45454545454545453
258,CL,78,40,0.5128205128205128
258,CO,13,2,0.15384615384615385
258,MX,517,224,0.4332688588007737
259,CL,78,41,0.5256410256410257
259,CO,13,2,0.15384615384615385
259,MX,517,224,0.4332688588007737
260,CL,78,35,0.44871794871794873
260,CO,13,3,0.23076923076923078
260,MX,517,221,0.4274661508704062
261,CL,78,39,0.5
261,CO,13,2,0.15384615384615385
261,MX,517,225,0.43520309477756286
262,CL,78,34,0.4358974358974359
262,CO,13,3,0.23076923076923078
262,MX,517,230,0.4448742746615087
263,CL,78,41,0.5256410256410257
