bootstrap_id,country_code,n_draws_country,n_draw_country,correct_country_size
118,CO,13,13,TRUE
118,MX,517,517,TRUE
119,CL,78,78,TRUE
119,CO,13,13,TRUE
119,MX,517,517,TRUE
120,CL,78,78,TRUE
120,CO,13,13,TRUE
120,MX,517,517,TRUE
121,CL,78,78,TRUE
121,CO,13,13,TRUE
121,MX,517,517,TRUE
122,CL,78,78,TRUE
122,CO,13,13,TRUE
122,MX,517,517,TRUE
123,CL,78,78,TRUE
123,CO,13,13,TRUE
123,MX,517,517,TRUE
124,CL,78,78,TRUE
124,CO,13,13,TRUE
124,MX,517,517,TRUE
125,CL,78,78,TRUE
125,CO,13,13,TRUE
125,MX,517,517,TRUE
126,CL,78,78,TRUE
126,CO,13,13,TRUE
126,MX,517,517,TRUE
127,CL,78,78,TRUE
127,CO,13,13,TRUE
127,MX,517,517,TRUE
128,CL,78,78,TRUE
128,CO,13,13,TRUE
128,MX,517,517,TRUE
129,CL,78,78,TRUE
129,CO,13,13,TRUE
129,MX,517,517,TRUE
130,CL,78,78,TRUE
130,CO,13,13,TRUE
130,MX,517,517,TRUE
131,CL,78,78,TRUE
131,CO,13,13,TRUE
131,MX,517,517,TRUE
132,CL,78,78,TRUE
132,CO,13,13,TRUE
132,MX,517,517,TRUE
133,CL,78,78,TRUE
133,CO,13,13,TRUE
133,MX,517,517,TRUE
134,CL,78,78,TRUE
134,CO,13,13,TRUE
134,MX,517,517,TRUE
135,CL,78,78,TRUE
135,CO,13,13,TRUE
135,MX,517,517,TRUE
136,CL,78,78,TRUE
136,CO,13,13,TRUE
136,MX,517,517,TRUE
137,CL,78,78,TRUE
137,CO,13,13,TRUE
137,MX,517,517,TRUE
138,CL,78,78,TRUE
138,CO,13,13,TRUE
138,MX,517,517,TRUE
139,CL,78,78,TRUE
139,CO,13,13,TRUE
139,MX,517,517,TRUE
140,CL,78,78,TRUE
140,CO,13,13,TRUE
140,MX,517,517,TRUE
141,CL,78,78,TRUE
141,CO,13,13,TRUE
141,MX,517,517,TRUE
142,CL,78,78,TRUE
142,CO,13,13,TRUE
142,MX,517,517,TRUE
143,CL,78,78,TRUE
143,CO,13,13,TRUE
143,MX,517,517,TRUE
144,CL,78,78,TRUE
