integrated_row_id,comparison_region,subsample,dataset_source,n_det_valid_original,n_det_missing_original,n_det_imputed_50,prop_det_imputed_50,has_det_imputed_50,det_cols_imputed_50,n_det_valid,n_det_missing,usable_for_clustering
126,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
127,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
128,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
129,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
130,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
131,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_10_cost_efficiency; det_16_commitment,32,0,TRUE
132,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
133,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
134,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
135,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
136,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
137,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
138,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
139,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
140,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_05_frugality,32,0,TRUE
141,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
142,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
143,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
144,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
145,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
146,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
147,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
148,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
149,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
150,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_14_environmental_concerns,32,0,TRUE
151,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
152,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
153,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
154,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
155,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
156,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
157,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
158,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_04_added_value,32,0,TRUE
159,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
160,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
161,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
162,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
163,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
164,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
165,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
166,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
167,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
168,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
169,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
170,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
171,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
172,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
173,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
174,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
175,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
176,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
177,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
178,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_08_trust,32,0,TRUE
179,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
180,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
181,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
182,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
183,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
184,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
185,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
186,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
187,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
188,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
189,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_05_frugality,32,0,TRUE
190,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_22_peer_pressure,32,0,TRUE
191,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
192,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_18_autonomy,32,0,TRUE
193,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
194,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
195,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
196,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_02_credit_score,32,0,TRUE
197,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_12_own_competence,32,0,TRUE
198,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
199,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_23_support,32,0,TRUE
200,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
201,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
202,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
203,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
204,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_24_socialising,32,0,TRUE
205,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
206,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
207,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
208,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_05_frugality,32,0,TRUE
209,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
210,EUROPE,RENOVISOR,rv,29,3,3,0.09375,TRUE,det_03_risk_profile; det_14_environmental_concerns; det_23_support,32,0,TRUE
211,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
212,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
213,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
214,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
215,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
216,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
217,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_01_profits,32,0,TRUE
218,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
219,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
220,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_12_own_competence,32,0,TRUE
221,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
222,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
223,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
224,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
225,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
226,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
227,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
228,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_12_own_competence,32,0,TRUE
229,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
230,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
231,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
232,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
233,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
234,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
235,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
236,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
237,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
238,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
239,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
240,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_26_novelty,32,0,TRUE
241,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_32_own_significance,32,0,TRUE
242,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
243,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
244,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
245,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_17_adherence; det_26_novelty,32,0,TRUE
246,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
247,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
248,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
249,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
250,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
251,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
252,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
253,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_10_cost_efficiency,32,0,TRUE
254,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
255,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
256,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
257,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
258,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
259,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
260,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
261,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
262,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
263,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,FALSE
264,EUROPE,RENOVISOR,rv,29,3,3,0.09375,TRUE,det_18_autonomy; det_26_novelty; det_27_fun,32,0,TRUE
265,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
266,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
267,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
268,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_20_coziness,32,0,TRUE
269,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_20_coziness; det_23_support,32,0,TRUE
270,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
271,EUROPE,RENOVISOR,rv,15,17,0,0,FALSE,NA,15,17,FALSE
272,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
273,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
274,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
275,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
276,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_08_trust; det_20_coziness,32,0,TRUE
277,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
278,EUROPE,RENOVISOR,rv,21,11,0,0,FALSE,NA,21,11,FALSE
279,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
280,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
281,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
282,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
283,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
284,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
285,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
286,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
287,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_13_technical_fit,32,0,TRUE
288,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
289,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
290,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_24_socialising; det_27_fun,32,0,TRUE
291,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_14_environmental_concerns,32,0,TRUE
292,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
293,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
294,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
295,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
296,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_01_profits,32,0,TRUE
297,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
298,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
299,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
300,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
301,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
302,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
