analysis_sample,matrix,comparison,metric,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants,greater_than_50,greater_or_equal_50
RENOVISOR,EXT,KM_vs_EXPERTS,jaccard_pct,KM3,Uninterested,31.25,15,6,5,33.333333333333336,83.33333333333333,31.25,det_07_legal; det_13_technical_fit; det_19_wellbeing; det_22_peer_pressure; det_30_authority,FALSE,FALSE
RENOVISOR,EXT,KM_vs_EXPERTS,jaccard_pct,KM6,Homo.Economicus,30.76923076923077,8,9,4,50,44.44444444444444,30.76923076923077,det_07_legal; det_08_trust; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
RENOVISOR,EXT,KM_vs_EXPERTS,jaccard_pct,KM5,Activist,28.571428571428573,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment,FALSE,FALSE
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA2,Fearful,53.84615384615385,11,9,7,63.63636363636363,77.77777777777777,53.84615384615385,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing,TRUE,TRUE
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA6,Homo.Economicus,41.666666666666664,8,9,5,62.5,55.55555555555556,41.666666666666664,det_01_profits; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge,FALSE,FALSE
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA4,Careful,17.647058823529413,8,12,3,37.5,25,17.647058823529413,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency,FALSE,FALSE
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA5,Uninterested,16.666666666666668,15,6,3,20,50,16.666666666666668,det_13_technical_fit; det_22_peer_pressure; det_30_authority,FALSE,FALSE
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA3,Activist,7.6923076923076925,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_14_environmental_concerns,FALSE,FALSE
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,KM1,EFA1,100,8,9,8,100,88.88888888888889,88.88888888888889,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,TRUE,TRUE
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,KM2,EFA2,62.5,8,8,5,62.5,62.5,45.45454545454545,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_17_adherence; det_23_support,TRUE,TRUE
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,KM5,EFA5,62.5,8,9,5,62.5,55.55555555555556,41.666666666666664,det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_21_rights_and_duties; det_25_agreement,TRUE,TRUE
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,KM6,EFA6,60,15,15,9,60,60,42.857142857142854,det_09_safety; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy; det_21_rights_and_duties; det_25_agreement; det_26_novelty; det_32_own_significance,TRUE,TRUE
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,KM4,EFA4,57.142857142857146,14,8,8,57.142857142857146,100,57.142857142857146,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_17_adherence; det_21_rights_and_duties; det_27_fun,TRUE,TRUE
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,KM3,EFA3,26.666666666666668,15,8,4,26.666666666666668,50,21.05263157894737,det_02_credit_score; det_25_agreement; det_27_fun; det_32_own_significance,FALSE,FALSE
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM4,Careful,36.8421052631579,14,12,7,50,58.333333333333336,36.8421052631579,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_10_cost_efficiency; det_12_own_competence; det_14_environmental_concerns; det_17_adherence,FALSE,FALSE
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM3,Fearful,33.333333333333336,15,9,6,40,66.66666666666667,33.333333333333336,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency,FALSE,FALSE
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM5,Homo.Economicus,21.428571428571427,8,9,3,37.5,33.333333333333336,21.428571428571427,det_09_safety; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM2,Early.Adopter,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_14_environmental_concerns; det_17_adherence,FALSE,FALSE
