analysis_sample,matrix,comparison,metric,n_pairs,sum_similarity,mean_similarity,median_similarity,min_similarity,max_similarity,n_gt50,n_ge50,pct_pairs_gt50
EUROPE,POS,KM_vs_EFA,overlap_left_pct,6,377.5,62.91666666666667,75,13.333333333333334,87.5,4,4,66.66666666666667
EUROPE,POS,KM_vs_EXPERTS,jaccard_pct,6,290.7516339869281,48.45860566448802,50,22.22222222222222,75,2,4,33.333333333333336
EUROPE,EXT,EFA_vs_EXPERTS,jaccard_pct,6,206.010101010101,34.33501683501683,43.05555555555556,11.11111111111111,46.666666666666664,0,0,0
EUROPE,EXT,KM_vs_EFA,overlap_left_pct,6,360.3571428571429,60.05952380952381,60.83333333333333,12.5,100,3,3,50
EUROPE,EXT,KM_vs_EXPERTS,jaccard_pct,6,286.113894275659,47.685649045943165,47.51131221719457,31.25,64.28571428571429,3,3,50
EUROPE,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,188.3132227249874,31.38553712083124,33.08823529411765,7.6923076923076925,50,0,1,0
EUROPE,Z_ABS,KM_vs_EFA,overlap_left_pct,6,386.2121212121212,64.36868686868686,62.27272727272727,33.333333333333336,100,5,5,83.33333333333333
EUROPE,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,178.40510366826157,29.73418394471026,27.77777777777778,10.526315789473683,54.54545454545455,1,1,16.666666666666668
LATAM,RAW,EFA_vs_EXPERTS,jaccard_pct,6,204.86735486735486,34.144559144559146,33.24175824175824,16.666666666666668,50,0,1,0
LATAM,RAW,KM_vs_EFA,overlap_left_pct,6,300.79059829059827,50.131766381766376,48.33333333333333,12.5,93.33333333333331,2,3,33.333333333333336
LATAM,RAW,KM_vs_EXPERTS,jaccard_pct,6,219.72904546433958,36.62150757738993,37.980769230769226,23.529411764705884,50,0,1,0
LATAM,POS,EFA_vs_EXPERTS,jaccard_pct,6,191.1628730746378,31.860478845772963,34.13461538461539,10,44.44444444444444,0,0,0
LATAM,POS,KM_vs_EFA,overlap_left_pct,6,336.3247863247863,56.054131054131055,61.111111111111114,8.333333333333334,100,4,4,66.66666666666667
LATAM,POS,KM_vs_EXPERTS,jaccard_pct,6,238.1333943833944,39.688899063899065,38.46153846153846,22.22222222222222,66.66666666666667,1,1,16.666666666666668
LATAM,EXT,EFA_vs_EXPERTS,jaccard_pct,6,207.01383583736524,34.502305972894206,33.98692810457516,13.333333333333334,58.8235294117647,1,1,16.666666666666668
LATAM,EXT,KM_vs_EFA,overlap_left_pct,6,368.46153846153845,61.41025641025641,70.83333333333334,13.333333333333334,100,4,4,66.66666666666667
LATAM,EXT,KM_vs_EXPERTS,jaccard_pct,6,215.95920419449828,35.993200699083054,39.230769230769226,23.529411764705884,44.44444444444444,0,0,0
LATAM,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,202.45726495726495,33.7428774928775,35.41666666666667,16.666666666666668,53.84615384615385,1,1,16.666666666666668
LATAM,Z_ABS,KM_vs_EFA,overlap_left_pct,6,340.8333333333333,56.80555555555556,51.66666666666667,33.333333333333336,100,3,4,50
LATAM,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,172.93637734814206,28.822729558023674,29.02097902097902,15.384615384615383,41.666666666666664,0,0,0
DIEGO,RAW,EFA_vs_EXPERTS,jaccard_pct,6,190.7239819004525,31.787330316742082,25.824175824175825,17.647058823529413,55.55555555555556,1,1,16.666666666666668
DIEGO,RAW,KM_vs_EFA,overlap_left_pct,6,270.12820512820514,45.02136752136752,42.56410256410256,25,66.66666666666667,2,2,33.333333333333336
DIEGO,RAW,KM_vs_EXPERTS,jaccard_pct,6,225.6658692185008,37.61097820308347,38.75,27.272727272727273,45.45454545454545,0,0,0
DIEGO,POS,EFA_vs_EXPERTS,jaccard_pct,6,160.05050505050505,26.675084175084177,25.833333333333336,16.666666666666668,44.44444444444444,0,0,0
DIEGO,POS,KM_vs_EFA,overlap_left_pct,6,188.05555555555554,31.34259259259259,31.25,0,55.55555555555556,1,2,16.666666666666668
DIEGO,POS,KM_vs_EXPERTS,jaccard_pct,6,263.44696969696975,43.907828282828284,36.93181818181819,31.25,75,1,2,16.666666666666668
DIEGO,EXT,EFA_vs_EXPERTS,jaccard_pct,6,192.83882783882783,32.13980463980464,29.166666666666668,21.428571428571427,50,0,1,0
DIEGO,EXT,KM_vs_EFA,overlap_left_pct,6,284.85625485625485,47.47604247604248,50.256410256410255,25,58.333333333333336,3,3,50
DIEGO,EXT,KM_vs_EXPERTS,jaccard_pct,6,191.16161616161614,31.86026936026936,27.922077922077925,21.428571428571427,55.55555555555556,1,1,16.666666666666668
DIEGO,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,143.30191007822586,23.88365167970431,21.2406015037594,18.181818181818183,38.888888888888886,0,0,0
DIEGO,Z_ABS,KM_vs_EFA,overlap_left_pct,6,294.047619047619,49.007936507936506,45.83333333333333,33.333333333333336,77.77777777777777,2,3,33.333333333333336
DIEGO,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,153.29545454545456,25.549242424242426,27.272727272727273,12.5,31.25,0,0,0
RENOVISOR,RAW,EFA_vs_EXPERTS,jaccard_pct,6,214.60317460317458,35.767195767195766,41.42857142857143,16.666666666666668,44.44444444444444,0,0,0
RENOVISOR,RAW,KM_vs_EFA,overlap_left_pct,6,323.0402930402931,53.84004884004884,59.82142857142857,20,87.5,4,4,66.66666666666667
RENOVISOR,RAW,KM_vs_EXPERTS,jaccard_pct,6,259.84774212715394,43.307957021192315,47.22222222222222,26.666666666666668,54.54545454545455,2,3,33.333333333333336
RENOVISOR,POS,EFA_vs_EXPERTS,jaccard_pct,6,213.76110731373888,35.62685121895648,38.75,21.428571428571427,45.45454545454545,0,0,0
RENOVISOR,POS,KM_vs_EFA,overlap_left_pct,6,287.5,47.91666666666667,47.91666666666667,0,83.33333333333333,3,3,50
RENOVISOR,POS,KM_vs_EXPERTS,jaccard_pct,6,267.26678550207964,44.54446425034661,52.27272727272727,20,63.63636363636363,3,4,50
RENOVISOR,EXT,EFA_vs_EXPERTS,jaccard_pct,6,181.9632981397687,30.32721635662812,29.65686274509804,7.6923076923076925,53.84615384615385,1,1,16.666666666666668
RENOVISOR,EXT,KM_vs_EFA,overlap_left_pct,6,329.4230769230769,54.90384615384615,67.91666666666666,16.666666666666668,76.92307692307692,4,4,66.66666666666667
RENOVISOR,EXT,KM_vs_EXPERTS,jaccard_pct,6,276.1675824175824,46.0279304029304,42.54807692307692,28.571428571428573,69.23076923076923,3,3,50
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,168.5885167464115,28.098086124401913,26.794258373205743,16.666666666666668,40,0,0,0
RENOVISOR,Z_ABS,KM_vs_EFA,overlap_left_pct,6,368.80952380952385,61.46825396825397,61.25,26.666666666666668,100,5,5,83.33333333333333
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,169.38178780284042,28.230297967140075,27.38095238095238,16.666666666666668,44.44444444444444,0,0,0
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,6,190.2136752136752,31.702279202279204,32.05128205128205,16.666666666666668,44.44444444444444,0,0,0
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,6,242.09401709401712,40.34900284900285,35.41666666666667,22.22222222222222,62.5,2,2,33.333333333333336
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,6,256.7825311942959,42.79708853238265,41.42156862745098,27.272727272727273,66.66666666666667,1,2,16.666666666666668
WHY_EUROPE,POS,EFA_vs_EXPERTS,jaccard_pct,6,223.62193362193364,37.27032227032227,39.285714285714285,26.666666666666668,46.666666666666664,0,0,0
WHY_EUROPE,POS,KM_vs_EFA,overlap_left_pct,6,377.6556776556777,62.942612942612946,61.90476190476191,0,100,5,5,83.33333333333333
WHY_EUROPE,POS,KM_vs_EXPERTS,jaccard_pct,6,261.38888888888886,43.56481481481482,46.875,16.666666666666668,68.75,2,3,33.333333333333336
WHY_EUROPE,EXT,EFA_vs_EXPERTS,jaccard_pct,6,210.2381850175968,35.039697502932796,37.60683760683761,13.333333333333334,52.94117647058823,1,2,16.666666666666668
WHY_EUROPE,EXT,KM_vs_EFA,overlap_left_pct,6,380.38461538461536,63.3974358974359,66.66666666666666,15.384615384615383,100,4,4,66.66666666666667
WHY_EUROPE,EXT,KM_vs_EXPERTS,jaccard_pct,6,228.18309141838554,38.03051523639759,31.493506493506494,23.529411764705884,75,1,1,16.666666666666668
WHY_EUROPE,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,158.0769230769231,26.346153846153847,24.03846153846154,20,40,0,0,0
WHY_EUROPE,Z_ABS,KM_vs_EFA,overlap_left_pct,6,225.83333333333334,37.638888888888886,37.5,13.333333333333334,50,0,2,0
WHY_EUROPE,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,193.11603429250488,32.18600571541748,24.747474747474747,17.647058823529413,54.54545454545455,1,2,16.666666666666668
WHY_LATAM,RAW,EFA_vs_EXPERTS,jaccard_pct,6,204.86735486735486,34.144559144559146,33.24175824175824,16.666666666666668,50,0,1,0
WHY_LATAM,RAW,KM_vs_EFA,overlap_left_pct,6,307.77777777777777,51.2962962962963,48.33333333333333,11.11111111111111,100,2,3,33.333333333333336
WHY_LATAM,RAW,KM_vs_EXPERTS,jaccard_pct,6,212.97385620915034,35.49564270152506,37.5,20,50,0,1,0
WHY_LATAM,POS,EFA_vs_EXPERTS,jaccard_pct,6,191.1628730746378,31.860478845772963,34.13461538461539,10,44.44444444444444,0,0,0
WHY_LATAM,POS,KM_vs_EFA,overlap_left_pct,6,309.93589743589746,51.65598290598291,52.083333333333336,0,100,3,3,50
WHY_LATAM,POS,KM_vs_EXPERTS,jaccard_pct,6,232.76709401709402,38.79451566951567,40.06410256410256,20,66.66666666666667,1,1,16.666666666666668
WHY_LATAM,EXT,EFA_vs_EXPERTS,jaccard_pct,6,207.01383583736524,34.502305972894206,33.98692810457516,13.333333333333334,58.8235294117647,1,1,16.666666666666668
WHY_LATAM,EXT,KM_vs_EFA,overlap_left_pct,6,368.8888888888889,61.48148148148148,70.83333333333334,13.333333333333334,100,4,4,66.66666666666667
WHY_LATAM,EXT,KM_vs_EXPERTS,jaccard_pct,6,232.49766573295983,38.74961095549331,42.26190476190476,20,60,1,1,16.666666666666668
WHY_LATAM,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,202.45726495726495,33.7428774928775,35.41666666666667,16.666666666666668,53.84615384615385,1,1,16.666666666666668
WHY_LATAM,Z_ABS,KM_vs_EFA,overlap_left_pct,6,318.8888888888889,53.14814814814815,51.111111111111114,12.5,100,3,3,50
WHY_LATAM,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,176.67695050047993,29.446158416746652,34.224598930481285,10,41.666666666666664,0,0,0
