cluster,determinant_id,centroid,determinant_label
Cluster 6,wellbeing,73.51282051282051,Bienestar
Cluster 6,coziness,59.07692307692308,Confort
Cluster 6,rights_and_duties,59,Derechos y deberes
Cluster 6,peer_pressure,51.17948717948718,Presión social
Cluster 6,support,57.14102564102564,Apoyo social
Cluster 6,socialising,36.84615384615385,Sociabilidad
Cluster 6,agreement,67.76923076923077,Acuerdo
Cluster 6,novelty,41.67948717948718,Novedad
Cluster 6,fun,34.94871794871795,Diversión
Cluster 6,recognition,32.43589743589744,Reconocimiento
Cluster 6,trends,40.43589743589744,Tendencias
Cluster 6,authority,30.82051282051282,Autoridad
Cluster 6,approval,29.307692307692307,Aprobación
Cluster 6,own_significance,60.53846153846154,Significado personal
Cluster 7,profits,40.4,Beneficio económico
Cluster 7,credit_score_access_to_funding,51,Acceso a financiación
Cluster 7,risk_profile,34.7,Perfil de riesgo
Cluster 7,added_value,55,Valor añadido
Cluster 7,frugality,36.3,Frugalidad
Cluster 7,climate_protection,76.3,Protección climática
Cluster 7,legal,36.8,Cumplimiento legal
Cluster 7,trust,83.6,Confianza
Cluster 7,safety,52.9,Seguridad
Cluster 7,cost_efficiency,49.5,Eficiencia de costes
Cluster 7,knowledge,86.6,Conocimiento
Cluster 7,own_competence,19.3,Competencia propia
Cluster 7,technical_fit,84.4,Adecuación técnica
Cluster 7,environmental_concerns,67.3,Preocupación ambiental
Cluster 7,self_satisfaction,82.75,Satisfacción personal
Cluster 7,commitment,84.3,Compromiso
Cluster 7,adherence,71.8,Persistencia
Cluster 7,autarky,75.6,Autosuficiencia
Cluster 7,wellbeing,80.5,Bienestar
Cluster 7,coziness,72.2,Confort
Cluster 7,rights_and_duties,47.1,Derechos y deberes
Cluster 7,peer_pressure,19.6,Presión social
Cluster 7,support,55.9,Apoyo social
Cluster 7,socialising,8.9,Sociabilidad
Cluster 7,agreement,53.5,Acuerdo
Cluster 7,novelty,27.6,Novedad
Cluster 7,fun,21.7,Diversión
Cluster 7,recognition,0.3,Reconocimiento
Cluster 7,trends,19.5,Tendencias
Cluster 7,authority,7.9,Autoridad
Cluster 7,approval,3.6,Aprobación
Cluster 7,own_significance,62.5,Significado personal
Cluster 8,profits,65.92857142857143,Beneficio económico
Cluster 8,credit_score_access_to_funding,78.35714285714286,Acceso a financiación
Cluster 8,risk_profile,75.07142857142857,Perfil de riesgo
Cluster 8,added_value,50.214285714285715,Valor añadido
Cluster 8,frugality,65.67857142857143,Frugalidad
Cluster 8,climate_protection,46.5,Protección climática
Cluster 8,legal,76.85714285714286,Cumplimiento legal
Cluster 8,trust,79.78571428571429,Confianza
Cluster 8,safety,80.71428571428571,Seguridad
Cluster 8,cost_efficiency,88.07142857142857,Eficiencia de costes
Cluster 8,knowledge,80.64285714285714,Conocimiento
Cluster 8,own_competence,27.928571428571427,Competencia propia
Cluster 8,technical_fit,84.71428571428571,Adecuación técnica
Cluster 8,environmental_concerns,55.142857142857146,Preocupación ambiental
Cluster 8,self_satisfaction,75.5,Satisfacción personal
Cluster 8,commitment,71.64285714285714,Compromiso
Cluster 8,adherence,75.28571428571429,Persistencia
Cluster 8,autarky,46.57142857142857,Autosuficiencia
Cluster 8,wellbeing,69.14285714285714,Bienestar
Cluster 8,coziness,70,Confort
Cluster 8,rights_and_duties,76.03571428571429,Derechos y deberes
Cluster 8,peer_pressure,30.214285714285715,Presión social
Cluster 8,support,40.17857142857143,Apoyo social
Cluster 8,socialising,7,Sociabilidad
Cluster 8,agreement,80.78571428571429,Acuerdo
Cluster 8,novelty,13.357142857142858,Novedad
Cluster 8,fun,8.071428571428571,Diversión
Cluster 8,recognition,4.142857142857143,Reconocimiento
Cluster 8,trends,16.214285714285715,Tendencias
Cluster 8,authority,14.714285714285714,Autoridad
Cluster 8,approval,5.214285714285714,Aprobación
Cluster 8,own_significance,42.92857142857143,Significado personal
