bootstrap_id,analysis_sample,n_draws
76,DIEGO,244
76,RENOVISOR,628
76,WHY_EUROPE,128
76,WHY_LATAM,608
77,COMPLETE,1608
77,EUROPE,1000
77,LATAM,608
77,DIEGO,223
77,RENOVISOR,610
77,WHY_EUROPE,167
77,WHY_LATAM,608
78,COMPLETE,1608
78,EUROPE,1000
78,LATAM,608
78,DIEGO,251
78,RENOVISOR,608
78,WHY_EUROPE,141
78,WHY_LATAM,608
79,COMPLETE,1608
79,EUROPE,1000
79,LATAM,608
79,DIEGO,242
79,RENOVISOR,615
79,WHY_EUROPE,143
79,WHY_LATAM,608
80,COMPLETE,1608
80,EUROPE,1000
80,LATAM,608
80,DIEGO,254
80,RENOVISOR,603
80,WHY_EUROPE,143
80,WHY_LATAM,608
81,COMPLETE,1608
81,EUROPE,1000
81,LATAM,608
81,DIEGO,253
81,RENOVISOR,610
81,WHY_EUROPE,137
81,WHY_LATAM,608
82,COMPLETE,1608
82,EUROPE,1000
82,LATAM,608
82,DIEGO,266
82,RENOVISOR,602
82,WHY_EUROPE,132
82,WHY_LATAM,608
83,COMPLETE,1608
83,EUROPE,1000
83,LATAM,608
83,DIEGO,259
83,RENOVISOR,612
83,WHY_EUROPE,129
83,WHY_LATAM,608
84,COMPLETE,1608
84,EUROPE,1000
84,LATAM,608
84,DIEGO,241
84,RENOVISOR,610
84,WHY_EUROPE,149
84,WHY_LATAM,608
85,COMPLETE,1608
85,EUROPE,1000
85,LATAM,608
85,DIEGO,253
85,RENOVISOR,614
85,WHY_EUROPE,133
85,WHY_LATAM,608
86,COMPLETE,1608
86,EUROPE,1000
86,LATAM,608
86,DIEGO,241
86,RENOVISOR,607
86,WHY_EUROPE,152
86,WHY_LATAM,608
87,COMPLETE,1608
87,EUROPE,1000
87,LATAM,608
87,DIEGO,235
87,RENOVISOR,616
87,WHY_EUROPE,149
87,WHY_LATAM,608
88,COMPLETE,1608
88,EUROPE,1000
88,LATAM,608
88,DIEGO,257
88,RENOVISOR,601
88,WHY_EUROPE,142
88,WHY_LATAM,608
89,COMPLETE,1608
89,EUROPE,1000
89,LATAM,608
89,DIEGO,233
89,RENOVISOR,618
89,WHY_EUROPE,149
89,WHY_LATAM,608
90,COMPLETE,1608
90,EUROPE,1000
90,LATAM,608
90,DIEGO,259
90,RENOVISOR,619
90,WHY_EUROPE,122
90,WHY_LATAM,608
91,COMPLETE,1608
91,EUROPE,1000
91,LATAM,608
91,DIEGO,259
91,RENOVISOR,620
91,WHY_EUROPE,121
91,WHY_LATAM,608
92,COMPLETE,1608
92,EUROPE,1000
92,LATAM,608
92,DIEGO,236
92,RENOVISOR,612
92,WHY_EUROPE,152
92,WHY_LATAM,608
93,COMPLETE,1608
93,EUROPE,1000
93,LATAM,608
93,DIEGO,243
93,RENOVISOR,614
93,WHY_EUROPE,143
93,WHY_LATAM,608
94,COMPLETE,1608
94,EUROPE,1000
94,LATAM,608
94,DIEGO,255
94,RENOVISOR,610
94,WHY_EUROPE,135
94,WHY_LATAM,608
95,COMPLETE,1608
95,EUROPE,1000
95,LATAM,608
95,DIEGO,256
95,RENOVISOR,609
95,WHY_EUROPE,135
95,WHY_LATAM,608
96,COMPLETE,1608
96,EUROPE,1000
96,LATAM,608
96,DIEGO,263
96,RENOVISOR,596
96,WHY_EUROPE,141
96,WHY_LATAM,608
97,COMPLETE,1608
97,EUROPE,1000
97,LATAM,608
97,DIEGO,242
97,RENOVISOR,622
97,WHY_EUROPE,136
97,WHY_LATAM,608
98,COMPLETE,1608
98,EUROPE,1000
98,LATAM,608
98,DIEGO,253
98,RENOVISOR,611
