analysis_sample,variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
EUROPE,political_left_right_model,55,13.599,3.604607078752436,1000,0,0.013599,0.0036046070787524374,1000
EUROPE,political_left_right_model,65,12.155,3.303011487246882,1000,0,0.012155,0.0033030114872468854,1000
EUROPE,political_left_right_model,70,9.706,2.8575740987295,1000,0,0.009706,0.0028575740987294928,1000
EUROPE,political_left_right_model,75,7.708,2.714793934372575,1000,0,0.007708,0.0027147939343725685,1000
EUROPE,political_left_right_model,87,7.159,2.6035547809672654,1000,0,0.0071589999999999996,0.0026035547809672697,1000
EUROPE,political_left_right_model,26,7.129,2.628929491308251,1000,0,0.007129,0.0026289294913082483,1000
EUROPE,political_left_right_model,19,7.036,2.571637088960512,1000,0,0.007036,0.002571637088960525,1000
EUROPE,political_left_right_model,33,6.93,2.8261435007952205,1000,0,0.00693,0.002826143500795221,1000
EUROPE,political_left_right_model,23,6.722,2.558370821687357,1000,0,0.0067220000000000005,0.0025583708216873496,1000
EUROPE,political_left_right_model,51,5.625,2.334914736521834,1000,0,0.005625000000000001,0.002334914736521829,1000
EUROPE,political_left_right_model,52,5.548,2.308034450137823,1000,0,0.005548,0.002308034450137823,1000
EUROPE,political_left_right_model,47,5.325,2.3243876134968886,1000,0,0.005325,0.002324387613496881,1000
EUROPE,political_left_right_model,37,4.49,2.0547803099412114,1000,0,0.00449,0.002054780309941207,1000
EUROPE,political_left_right_model,5,4.43,2.0256364933529434,1000,0,0.00443,0.002025636493352952,1000
EUROPE,political_left_right_model,17,4.352,2.0129948206958104,1000,0,0.004352,0.0020129948206958166,1000
EUROPE,political_left_right_model,42,4.327,2.0114962384049213,1000,0,0.004327,0.0020114962384049063,1000
EUROPE,political_left_right_model,49,4.25,2.0272172082955517,1000,0,0.00425,0.0020272172082955514,1000
EUROPE,political_left_right_model,48,4.066,2.0223090104466515,1000,0,0.004066,0.002022309010446652,1000
EUROPE,political_left_right_model,84,4.056,1.9361334180816678,1000,0,0.004056,0.0019361334180816848,1000
EUROPE,political_left_right_model,14,4.019,1.999659380403969,1000,0,0.004018999999999999,0.001999659380403978,1000
EUROPE,political_left_right_model,24,3.903,1.9003163426656573,1000,0,0.0039030000000000002,0.0019003163426656716,1000
EUROPE,political_left_right_model,18,3.756,1.9910872478192507,1000,0,0.003755999999999999,0.00199108724781926,1000
EUROPE,political_left_right_model,89,3.74,1.877211741899104,1000,0,0.0037400000000000007,0.0018772117418991163,1000
EUROPE,political_left_right_model,11,3.718,1.8750978619773464,1000,0,0.003718,0.001875097861977344,1000
