context,variable,group,category,n,total_n,prop
01_all_integrated_rows,age_group_model,rv,45_54,123,1229,0.1000813669650122
01_all_integrated_rows,age_group_model,rv,55_64,91,1229,0.07404393816110659
01_all_integrated_rows,age_group_model,rv,65_plus,43,1229,0.03498779495524817
01_all_integrated_rows,age_group_model,why,25_34,691,1628,0.42444717444717445
01_all_integrated_rows,age_group_model,why,18_24,432,1628,0.26535626535626533
01_all_integrated_rows,age_group_model,why,35_44,199,1628,0.12223587223587223
01_all_integrated_rows,age_group_model,why,unknown,167,1628,0.10257985257985258
01_all_integrated_rows,age_group_model,why,45_54,98,1628,0.060196560196560195
01_all_integrated_rows,age_group_model,why,55_64,32,1628,0.019656019656019656
01_all_integrated_rows,age_group_model,why,65_plus,9,1628,0.005528255528255528
01_all_integrated_rows,gender_model,diego,male,1002,1899,0.5276461295418642
01_all_integrated_rows,gender_model,diego,female,855,1899,0.45023696682464454
01_all_integrated_rows,gender_model,diego,other,39,1899,0.020537124802527645
01_all_integrated_rows,gender_model,diego,unknown,3,1899,0.001579778830963665
01_all_integrated_rows,gender_model,rv,male,567,1229,0.4613506916192026
01_all_integrated_rows,gender_model,rv,female,531,1229,0.4320585842148088
01_all_integrated_rows,gender_model,rv,unknown,123,1229,0.1000813669650122
01_all_integrated_rows,gender_model,rv,other,8,1229,0.006509357200976403
01_all_integrated_rows,gender_model,why,male,737,1628,0.4527027027027027
01_all_integrated_rows,gender_model,why,female,724,1628,0.44471744471744473
01_all_integrated_rows,gender_model,why,unknown,167,1628,0.10257985257985258
01_all_integrated_rows,education_model,diego,high,1307,1899,0.6882569773565034
01_all_integrated_rows,education_model,diego,medium,576,1899,0.3033175355450237
01_all_integrated_rows,education_model,diego,other,16,1899,0.00842548709847288
01_all_integrated_rows,education_model,rv,high,607,1229,0.49389747762408465
01_all_integrated_rows,education_model,rv,unknown,290,1229,0.23596419853539463
01_all_integrated_rows,education_model,rv,medium,256,1229,0.2082994304312449
01_all_integrated_rows,education_model,rv,other,39,1229,0.03173311635475997
01_all_integrated_rows,education_model,rv,conflict,29,1229,0.023596419853539462
01_all_integrated_rows,education_model,rv,low,8,1229,0.006509357200976403
01_all_integrated_rows,education_model,why,unknown,1470,1628,0.902948402948403
01_all_integrated_rows,education_model,why,medium,80,1628,0.04914004914004914
01_all_integrated_rows,education_model,why,high,77,1628,0.0472972972972973
01_all_integrated_rows,education_model,why,low,1,1628,6.142506142506142e-4
01_all_integrated_rows,education_tfm_model,diego,university,1307,1899,0.6882569773565034
01_all_integrated_rows,education_tfm_model,diego,non_university,576,1899,0.3033175355450237
01_all_integrated_rows,education_tfm_model,diego,other,16,1899,0.00842548709847288
01_all_integrated_rows,education_tfm_model,rv,university,607,1229,0.49389747762408465
01_all_integrated_rows,education_tfm_model,rv,unknown,290,1229,0.23596419853539463
01_all_integrated_rows,education_tfm_model,rv,non_university,264,1229,0.21480878763222133
01_all_integrated_rows,education_tfm_model,rv,other,39,1229,0.03173311635475997
01_all_integrated_rows,education_tfm_model,rv,conflict,29,1229,0.023596419853539462
01_all_integrated_rows,education_tfm_model,why,unknown,1470,1628,0.902948402948403
01_all_integrated_rows,education_tfm_model,why,non_university,81,1628,0.049754299754299756
