analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
DIEGO,4100,DIEGO,EUROPE,1243,diego__diego_1243,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1243,NA,NA,NL,NL,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.21819887409601155,0.13846455837840693,0.41943738011484266,0.5011498287320948,0.30621733104375437,0.19407800726084926,0.38687966961869114,0.47603330811516775,0
DIEGO,4101,DIEGO,EUROPE,1244,diego__diego_1244,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1244,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.24368174302821777,0,0.29562117891792694,0.307237968053475,0,0.1464968314252451,0.17520545184918906,0.21509236075008184,0
DIEGO,4102,DIEGO,EUROPE,1245,diego__diego_1245,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1245,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.13268052675420486,0.3177607348712137,0.3333112799463729,0.6859936120698128,0.258669164876911,0.3815683245722801,0.13211190375299556,0.4601244408830774,0
DIEGO,4103,DIEGO,EUROPE,1246,diego__diego_1246,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1246,NA,NA,DE,DE,western_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.15274117779440843,0.4123866407425739,0.28316787617217093,0.27378028569073243,0.2880667947982951,0.5328970940809474,0.4586676627485735,0.1809239407009077,0
DIEGO,4104,DIEGO,EUROPE,1247,diego__diego_1247,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1247,NA,NA,NL,NL,western_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0,0.4070471164687725,0.6283417641350308,0.30656486435211217,0,0.13241541081904074,0.4746091991361963,0,0.7147461843173503
DIEGO,4105,DIEGO,EUROPE,1248,diego__diego_1248,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1248,NA,NA,DE,DE,western_europe,18_24,female,student,usable_complete,TRUE,TRUE,32,0,0.5804486322299574,0,0,0.39172378077204284,0.2143183733767038,0.3063433342285472,0.47205944617051787,0
DIEGO,4106,DIEGO,EUROPE,1249,diego__diego_1249,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1249,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6231058374741443,0.40798670222911243,0.5873322385666154,0.2221974842639308,0,0.3403994805194007,0.4964866829590243,0.2136011704580387,0.2626615150180251
DIEGO,4107,DIEGO,EUROPE,1250,diego__diego_1250,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1250,NA,NA,DE,DE,western_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.368008326526277,0,0.33472857603643985,0,0,0.3416983911766125,0.4628445133948168,0.5193952579708075,0.8732054067755686
DIEGO,4108,DIEGO,EUROPE,1251,diego__diego_1251,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1251,NA,NA,NL,NL,western_europe,25_34,female,student,usable_complete,TRUE,TRUE,32,0.5894701169536809,0.545220941005721,0.3024707360359032,0.5468208217592597,0.3152392201975336,0.4248456485921999,0,0.18080302337246187,0
DIEGO,4109,DIEGO,EUROPE,1252,diego__diego_1252,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1252,NA,NA,NL,NL,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.5712105979530194,0.7280867331892678,0.4098105776687431,0.5346200954334109,0,0.24215509177225486,0.2510349458311461,0,0.8075939546082971
