"scenario","type","reference","D","K","freq_covered","pct_covered"
"100-32","pos","kmeans",9,8,781404,97.6755
"100-32","pos","kmeans",9,9,781404,97.6755
"100-32","pos","kmeans",10,1,795413,99.426625
"100-32","pos","kmeans",10,2,795507,99.438375
"100-32","pos","kmeans",10,3,795546,99.44325
"100-32","pos","kmeans",10,4,795641,99.455125
"100-32","pos","kmeans",10,5,795728,99.466
"100-32","pos","kmeans",10,6,796208,99.526
"100-32","pos","kmeans",10,7,796219,99.527375
"100-32","pos","kmeans",10,8,796253,99.531625
"100-32","pos","kmeans",10,9,796268,99.5335
"100-32","pos","kmeans",11,1,795620,99.4525
"100-32","pos","kmeans",11,2,796419,99.552375
"100-32","pos","kmeans",11,3,796526,99.56575
"100-32","pos","kmeans",11,4,796637,99.579625
"100-32","pos","kmeans",11,5,796831,99.603875
"100-32","pos","kmeans",11,6,797174,99.64675
"100-32","pos","kmeans",11,7,797214,99.65175
"100-32","pos","kmeans",11,8,797216,99.652
"100-32","pos","kmeans",11,9,797243,99.655375
"100-32","pos","kmeans",12,1,798440,99.805
"100-32","pos","kmeans",12,2,798543,99.817875
"100-32","pos","kmeans",12,3,798561,99.820125
"100-32","pos","kmeans",12,4,798621,99.827625
"100-32","pos","kmeans",12,5,798873,99.859125
"100-32","pos","kmeans",12,6,798999,99.874875
"100-32","pos","kmeans",12,7,799032,99.879
"100-32","pos","kmeans",12,8,799061,99.882625
"100-32","pos","kmeans",12,9,799150,99.89375
"100-32","pos","kmeans",13,1,798689,99.836125
"100-32","pos","kmeans",13,2,798993,99.874125
"100-32","pos","kmeans",13,3,799083,99.885375
"100-32","pos","kmeans",13,4,799180,99.8975
"100-32","pos","kmeans",13,5,799361,99.920125
"100-32","pos","kmeans",13,6,799410,99.92625
"100-32","pos","kmeans",13,7,799442,99.93025
"100-32","pos","kmeans",13,8,799445,99.930625
"100-32","pos","kmeans",13,9,799509,99.938625
"100-32","pos","kmeans",14,1,799435,99.929375
"100-32","pos","kmeans",14,2,799543,99.942875
"100-32","pos","kmeans",14,3,799584,99.948
"100-32","pos","kmeans",14,4,799693,99.961625
"100-32","pos","kmeans",14,5,799752,99.969
"100-32","pos","kmeans",14,6,799793,99.974125
"100-32","pos","kmeans",14,7,799794,99.97425
"100-32","pos","kmeans",14,8,799801,99.975125
"100-32","pos","kmeans",14,9,799916,99.9895
"100-32","pos","kmeans",15,1,800000,100
"100-32","pos","kmeans",15,2,800000,100
"100-32","pos","kmeans",15,3,800000,100
"100-32","pos","kmeans",15,4,800000,100
"100-32","pos","kmeans",15,5,800000,100
"100-32","pos","kmeans",15,6,800000,100
"100-32","pos","kmeans",15,7,800000,100
"100-32","pos","kmeans",15,8,800000,100
"100-32","pos","kmeans",15,9,800000,100
"100-32","pos","kmeans",16,1,800000,100
"100-32","pos","kmeans",16,2,800000,100
"100-32","pos","kmeans",16,3,800000,100
"100-32","pos","kmeans",16,4,800000,100
"100-32","pos","kmeans",16,5,800000,100
"100-32","pos","kmeans",16,6,800000,100
"100-32","pos","kmeans",16,7,800000,100
"100-32","pos","kmeans",16,8,800000,100
"100-32","pos","kmeans",16,9,800000,100
"100-32","pos","kmeans",17,1,800000,100
"100-32","pos","kmeans",17,2,800000,100
"100-32","pos","kmeans",17,3,800000,100
"100-32","pos","kmeans",17,4,800000,100
"100-32","pos","kmeans",17,5,800000,100
"100-32","pos","kmeans",17,6,800000,100
"100-32","pos","kmeans",17,7,800000,100
"100-32","pos","kmeans",17,8,800000,100
"100-32","pos","kmeans",17,9,800000,100
"100-32","pos","kmeans",18,1,800000,100
"100-32","pos","kmeans",18,2,800000,100
"100-32","pos","kmeans",18,3,800000,100
"100-32","pos","kmeans",18,4,800000,100
"100-32","pos","kmeans",18,5,800000,100
"100-32","pos","kmeans",18,6,800000,100
"100-32","pos","kmeans",18,7,800000,100
"100-32","pos","kmeans",18,8,800000,100
"100-32","pos","kmeans",18,9,800000,100
"100-32","pos","kmeans",19,1,800000,100
"100-32","pos","kmeans",19,2,800000,100
"100-32","pos","kmeans",19,3,800000,100
"100-32","pos","kmeans",19,4,800000,100
"100-32","pos","kmeans",19,5,800000,100
"100-32","pos","kmeans",19,6,800000,100
"100-32","pos","kmeans",19,7,800000,100
"100-32","pos","kmeans",19,8,800000,100
"100-32","pos","kmeans",19,9,800000,100
"100-32","pos","kmeans",20,1,800000,100
"100-32","pos","kmeans",20,2,800000,100
"100-32","pos","kmeans",20,3,800000,100
"100-32","pos","kmeans",20,4,800000,100
"100-32","pos","kmeans",20,5,800000,100
"100-32","pos","kmeans",20,6,800000,100
"100-32","pos","kmeans",20,7,800000,100
"100-32","pos","kmeans",20,8,800000,100
"100-32","pos","kmeans",20,9,800000,100
"100-32","pos","sins",0,1,0,0
"100-32","pos","sins",0,2,0,0
"100-32","pos","sins",0,3,0,0
"100-32","pos","sins",0,4,0,0
"100-32","pos","sins",0,5,0,0
"100-32","pos","sins",0,6,0,0
"100-32","pos","sins",0,7,0,0
"100-32","pos","sins",1,1,0,0
"100-32","pos","sins",1,2,0,0
"100-32","pos","sins",1,3,0,0
"100-32","pos","sins",1,4,0,0
"100-32","pos","sins",1,5,0,0
"100-32","pos","sins",1,6,0,0
"100-32","pos","sins",1,7,0,0
"100-32","pos","sins",2,1,0,0
"100-32","pos","sins",2,2,0,0
"100-32","pos","sins",2,3,0,0
"100-32","pos","sins",2,4,0,0
"100-32","pos","sins",2,5,0,0
"100-32","pos","sins",2,6,0,0
"100-32","pos","sins",2,7,0,0
"100-32","pos","sins",3,1,97,0.012125
"100-32","pos","sins",3,2,97,0.012125
"100-32","pos","sins",3,3,97,0.012125
"100-32","pos","sins",3,4,97,0.012125
"100-32","pos","sins",3,5,97,0.012125
"100-32","pos","sins",3,6,97,0.012125
"100-32","pos","sins",3,7,97,0.012125
"100-32","pos","sins",4,1,23076,2.8845
"100-32","pos","sins",4,2,24165,3.020625
"100-32","pos","sins",4,3,24216,3.027
"100-32","pos","sins",4,4,24224,3.028
"100-32","pos","sins",4,5,24224,3.028
"100-32","pos","sins",4,6,24224,3.028
"100-32","pos","sins",4,7,24224,3.028
"100-32","pos","sins",5,1,141789,17.723625
"100-32","pos","sins",5,2,164894,20.61175
"100-32","pos","sins",5,3,165711,20.713875
"100-32","pos","sins",5,4,165740,20.7175
"100-32","pos","sins",5,5,165743,20.717875
"100-32","pos","sins",5,6,165744,20.718
"100-32","pos","sins",5,7,165744,20.718
"100-32","pos","sins",6,1,243033,30.379125
"100-32","pos","sins",6,2,358104,44.763
"100-32","pos","sins",6,3,362382,45.29775
"100-32","pos","sins",6,4,366076,45.7595
"100-32","pos","sins",6,5,366114,45.76425
"100-32","pos","sins",6,6,366116,45.7645
"100-32","pos","sins",6,7,366116,45.7645
"100-32","pos","sins",7,1,475994,59.49925
"100-32","pos","sins",7,2,525741,65.717625
"100-32","pos","sins",7,3,530171,66.271375
"100-32","pos","sins",7,4,538803,67.350375
"100-32","pos","sins",7,5,538963,67.370375
"100-32","pos","sins",7,6,539014,67.37675
"100-32","pos","sins",7,7,539016,67.377
"100-32","pos","sins",8,1,553160,69.145
"100-32","pos","sins",8,2,636585,79.573125
"100-32","pos","sins",8,3,642102,80.26275
"100-32","pos","sins",8,4,743667,92.958375
"100-32","pos","sins",8,5,743908,92.9885
"100-32","pos","sins",8,6,743952,92.994
"100-32","pos","sins",8,7,744008,93.001
"100-32","pos","sins",9,1,659507,82.438375
"100-32","pos","sins",9,2,681389,85.173625
"100-32","pos","sins",9,3,685095,85.636875
"100-32","pos","sins",9,4,765923,95.740375
"100-32","pos","sins",9,5,766220,95.7775
"100-32","pos","sins",9,6,766259,95.782375
"100-32","pos","sins",9,7,766264,95.783
"100-32","pos","sins",10,1,722498,90.31225
"100-32","pos","sins",10,2,757089,94.636125
"100-32","pos","sins",10,3,775190,96.89875
"100-32","pos","sins",10,4,789536,98.692
"100-32","pos","sins",10,5,790247,98.780875
"100-32","pos","sins",10,6,790454,98.80675
"100-32","pos","sins",10,7,790480,98.81
"100-32","pos","sins",11,1,781728,97.716
"100-32","pos","sins",11,2,785014,98.12675
"100-32","pos","sins",11,3,789972,98.7465
"100-32","pos","sins",11,4,794675,99.334375
"100-32","pos","sins",11,5,795083,99.385375
"100-32","pos","sins",11,6,795132,99.3915
"100-32","pos","sins",11,7,795160,99.395
"100-32","pos","sins",12,1,782048,97.756
"100-32","pos","sins",12,2,796000,99.5
"100-32","pos","sins",12,3,797311,99.663875
"100-32","pos","sins",12,4,798382,99.79775
"100-32","pos","sins",12,5,798793,99.849125
"100-32","pos","sins",12,6,798879,99.859875
"100-32","pos","sins",12,7,798943,99.867875
"100-32","pos","sins",13,1,797586,99.69825
"100-32","pos","sins",13,2,798336,99.792
"100-32","pos","sins",13,3,798748,99.8435
"100-32","pos","sins",13,4,799110,99.88875
"100-32","pos","sins",13,5,799285,99.910625
"100-32","pos","sins",13,6,799359,99.919875
"100-32","pos","sins",13,7,799417,99.927125
"100-32","pos","sins",14,1,797749,99.718625
"100-32","pos","sins",14,2,799017,99.877125
"100-32","pos","sins",14,3,799417,99.927125
"100-32","pos","sins",14,4,799741,99.967625
"100-32","pos","sins",14,5,799805,99.975625
"100-32","pos","sins",14,6,799865,99.983125
"100-32","pos","sins",14,7,799874,99.98425
"100-32","pos","sins",15,1,799201,99.900125
"100-32","pos","sins",15,2,799567,99.945875
"100-32","pos","sins",15,3,799727,99.965875
"100-32","pos","sins",15,4,799880,99.985
"100-32","pos","sins",15,5,799915,99.989375
"100-32","pos","sins",15,6,799969,99.996125
"100-32","pos","sins",15,7,799974,99.99675
"100-32","pos","sins",16,1,799558,99.94475
"100-32","pos","sins",16,2,799772,99.9715
"100-32","pos","sins",16,3,799948,99.9935
"100-32","pos","sins",16,4,799990,99.99875
"100-32","pos","sins",16,5,799997,99.999625
"100-32","pos","sins",16,6,800000,100
"100-32","pos","sins",16,7,800000,100
"100-32","pos","sins",17,1,799726,99.96575
"100-32","pos","sins",17,2,799920,99.99
"100-32","pos","sins",17,3,799957,99.994625
"100-32","pos","sins",17,4,799992,99.999
"100-32","pos","sins",17,5,799998,99.99975
"100-32","pos","sins",17,6,800000,100
"100-32","pos","sins",17,7,800000,100
"100-32","pos","sins",18,1,799944,99.993
"100-32","pos","sins",18,2,799997,99.999625
"100-32","pos","sins",18,3,800000,100
"100-32","pos","sins",18,4,800000,100
"100-32","pos","sins",18,5,800000,100
"100-32","pos","sins",18,6,800000,100
"100-32","pos","sins",18,7,800000,100
"100-32","pos","sins",19,1,799964,99.9955
"100-32","pos","sins",19,2,799990,99.99875
"100-32","pos","sins",19,3,799997,99.999625
"100-32","pos","sins",19,4,800000,100
"100-32","pos","sins",19,5,800000,100
"100-32","pos","sins",19,6,800000,100
"100-32","pos","sins",19,7,800000,100
"100-32","pos","sins",20,1,799999,99.999875
"100-32","pos","sins",20,2,800000,100
"100-32","pos","sins",20,3,800000,100
"100-32","pos","sins",20,4,800000,100
"100-32","pos","sins",20,5,800000,100
"100-32","pos","sins",20,6,800000,100
"100-32","pos","sins",20,7,800000,100
"100-32","ext","experts",0,1,11,0.001375
"100-32","ext","experts",0,2,11,0.001375
"100-32","ext","experts",0,3,11,0.001375
"100-32","ext","experts",0,4,11,0.001375
"100-32","ext","experts",0,5,11,0.001375
"100-32","ext","experts",0,6,11,0.001375
"100-32","ext","experts",0,7,11,0.001375
"100-32","ext","experts",0,8,11,0.001375
"100-32","ext","experts",1,1,2477,0.309625
"100-32","ext","experts",1,2,2477,0.309625
"100-32","ext","experts",1,3,2477,0.309625
"100-32","ext","experts",1,4,2477,0.309625
"100-32","ext","experts",1,5,2477,0.309625
"100-32","ext","experts",1,6,2477,0.309625
"100-32","ext","experts",1,7,2477,0.309625
"100-32","ext","experts",1,8,2477,0.309625
"100-32","ext","experts",2,1,22758,2.84475
"100-32","ext","experts",2,2,22769,2.846125
"100-32","ext","experts",2,3,22776,2.847
"100-32","ext","experts",2,4,22782,2.84775
"100-32","ext","experts",2,5,22782,2.84775
"100-32","ext","experts",2,6,22782,2.84775
"100-32","ext","experts",2,7,22782,2.84775
"100-32","ext","experts",2,8,22782,2.84775
"100-32","ext","experts",3,1,167883,20.985375
"100-32","ext","experts",3,2,168977,21.122125
"100-32","ext","experts",3,3,168992,21.124
"100-32","ext","experts",3,4,169150,21.14375
"100-32","ext","experts",3,5,169262,21.15775
"100-32","ext","experts",3,6,169372,21.1715
"100-32","ext","experts",3,7,169383,21.172875
"100-32","ext","experts",3,8,169383,21.172875
"100-32","ext","experts",4,1,198992,24.874
"100-32","ext","experts",4,2,211581,26.447625
"100-32","ext","experts",4,3,211719,26.464875
"100-32","ext","experts",4,4,213007,26.625875
"100-32","ext","experts",4,5,214095,26.761875
"100-32","ext","experts",4,6,214392,26.799
"100-32","ext","experts",4,7,214456,26.807
"100-32","ext","experts",4,8,214456,26.807
"100-32","ext","experts",5,1,230093,28.761625
"100-32","ext","experts",5,2,267657,33.457125
"100-32","ext","experts",5,3,267658,33.45725
"100-32","ext","experts",5,4,268503,33.562875
"100-32","ext","experts",5,5,286946,35.86825
"100-32","ext","experts",5,6,290176,36.272
"100-32","ext","experts",5,7,290832,36.354
"100-32","ext","experts",5,8,290944,36.368
"100-32","ext","experts",6,1,308118,38.51475
"100-32","ext","experts",6,2,339210,42.40125
"100-32","ext","experts",6,3,340945,42.618125
"100-32","ext","experts",6,4,342186,42.77325
"100-32","ext","experts",6,5,342193,42.774125
"100-32","ext","experts",6,6,392111,49.013875
"100-32","ext","experts",6,7,392236,49.0295
"100-32","ext","experts",6,8,404074,50.50925
"100-32","ext","experts",7,1,357829,44.728625
"100-32","ext","experts",7,2,385666,48.20825
"100-32","ext","experts",7,3,388670,48.58375
"100-32","ext","experts",7,4,391060,48.8825
"100-32","ext","experts",7,5,391067,48.883375
"100-32","ext","experts",7,6,493680,61.71
"100-32","ext","experts",7,7,506809,63.351125
"100-32","ext","experts",7,8,506899,63.362375
"100-32","ext","experts",8,1,394322,49.29025
"100-32","ext","experts",8,2,421708,52.7135
"100-32","ext","experts",8,3,425396,53.1745
"100-32","ext","experts",8,4,425415,53.176875
"100-32","ext","experts",8,5,429890,53.73625
"100-32","ext","experts",8,6,563598,70.44975
"100-32","ext","experts",8,7,585755,73.219375
"100-32","ext","experts",8,8,586638,73.32975
"100-32","ext","experts",9,1,424657,53.082125
"100-32","ext","experts",9,2,454513,56.814125
"100-32","ext","experts",9,3,592526,74.06575
"100-32","ext","experts",9,4,595662,74.45775
"100-32","ext","experts",9,5,595704,74.463
"100-32","ext","experts",9,6,610643,76.330375
"100-32","ext","experts",9,7,611022,76.37775
"100-32","ext","experts",9,8,663023,82.877875
"100-32","ext","experts",10,1,473700,59.2125
"100-32","ext","experts",10,2,689569,86.196125
"100-32","ext","experts",10,3,701247,87.655875
"100-32","ext","experts",10,4,704169,88.021125
"100-32","ext","experts",10,5,706609,88.326125
"100-32","ext","experts",10,6,706702,88.33775
"100-32","ext","experts",10,7,712043,89.005375
"100-32","ext","experts",10,8,725081,90.635125
"100-32","ext","experts",11,1,509856,63.732
"100-32","ext","experts",11,2,676941,84.617625
"100-32","ext","experts",11,3,740781,92.597625
"100-32","ext","experts",11,4,747153,93.394125
"100-32","ext","experts",11,5,750607,93.825875
"100-32","ext","experts",11,6,751179,93.897375
"100-32","ext","experts",11,7,751297,93.912125
"100-32","ext","experts",11,8,764005,95.500625
"100-32","ext","experts",12,1,769829,96.228625
"100-32","ext","experts",12,2,784912,98.114
"100-32","ext","experts",12,3,788907,98.613375
"100-32","ext","experts",12,4,792492,99.0615
"100-32","ext","experts",12,5,793005,99.125625
"100-32","ext","experts",12,6,794587,99.323375
"100-32","ext","experts",12,7,796024,99.503
"100-32","ext","experts",12,8,796178,99.52225
"100-32","ext","experts",13,1,772973,96.621625
"100-32","ext","experts",13,2,793289,99.161125
"100-32","ext","experts",13,3,794145,99.268125
"100-32","ext","experts",13,4,796083,99.510375
"100-32","ext","experts",13,5,797225,99.653125
