analysis_sample,matrix_name,k,n_runs,n_ok,n_error,mean_n_rows_used,mean_n_rows_dropped,mean_prop_rows_used,mean_totss,mean_tot_withinss,sd_tot_withinss,mean_betweenss,mean_between_over_total,sd_between_over_total,mean_calinski_harabasz,sd_calinski_harabasz,mean_silhouette,sd_silhouette,mean_cluster_distance,sd_cluster_distance,mean_min_cluster_distance,mean_max_cluster_distance,matrix
COMPLETE,matrix_32_raw_0_1,8,100,100,0,1608,0,1,2818.220896824182,2085.3750854846244,29.33585451732723,732.8458113395578,0.26003522652517636,0.00386658893460289,80.33193963665101,1.615100593403787,0.05187027683667246,NA,1.0648853813381671,NA,0.6566816979752306,1.8326736562478905,RAW
COMPLETE,matrix_32_z_abs,2,100,100,0,1608,0,1,15987.341212452491,14012.478300534658,157.74862637330503,1974.8629119178331,0.123518085458185,0.00345489320977933,226.35348134631863,7.21791680800573,0.12513671536681212,NA,2.2202858599682647,NA,2.2202858599682647,2.2202858599682647,Z_ABS
COMPLETE,matrix_32_z_abs,3,100,100,0,1608,0,1,15987.341212452491,13487.102736011822,148.47718223972697,2500.2384764406697,0.15637497571306042,0.00404043661740447,148.77361899226557,4.557531437763199,0.06763932706998202,NA,2.2531773765233796,NA,1.6863567261517205,3.3265917029497953,Z_ABS
COMPLETE,matrix_32_z_abs,4,100,100,0,1608,0,1,15987.341212452491,13161.650079625077,146.32547105652912,2825.6911328274164,0.17673235173461577,0.0041146720678178,114.79393556155772,3.2493339326098996,0.06514293781463347,NA,2.1805891831843223,NA,1.4590964616719118,3.6420111102262105,Z_ABS
COMPLETE,matrix_32_z_abs,5,100,100,0,1608,0,1,15987.341212452491,12906.197883747269,145.59488198890557,3081.1433287052223,0.1927120813882423,0.00411426732257454,95.67798533014287,2.532509370782562,0.06119581793072878,NA,2.160663222649879,NA,1.4588118320845898,3.8602409167276575,Z_ABS
COMPLETE,matrix_32_z_abs,6,100,100,0,1608,0,1,15987.341212452491,12702.932557260336,141.69486586690255,3284.408655192155,0.20542409841977505,0.00427399927971374,82.84554154486104,2.171913371522667,0.04954505550153318,NA,2.18908963679306,NA,1.4010238169014118,4.120560287513193,Z_ABS
COMPLETE,matrix_32_z_abs,7,100,100,0,1608,0,1,15987.341212452491,12529.25311266118,140.41683624918713,3458.088099791312,0.21628857509884375,0.00416913062352465,73.65017468526354,1.8127568919378985,0.04472105785911135,NA,2.202831952752108,NA,1.3711941316026044,4.257192086255124,Z_ABS
COMPLETE,matrix_32_z_abs,8,100,100,0,1608,0,1,15987.341212452491,12380.47764030729,138.82168279590573,3606.863572145202,0.22559397237378104,0.00423618705468264,66.59440818870324,1.615398636969514,0.04191887282858382,NA,2.2313752956350728,NA,1.337515141470707,4.409036609125061,Z_ABS
EUROPE,matrix_32_ext_0_1,2,100,100,0,1000,0,1,4713.972533062303,4133.180789337255,41.73668176313997,580.7917437250483,0.12318992101832645,0.00454642227848412,140.2471335235398,5.900898925372455,0.1282142246220345,NA,1.5664730688241344,NA,1.5664730688241344,1.5664730688241344,EXT
EUROPE,matrix_32_ext_0_1,3,100,100,0,1000,0,1,4713.972533062303,3949.136491106808,42.62330514526925,764.8360419554954,0.1622336741680785,0.00528348210358529,96.5580793057358,3.751277771826043,0.0770114277490831,NA,1.5885621190554204,NA,1.178631613112447,2.250238212224143,EXT
EUROPE,matrix_32_ext_0_1,4,100,100,0,1000,0,1,4713.972533062303,3814.2715166348553,42.45846849437678,899.7010164274479,0.19084377083287068,0.00555582380132046,78.32311740865431,2.819364344328094,0.06989367970286009,NA,1.5819665131769096,NA,1.1060246618772642,2.5809989849300967,EXT
EUROPE,matrix_32_ext_0_1,5,100,100,0,1000,0,1,4713.972533062303,3727.3862321716433,41.42942431395801,986.58630089066,0.20927362866761703,0.00568304098013181,65.85027508020575,2.2634421313243256,0.0644569919254163,NA,1.5855863150711489,NA,1.044381765648774,2.7723260311811613,EXT
EUROPE,matrix_32_ext_0_1,6,100,100,0,1000,0,1,4713.972533062303,3658.4506782460385,41.31291956255456,1055.5218548162643,0.22389792187983365,0.00574365175452397,57.36576411485894,1.8962380909431324,0.05852239238251718,NA,1.6118905458944126,NA,1.0126982676990055,2.960585472060998,EXT
EUROPE,matrix_32_ext_0_1,7,100,100,0,1000,0,1,4713.972533062303,3600.685273802875,40.58162534315102,1113.287259259428,0.2361520994620661,0.00565173852693633,51.177921536709995,1.6042076147372166,0.05572788549389609,NA,1.614465915444239,NA,0.9991243286048944,3.0836741717177483,EXT
EUROPE,matrix_32_ext_0_1,8,100,100,0,1000,0,1,4713.972533062303,3550.317254855108,39.99071605264018,1163.6552782071951,0.24683693291027903,0.00559384944087433,46.45483251353644,1.398523853626343,0.05551863595757136,NA,1.6146509249272305,NA,1.0069335970373987,3.155762297715946,EXT
EUROPE,matrix_32_pos_0_1,2,100,100,0,1000,0,1,697.8815896096347,608.3460753660588,8.337850612291264,89.53551424357599,0.1282583338091099,0.00538340199851023,146.87782069040315,7.0737793770598625,0.13941379016362865,NA,0.6330898907835817,NA,0.6330898907835817,0.6330898907835817,POS
EUROPE,matrix_32_pos_0_1,3,100,100,0,1000,0,1,697.8815896096347,580.250485797134,7.773575730826251,117.63110381250073,0.16851190846043132,0.00562628321126712,101.05469877939022,4.056189749185144,0.07369887674518467,NA,0.6576462966750087,NA,0.44530971352819154,0.9373145805653352,POS
EUROPE,matrix_32_pos_0_1,4,100,100,0,1000,0,1,697.8815896096347,558.1491286306817,7.407605350207316,139.73246097895304,0.2001804432221926,0.0055396072026166,83.11335801595646,2.877824979733816,0.06942332314621792,NA,0.6454332163206716,NA,0.4491778870216078,1.0427415302705618,POS
EUROPE,matrix_32_pos_0_1,5,100,100,0,1000,0,1,697.8815896096347,544.0300289917741,7.200549566746528,153.85156061786066,0.2204100419197537,0.00575438342438226,70.3452329820103,2.3591873895781608,0.05813568980530641,NA,0.6657579123442701,NA,0.4143198545703136,1.1387617091035536,POS
EUROPE,matrix_32_pos_0_1,6,100,100,0,1000,0,1,697.8815896096347,532.2265263987923,7.200529103941514,165.65506321084248,0.23732568169150536,0.00585298190427114,61.87695108856197,2.0047803183650754,0.05286553718470099,NA,0.6813230833802423,NA,0.4136364301060637,1.2320482074584669,POS
EUROPE,matrix_32_pos_0_1,7,100,100,0,1000,0,1,697.8815896096347,522.2438037877029,7.31219890188721,175.63778582193189,0.251634587163057,0.00588093675411519,55.662196612329446,1.7414647215109649,0.0488405747040016,NA,0.6939825974781353,NA,0.40845846853436657,1.302872363303592,POS
EUROPE,matrix_32_pos_0_1,8,100,100,0,1000,0,1,697.8815896096347,513.5755139810971,7.206162959840685,184.30607562853768,0.26405384451943353,0.0061058445731671,50.85952534223216,1.599841459594035,0.04786666404277024,NA,0.7135051584587159,NA,0.4002999712227105,1.3804276922571146,POS
EUROPE,matrix_32_raw_0_1,2,100,100,0,1000,0,1,1784.6570245711814,1620.0740414353936,26.57581059346139,164.58298313578769,0.09220529574581776,0.00328486762071408,101.38176335819276,3.9799418602004017,0.08400209526515819,NA,0.8157308718414852,NA,0.8157308718414852,0.8157308718414852,RAW
EUROPE,matrix_32_raw_0_1,3,100,100,0,1000,0,1,1784.6570245711814,1505.633015294487,24.551135841843504,279.0240092766944,0.15632253991754275,0.00471362689652368,92.38390230713004,3.306617366510265,0.07878629711066824,NA,0.9193746620240524,NA,0.8815070009258815,0.9532208912718864,RAW
EUROPE,matrix_32_raw_0_1,4,100,100,0,1000,0,1,1784.6570245711814,1452.4675953825251,23.878425767643293,332.1894291886562,0.18611554869960015,0.00451687669447547,75.93277584417301,2.2684190699012676,0.06567253740640469,NA,0.9465396835856892,NA,0.7760592834258062,1.1920783894134244,RAW
EUROPE,matrix_32_raw_0_1,5,100,100,0,1000,0,1,1784.6570245711814,1408.9057938525996,23.376492239939157,375.7512307185818,0.2105246289698106,0.00482813360617229,66.34436137592326,1.9327292849009965,0.05949579668175386,NA,1.003555424811284,NA,0.7505672085899348,1.450510517691715,RAW
EUROPE,matrix_32_raw_0_1,6,100,100,0,1000,0,1,1784.6570245711814,1376.2521231720586,22.842801538612175,408.40490139912265,0.22882087863804668,0.00489649097228314,58.99738028068749,1.6415610537761467,0.05449041769781808,NA,1.0258181087464546,NA,0.7368376776659602,1.540978577158394,RAW
EUROPE,matrix_32_raw_0_1,7,100,100,0,1000,0,1,1784.6570245711814,1349.6745937130966,22.736459370584804,434.98243085808474,0.24371567212498935,0.00494946408852927,53.34234530101936,1.4359876213345644,0.05031192496086006,NA,1.0471382507535585,NA,0.7072405652286369,1.6345313540962358,RAW
EUROPE,matrix_32_raw_0_1,8,100,100,0,1000,0,1,1784.6570245711814,1327.9963538702111,22.48883300897787,456.66067070097006,0.2558629120830228,0.0050539577871653,48.73553240454338,1.2966355371232088,0.04809346463607598,NA,1.0695367283870754,NA,0.6673538879783432,1.7480611676103892,RAW
EUROPE,matrix_32_z_abs,2,100,100,0,1000,0,1,10071.051139477597,8942.589841022134,126.04250723648842,1128.4612984554617,0.11204798787700718,0.00424211477942606,125.95998946658676,5.36576539475958,0.11384382316179084,NA,2.127790820679031,NA,2.127790820679031,2.127790820679031,Z_ABS
EUROPE,matrix_32_z_abs,3,100,100,0,1000,0,1,10071.051139477597,8623.117035536636,121.49122349925452,1447.9341039409594,0.14376629518455475,0.00479215613136257,83.71890893466366,3.2573799653283895,0.06148620545271659,NA,2.1881102084035717,NA,1.6448237415942233,3.195756434428344,Z_ABS
EUROPE,matrix_32_z_abs,4,100,100,0,1000,0,1,10071.051139477597,8395.513643703693,119.53377713709364,1675.5374957739025,0.16636691752403668,0.00484932979864728,66.27009253611389,2.3173512071191475,0.05886399563662382,NA,2.1523766653467424,NA,1.4717461408070145,3.5332105328431407,Z_ABS
EUROPE,matrix_32_z_abs,5,100,100,0,1000,0,1,10071.051139477597,8216.696746843652,118.869273510285,1854.3543926339432,0.1841253335259364,0.0047235288317328,56.147638193074,1.766161755005455,0.0592726738648637,NA,2.166497039214666,NA,1.504846127535389,3.7572189278722257,Z_ABS
EUROPE,matrix_32_z_abs,6,100,100,0,1000,0,1,10071.051139477597,8076.861877943581,116.48846039787348,1994.1892615340148,0.19800855936256576,0.00483182879478319,49.09185891752887,1.4945614981722937,0.0514638889271266,NA,2.216162564589945,NA,1.4675744576725227,4.023056258483008,Z_ABS
EUROPE,matrix_32_z_abs,7,100,100,0,1000,0,1,10071.051139477597,7955.530828591698,114.13743106626691,2115.5203108858973,0.2100563809051375,0.00457494522275114,44.015580821469705,1.2135245220647546,0.04554531266445648,NA,2.2546769360929413,NA,1.4337213237682855,4.232936894908125,Z_ABS
EUROPE,matrix_32_z_abs,8,100,100,0,1000,0,1,10071.051139477597,7850.115421928851,114.03118107107264,2220.935717548745,0.22052442682659265,0.00470682074041987,40.099498144279714,1.0982951839335957,0.04342350272596051,NA,2.3181981142620782,NA,1.417808196904382,4.4432702927616035,Z_ABS
LATAM,matrix_32_ext_0_1,2,100,100,0,608,0,1,2980.992314486818,2479.0580779128536,26.592273070665225,501.93423657396426,0.16835079821310064,0.0074126993081862,122.73008449315198,6.513012339808012,0.15501311624973435,NA,1.822929991342439,NA,1.822929991342439,1.822929991342439,EXT
LATAM,matrix_32_ext_0_1,3,100,100,0,608,0,1,2980.992314486818,2321.2287554357704,26.570527561822143,659.7635590510477,0.22129857885896223,0.00752681321301852,86.00324366316332,3.7616367897279392,0.1160207397681421,NA,1.738779336854839,NA,1.4199848165535949,2.2994500821929735,EXT
LATAM,matrix_32_ext_0_1,4,100,100,0,608,0,1,2980.992314486818,2213.1028001819227,26.63123799442304,767.889514304895,0.2575704481987316,0.00779821715854185,69.87801158623313,2.847871055301165,0.11308991641080555,NA,1.7613456623640895,NA,1.3751186439903165,2.735495686619475,EXT
LATAM,matrix_32_ext_0_1,5,100,100,0,608,0,1,2980.992314486818,2147.736448684768,26.00311114742395,833.2558658020503,0.2794940467645127,0.00808506381294936,58.504025201528606,2.3454188754680168,0.10391666286564125,NA,1.7790770982694286,NA,1.2769817625813022,2.8960037474051132,EXT
LATAM,matrix_32_ext_0_1,6,100,100,0,608,0,1,2980.992314486818,2095.501944666974,25.548780827443952,885.4903698198441,0.29701784568896517,0.00789343232864223,50.8917252959304,1.9230569048326824,0.10012963270320868,NA,1.792776002963321,NA,1.2460723970709473,3.0237610829355317,EXT
LATAM,matrix_32_ext_0_1,7,100,100,0,608,0,1,2980.992314486818,2052.327117810285,26.03098110076344,928.6651966765336,0.31150155376219785,0.00811981293273866,45.33903877005258,1.7151092233762604,0.0976717924366378,NA,1.80189373761074,NA,1.2212836128048692,3.107052109133516,EXT
LATAM,matrix_32_ext_0_1,8,100,100,0,608,0,1,2980.992314486818,2012.9748661499395,26.603436653213887,968.0174483368784,0.3247073999622116,0.00798447144387701,41.23239690255464,1.5017733132193802,0.0970778718862277,NA,1.8311193280807527,NA,1.1863771133928398,3.18323081080936,EXT
LATAM,matrix_32_pos_0_1,2,100,100,0,608,0,1,433.5299406842086,365.3517736860592,6.066814249757968,68.17816699814942,0.15721090255125933,0.00771580595732365,113.10088608182367,6.596696596918018,0.16257542161127753,NA,0.6846174447065577,NA,0.6846174447065577,0.6846174447065577,POS
LATAM,matrix_32_pos_0_1,3,100,100,0,608,0,1,433.5299406842086,344.84006975581116,5.786124937018843,88.68987092839745,0.2045153155767298,0.0086848487049917,77.81638323875698,4.171077520973109,0.1141565911497042,NA,0.6829603908539486,NA,0.5419278557092503,0.9021487272185682,POS
LATAM,matrix_32_pos_0_1,4,100,100,0,608,0,1,433.5299406842086,329.2404995023407,5.587847441064232,104.2894411818679,0.24049738462881248,0.00881330995456784,63.78787060239073,3.0852069894192566,0.09980475111038337,NA,0.6912101934761562,NA,0.4970543395120535,1.0358054675544217,POS
LATAM,matrix_32_pos_0_1,5,100,100,0,608,0,1,433.5299406842086,317.14766455911285,5.442674610666935,116.3822761250958,0.26838550100439756,0.00934947923294531,55.33450745056029,2.638144449390531,0.08630459436914646,NA,0.7139140135526992,NA,0.4639817085835207,1.1468832326494092,POS
LATAM,matrix_32_pos_0_1,6,100,100,0,608,0,1,433.5299406842086,307.4954659845922,5.3489149229765705,126.03447469961638,0.29064832224793247,0.00955457729614527,49.3629522001042,2.287709129412296,0.08713860139288998,NA,0.72803795449524,NA,0.4651522215819944,1.2305458441449395,POS
LATAM,matrix_32_pos_0_1,7,100,100,0,608,0,1,433.5299406842086,299.4386634566084,5.042781207677984,134.09127722760016,0.3092314744549452,0.00901953636053097,44.86540423473286,1.8955926829461769,0.08925516696310255,NA,0.7453765783701962,NA,0.46305334607919546,1.276691026087273,POS
LATAM,matrix_32_pos_0_1,8,100,100,0,608,0,1,433.5299406842086,292.4392602833979,4.9648483626646724,141.09068040081073,0.32537297278135563,0.00932730042193546,41.36408130794746,1.7563750605138753,0.08889161578771242,NA,0.7557345769543167,NA,0.4572467892400373,1.32857182880659,POS
LATAM,matrix_32_raw_0_1,2,100,100,0,608,0,1,978.2636844687484,870.1195943158292,18.63554640716843,108.14409015291936,0.1105191297953078,0.00618990318993565,75.32892282108479,4.73958736481261,0.10092259610472595,NA,0.8506873424254485,NA,0.8506873424254485,0.8506873424254485,RAW
LATAM,matrix_32_raw_0_1,3,100,100,0,608,0,1,978.2636844687484,808.819396042088,17.945250665759914,169.44428842666056,0.17318982486594162,0.0067066668176226,63.3878014221259,2.975809859730871,0.09540661239379432,NA,0.932167875239926,NA,0.8173973821013395,1.0413047386409728,RAW
LATAM,matrix_32_raw_0_1,4,100,100,0,608,0,1,978.2636844687484,767.1914777724676,17.624544947218578,211.0722066962809,0.21573671567380345,0.00854908348748658,55.41344234136141,2.804870593702548,0.09638979674027362,NA,1.0584573705987868,NA,0.8020100454051562,1.627007216363887,RAW
LATAM,matrix_32_raw_0_1,5,100,100,0,608,0,1,978.2636844687484,735.9118213919979,16.792960018067035,242.35186307675053,0.24770134021066964,0.00893690391422476,49.66392147174965,2.388079278768309,0.09833530577231232,NA,1.087061146296282,NA,0.7965499089301631,1.785884702147385,RAW
LATAM,matrix_32_raw_0_1,6,100,100,0,608,0,1,978.2636844687484,713.4616108207132,16.328084201989043,264.80207364803533,0.2706431254604565,0.00944441713775717,44.704331149892226,2.1372292670829904,0.09691117234951473,NA,1.1298762800036286,NA,0.7659330079813377,1.945483151439276,RAW
LATAM,matrix_32_raw_0_1,7,100,100,0,608,0,1,978.2636844687484,695.5332651782384,16.10929597299901,282.73041929051016,0.2889677464387445,0.00978874361863396,40.7347655455136,1.940070542577899,0.09408334145315088,NA,1.172659922683157,NA,0.7195976805802982,2.113295706283618,RAW
LATAM,matrix_32_raw_0_1,8,100,100,0,608,0,1,978.2636844687484,679.8466423866752,15.199143557037782,298.41704208207335,0.3049938959699655,0.00938386477218187,37.63677611722195,1.6640070504058229,0.0958129771495914,NA,1.2035312787640358,NA,0.7012753692224176,2.1330049920463643,RAW
LATAM,matrix_32_z_abs,2,100,100,0,608,0,1,6667.492574596145,5900.327909082013,140.73162928941846,767.1646655141316,0.11500040145656114,0.00559776122639109,78.77321895633843,4.335222297666223,0.14281995145307777,NA,2.312832716092626,NA,2.312832716092626,2.312832716092626,Z_ABS
LATAM,matrix_32_z_abs,3,100,100,0,608,0,1,6667.492574596145,5622.284987972015,123.07597933518204,1045.2075866241291,0.15664952707705626,0.00763182255326071,56.21751425530636,3.254229646984231,0.09837268132926962,NA,2.5408312470786356,NA,1.8830837529939812,3.4456318542344015,Z_ABS
LATAM,matrix_32_z_abs,4,100,100,0,608,0,1,6667.492574596145,5432.735643190567,116.78631638906248,1234.7569314055768,0.18506281740076871,0.00861926954649122,45.7480704585592,2.6359477618637475,0.08624117336860165,NA,2.6527216739675374,NA,1.7630170014493398,4.013080117496712,Z_ABS
LATAM,matrix_32_z_abs,5,100,100,0,608,0,1,6667.492574596145,5283.250380749011,112.2965507559167,1384.2421938471334,0.20746638559237968,0.00974720145285765,39.49166433158053,2.375104245793681,0.08360209903600026,NA,2.90285907687218,NA,1.725540260222384,4.763561646971955,Z_ABS
LATAM,matrix_32_z_abs,6,100,100,0,608,0,1,6667.492574596145,5154.769035888506,113.08782577174011,1512.723538707639,0.22674601365287272,0.00990416729610435,35.33127678582293,2.0229233478101314,0.07907842164210507,NA,3.04121469793264,NA,1.677876827583049,5.288657166205843,Z_ABS
LATAM,matrix_32_z_abs,7,100,100,0,608,0,1,6667.492574596145,5038.016053914255,105.56600890189134,1629.4765206818893,0.24423136083602331,0.01063220133972391,32.3958229560861,1.8915245260107032,0.07726621450383268,NA,3.196331189110697,NA,1.62449063289783,5.823984708053876,Z_ABS
LATAM,matrix_32_z_abs,8,100,100,0,608,0,1,6667.492574596145,4934.48166112815,105.85481052389244,1733.0109134679938,0.2597647405520388,0.01079140511993733,30.103740970584415,1.7134028572129598,0.07842853979659987,NA,3.28986840961055,NA,1.6010684785983171,6.1375570584955925,Z_ABS
DIEGO,matrix_32_ext_0_1,2,100,100,0,251.22,0,1,1139.1016758063158,1090.486151371273,48.43009141234664,48.615524435042666,0.04268266333609902,0.00172950208218161,11.111126550214424,0.6427043706440522,0.03987305377427595,NA,0.8844849176003096,NA,0.8844849176003096,0.8844849176003096,EXT
DIEGO,matrix_32_ext_0_1,3,100,100,0,251.22,0,1,1139.1016758063158,1055.1847866009757,47.252028950113385,83.91688920534021,0.07368756584422112,0.00225647974500588,9.87111565385967,0.4842767995471845,0.03743755299680904,NA,1.0071928803401675,NA,0.9687287752477216,1.0455631645672838,EXT
DIEGO,matrix_32_ext_0_1,4,100,100,0,251.22,0,1,1139.1016758063158,1026.998254114254,46.21044107681824,112.1034216920618,0.09843969677231984,0.00261516170559718,8.996100268388943,0.41963284129059514,0.03757295568659431,NA,1.0990216691714518,NA,1.0262584459750026,1.1692766127029663,EXT
DIEGO,matrix_32_ext_0_1,5,100,100,0,251.22,0,1,1139.1016758063158,1003.1595420818868,46.02431379600751,135.94213372442883,0.11940001058749584,0.00327435544081038,8.342611503268548,0.34788375019761203,0.03894020073158689,NA,1.1718217919400638,NA,1.0716965019690177,1.274182479350948,EXT
DIEGO,matrix_32_ext_0_1,6,100,100,0,251.22,0,1,1139.1016758063158,981.8856554942778,45.032510699149014,157.21602031203795,0.13807421370817843,0.00329977564261157,7.853695029995123,0.3270423734341952,0.0404841120655513,NA,1.2365506003685014,NA,1.1042102828203997,1.373763891243739,EXT
DIEGO,matrix_32_ext_0_1,7,100,100,0,251.22,0,1,1139.1016758063158,962.9107700863374,44.63144094806156,176.19090571997836,0.15474697484230207,0.00380073647542573,7.448743359148245,0.3015442489596136,0.04244543998680433,NA,1.2911308382410116,NA,1.1434388066747316,1.4577306313230023,EXT
DIEGO,matrix_32_ext_0_1,8,100,100,0,251.22,0,1,1139.1016758063158,945.5381448390884,43.911976127487016,193.56353096722745,0.16999977621328444,0.00395227337852857,7.113712579581022,0.2868179248966914,0.04355842157255937,NA,1.3412865880154776,NA,1.156775768240499,1.5440802874673152,EXT
DIEGO,matrix_32_pos_0_1,2,100,100,0,251.22,0,1,182.59753389050863,171.81152874597842,7.82144024614101,10.786005144530188,0.05905959489893832,0.00439433626594061,15.64732479958318,1.39803637541929,0.06652738166535713,NA,0.4213873747804181,NA,0.4213873747804181,0.4213873747804181,POS
DIEGO,matrix_32_pos_0_1,3,100,100,0,251.22,0,1,182.59753389050863,165.34962827654624,7.626434060634521,17.24790561396238,0.09446927917453311,0.00491023102372904,12.947833659831682,0.8744273322241263,0.0455574193576412,NA,0.4623641909857705,NA,0.4199831600636761,0.5016082740949365,POS
