analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
WHY_EUROPE,POS,matrix_32_pos_0_1,3,7,47.62529761904683,8.681607142856612,38.94369047619022
WHY_EUROPE,POS,matrix_32_pos_0_1,3,8,52.39818452380864,8.885595238094695,43.51258928571394
WHY_EUROPE,POS,matrix_32_pos_0_1,4,1,27.45124999999976,5.049434523809157,22.401815476190603
WHY_EUROPE,POS,matrix_32_pos_0_1,4,2,41.86830357142802,8.688005952380367,33.18029761904766
WHY_EUROPE,POS,matrix_32_pos_0_1,4,3,53.997797619046935,11.071309523808797,42.92648809523814
WHY_EUROPE,POS,matrix_32_pos_0_1,4,4,59.799702380951565,12.093511904761112,47.70619047619046
WHY_EUROPE,POS,matrix_32_pos_0_1,4,5,62.80988095238009,13.411160714284842,49.39872023809525
WHY_EUROPE,POS,matrix_32_pos_0_1,4,6,66.04857142857051,15.521994047618051,50.52657738095246
WHY_EUROPE,POS,matrix_32_pos_0_1,4,7,70.43169642857042,16.41565476190371,54.01604166666671
WHY_EUROPE,POS,matrix_32_pos_0_1,4,8,73.01627976190369,17.29398809523699,55.7222916666667
WHY_EUROPE,POS,matrix_32_pos_0_1,5,1,42.267767857142616,7.161428571428093,35.106339285714526
WHY_EUROPE,POS,matrix_32_pos_0_1,5,2,58.65410714285638,12.891815476189558,45.762291666666826
WHY_EUROPE,POS,matrix_32_pos_0_1,5,3,72.33419642857058,17.037083333332134,55.297113095238444
WHY_EUROPE,POS,matrix_32_pos_0_1,5,4,75.89869047618957,18.41101190476062,57.48767857142895
WHY_EUROPE,POS,matrix_32_pos_0_1,5,5,78.12392857142763,20.29077380952241,57.83315476190522
WHY_EUROPE,POS,matrix_32_pos_0_1,5,6,80.61630952380854,23.282023809522233,57.33428571428631
WHY_EUROPE,POS,matrix_32_pos_0_1,5,7,81.49610119047519,24.612202380950723,56.88389880952447
WHY_EUROPE,POS,matrix_32_pos_0_1,5,8,82.80922619047516,25.29276785714115,57.51645833333401
WHY_EUROPE,POS,matrix_32_pos_0_1,6,1,60.6752083333329,10.00077380952337,50.67443452380952
WHY_EUROPE,POS,matrix_32_pos_0_1,6,2,76.41366071428477,17.85357142857053,58.56008928571424
WHY_EUROPE,POS,matrix_32_pos_0_1,6,3,86.09547619047521,24.802232142855697,61.29324404761951
