analysis_sample,bootstrap_id,variable,category,n,total_n,prop
COMPLETE,46,self_classification_archetype_model,Homo economicus,202,600,0.33666666666666667
COMPLETE,46,self_classification_archetype_model,Influencer,21,600,0.035
COMPLETE,46,self_classification_archetype_model,None,7,600,0.011666666666666667
COMPLETE,46,self_classification_archetype_model,Stubborn,27,600,0.045
COMPLETE,46,self_classification_archetype_model,Uninterested,13,600,0.021666666666666667
COMPLETE,47,self_classification_archetype_model,Activist,68,597,0.11390284757118928
COMPLETE,47,self_classification_archetype_model,Careful,167,597,0.2797319932998325
COMPLETE,47,self_classification_archetype_model,Early adopter,11,597,0.018425460636515914
COMPLETE,47,self_classification_archetype_model,Fearful,81,597,0.135678391959799
COMPLETE,47,self_classification_archetype_model,Homo economicus,183,597,0.3065326633165829
COMPLETE,47,self_classification_archetype_model,Influencer,37,597,0.06197654941373534
COMPLETE,47,self_classification_archetype_model,None,8,597,0.01340033500837521
COMPLETE,47,self_classification_archetype_model,Stubborn,31,597,0.051926298157453935
COMPLETE,47,self_classification_archetype_model,Uninterested,11,597,0.018425460636515914
COMPLETE,48,self_classification_archetype_model,Activist,72,610,0.1180327868852459
COMPLETE,48,self_classification_archetype_model,Careful,179,610,0.2934426229508197
COMPLETE,48,self_classification_archetype_model,Early adopter,9,610,0.014754098360655738
COMPLETE,48,self_classification_archetype_model,Fearful,85,610,0.13934426229508196
COMPLETE,48,self_classification_archetype_model,Homo economicus,166,610,0.2721311475409836
COMPLETE,48,self_classification_archetype_model,Influencer,30,610,0.04918032786885246
COMPLETE,48,self_classification_archetype_model,None,9,610,0.014754098360655738
COMPLETE,48,self_classification_archetype_model,Stubborn,47,610,0.07704918032786885
COMPLETE,48,self_classification_archetype_model,Uninterested,13,610,0.021311475409836064
COMPLETE,49,self_classification_archetype_model,Activist,81,613,0.13213703099510604
COMPLETE,49,self_classification_archetype_model,Careful,175,613,0.28548123980424145
COMPLETE,49,self_classification_archetype_model,Early adopter,6,613,0.009787928221859706
