"scenario","type","K","D","assigned_pct","unassigned_pct"
"100-32","pos",5,3,4.55713826710935,95.4428617328906
"100-32","pos",5,4,26.1540109242797,73.8459890757203
"100-32","pos",5,5,30.3095212595052,69.6904787404948
"100-32","pos",5,6,71.9021098854022,28.0978901145978
"100-32","pos",5,7,71.5486773053443,28.4513226946557
"100-32","pos",5,8,85.1022812466531,14.8977187533469
"100-32","pos",5,9,85.9216022276963,14.0783977723037
"100-32","pos",5,10,95.6945485702046,4.30545142979544
"100-32","pos",5,11,96.706650958552,3.293349041448
"100-32","pos",5,12,98.5541394452179,1.44586055478205
"100-32","pos",5,13,98.9557673771019,1.04423262289815
"100-32","pos",5,14,99.9678697654493,0.0321302345507122
"100-32","pos",5,15,99.9678697654493,0.0321302345507122
"100-32","pos",5,16,100,0
"100-32","pos",5,17,100,0
"100-32","pos",5,18,100,0
"100-32","pos",5,19,100,0
"100-32","pos",5,20,100,0
"100-32","pos",6,0,0.0321302345507122,99.9678697654493
"100-32","pos",6,1,0.176716290028917,99.8232837099711
"100-32","pos",6,2,3.60929634786334,96.3907036521367
"100-32","pos",6,3,5.19438791903181,94.8056120809682
"100-32","pos",6,4,30.6950840741137,69.3049159258863
"100-32","pos",6,5,32.4408268180358,67.5591731819642
"100-32","pos",6,6,72.528649459141,27.4713505408589
"100-32","pos",6,7,71.6236478526293,28.3763521473707
"100-32","pos",6,8,85.878761914962,14.121238085038
"100-32","pos",6,9,85.9483774231552,14.0516225768448
"100-32","pos",6,10,96.0479811502624,3.9520188497376
"100-32","pos",6,11,96.9369176394988,3.06308236050123
"100-32","pos",6,12,98.8754417907251,1.12455820927493
"100-32","pos",6,13,99.5823069508407,0.417693049159259
"100-32","pos",6,14,100,0
"100-32","pos",6,15,100,0
"100-32","pos",6,16,100,0
"100-32","pos",6,17,100,0
"100-32","pos",6,18,100,0
"100-32","pos",6,19,100,0
"100-32","pos",6,20,100,0
"100-32","pos",7,0,0.0374852736424976,99.9625147263575
"100-32","pos",7,1,0.208846524579629,99.7911534754204
"100-32","pos",7,2,4.34293670343794,95.6570632965621
"100-32","pos",7,3,5.98157866552426,94.0184213344757
"100-32","pos",7,4,37.3032023133769,62.6967976866231
"100-32","pos",7,5,39.0328799400236,60.9671200599764
"100-32","pos",7,6,72.603620006426,27.396379993574
"100-32","pos",7,7,71.6879083217308,28.3120916782693
"100-32","pos",7,8,85.9055371104209,14.0944628895791
"100-32","pos",7,9,86.451751097783,13.548248902217
"100-32","pos",7,10,96.6263253721752,3.37367462782478
"100-32","pos",7,11,97.4349362750348,2.56506372496519
"100-32","pos",7,12,99.4859162471886,0.514083752811396
"100-32","pos",7,13,99.7536682017779,0.246331798222127
"100-32","pos",7,14,100,0
"100-32","pos",7,15,100,0
"100-32","pos",7,16,100,0
"100-32","pos",7,17,100,0
"100-32","pos",7,18,100,0
"100-32","pos",7,19,100,0
"100-32","pos",7,20,100,0
"100-32","pos",8,0,0.042840312734283,99.9571596872657
"100-32","pos",8,1,0.224911641854986,99.775088358145
"100-32","pos",8,2,4.66423904894506,95.3357609510549
"100-32","pos",8,3,6.19042519010389,93.8095748098961
"100-32","pos",8,4,42.5136553496841,57.4863446503159
"100-32","pos",8,5,44.2433329763307,55.7566670236693
"100-32","pos",8,6,72.6678804755275,27.3321195244725
"100-32","pos",8,7,72.0092106672379,27.9907893327621
"100-32","pos",8,8,86.1143836350005,13.8856163649995
"100-32","pos",8,9,88.0903930598693,11.9096069401307
"100-32","pos",8,10,97.2957052586484,2.70429474135161
"100-32","pos",8,11,97.6170076041555,2.38299239584449
"100-32","pos",8,12,99.6197922244832,0.380207775516761
"100-32","pos",8,13,99.85005890543,0.14994109456999
"100-32","pos",8,14,100,0
"100-32","pos",8,15,100,0
"100-32","pos",8,16,100,0
"100-32","pos",8,17,100,0
"100-32","pos",8,18,100,0
"100-32","pos",8,19,100,0
"100-32","pos",8,20,100,0
"100-32","ext",1,0,0.00314139415072409,99.9968586058493
"100-32","ext",1,1,0.0565450947130336,99.943454905287
