analysis_sample,matrix_name,matrix,greedy_d_strategy,greedy_h,weighting,n_kmeans_prototypes,min_kmeans_signature_size,max_kmeans_signature_size,n_efa_prototypes,min_efa_signature_size,max_efa_signature_size,mean_kmeans_efa_similarity,median_kmeans_efa_similarity,min_kmeans_efa_similarity,max_kmeans_efa_similarity,n_kmeans_efa_matches_ge_75,mean_best_kmeans_expert_jaccard,max_best_kmeans_expert_jaccard,mean_best_efa_expert_jaccard,max_best_efa_expert_jaccard,coverage_kmeans_after_6_prototypes,coverage_efa_after_6_prototypes,coverage_after_6_prototypes
LATAM,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,61.41025641025641,70.83333333333334,13.333333333333334,100,3,39.61131461131461,50,36.33831310301898,58.8235294117647,83.46252976190162,53.258065476191646,83.46252976190162
LATAM,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,56.80555555555556,51.66666666666667,33.333333333333336,100,1,31.44101770262761,41.666666666666664,36.59375468585995,53.84615384615385,26.314970238093224,44.5267857142852,26.314970238093224
DIEGO,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,10,45.02136752136752,42.56410256410256,25,66.66666666666667,0,41.12064921662445,47.05882352941177,32.417582417582416,55.55555555555556,27.924315476185328,19.02470238095021,27.924315476185328
DIEGO,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,31.34259259259259,31.25,0,55.55555555555556,0,47.81424715635242,75,30.414400414400415,44.44444444444444,56.74476190475709,10.575714285712817,56.74476190475709
DIEGO,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,14,47.47604247604248,50.256410256410255,25,58.333333333333336,0,34.12217412217412,55.55555555555556,33.113830613830615,50,3.887410714284724,1.7377380952378318,3.887410714284724
DIEGO,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,14,49.007936507936506,45.83333333333333,33.333333333333336,77.77777777777777,1,26.96969696969697,33.333333333333336,26.654058087881616,38.888888888888886,3.0413392857134993,1.626220238094996,3.0413392857134993
RENOVISOR,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,53.84004884004884,59.82142857142857,20,87.5,1,45.6209912092265,54.54545454545455,37.526455026455025,44.44444444444444,83.22345238095026,56.19020833333379,83.22345238095026
RENOVISOR,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,47.916666666666664,47.91666666666667,0,83.33333333333333,2,52.64043948254475,63.63636363636363,36.22208931419458,45.45454545454545,95.1441369047609,48.50595238095347,95.1441369047609
RENOVISOR,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,54.90384615384615,67.91666666666666,16.666666666666668,76.92307692307692,2,48.24532085561497,69.23076923076923,34.5034595034595,53.84615384615385,80.65139880952381,49.02946428571446,80.65139880952381
RENOVISOR,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,61.46825396825397,61.25,26.666666666666668,100,1,33.48016505911243,44.44444444444444,28.97907647907648,40,33.67220238095123,51.94181547619121,33.67220238095123
WHY_EUROPE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,12,40.34900284900285,35.41666666666667,22.22222222222222,62.5,0,43.80718954248366,69.23076923076923,33.09116809116809,44.44444444444444,78.84080357142655,36.02175595237908,78.84080357142655
WHY_EUROPE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,13,62.942612942612946,61.90476190476191,0,100,2,49.31393497569968,68.75,40.17117958294429,47.05882352941177,90.71461309523704,33.30431547618853,90.71461309523704
WHY_EUROPE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,13,6,8,14,63.3974358974359,66.66666666666666,15.384615384615383,100,3,45.71160321160321,75,38.39031339031339,53.333333333333336,64.09375000000057,31.91976190475982,64.09375000000057
WHY_EUROPE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,10,37.638888888888886,37.5,13.333333333333334,50,0,38.32371332371332,54.54545454545455,28.01282051282051,40,5.821339285713914,14.628422619045924,5.821339285713914
WHY_LATAM,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,51.2962962962963,48.33333333333333,11.11111111111111,100,1,40.51180301180301,50,34.60557688498865,50,93.47651785714032,70.15074404761697,93.47651785714032
WHY_LATAM,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,15,51.65598290598291,52.083333333333336,0,100,2,49.10130718954248,66.66666666666667,34.60557688498865,50,95.88053571428584,61.05666666666771,95.88053571428584
WHY_LATAM,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,61.48148148148148,70.83333333333334,13.333333333333334,100,3,43.716931216931215,60,36.33831310301898,58.8235294117647,83.66916666666368,53.245565476191665,83.66916666666368
WHY_LATAM,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,53.14814814814815,51.111111111111114,12.5,100,1,35.52036199095023,41.666666666666664,36.59375468585995,53.84615384615385,22.81244047618821,44.55866071428515,22.81244047618821
