bootstrap_id,variable,category,n,total_n,prop
6,self_classification_archetype_model,Early adopter,7,623,0.011235955056179775
6,self_classification_archetype_model,Fearful,105,623,0.16853932584269662
6,self_classification_archetype_model,Homo economicus,160,623,0.2568218298555377
6,self_classification_archetype_model,Influencer,24,623,0.038523274478330656
6,self_classification_archetype_model,None,18,623,0.028892455858747994
6,self_classification_archetype_model,Stubborn,39,623,0.06260032102728733
6,self_classification_archetype_model,Uninterested,19,623,0.030497592295345103
7,self_classification_archetype_model,Activist,89,612,0.1454248366013072
7,self_classification_archetype_model,Careful,190,612,0.3104575163398693
7,self_classification_archetype_model,Early adopter,8,612,0.013071895424836602
7,self_classification_archetype_model,Fearful,75,612,0.12254901960784313
7,self_classification_archetype_model,Homo economicus,156,612,0.2549019607843137
7,self_classification_archetype_model,Influencer,21,612,0.03431372549019608
7,self_classification_archetype_model,None,22,612,0.03594771241830065
7,self_classification_archetype_model,Stubborn,37,612,0.06045751633986928
7,self_classification_archetype_model,Uninterested,14,612,0.02287581699346405
8,self_classification_archetype_model,Activist,70,611,0.11456628477905073
8,self_classification_archetype_model,Careful,170,611,0.27823240589198034
8,self_classification_archetype_model,Early adopter,5,611,0.008183306055646482
8,self_classification_archetype_model,Fearful,99,611,0.16202945990180032
8,self_classification_archetype_model,Homo economicus,173,611,0.28314238952536824
8,self_classification_archetype_model,Influencer,17,611,0.027823240589198037
8,self_classification_archetype_model,None,24,611,0.03927986906710311
8,self_classification_archetype_model,Stubborn,38,611,0.062193126022913256
8,self_classification_archetype_model,Uninterested,15,611,0.024549918166939442
9,self_classification_archetype_model,Activist,77,624,0.1233974358974359
9,self_classification_archetype_model,Careful,178,624,0.28525641025641024
9,self_classification_archetype_model,Early adopter,11,624,0.017628205128205128
9,self_classification_archetype_model,Fearful,88,624,0.14102564102564102
9,self_classification_archetype_model,Homo economicus,157,624,0.2516025641025641
9,self_classification_archetype_model,Influencer,28,624,0.04487179487179487
9,self_classification_archetype_model,None,14,624,0.022435897435897436
9,self_classification_archetype_model,Stubborn,44,624,0.07051282051282051
9,self_classification_archetype_model,Uninterested,27,624,0.04326923076923077
10,self_classification_archetype_model,Activist,70,645,0.10852713178294573
10,self_classification_archetype_model,Careful,204,645,0.31627906976744186
10,self_classification_archetype_model,Early adopter,6,645,0.009302325581395349
10,self_classification_archetype_model,Fearful,88,645,0.13643410852713178
10,self_classification_archetype_model,Homo economicus,167,645,0.2589147286821705
10,self_classification_archetype_model,Influencer,33,645,0.05116279069767442
10,self_classification_archetype_model,None,15,645,0.023255813953488372
10,self_classification_archetype_model,Stubborn,48,645,0.07441860465116279
10,self_classification_archetype_model,Uninterested,14,645,0.021705426356589147
11,self_classification_archetype_model,Activist,75,616,0.12175324675324675
11,self_classification_archetype_model,Careful,190,616,0.30844155844155846
11,self_classification_archetype_model,Early adopter,6,616,0.00974025974025974
11,self_classification_archetype_model,Fearful,87,616,0.14123376623376624
11,self_classification_archetype_model,Homo economicus,164,616,0.2662337662337662
11,self_classification_archetype_model,Influencer,26,616,0.04220779220779221
11,self_classification_archetype_model,None,16,616,0.025974025974025976
11,self_classification_archetype_model,Stubborn,37,616,0.060064935064935064
11,self_classification_archetype_model,Uninterested,15,616,0.024350649350649352
12,self_classification_archetype_model,Activist,62,625,0.0992
12,self_classification_archetype_model,Careful,181,625,0.2896
12,self_classification_archetype_model,Early adopter,8,625,0.0128
12,self_classification_archetype_model,Fearful,93,625,0.1488
12,self_classification_archetype_model,Homo economicus,176,625,0.2816
12,self_classification_archetype_model,Influencer,40,625,0.064
12,self_classification_archetype_model,None,13,625,0.0208
12,self_classification_archetype_model,Stubborn,32,625,0.0512
12,self_classification_archetype_model,Uninterested,20,625,0.032
13,self_classification_archetype_model,Activist,75,603,0.12437810945273632
13,self_classification_archetype_model,Careful,178,603,0.29519071310116085
13,self_classification_archetype_model,Early adopter,7,603,0.011608623548922056
13,self_classification_archetype_model,Fearful,106,603,0.175787728026534
13,self_classification_archetype_model,Homo economicus,137,603,0.22719734660033167
13,self_classification_archetype_model,Influencer,25,603,0.04145936981757877
13,self_classification_archetype_model,None,12,603,0.01990049751243781
13,self_classification_archetype_model,Stubborn,44,603,0.07296849087893864
13,self_classification_archetype_model,Uninterested,19,603,0.03150912106135987
14,self_classification_archetype_model,Activist,59,620,0.09516129032258064
14,self_classification_archetype_model,Careful,166,620,0.267741935483871
14,self_classification_archetype_model,Early adopter,5,620,0.008064516129032258
14,self_classification_archetype_model,Fearful,93,620,0.15
14,self_classification_archetype_model,Homo economicus,185,620,0.29838709677419356
14,self_classification_archetype_model,Influencer,30,620,0.04838709677419355
14,self_classification_archetype_model,None,14,620,0.02258064516129032
14,self_classification_archetype_model,Stubborn,49,620,0.07903225806451612
14,self_classification_archetype_model,Uninterested,19,620,0.03064516129032258
15,self_classification_archetype_model,Activist,67,614,0.10912052117263844
15,self_classification_archetype_model,Careful,179,614,0.2915309446254072
15,self_classification_archetype_model,Early adopter,10,614,0.016286644951140065
15,self_classification_archetype_model,Fearful,94,614,0.15309446254071662
15,self_classification_archetype_model,Homo economicus,165,614,0.2687296416938111
15,self_classification_archetype_model,Influencer,26,614,0.04234527687296417
15,self_classification_archetype_model,None,15,614,0.024429967426710098
15,self_classification_archetype_model,Stubborn,45,614,0.0732899022801303
15,self_classification_archetype_model,Uninterested,13,614,0.021172638436482084
16,self_classification_archetype_model,Activist,77,590,0.13050847457627118
16,self_classification_archetype_model,Careful,189,590,0.32033898305084746
16,self_classification_archetype_model,Early adopter,4,590,0.006779661016949152
16,self_classification_archetype_model,Fearful,85,590,0.1440677966101695
16,self_classification_archetype_model,Homo economicus,143,590,0.2423728813559322
16,self_classification_archetype_model,Influencer,25,590,0.0423728813559322
16,self_classification_archetype_model,None,20,590,0.03389830508474576
16,self_classification_archetype_model,Stubborn,41,590,0.06949152542372881
16,self_classification_archetype_model,Uninterested,6,590,0.010169491525423728
17,self_classification_archetype_model,Activist,82,618,0.13268608414239483
17,self_classification_archetype_model,Careful,166,618,0.2686084142394822
17,self_classification_archetype_model,Early adopter,7,618,0.011326860841423949
17,self_classification_archetype_model,Fearful,104,618,0.16828478964401294
17,self_classification_archetype_model,Homo economicus,171,618,0.2766990291262136
17,self_classification_archetype_model,Influencer,29,618,0.04692556634304207
17,self_classification_archetype_model,None,14,618,0.022653721682847898
17,self_classification_archetype_model,Stubborn,34,618,0.05501618122977346
17,self_classification_archetype_model,Uninterested,11,618,0.01779935275080906
18,self_classification_archetype_model,Activist,81,614,0.13192182410423453
18,self_classification_archetype_model,Careful,169,614,0.2752442996742671
18,self_classification_archetype_model,Early adopter,7,614,0.011400651465798045
18,self_classification_archetype_model,Fearful,89,614,0.1449511400651466
18,self_classification_archetype_model,Homo economicus,176,614,0.28664495114006516
18,self_classification_archetype_model,Influencer,17,614,0.02768729641693811
18,self_classification_archetype_model,None,17,614,0.02768729641693811
18,self_classification_archetype_model,Stubborn,43,614,0.07003257328990228
18,self_classification_archetype_model,Uninterested,15,614,0.024429967426710098
19,self_classification_archetype_model,Activist,60,622,0.09646302250803858
19,self_classification_archetype_model,Careful,167,622,0.2684887459807074
19,self_classification_archetype_model,Early adopter,9,622,0.014469453376205787
19,self_classification_archetype_model,Fearful,82,622,0.13183279742765272
19,self_classification_archetype_model,Homo economicus,195,622,0.3135048231511254
19,self_classification_archetype_model,Influencer,33,622,0.05305466237942122
19,self_classification_archetype_model,None,15,622,0.024115755627009645
19,self_classification_archetype_model,Stubborn,46,622,0.07395498392282958
19,self_classification_archetype_model,Uninterested,15,622,0.024115755627009645
20,self_classification_archetype_model,Activist,75,618,0.12135922330097088
20,self_classification_archetype_model,Careful,173,618,0.27993527508090615
20,self_classification_archetype_model,Early adopter,3,618,0.0048543689320388345
20,self_classification_archetype_model,Fearful,84,618,0.13592233009708737
20,self_classification_archetype_model,Homo economicus,196,618,0.31715210355987056
20,self_classification_archetype_model,Influencer,25,618,0.040453074433656956
20,self_classification_archetype_model,None,15,618,0.024271844660194174
20,self_classification_archetype_model,Stubborn,36,618,0.05825242718446602
20,self_classification_archetype_model,Uninterested,11,618,0.01779935275080906
21,self_classification_archetype_model,Activist,69,615,0.11219512195121951
21,self_classification_archetype_model,Careful,191,615,0.3105691056910569
21,self_classification_archetype_model,Early adopter,6,615,0.00975609756097561
21,self_classification_archetype_model,Fearful,82,615,0.13333333333333333
