bootstrap_id,variable,category,n,total_n,prop
83,dataset_source,why,131,1000,0.131
84,dataset_source,diego,227,1000,0.227
84,dataset_source,rv,620,1000,0.62
84,dataset_source,why,153,1000,0.153
85,dataset_source,diego,205,1000,0.205
85,dataset_source,rv,650,1000,0.65
85,dataset_source,why,145,1000,0.145
86,dataset_source,diego,238,1000,0.238
86,dataset_source,rv,627,1000,0.627
86,dataset_source,why,135,1000,0.135
87,dataset_source,diego,217,1000,0.217
87,dataset_source,rv,640,1000,0.64
87,dataset_source,why,143,1000,0.143
88,dataset_source,diego,226,1000,0.226
88,dataset_source,rv,645,1000,0.645
88,dataset_source,why,129,1000,0.129
89,dataset_source,diego,263,1000,0.263
89,dataset_source,rv,632,1000,0.632
89,dataset_source,why,105,1000,0.105
90,dataset_source,diego,231,1000,0.231
90,dataset_source,rv,637,1000,0.637
90,dataset_source,why,132,1000,0.132
91,dataset_source,diego,231,1000,0.231
91,dataset_source,rv,649,1000,0.649
91,dataset_source,why,120,1000,0.12
92,dataset_source,diego,230,1000,0.23
92,dataset_source,rv,619,1000,0.619
92,dataset_source,why,151,1000,0.151
93,dataset_source,diego,230,1000,0.23
93,dataset_source,rv,629,1000,0.629
93,dataset_source,why,141,1000,0.141
94,dataset_source,diego,249,1000,0.249
94,dataset_source,rv,628,1000,0.628
94,dataset_source,why,123,1000,0.123
95,dataset_source,diego,219,1000,0.219
95,dataset_source,rv,625,1000,0.625
95,dataset_source,why,156,1000,0.156
96,dataset_source,diego,223,1000,0.223
96,dataset_source,rv,644,1000,0.644
96,dataset_source,why,133,1000,0.133
97,dataset_source,diego,237,1000,0.237
97,dataset_source,rv,626,1000,0.626
97,dataset_source,why,137,1000,0.137
98,dataset_source,diego,221,1000,0.221
98,dataset_source,rv,638,1000,0.638
98,dataset_source,why,141,1000,0.141
99,dataset_source,diego,250,1000,0.25
99,dataset_source,rv,624,1000,0.624
99,dataset_source,why,126,1000,0.126
100,dataset_source,diego,231,1000,0.231
100,dataset_source,rv,640,1000,0.64
100,dataset_source,why,129,1000,0.129
101,dataset_source,diego,243,1000,0.243
101,dataset_source,rv,642,1000,0.642
101,dataset_source,why,115,1000,0.115
102,dataset_source,diego,224,1000,0.224
102,dataset_source,rv,641,1000,0.641
102,dataset_source,why,135,1000,0.135
103,dataset_source,diego,233,1000,0.233
103,dataset_source,rv,637,1000,0.637
103,dataset_source,why,130,1000,0.13
104,dataset_source,diego,243,1000,0.243
104,dataset_source,rv,620,1000,0.62
104,dataset_source,why,137,1000,0.137
105,dataset_source,diego,221,1000,0.221
105,dataset_source,rv,648,1000,0.648
105,dataset_source,why,131,1000,0.131
106,dataset_source,diego,221,1000,0.221
106,dataset_source,rv,631,1000,0.631
106,dataset_source,why,148,1000,0.148
107,dataset_source,diego,241,1000,0.241
107,dataset_source,rv,630,1000,0.63
107,dataset_source,why,129,1000,0.129
108,dataset_source,diego,243,1000,0.243
108,dataset_source,rv,623,1000,0.623
108,dataset_source,why,134,1000,0.134
109,dataset_source,diego,233,1000,0.233
109,dataset_source,rv,634,1000,0.634
109,dataset_source,why,133,1000,0.133
110,dataset_source,diego,231,1000,0.231
110,dataset_source,rv,642,1000,0.642
110,dataset_source,why,127,1000,0.127
111,dataset_source,diego,222,1000,0.222
111,dataset_source,rv,638,1000,0.638
111,dataset_source,why,140,1000,0.14
112,dataset_source,diego,226,1000,0.226
112,dataset_source,rv,639,1000,0.639
112,dataset_source,why,135,1000,0.135
113,dataset_source,diego,228,1000,0.228
113,dataset_source,rv,644,1000,0.644
113,dataset_source,why,128,1000,0.128
114,dataset_source,diego,235,1000,0.235
114,dataset_source,rv,652,1000,0.652
114,dataset_source,why,113,1000,0.113
115,dataset_source,diego,227,1000,0.227
115,dataset_source,rv,644,1000,0.644
115,dataset_source,why,129,1000,0.129
116,dataset_source,diego,229,1000,0.229
116,dataset_source,rv,650,1000,0.65
116,dataset_source,why,121,1000,0.121
117,dataset_source,diego,245,1000,0.245
117,dataset_source,rv,623,1000,0.623
117,dataset_source,why,132,1000,0.132
118,dataset_source,diego,229,1000,0.229
118,dataset_source,rv,637,1000,0.637
