variable,category,n_bootstraps,mean_n,sd_n,mean_total_n,mean_prop,sd_prop,min_prop,q25_prop,median_prop,q75_prop,max_prop
country_model,DK,1000,5.634,2.3072423729134646,1000,0.005634,0.002307242372913459,0,0.004,0.005,0.007,0.014
country_model,LV,1000,4.342,2.0457813229231587,1000,0.004342,0.0020457813229231587,0,0.003,0.004,0.006,0.012
country_model,SI,1000,4.479,2.099039057512977,1000,0.004479,0.0020990390575129697,0,0.003,0.004,0.006,0.013
country_model,SK,1000,4.589,2.150977848725022,1000,0.004589,0.0021509778487250174,0,0.003,0.004,0.006,0.013
country_model,BG,1000,3.251,1.8393972878044529,1000,0.003251,0.0018393972878044508,0,0.002,0.003,0.004,0.01
country_model,EE,1000,2.536,1.6171948921881154,1000,0.002536,0.0016171948921881129,0,0.001,0.002,0.004,0.008
country_model,IS,1000,0.96,0.9398315185623932,1000,9.599999999999999e-4,9.39831518562385e-4,0,0,0.001,0.001,0.004
country_model,LT,1000,1.544,1.238385076459497,1000,0.001544,0.0012383850764594992,0,0.001,0.001,0.002,0.006
country_model,LU,1000,0.678,0.8117727360382203,1000,6.779999999999999e-4,8.117727360382221e-4,0,0,0.001,0.001,0.005
country_model,MT,1000,0.142,0.3687437755026792,1000,1.420000000000002e-4,3.6874377550268045e-4,0,0,0,0,0.003
country_model,OTHER_EU,1000,0.148,0.37978973161506424,1000,1.4800000000000007e-4,3.797897316150591e-4,0,0,0,0,0.002
country_model_grouped,DE,1000,167.19,11.386639344229508,1000,0.16719,0.01138663934422951,0.137,0.159,0.167,0.175,0.204
country_model_grouped,ES,1000,166.501,9.917981919995894,1000,0.166501,0.009917981919995884,0.134,0.16,0.1665,0.173,0.197
country_model_grouped,IT,1000,137.25,11.08884405438468,1000,0.13725,0.011088844054384678,0.106,0.13,0.137,0.144,0.172
country_model_grouped,GB,1000,97.89,9.229902008748043,1000,0.09789,0.009229902008748032,0.07,0.092,0.098,0.104,0.13
country_model_grouped,FR,1000,89.294,9.0340011720819,1000,0.089294,0.009034001172081908,0.065,0.083,0.089,0.09525,0.117
country_model_grouped,NL,1000,57.167,7.3720728739248385,1000,0.057167,0.007372072873924837,0.033,0.052,0.057,0.062,0.083
country_model_grouped,PL,1000,45.497,6.756451778902941,1000,0.045497,0.006756451778902948,0.029,0.041,0.045,0.05,0.07
country_model_grouped,BE,1000,36.007,5.830175121035558,1000,0.036007,0.005830175121035546,0.019,0.032,0.036,0.04,0.055
country_model_grouped,GR,1000,36.645,5.802813769857482,1000,0.036645000000000004,0.0058028137698575,0.017,0.033,0.036,0.04,0.058
country_model_grouped,HU,1000,18.762,4.268204959180565,1000,0.018762,0.00426820495918055,0.007,0.016,0.019,0.021,0.034
country_model_grouped,PT,1000,19.396,4.24089249677107,1000,0.019396,0.004240892496771065,0.006,0.017,0.019,0.022,0.037
country_model_grouped,RO,1000,17.02,3.9876686800060943,1000,0.01702,0.003987668680006073,0.006,0.014,0.017,0.02,0.028
country_model_grouped,UNKNOWN,1000,15.787,3.9279842234993816,1000,0.015787,0.003927984223499368,0.006,0.013,0.016,0.018,0.033
country_model_grouped,IE,1000,15.346,3.8633158308905,1000,0.015346,0.0038633158308905057,0.004,0.013,0.015,0.018,0.031
country_model_grouped,OTHER_COUNTRIES,1000,15.475,3.6977084860826985,1000,0.015475000000000001,0.0036977084860827093,0.005,0.013,0.015,0.018,0.029
country_model_grouped,CZ,1000,14.201,3.717043908190424,1000,0.014201,0.003717043908190405,0.005,0.012,0.014,0.017,0.031
country_model_grouped,CH,1000,8.407,2.8781304061203663,1000,0.008407,0.0028781304061203665,0,0.006,0.008,0.01,0.021
country_model_grouped,FI,1000,8.675,2.9638082190248314,1000,0.008675,0.0029638082190248253,0.001,0.007,0.008,0.011,0.02
country_model_grouped,SE,1000,7.598,2.7180477890912376,1000,0.007598,0.0027180477890912263,0.001,0.006,0.008,0.009,0.017
country_model_grouped,AT,1000,6.848,2.629412445739499,1000,0.006848,0.002629412445739515,0,0.005,0.007,0.009,0.018
country_model_grouped,DK,1000,5.634,2.3072423729134646,1000,0.005634,0.002307242372913459,0,0.004,0.005,0.007,0.014
country_model_grouped,LV,1000,4.342,2.0457813229231587,1000,0.004342,0.0020457813229231587,0,0.003,0.004,0.006,0.012
country_model_grouped,SI,1000,4.479,2.099039057512977,1000,0.004479,0.0020990390575129697,0,0.003,0.004,0.006,0.013
country_model_grouped,SK,1000,4.589,2.150977848725022,1000,0.004589,0.0021509778487250174,0,0.003,0.004,0.006,0.013
dataset_source,rv,1000,632.639,9.86559724542863,1000,0.632639,0.00986559724542865,0.6,0.626,0.633,0.64,0.66
dataset_source,diego,1000,232.24,11.03939619129,1000,0.23224,0.011039396191290012,0.197,0.225,0.232,0.24,0.269
dataset_source,why,1000,135.121,9.992207123714124,1000,0.135121,0.009992207123714118,0.099,0.129,0.135,0.142,0.174
education_model,high,1000,509.094,15.386809868127893,1000,0.509094,0.015386809868127908,0.467,0.499,0.509,0.52,0.561
education_model,unknown,1000,238.375,12.804543386287984,1000,0.238375,0.012804543386287998,0.2,0.23,0.238,0.247,0.284
education_model,medium,1000,224.423,12.8745417326142,1000,0.224423,0.012874541732614217,0.172,0.216,0.224,0.233,0.265
education_model,conflict,1000,13.65,3.4973892736914056,1000,0.01365,0.0034973892736914064,0.005,0.011,0.014,0.016,0.027
education_model,other,1000,10.678,3.2156891417947526,1000,0.010678,0.0032156891417947564,0.001,0.008,0.011,0.013,0.022
education_model,low,1000,3.78,2.009387378689748,1000,0.00378,0.0020093873786897532,0,0.002,0.004,0.005,0.013
employment_model,employed,1000,600.263,15.698926310015182,1000,0.600263,0.015698926310015217,0.533,0.589,0.601,0.61,0.646
employment_model,student,1000,140.413,10.962783114410957,1000,0.140413,0.01096278311441095,0.099,0.133,0.14,0.148,0.172
employment_model,unknown,1000,126.984,10.171489723890158,1000,0.126984,0.010171489723890157,0.098,0.12,0.127,0.134,0.159
employment_model,unemployed,1000,67.919,8.051289478230325,1000,0.06791900000000001,0.008051289478230339,0.045,0.062,0.068,0.074,0.094
employment_model,retired,1000,33.05,5.354453302641667,1000,0.03305,0.005354453302641649,0.017,0.029,0.033,0.036,0.05
employment_model,other,1000,26.851,5.37509913310357,1000,0.026851,0.005375099133103551,0.012,0.023,0.027,0.03,0.044
employment_model,inactive_other,1000,4.52,2.181825006814334,1000,0.00452,0.002181825006814334,0,0.003,0.004,0.006,0.013
gender_model,male,1000,527.067,16.186182487032056,1000,0.5270670000000001,0.016186182487032078,0.481,0.516,0.527,0.539,0.576
gender_model,female,1000,433.814,16.03772467068233,1000,0.433814,0.01603772467068234,0.384,0.423,0.433,0.445,0.48
gender_model,unknown,1000,22.883,4.689488490475512,1000,0.022883,0.004689488490475513,0.008,0.02,0.023,0.026,0.039
gender_model,other,1000,16.236,3.975186298289187,1000,0.016236,0.0039751862982891845,0.006,0.013,0.016,0.019,0.03
income_model,unknown,1000,785.204,10.772484877243064,1000,0.785204,0.010772484877243055,0.755,0.778,0.785,0.792,0.816
income_model,medium,1000,94.809,8.486963387899559,1000,0.094809,0.008486963387899574,0.071,0.089,0.094,0.101,0.125
income_model,low,1000,69.669,7.685864395857594,1000,0.06966900000000001,0.007685864395857601,0.043,0.065,0.07,0.075,0.096
income_model,high,1000,50.318,6.774420179525973,1000,0.050318,0.006774420179525981,0.024,0.046,0.05,0.055,0.07
political_block_model,unknown,1000,408.472,9.488057716900707,1000,0.408472,0.009488057716900684,0.381,0.402,0.408,0.415,0.441
political_block_model,centre,1000,181.249,7.126695502740995,1000,0.181249,0.007126695502740998,0.161,0.176,0.181,0.186,0.204
political_block_model,left,1000,164.499,7.212490486580826,1000,0.164499,0.007212490486580838,0.143,0.16,0.165,0.169,0.189
political_block_model,extreme_left,1000,109.018,7.4901120003494075,1000,0.109018,0.007490112000349393,0.087,0.104,0.109,0.114,0.131
political_block_model,right,1000,74.593,6.735927829462232,1000,0.074593,0.006735927829462229,0.051,0.07,0.074,0.079,0.095
political_block_model,extreme_right,1000,62.169,4.772338442966321,1000,0.062169,0.004772338442966334,0.046,0.059,0.062,0.065,0.081
political_left_right_model,Missing,1000,408.472,9.488057716900707,1000,0.408472,0.009488057716900684,0.381,0.402,0.408,0.415,0.441
political_left_right_model,50,1000,43.198,5.871905591481804,1000,0.043198,0.00587190559148181,0.027,0.039,0.043,0.047,0.066
political_left_right_model,20,1000,34.747,5.4124195407678295,1000,0.034747,0.005412419540767811,0.019,0.031,0.035,0.038,0.051
political_left_right_model,25,1000,33.246,5.483571240856967,1000,0.033246,0.005483571240856978,0.016,0.03,0.033,0.037,0.054
political_left_right_model,40,1000,30.113,5.056461094362221,1000,0.030113,0.005056461094362218,0.016,0.027,0.03,0.033,0.051
political_left_right_model,30,1000,25.812,4.721752953189201,1000,0.025812,0.004721752953189195,0.013,0.02275,0.026,0.029,0.042
political_left_right_model,0,1000,24.428,4.71646701049219,1000,0.024428000000000002,0.004716467010492192,0.008,0.021,0.024,0.028,0.041
political_left_right_model,60,1000,22.93,4.224801646107059,1000,0.02293,0.004224801646107055,0.008,0.02,0.023,0.026,0.038
political_left_right_model,80,1000,23.328,4.242925690890473,1000,0.023328,0.004242925690890471,0.009,0.021,0.023,0.026,0.036
political_left_right_model,100,1000,19.057,3.968059537922343,1000,0.019057,0.003968059537922342,0.008,0.016,0.019,0.022,0.032
political_left_right_model,45,1000,19.185,4.089192646048423,1000,0.019185,0.004089192646048427,0.009,0.016,0.019,0.022,0.033
political_left_right_model,10,1000,17.936,4.0380948738495714,1000,0.017936,0.004038094873849581,0.006,0.015,0.018,0.021,0.033
political_left_right_model,15,1000,15.721,3.8789438259924767,1000,0.015721,0.0038789438259924807,0.006,0.013,0.016,0.018,0.035
political_left_right_model,55,1000,14.522,3.731680779681111,1000,0.014522,0.003731680779681122,0.004,0.012,0.014,0.017,0.027
political_left_right_model,85,1000,14.522,3.6365836633770328,1000,0.014522,0.0036365836633770452,0.005,0.012,0.014,0.017,0.027
political_left_right_model,35,1000,12.773,3.5085297178135457,1000,0.012773,0.003508529717813542,0.003,0.01,0.013,0.015,0.025
political_left_right_model,65,1000,11.612,3.2434512445813017,1000,0.011612,0.0032434512445813036,0.004,0.009,0.011,0.014,0.025
political_left_right_model,70,1000,9.621,2.927102138109795,1000,0.009621,0.0029271021381097957,0.001,0.008,0.009,0.012,0.019
political_left_right_model,75,1000,9.455,2.9248127340958945,1000,0.009455,0.0029248127340959005,0.001,0.007,0.009,0.011,0.02
political_left_right_model,33,1000,8.329,2.8366892332093387,1000,0.008329,0.002836689233209341,0.002,0.006,0.008,0.01,0.019
political_left_right_model,23,1000,7.175,2.584386591447576,1000,0.007175,0.002584386591447589,0,0.005,0.007,0.009,0.018
political_left_right_model,19,1000,5.84,2.3439056921928114,1000,0.00584,0.0023439056921928238,0,0.004,0.006,0.007,0.016
political_left_right_model,84,1000,5.645,2.2311326614419342,1000,0.005645,0.002231132661441926,0,0.004,0.006,0.007,0.013
political_left_right_model,26,1000,5.613,2.3758947526933736,1000,0.005613,0.002375894752693361,0,0.004,0.005,0.007,0.014
political_left_right_model,37,1000,5.118,2.301167393166207,1000,0.005118,0.0023011673931662047,0,0.004,0.005,0.007,0.013
political_left_right_model,51,1000,5.547,2.3810628846085526,1000,0.005547000000000001,0.0023810628846085732,0,0.004,0.005,0.007,0.017
political_left_right_model,87,1000,5.519,2.2317301852194493,1000,0.0055190000000000005,0.002231730185219442,0,0.004,0.005,0.007,0.013
political_left_right_model,7,1000,4.636,2.1781295297222956,1000,0.004636,0.0021781295297222856,0,0.003,0.0045000000000000005,0.006,0.014
political_left_right_model,11,1000,3.938,1.9318094854016734,1000,0.003938,0.0019318094854016733,0,0.003,0.004,0.005,0.011
political_left_right_model,12,1000,3.791,1.9372847163161373,1000,0.003791,0.00193728471631613,0,0.002,0.004,0.005,0.012
political_left_right_model,14,1000,3.84,1.9334265277320786,1000,0.0038399999999999997,0.0019334265277320825,0,0.002,0.004,0.005,0.013
political_left_right_model,21,1000,4.308,2.1414298311459397,1000,0.004308,0.002141429831145936,0,0.003,0.004,0.006,0.014
political_left_right_model,24,1000,3.799,1.9355478153084633,1000,0.0037990000000000003,0.0019355478153084556,0,0.002,0.004,0.005,0.011
political_left_right_model,36,1000,4.681,2.1558958432370714,1000,0.004680999999999999,0.0021558958432370736,0,0.003,0.004,0.006,0.013
political_left_right_model,42,1000,4.275,2.0913509386874214,1000,0.004275,0.0020913509386874234,0,0.003,0.004,0.006,0.013
political_left_right_model,44,1000,3.823,1.921291847263806,1000,0.003823,0.0019212918472638104,0,0.002,0.004,0.005,0.011
political_left_right_model,47,1000,4.393,2.0461519341773564,1000,0.004393,0.0020461519341773613,0,0.003,0.004,0.006,0.012
political_left_right_model,48,1000,4.33,2.0266245846745314,1000,0.00433,0.002026624584674523,0,0.003,0.004,0.006,0.011
political_left_right_model,5,1000,3.909,1.863918773228381,1000,0.003909,0.0018639187732283774,0,0.003,0.004,0.005,0.011
political_left_right_model,52,1000,4.629,2.147083829050225,1000,0.004629,0.0021470838290502197,0,0.003,0.004,0.006,0.016
political_left_right_model,17,1000,3.667,1.9411024905653216,1000,0.003667,0.0019411024905653213,0,0.002,0.0035,0.005,0.012
political_left_right_model,13,1000,3.296,1.8280387648312366,1000,0.003296,0.0018280387648312304,0,0.002,0.003,0.004,0.01
political_left_right_model,16,1000,3.305,1.7570037171452002,1000,0.003305,0.001757003717145195,0,0.002,0.003,0.004,0.011
political_left_right_model,18,1000,3.089,1.753897133572869,1000,0.003089,0.0017538971335728834,0,0.002,0.003,0.004,0.01
political_left_right_model,22,1000,3.207,1.826879440053035,1000,0.003207,0.0018268794400530437,0,0.002,0.003,0.004,0.012
political_left_right_model,28,1000,2.928,1.7145715954009537,1000,0.002928,0.0017145715954009506,0,0.002,0.003,0.004,0.012
political_left_right_model,32,1000,2.705,1.6500599073056956,1000,0.002705,0.0016500599073057032,0,0.002,0.003,0.004,0.009
political_left_right_model,41,1000,3.391,1.7678360343211232,1000,0.003391,0.0017678360343211228,0,0.002,0.003,0.005,0.011
political_left_right_model,43,1000,2.707,1.6222770363852135,1000,0.002707,0.0016222770363852096,0,0.002,0.003,0.004,0.008
political_left_right_model,49,1000,3.334,1.83297676030107,1000,0.003334,0.0018329767603010708,0,0.002,0.003,0.005,0.01
political_left_right_model,57,1000,3.05,1.67520336267162,1000,0.00305,0.0016752033626716162,0,0.002,0.003,0.004,0.01
political_left_right_model,58,1000,2.791,1.6352348433766348,1000,0.0027909999999999996,0.001635234843376631,0,0.002,0.003,0.004,0.008
political_left_right_model,61,1000,2.688,1.5656011966995655,1000,0.0026880000000000003,0.0015656011966995614,0,0.002,0.003,0.004,0.008
political_left_right_model,73,1000,3.086,1.692769762687605,1000,0.0030860000000000006,0.0016927697626876047,0,0.002,0.003,0.004,0.009
political_left_right_model,82,1000,2.94,1.646545204697126,1000,0.00294,0.0016465452046971218,0,0.002,0.003,0.004,0.009
political_left_right_model,83,1000,2.944,1.6606088105335404,1000,0.002944,0.0016606088105335507,0,0.002,0.003,0.004,0.01
political_left_right_model,86,1000,2.884,1.5990938374908223,1000,0.002884,0.001599093837490814,0,0.002,0.003,0.004,0.01
political_left_right_model,89,1000,2.824,1.6271667620965213,1000,0.002824,0.001627166762096521,0,0.002,0.003,0.004,0.008
political_left_right_model,27,1000,2.24,1.4793879101130385,1000,0.00224,0.0014793879101130275,0,0.001,0.002,0.003,0.008
political_left_right_model,29,1000,2.387,1.5091416462706648,1000,0.0023870000000000002,0.001509141646270656,0,0.001,0.002,0.003,0.008
political_left_right_model,38,1000,1.801,1.3225536466049845,1000,0.001801,0.001322553646604982,0,0.001,0.002,0.003,0.007
political_left_right_model,46,1000,2.201,1.5142298015466142,1000,0.0022010000000000003,0.0015142298015466086,0,0.001,0.002,0.003,0.008
political_left_right_model,53,1000,2.516,1.5492398601069355,1000,0.002516,0.0015492398601069264,0,0.001,0.002,0.003,0.008
political_left_right_model,54,1000,1.999,1.394612470883562,1000,0.001999,0.0013946124708835612,0,0.001,0.002,0.003,0.008
political_left_right_model,56,1000,1.958,1.33642134898468,1000,0.001958,0.0013364213489846842,0,0.001,0.002,0.003,0.007
political_left_right_model,77,1000,2.625,1.6158545683278511,1000,0.002625,0.0016158545683278517,0,0.001,0.002,0.004,0.009
political_left_right_model,8,1000,1.965,1.39775846580471,1000,0.001965,0.0013977584658047106,0,0.001,0.002,0.003,0.008
political_left_right_model,81,1000,2.656,1.6088046035029382,1000,0.002656,0.0016088046035029383,0,0.001,0.002,0.004,0.008
political_left_right_model,9,1000,2.417,1.5097650116459802,1000,0.0024170000000000003,0.001509765011645978,0,0.001,0.002,0.003,0.008
political_left_right_model,90,1000,2.252,1.4569209376691075,1000,0.0022519999999999997,0.0014569209376690986,0,0.001,0.002,0.003,0.008
political_left_right_model,1,1000,1.652,1.3381654182823148,1000,0.001652,0.0013381654182823216,0,0.001,0.001,0.002,0.007
political_left_right_model,2,1000,1.645,1.279301220046167,1000,0.001645,0.0012793012200461647,0,0.001,0.001,0.002,0.007
political_left_right_model,3,1000,0.937,0.948646894756383,1000,9.37e-4,9.486468947563824e-4,0,0,0.001,0.001,0.005
political_left_right_model,31,1000,1.297,1.166255182689945,1000,0.0012969999999999998,0.0011662551826899395,0,0,0.001,0.002,0.005
political_left_right_model,34,1000,1.629,1.2716037024073128,1000,0.001629,0.001271603702407311,0,0.001,0.001,0.002,0.008
political_left_right_model,39,1000,0.704,0.8130467668252878,1000,7.040000000000001e-4,8.130467668252852e-4,0,0,0.001,0.001,0.004
political_left_right_model,4,1000,1.645,1.3025635000535178,1000,0.001645,0.0013025635000535162,0,0.001,0.001,0.002,0.007
political_left_right_model,6,1000,1.361,1.1489120936777522,1000,0.001361,0.0011489120936777483,0,0.001,0.001,0.002,0.007
political_left_right_model,62,1000,1.324,1.1403176418543777,1000,0.001324,0.0011403176418543772,0,0,0.001,0.002,0.006
political_left_right_model,63,1000,0.999,0.9999994994993749,1000,9.99e-4,9.999994994993751e-4,0,0,0.001,0.002,0.005
political_left_right_model,66,1000,0.841,0.9255136820034415,1000,8.41e-4,9.255136820034487e-4,0,0,0.001,0.001,0.005
political_left_right_model,67,1000,1.403,1.176424657585421,1000,0.001403,0.001176424657585427,0,0.001,0.001,0.002,0.007
political_left_right_model,68,1000,1.403,1.1480021380245358,1000,0.0014030000000000004,0.0011480021380245418,0,0.001,0.001,0.002,0.005
political_left_right_model,69,1000,0.885,0.9416271351557741,1000,8.85e-4,9.416271351557724e-4,0,0,0.001,0.001,0.006
political_left_right_model,72,1000,1.346,1.1940308663136383,1000,0.0013460000000000006,0.0011940308663136402,0,0,0.001,0.002,0.007
political_left_right_model,74,1000,1.262,1.118305238567088,1000,0.0012620000000000003,0.0011183052385670966,0,0,0.001,0.002,0.006
political_left_right_model,76,1000,0.855,0.9169600949964078,1000,8.55e-4,9.169600949964126e-4,0,0,0.001,0.001,0.005
political_left_right_model,59,1000,0.357,0.5898295507169034,1000,3.5700000000000006e-4,5.898295507168939e-4,0,0,0,0.001,0.004
political_left_right_model,64,1000,0.626,0.8004778352738888,1000,6.259999999999999e-4,8.004778352738883e-4,0,0,0,0.001,0.005
political_left_right_model,78,1000,0.662,0.8077180253085917,1000,6.62e-4,8.077180253085858e-4,0,0,0,0.001,0.004
political_left_right_model,79,1000,0.572,0.7598640624436616,1000,5.720000000000001e-4,7.59864062443666e-4,0,0,0,0.001,0.004
political_left_right_model,92,1000,0.611,0.7812101441285111,1000,6.110000000000002e-4,0.00078121014412851355,0,0,0,0.001,0.003
political_left_right_model,99,1000,0.315,0.5639974229489778,1000,3.15e-4,5.639974229489845e-4,0,0,0,0.001,0.004
political_lr_group,Missing,1000,408.472,9.488057716900707,1000,0.408472,0.009488057716900684,0.381,0.402,0.408,0.415,0.441
political_lr_group,20_39_left,1000,164.499,7.212490486580826,1000,0.164499,0.007212490486580838,0.143,0.16,0.165,0.169,0.189
political_lr_group,40_59_centre,1000,158.319,5.717510728361509,1000,0.15831900000000002,0.005717510728361505,0.141,0.154,0.158,0.162,0.176
political_lr_group,00_19_extreme_left,1000,109.018,7.4901120003494075,1000,0.109018,0.007490112000349393,0.087,0.104,0.109,0.114,0.131
political_lr_group,80_100_extreme_right,1000,85.497,2.7563723602932546,1000,0.085497,0.002756372360293234,0.078,0.084,0.085,0.087,0.096
political_lr_group,60_79_right,1000,74.195,4.536028058836331,1000,0.074195,0.004536028058836328,0.06,0.071,0.074,0.077,0.091
row_quality_final,usable_complete,1000,652.199,13.792375742729332,1000,0.652199,0.013792375742729344,0.607,0.643,0.652,0.662,0.692
row_quality_final,usable_partial,1000,173.884,10.730689245882168,1000,0.173884,0.010730689245882172,0.14,0.167,0.174,0.181,0.211
row_quality_final,no_determinants,1000,108.865,9.584186539901626,1000,0.10886499999999999,0.009584186539901635,0.082,0.102,0.109,0.115,0.135
row_quality_final,too_many_missing_determinants,1000,31.216,5.246987218859494,1000,0.031216,0.005246987218859517,0.015,0.028,0.031,0.034,0.05
row_quality_final,usable_complete_limited_metadata,1000,25.94,4.9190036182744015,1000,0.02594,0.004919003618274393,0.012,0.022,0.026,0.029,0.041
row_quality_final,suspicious_determinants,1000,4.49,2.1048349888602464,1000,0.00449,0.0021048349888602436,0,0.003,0.004,0.006,0.013
row_quality_final,usable_partial_limited_metadata,1000,3.406,1.8260609240927541,1000,0.0034059999999999997,0.0018260609240927607,0,0.002,0.003,0.004,0.011
self_classification_archetype_model,Missing,1000,382.701,9.609992245103584,1000,0.382701,0.009609992245103593,0.35,0.376,0.383,0.389,0.418
self_classification_archetype_model,Careful,1000,179.086,11.491242432942267,1000,0.179086,0.011491242432942255,0.143,0.171,0.179,0.187,0.217
self_classification_archetype_model,Homo economicus,1000,172.218,11.436663555131515,1000,0.172218,0.01143666355513149,0.13,0.164,0.172,0.18,0.204
self_classification_archetype_model,Fearful,1000,88.37,8.590628550862796,1000,0.08837,0.008590628550862803,0.064,0.082,0.088,0.094,0.12
self_classification_archetype_model,Activist,1000,71.977,8.032246758410002,1000,0.071977,0.008032246758409987,0.046,0.067,0.072,0.077,0.101
self_classification_archetype_model,Stubborn,1000,41.663,5.969175995232675,1000,0.041663,0.005969175995232704,0.025,0.03775,0.041,0.046,0.064
self_classification_archetype_model,Influencer,1000,26.52,5.130879644459217,1000,0.026520000000000002,0.005130879644459211,0.013,0.023,0.026,0.03,0.043
self_classification_archetype_model,None,1000,15.419,3.7389060456794607,1000,0.015419,0.003738906045679458,0.003,0.013,0.015,0.018,0.03
self_classification_archetype_model,Uninterested,1000,14.497,3.654496729557484,1000,0.014497000000000001,0.0036544967295574844,0.004,0.012,0.014,0.017,0.029
self_classification_archetype_model,Early adopter,1000,7.549,2.6613308102679762,1000,0.007549000000000001,0.0026613308102679993,0.001,0.006,0.008,0.009,0.018
source_survey,decision,1000,505.734,12.139794834288534,1000,0.505734,0.012139794834288552,0.472,0.497,0.506,0.514,0.548
source_survey,Survey_September2023_cleaned,1000,232.24,11.03939619129,1000,0.23224,0.011039396191290012,0.197,0.225,0.232,0.24,0.269
source_survey,Investment_Arquetypes_2022,1000,135.121,9.992207123714124,1000,0.135121,0.009992207123714118,0.099,0.129,0.135,0.142,0.174
source_survey,concerns2,1000,68.667,7.795953302059218,1000,0.068667,0.007795953302059212,0.047,0.063,0.069,0.074,0.092
source_survey,energy_crisis,1000,18.752,4.171078265136472,1000,0.018752,0.004171078265136473,0.008,0.016,0.019,0.021,0.032
source_survey,poverty,1000,15.856,3.7378115569454997,1000,0.015856,0.003737811556945492,0.006,0.013,0.016,0.018,0.029
source_survey,concerns2;decision;poverty,1000,9.304,3.0392138491427048,1000,0.009304,0.003039213849142712,0.001,0.007,0.009,0.011,0.02
source_survey,concerns2;decision,1000,5.131,2.3480528853397615,1000,0.005130999999999999,0.0023480528853397527,0,0.003,0.005,0.007,0.015
