n_participants,boot_id,macro_archetype_5,adoption_stage,n_rows,percentage_within_macro
300,3,G5_Uninterested,Considering,28,28.28282828282828
300,3,G5_Uninterested,Done,6,6.0606060606060606
300,4,G1_Activist_Stubborn_Sentient,Knowledge,38,22.61904761904762
300,4,G1_Activist_Stubborn_Sentient,Considering,71,42.26190476190476
300,4,G1_Activist_Stubborn_Sentient,Done,59,35.11904761904761
300,4,G2_EarlyAdopter_Influencer,Knowledge,50,15.29051987767584
300,4,G2_EarlyAdopter_Influencer,Considering,122,37.308868501529055
300,4,G2_EarlyAdopter_Influencer,Done,155,47.40061162079511
300,4,G3_Fearful_Careful,Knowledge,110,43.65079365079365
300,4,G3_Fearful_Careful,Considering,109,43.25396825396825
300,4,G3_Fearful_Careful,Done,33,13.095238095238097
300,4,G4_HomoEconomicus,Knowledge,26,36.11111111111111
300,4,G4_HomoEconomicus,Considering,31,43.05555555555556
300,4,G4_HomoEconomicus,Done,15,20.833333333333336
300,4,G5_Uninterested,Knowledge,52,64.19753086419753
300,4,G5_Uninterested,Considering,23,28.39506172839506
300,4,G5_Uninterested,Done,6,7.4074074074074066
300,5,G1_Activist_Stubborn_Sentient,Knowledge,49,24.378109452736318
300,5,G1_Activist_Stubborn_Sentient,Considering,82,40.79601990049751
300,5,G1_Activist_Stubborn_Sentient,Done,70,34.82587064676617
300,5,G2_EarlyAdopter_Influencer,Knowledge,60,18.181818181818183
300,5,G2_EarlyAdopter_Influencer,Considering,113,34.24242424242424
300,5,G2_EarlyAdopter_Influencer,Done,157,47.57575757575758
300,5,G3_Fearful_Careful,Knowledge,88,41.31455399061033
300,5,G3_Fearful_Careful,Considering,90,42.25352112676056
300,5,G3_Fearful_Careful,Done,35,16.431924882629108
300,5,G4_HomoEconomicus,Knowledge,23,31.944444444444443
300,5,G4_HomoEconomicus,Considering,32,44.44444444444444
300,5,G4_HomoEconomicus,Done,17,23.61111111111111
300,5,G5_Uninterested,Knowledge,51,60.71428571428571
300,5,G5_Uninterested,Considering,28,33.33333333333333
300,5,G5_Uninterested,Done,5,5.952380952380952
600,1,G1_Activist_Stubborn_Sentient,Knowledge,84,22.76422764227642
600,1,G1_Activist_Stubborn_Sentient,Considering,155,42.00542005420054
600,1,G1_Activist_Stubborn_Sentient,Done,130,35.230352303523034
600,1,G2_EarlyAdopter_Influencer,Knowledge,82,14.93624772313297
600,1,G2_EarlyAdopter_Influencer,Considering,192,34.97267759562842
600,1,G2_EarlyAdopter_Influencer,Done,275,50.09107468123861
600,1,G3_Fearful_Careful,Knowledge,208,44.161358811040344
600,1,G3_Fearful_Careful,Considering,191,40.552016985138
600,1,G3_Fearful_Careful,Done,72,15.286624203821656
600,1,G4_HomoEconomicus,Knowledge,67,32.367149758454104
600,1,G4_HomoEconomicus,Considering,84,40.57971014492754
600,1,G4_HomoEconomicus,Done,56,27.053140096618357
600,1,G5_Uninterested,Knowledge,140,68.62745098039215
600,1,G5_Uninterested,Considering,50,24.509803921568626
600,1,G5_Uninterested,Done,14,6.862745098039216
600,2,G1_Activist_Stubborn_Sentient,Knowledge,90,22.058823529411764
600,2,G1_Activist_Stubborn_Sentient,Considering,176,43.13725490196079
600,2,G1_Activist_Stubborn_Sentient,Done,142,34.80392156862745
600,2,G2_EarlyAdopter_Influencer,Knowledge,93,15.897435897435896
600,2,G2_EarlyAdopter_Influencer,Considering,214,36.58119658119658
600,2,G2_EarlyAdopter_Influencer,Done,278,47.521367521367516
600,2,G3_Fearful_Careful,Knowledge,192,43.53741496598639
600,2,G3_Fearful_Careful,Considering,185,41.950113378684804
600,2,G3_Fearful_Careful,Done,64,14.512471655328799
600,2,G4_HomoEconomicus,Knowledge,62,29.951690821256037
600,2,G4_HomoEconomicus,Considering,100,48.309178743961354
600,2,G4_HomoEconomicus,Done,45,21.73913043478261
600,2,G5_Uninterested,Knowledge,108,67.9245283018868
600,2,G5_Uninterested,Considering,39,24.528301886792452
600,2,G5_Uninterested,Done,12,7.547169811320755
600,3,G1_Activist_Stubborn_Sentient,Knowledge,105,25.735294117647058
600,3,G1_Activist_Stubborn_Sentient,Considering,161,39.46078431372549
600,3,G1_Activist_Stubborn_Sentient,Done,142,34.80392156862745
600,3,G2_EarlyAdopter_Influencer,Knowledge,111,16.08695652173913
600,3,G2_EarlyAdopter_Influencer,Considering,246,35.65217391304348
600,3,G2_EarlyAdopter_Influencer,Done,333,48.26086956521739
600,3,G3_Fearful_Careful,Knowledge,160,41.02564102564102
600,3,G3_Fearful_Careful,Considering,164,42.05128205128205
600,3,G3_Fearful_Careful,Done,66,16.923076923076923
600,3,G4_HomoEconomicus,Knowledge,43,31.15942028985507
600,3,G4_HomoEconomicus,Considering,61,44.20289855072464
600,3,G4_HomoEconomicus,Done,34,24.637681159420293
600,3,G5_Uninterested,Knowledge,118,67.81609195402298
600,3,G5_Uninterested,Considering,41,23.563218390804597
600,3,G5_Uninterested,Done,15,8.620689655172415
600,4,G1_Activist_Stubborn_Sentient,Knowledge,81,20.610687022900763
600,4,G1_Activist_Stubborn_Sentient,Considering,167,42.49363867684479
600,4,G1_Activist_Stubborn_Sentient,Done,145,36.895674300254456
600,4,G2_EarlyAdopter_Influencer,Knowledge,85,13.821138211382115
600,4,G2_EarlyAdopter_Influencer,Considering,228,37.073170731707314
600,4,G2_EarlyAdopter_Influencer,Done,302,49.105691056910565
600,4,G3_Fearful_Careful,Knowledge,225,44.11764705882353
600,4,G3_Fearful_Careful,Considering,209,40.98039215686274
600,4,G3_Fearful_Careful,Done,76,14.901960784313726
600,4,G4_HomoEconomicus,Knowledge,54,30.508474576271187
600,4,G4_HomoEconomicus,Considering,81,45.76271186440678
600,4,G4_HomoEconomicus,Done,42,23.728813559322035
600,4,G5_Uninterested,Knowledge,69,65.71428571428571
600,4,G5_Uninterested,Considering,24,22.857142857142858
600,4,G5_Uninterested,Done,12,11.428571428571429
600,5,G1_Activist_Stubborn_Sentient,Knowledge,91,22.30392156862745
600,5,G1_Activist_Stubborn_Sentient,Considering,160,39.21568627450981
600,5,G1_Activist_Stubborn_Sentient,Done,157,38.48039215686275
600,5,G2_EarlyAdopter_Influencer,Knowledge,90,13.513513513513514
600,5,G2_EarlyAdopter_Influencer,Considering,219,32.88288288288289
600,5,G2_EarlyAdopter_Influencer,Done,357,53.6036036036036
600,5,G3_Fearful_Careful,Knowledge,170,40.7673860911271
600,5,G3_Fearful_Careful,Considering,188,45.08393285371702
600,5,G3_Fearful_Careful,Done,59,14.148681055155876
600,5,G4_HomoEconomicus,Knowledge,43,28.666666666666668
600,5,G4_HomoEconomicus,Considering,69,46
600,5,G4_HomoEconomicus,Done,38,25.333333333333336
600,5,G5_Uninterested,Knowledge,112,70.44025157232704
600,5,G5_Uninterested,Considering,37,23.270440251572328
600,5,G5_Uninterested,Done,10,6.289308176100629
1000,1,G1_Activist_Stubborn_Sentient,Knowledge,171,24.050632911392405
1000,1,G1_Activist_Stubborn_Sentient,Considering,287,40.365682137834035
1000,1,G1_Activist_Stubborn_Sentient,Done,253,35.58368495077356
1000,1,G2_EarlyAdopter_Influencer,Knowledge,139,13.872255489021956
1000,1,G2_EarlyAdopter_Influencer,Considering,357,35.62874251497006
1000,1,G2_EarlyAdopter_Influencer,Done,506,50.49900199600798
1000,1,G3_Fearful_Careful,Knowledge,341,45.28552456839309
1000,1,G3_Fearful_Careful,Considering,287,38.114209827357236
1000,1,G3_Fearful_Careful,Done,125,16.600265604249667
1000,1,G4_HomoEconomicus,Knowledge,91,30.033003300330037
1000,1,G4_HomoEconomicus,Considering,136,44.884488448844884
1000,1,G4_HomoEconomicus,Done,76,25.082508250825082
1000,1,G5_Uninterested,Knowledge,141,61.038961038961034
1000,1,G5_Uninterested,Considering,59,25.541125541125542
1000,1,G5_Uninterested,Done,31,13.41991341991342
1000,2,G1_Activist_Stubborn_Sentient,Knowledge,158,24.04870624048706
1000,2,G1_Activist_Stubborn_Sentient,Considering,269,40.94368340943683
1000,2,G1_Activist_Stubborn_Sentient,Done,230,35.0076103500761
1000,2,G2_EarlyAdopter_Influencer,Knowledge,174,15.846994535519126
1000,2,G2_EarlyAdopter_Influencer,Considering,366,33.33333333333333
1000,2,G2_EarlyAdopter_Influencer,Done,558,50.81967213114754
1000,2,G3_Fearful_Careful,Knowledge,339,49.77973568281938
1000,2,G3_Fearful_Careful,Considering,258,37.88546255506608
1000,2,G3_Fearful_Careful,Done,84,12.334801762114537
1000,2,G4_HomoEconomicus,Knowledge,98,30.81761006289308
1000,2,G4_HomoEconomicus,Considering,142,44.65408805031446
1000,2,G4_HomoEconomicus,Done,78,24.528301886792452
