bootstrap_id,comparison_region,n_draws,prop_complete
269,LATAM,608,0.3781094527363184
270,EUROPE,1000,0.6218905472636815
270,LATAM,608,0.3781094527363184
271,EUROPE,1000,0.6218905472636815
271,LATAM,608,0.3781094527363184
272,EUROPE,1000,0.6218905472636815
272,LATAM,608,0.3781094527363184
273,EUROPE,1000,0.6218905472636815
273,LATAM,608,0.3781094527363184
274,EUROPE,1000,0.6218905472636815
274,LATAM,608,0.3781094527363184
275,EUROPE,1000,0.6218905472636815
275,LATAM,608,0.3781094527363184
276,EUROPE,1000,0.6218905472636815
276,LATAM,608,0.3781094527363184
277,EUROPE,1000,0.6218905472636815
277,LATAM,608,0.3781094527363184
278,EUROPE,1000,0.6218905472636815
278,LATAM,608,0.3781094527363184
279,EUROPE,1000,0.6218905472636815
279,LATAM,608,0.3781094527363184
280,EUROPE,1000,0.6218905472636815
280,LATAM,608,0.3781094527363184
281,EUROPE,1000,0.6218905472636815
281,LATAM,608,0.3781094527363184
282,EUROPE,1000,0.6218905472636815
282,LATAM,608,0.3781094527363184
283,EUROPE,1000,0.6218905472636815
283,LATAM,608,0.3781094527363184
284,EUROPE,1000,0.6218905472636815
284,LATAM,608,0.3781094527363184
285,EUROPE,1000,0.6218905472636815
285,LATAM,608,0.3781094527363184
286,EUROPE,1000,0.6218905472636815
286,LATAM,608,0.3781094527363184
287,EUROPE,1000,0.6218905472636815
287,LATAM,608,0.3781094527363184
288,EUROPE,1000,0.6218905472636815
288,LATAM,608,0.3781094527363184
289,EUROPE,1000,0.6218905472636815
289,LATAM,608,0.3781094527363184
290,EUROPE,1000,0.6218905472636815
290,LATAM,608,0.3781094527363184
291,EUROPE,1000,0.6218905472636815
291,LATAM,608,0.3781094527363184
292,EUROPE,1000,0.6218905472636815
292,LATAM,608,0.3781094527363184
293,EUROPE,1000,0.6218905472636815
293,LATAM,608,0.3781094527363184
294,EUROPE,1000,0.6218905472636815
294,LATAM,608,0.3781094527363184
295,EUROPE,1000,0.6218905472636815
295,LATAM,608,0.3781094527363184
296,EUROPE,1000,0.6218905472636815
296,LATAM,608,0.3781094527363184
297,EUROPE,1000,0.6218905472636815
297,LATAM,608,0.3781094527363184
298,EUROPE,1000,0.6218905472636815
298,LATAM,608,0.3781094527363184
299,EUROPE,1000,0.6218905472636815
299,LATAM,608,0.3781094527363184
300,EUROPE,1000,0.6218905472636815
300,LATAM,608,0.3781094527363184
301,EUROPE,1000,0.6218905472636815
301,LATAM,608,0.3781094527363184
302,EUROPE,1000,0.6218905472636815
302,LATAM,608,0.3781094527363184
303,EUROPE,1000,0.6218905472636815
303,LATAM,608,0.3781094527363184
304,EUROPE,1000,0.6218905472636815
304,LATAM,608,0.3781094527363184
305,EUROPE,1000,0.6218905472636815
305,LATAM,608,0.3781094527363184
306,EUROPE,1000,0.6218905472636815
306,LATAM,608,0.3781094527363184
307,EUROPE,1000,0.6218905472636815
307,LATAM,608,0.3781094527363184
308,EUROPE,1000,0.6218905472636815
308,LATAM,608,0.3781094527363184
309,EUROPE,1000,0.6218905472636815
309,LATAM,608,0.3781094527363184
310,EUROPE,1000,0.6218905472636815
310,LATAM,608,0.3781094527363184
311,EUROPE,1000,0.6218905472636815
311,LATAM,608,0.3781094527363184
312,EUROPE,1000,0.6218905472636815
312,LATAM,608,0.3781094527363184
313,EUROPE,1000,0.6218905472636815
313,LATAM,608,0.3781094527363184
314,EUROPE,1000,0.6218905472636815
314,LATAM,608,0.3781094527363184
315,EUROPE,1000,0.6218905472636815
315,LATAM,608,0.3781094527363184
316,EUROPE,1000,0.6218905472636815
316,LATAM,608,0.3781094527363184
317,EUROPE,1000,0.6218905472636815
317,LATAM,608,0.3781094527363184
318,EUROPE,1000,0.6218905472636815
318,LATAM,608,0.3781094527363184
319,EUROPE,1000,0.6218905472636815
319,LATAM,608,0.3781094527363184
320,EUROPE,1000,0.6218905472636815
320,LATAM,608,0.3781094527363184
321,EUROPE,1000,0.6218905472636815
321,LATAM,608,0.3781094527363184
322,EUROPE,1000,0.6218905472636815
322,LATAM,608,0.3781094527363184
323,EUROPE,1000,0.6218905472636815
323,LATAM,608,0.3781094527363184
324,EUROPE,1000,0.6218905472636815
324,LATAM,608,0.3781094527363184
325,EUROPE,1000,0.6218905472636815
325,LATAM,608,0.3781094527363184
326,EUROPE,1000,0.6218905472636815
326,LATAM,608,0.3781094527363184
327,EUROPE,1000,0.6218905472636815
327,LATAM,608,0.3781094527363184
328,EUROPE,1000,0.6218905472636815
328,LATAM,608,0.3781094527363184
329,EUROPE,1000,0.6218905472636815
329,LATAM,608,0.3781094527363184
330,EUROPE,1000,0.6218905472636815
