bootstrap_id,comparison_region,subsample,dataset_source,n_draws
37,EUROPE,DIEGO,diego,273
37,EUROPE,RENOVISOR,rv,609
37,EUROPE,WHY_EUROPE,why,118
37,LATAM,WHY_LATAM,why,608
38,EUROPE,DIEGO,diego,254
38,EUROPE,RENOVISOR,rv,613
38,EUROPE,WHY_EUROPE,why,133
38,LATAM,WHY_LATAM,why,608
39,EUROPE,DIEGO,diego,251
39,EUROPE,RENOVISOR,rv,606
39,EUROPE,WHY_EUROPE,why,143
39,LATAM,WHY_LATAM,why,608
40,EUROPE,DIEGO,diego,252
40,EUROPE,RENOVISOR,rv,614
40,EUROPE,WHY_EUROPE,why,134
40,LATAM,WHY_LATAM,why,608
41,EUROPE,DIEGO,diego,247
41,EUROPE,RENOVISOR,rv,619
41,EUROPE,WHY_EUROPE,why,134
41,LATAM,WHY_LATAM,why,608
42,EUROPE,DIEGO,diego,269
42,EUROPE,RENOVISOR,rv,606
42,EUROPE,WHY_EUROPE,why,125
42,LATAM,WHY_LATAM,why,608
43,EUROPE,DIEGO,diego,267
43,EUROPE,RENOVISOR,rv,601
43,EUROPE,WHY_EUROPE,why,132
43,LATAM,WHY_LATAM,why,608
44,EUROPE,DIEGO,diego,254
44,EUROPE,RENOVISOR,rv,603
44,EUROPE,WHY_EUROPE,why,143
44,LATAM,WHY_LATAM,why,608
45,EUROPE,DIEGO,diego,248
45,EUROPE,RENOVISOR,rv,607
45,EUROPE,WHY_EUROPE,why,145
45,LATAM,WHY_LATAM,why,608
46,EUROPE,DIEGO,diego,267
46,EUROPE,RENOVISOR,rv,607
46,EUROPE,WHY_EUROPE,why,126
46,LATAM,WHY_LATAM,why,608
47,EUROPE,DIEGO,diego,255
47,EUROPE,RENOVISOR,rv,602
47,EUROPE,WHY_EUROPE,why,143
47,LATAM,WHY_LATAM,why,608
48,EUROPE,DIEGO,diego,235
48,EUROPE,RENOVISOR,rv,619
48,EUROPE,WHY_EUROPE,why,146
48,LATAM,WHY_LATAM,why,608
49,EUROPE,DIEGO,diego,257
49,EUROPE,RENOVISOR,rv,615
49,EUROPE,WHY_EUROPE,why,128
49,LATAM,WHY_LATAM,why,608
50,EUROPE,DIEGO,diego,235
50,EUROPE,RENOVISOR,rv,616
50,EUROPE,WHY_EUROPE,why,149
50,LATAM,WHY_LATAM,why,608
51,EUROPE,DIEGO,diego,241
51,EUROPE,RENOVISOR,rv,613
51,EUROPE,WHY_EUROPE,why,146
51,LATAM,WHY_LATAM,why,608
52,EUROPE,DIEGO,diego,251
52,EUROPE,RENOVISOR,rv,610
52,EUROPE,WHY_EUROPE,why,139
52,LATAM,WHY_LATAM,why,608
53,EUROPE,DIEGO,diego,251
53,EUROPE,RENOVISOR,rv,605
53,EUROPE,WHY_EUROPE,why,144
53,LATAM,WHY_LATAM,why,608
54,EUROPE,DIEGO,diego,260
54,EUROPE,RENOVISOR,rv,603
54,EUROPE,WHY_EUROPE,why,137
54,LATAM,WHY_LATAM,why,608
55,EUROPE,DIEGO,diego,252
55,EUROPE,RENOVISOR,rv,612
55,EUROPE,WHY_EUROPE,why,136
55,LATAM,WHY_LATAM,why,608
56,EUROPE,DIEGO,diego,249
56,EUROPE,RENOVISOR,rv,608
56,EUROPE,WHY_EUROPE,why,143
56,LATAM,WHY_LATAM,why,608
57,EUROPE,DIEGO,diego,240
57,EUROPE,RENOVISOR,rv,611
57,EUROPE,WHY_EUROPE,why,149
57,LATAM,WHY_LATAM,why,608
58,EUROPE,DIEGO,diego,247
58,EUROPE,RENOVISOR,rv,614
58,EUROPE,WHY_EUROPE,why,139
58,LATAM,WHY_LATAM,why,608
59,EUROPE,DIEGO,diego,235
59,EUROPE,RENOVISOR,rv,620
59,EUROPE,WHY_EUROPE,why,145
59,LATAM,WHY_LATAM,why,608
60,EUROPE,DIEGO,diego,248
60,EUROPE,RENOVISOR,rv,614
60,EUROPE,WHY_EUROPE,why,138
60,LATAM,WHY_LATAM,why,608
61,EUROPE,DIEGO,diego,253
61,EUROPE,RENOVISOR,rv,608
61,EUROPE,WHY_EUROPE,why,139
61,LATAM,WHY_LATAM,why,608
62,EUROPE,DIEGO,diego,259
62,EUROPE,RENOVISOR,rv,615
62,EUROPE,WHY_EUROPE,why,126
62,LATAM,WHY_LATAM,why,608
63,EUROPE,DIEGO,diego,257
63,EUROPE,RENOVISOR,rv,606
63,EUROPE,WHY_EUROPE,why,137
63,LATAM,WHY_LATAM,why,608
64,EUROPE,DIEGO,diego,251
64,EUROPE,RENOVISOR,rv,612
64,EUROPE,WHY_EUROPE,why,137
64,LATAM,WHY_LATAM,why,608
65,EUROPE,DIEGO,diego,250
65,EUROPE,RENOVISOR,rv,603
65,EUROPE,WHY_EUROPE,why,147
65,LATAM,WHY_LATAM,why,608
66,EUROPE,DIEGO,diego,249
66,EUROPE,RENOVISOR,rv,625
66,EUROPE,WHY_EUROPE,why,126
66,LATAM,WHY_LATAM,why,608
67,EUROPE,DIEGO,diego,252
67,EUROPE,RENOVISOR,rv,606
67,EUROPE,WHY_EUROPE,why,142
67,LATAM,WHY_LATAM,why,608
68,EUROPE,DIEGO,diego,269
68,EUROPE,RENOVISOR,rv,589
68,EUROPE,WHY_EUROPE,why,142
68,LATAM,WHY_LATAM,why,608
69,EUROPE,DIEGO,diego,254
69,EUROPE,RENOVISOR,rv,605
69,EUROPE,WHY_EUROPE,why,141
69,LATAM,WHY_LATAM,why,608
70,EUROPE,DIEGO,diego,266
70,EUROPE,RENOVISOR,rv,588
70,EUROPE,WHY_EUROPE,why,146
70,LATAM,WHY_LATAM,why,608
71,EUROPE,DIEGO,diego,248
71,EUROPE,RENOVISOR,rv,618
71,EUROPE,WHY_EUROPE,why,134
71,LATAM,WHY_LATAM,why,608
72,EUROPE,DIEGO,diego,230
72,EUROPE,RENOVISOR,rv,624
72,EUROPE,WHY_EUROPE,why,146
72,LATAM,WHY_LATAM,why,608
73,EUROPE,DIEGO,diego,277
73,EUROPE,RENOVISOR,rv,596
73,EUROPE,WHY_EUROPE,why,127
73,LATAM,WHY_LATAM,why,608
74,EUROPE,DIEGO,diego,248
74,EUROPE,RENOVISOR,rv,609
74,EUROPE,WHY_EUROPE,why,143
74,LATAM,WHY_LATAM,why,608
75,EUROPE,DIEGO,diego,250
75,EUROPE,RENOVISOR,rv,624
75,EUROPE,WHY_EUROPE,why,126
75,LATAM,WHY_LATAM,why,608
76,EUROPE,DIEGO,diego,244
76,EUROPE,RENOVISOR,rv,628
76,EUROPE,WHY_EUROPE,why,128
76,LATAM,WHY_LATAM,why,608
77,EUROPE,DIEGO,diego,223
77,EUROPE,RENOVISOR,rv,610
77,EUROPE,WHY_EUROPE,why,167
77,LATAM,WHY_LATAM,why,608
78,EUROPE,DIEGO,diego,251
78,EUROPE,RENOVISOR,rv,608
78,EUROPE,WHY_EUROPE,why,141
78,LATAM,WHY_LATAM,why,608
79,EUROPE,DIEGO,diego,242
79,EUROPE,RENOVISOR,rv,615
79,EUROPE,WHY_EUROPE,why,143
79,LATAM,WHY_LATAM,why,608
80,EUROPE,DIEGO,diego,254
80,EUROPE,RENOVISOR,rv,603
80,EUROPE,WHY_EUROPE,why,143
80,LATAM,WHY_LATAM,why,608
81,EUROPE,DIEGO,diego,253
81,EUROPE,RENOVISOR,rv,610
81,EUROPE,WHY_EUROPE,why,137
81,LATAM,WHY_LATAM,why,608
82,EUROPE,DIEGO,diego,266
82,EUROPE,RENOVISOR,rv,602
82,EUROPE,WHY_EUROPE,why,132
82,LATAM,WHY_LATAM,why,608
83,EUROPE,DIEGO,diego,259
83,EUROPE,RENOVISOR,rv,612
83,EUROPE,WHY_EUROPE,why,129
83,LATAM,WHY_LATAM,why,608
84,EUROPE,DIEGO,diego,241
84,EUROPE,RENOVISOR,rv,610
84,EUROPE,WHY_EUROPE,why,149
84,LATAM,WHY_LATAM,why,608
85,EUROPE,DIEGO,diego,253
85,EUROPE,RENOVISOR,rv,614
85,EUROPE,WHY_EUROPE,why,133
85,LATAM,WHY_LATAM,why,608
86,EUROPE,DIEGO,diego,241
86,EUROPE,RENOVISOR,rv,607
86,EUROPE,WHY_EUROPE,why,152
86,LATAM,WHY_LATAM,why,608
87,EUROPE,DIEGO,diego,235
87,EUROPE,RENOVISOR,rv,616
87,EUROPE,WHY_EUROPE,why,149
87,LATAM,WHY_LATAM,why,608
88,EUROPE,DIEGO,diego,257
88,EUROPE,RENOVISOR,rv,601
88,EUROPE,WHY_EUROPE,why,142
88,LATAM,WHY_LATAM,why,608
89,EUROPE,DIEGO,diego,233
89,EUROPE,RENOVISOR,rv,618
89,EUROPE,WHY_EUROPE,why,149
89,LATAM,WHY_LATAM,why,608
90,EUROPE,DIEGO,diego,259
90,EUROPE,RENOVISOR,rv,619
90,EUROPE,WHY_EUROPE,why,122
90,LATAM,WHY_LATAM,why,608
91,EUROPE,DIEGO,diego,259
91,EUROPE,RENOVISOR,rv,620
91,EUROPE,WHY_EUROPE,why,121
91,LATAM,WHY_LATAM,why,608
92,EUROPE,DIEGO,diego,236
92,EUROPE,RENOVISOR,rv,612
92,EUROPE,WHY_EUROPE,why,152
92,LATAM,WHY_LATAM,why,608
93,EUROPE,DIEGO,diego,243
93,EUROPE,RENOVISOR,rv,614
93,EUROPE,WHY_EUROPE,why,143
93,LATAM,WHY_LATAM,why,608
94,EUROPE,DIEGO,diego,255
94,EUROPE,RENOVISOR,rv,610
94,EUROPE,WHY_EUROPE,why,135
94,LATAM,WHY_LATAM,why,608
95,EUROPE,DIEGO,diego,256
95,EUROPE,RENOVISOR,rv,609
95,EUROPE,WHY_EUROPE,why,135
95,LATAM,WHY_LATAM,why,608
96,EUROPE,DIEGO,diego,263
96,EUROPE,RENOVISOR,rv,596
96,EUROPE,WHY_EUROPE,why,141
96,LATAM,WHY_LATAM,why,608
97,EUROPE,DIEGO,diego,242
97,EUROPE,RENOVISOR,rv,622
97,EUROPE,WHY_EUROPE,why,136
97,LATAM,WHY_LATAM,why,608
98,EUROPE,DIEGO,diego,253
98,EUROPE,RENOVISOR,rv,611
98,EUROPE,WHY_EUROPE,why,136
98,LATAM,WHY_LATAM,why,608
99,EUROPE,DIEGO,diego,245
99,EUROPE,RENOVISOR,rv,613
99,EUROPE,WHY_EUROPE,why,142
99,LATAM,WHY_LATAM,why,608
100,EUROPE,DIEGO,diego,261
100,EUROPE,RENOVISOR,rv,602
100,EUROPE,WHY_EUROPE,why,137
100,LATAM,WHY_LATAM,why,608
101,EUROPE,DIEGO,diego,261
101,EUROPE,RENOVISOR,rv,607
101,EUROPE,WHY_EUROPE,why,132
101,LATAM,WHY_LATAM,why,608
102,EUROPE,DIEGO,diego,248
102,EUROPE,RENOVISOR,rv,611
102,EUROPE,WHY_EUROPE,why,141
102,LATAM,WHY_LATAM,why,608
103,EUROPE,DIEGO,diego,252
103,EUROPE,RENOVISOR,rv,598
103,EUROPE,WHY_EUROPE,why,150
103,LATAM,WHY_LATAM,why,608
104,EUROPE,DIEGO,diego,277
104,EUROPE,RENOVISOR,rv,596
104,EUROPE,WHY_EUROPE,why,127
104,LATAM,WHY_LATAM,why,608
105,EUROPE,DIEGO,diego,246
105,EUROPE,RENOVISOR,rv,604
105,EUROPE,WHY_EUROPE,why,150
105,LATAM,WHY_LATAM,why,608
106,EUROPE,DIEGO,diego,267
106,EUROPE,RENOVISOR,rv,606
106,EUROPE,WHY_EUROPE,why,127
106,LATAM,WHY_LATAM,why,608
107,EUROPE,DIEGO,diego,225
107,EUROPE,RENOVISOR,rv,616
107,EUROPE,WHY_EUROPE,why,159
107,LATAM,WHY_LATAM,why,608
108,EUROPE,DIEGO,diego,250
108,EUROPE,RENOVISOR,rv,613
108,EUROPE,WHY_EUROPE,why,137
108,LATAM,WHY_LATAM,why,608
109,EUROPE,DIEGO,diego,275
109,EUROPE,RENOVISOR,rv,604
109,EUROPE,WHY_EUROPE,why,121
109,LATAM,WHY_LATAM,why,608
110,EUROPE,DIEGO,diego,222
110,EUROPE,RENOVISOR,rv,608
110,EUROPE,WHY_EUROPE,why,170
110,LATAM,WHY_LATAM,why,608
111,EUROPE,DIEGO,diego,245
111,EUROPE,RENOVISOR,rv,625
111,EUROPE,WHY_EUROPE,why,130
111,LATAM,WHY_LATAM,why,608
112,EUROPE,DIEGO,diego,245
112,EUROPE,RENOVISOR,rv,614
112,EUROPE,WHY_EUROPE,why,141
112,LATAM,WHY_LATAM,why,608
113,EUROPE,DIEGO,diego,260
113,EUROPE,RENOVISOR,rv,611
113,EUROPE,WHY_EUROPE,why,129
113,LATAM,WHY_LATAM,why,608
114,EUROPE,DIEGO,diego,212
114,EUROPE,RENOVISOR,rv,632
114,EUROPE,WHY_EUROPE,why,156
114,LATAM,WHY_LATAM,why,608
115,EUROPE,DIEGO,diego,260
115,EUROPE,RENOVISOR,rv,611
115,EUROPE,WHY_EUROPE,why,129
115,LATAM,WHY_LATAM,why,608
116,EUROPE,DIEGO,diego,246
116,EUROPE,RENOVISOR,rv,607
116,EUROPE,WHY_EUROPE,why,147
116,LATAM,WHY_LATAM,why,608
117,EUROPE,DIEGO,diego,251
117,EUROPE,RENOVISOR,rv,619
117,EUROPE,WHY_EUROPE,why,130
117,LATAM,WHY_LATAM,why,608
118,EUROPE,DIEGO,diego,245
118,EUROPE,RENOVISOR,rv,625
118,EUROPE,WHY_EUROPE,why,130
118,LATAM,WHY_LATAM,why,608
119,EUROPE,DIEGO,diego,239
119,EUROPE,RENOVISOR,rv,623
119,EUROPE,WHY_EUROPE,why,138
119,LATAM,WHY_LATAM,why,608
120,EUROPE,DIEGO,diego,246
120,EUROPE,RENOVISOR,rv,603
120,EUROPE,WHY_EUROPE,why,151
120,LATAM,WHY_LATAM,why,608
121,EUROPE,DIEGO,diego,271
121,EUROPE,RENOVISOR,rv,596
121,EUROPE,WHY_EUROPE,why,133
121,LATAM,WHY_LATAM,why,608
122,EUROPE,DIEGO,diego,241
122,EUROPE,RENOVISOR,rv,616
122,EUROPE,WHY_EUROPE,why,143
122,LATAM,WHY_LATAM,why,608
123,EUROPE,DIEGO,diego,238
123,EUROPE,RENOVISOR,rv,630
123,EUROPE,WHY_EUROPE,why,132
123,LATAM,WHY_LATAM,why,608
124,EUROPE,DIEGO,diego,249
124,EUROPE,RENOVISOR,rv,599
124,EUROPE,WHY_EUROPE,why,152
124,LATAM,WHY_LATAM,why,608
125,EUROPE,DIEGO,diego,250
125,EUROPE,RENOVISOR,rv,607
125,EUROPE,WHY_EUROPE,why,143
125,LATAM,WHY_LATAM,why,608
126,EUROPE,DIEGO,diego,227
126,EUROPE,RENOVISOR,rv,623
126,EUROPE,WHY_EUROPE,why,150
126,LATAM,WHY_LATAM,why,608
127,EUROPE,DIEGO,diego,244
127,EUROPE,RENOVISOR,rv,618
127,EUROPE,WHY_EUROPE,why,138
127,LATAM,WHY_LATAM,why,608
128,EUROPE,DIEGO,diego,244
128,EUROPE,RENOVISOR,rv,615
128,EUROPE,WHY_EUROPE,why,141
128,LATAM,WHY_LATAM,why,608
129,EUROPE,DIEGO,diego,255
129,EUROPE,RENOVISOR,rv,598
129,EUROPE,WHY_EUROPE,why,147
129,LATAM,WHY_LATAM,why,608
130,EUROPE,DIEGO,diego,262
130,EUROPE,RENOVISOR,rv,611
130,EUROPE,WHY_EUROPE,why,127
130,LATAM,WHY_LATAM,why,608
131,EUROPE,DIEGO,diego,238
131,EUROPE,RENOVISOR,rv,616
131,EUROPE,WHY_EUROPE,why,146
131,LATAM,WHY_LATAM,why,608
132,EUROPE,DIEGO,diego,237
132,EUROPE,RENOVISOR,rv,618
132,EUROPE,WHY_EUROPE,why,145
132,LATAM,WHY_LATAM,why,608
133,EUROPE,DIEGO,diego,243
133,EUROPE,RENOVISOR,rv,609
133,EUROPE,WHY_EUROPE,why,148
133,LATAM,WHY_LATAM,why,608
134,EUROPE,DIEGO,diego,249
134,EUROPE,RENOVISOR,rv,619
134,EUROPE,WHY_EUROPE,why,132
134,LATAM,WHY_LATAM,why,608
135,EUROPE,DIEGO,diego,256
135,EUROPE,RENOVISOR,rv,605
135,EUROPE,WHY_EUROPE,why,139
135,LATAM,WHY_LATAM,why,608
136,EUROPE,DIEGO,diego,249
136,EUROPE,RENOVISOR,rv,608
136,EUROPE,WHY_EUROPE,why,143
136,LATAM,WHY_LATAM,why,608
137,EUROPE,DIEGO,diego,263
137,EUROPE,RENOVISOR,rv,603
137,EUROPE,WHY_EUROPE,why,134
137,LATAM,WHY_LATAM,why,608
138,EUROPE,DIEGO,diego,243
138,EUROPE,RENOVISOR,rv,609
138,EUROPE,WHY_EUROPE,why,148
138,LATAM,WHY_LATAM,why,608
139,EUROPE,DIEGO,diego,257
139,EUROPE,RENOVISOR,rv,615
139,EUROPE,WHY_EUROPE,why,128
139,LATAM,WHY_LATAM,why,608
140,EUROPE,DIEGO,diego,263
140,EUROPE,RENOVISOR,rv,614
140,EUROPE,WHY_EUROPE,why,123
140,LATAM,WHY_LATAM,why,608
141,EUROPE,DIEGO,diego,240
141,EUROPE,RENOVISOR,rv,615
141,EUROPE,WHY_EUROPE,why,145
141,LATAM,WHY_LATAM,why,608
142,EUROPE,DIEGO,diego,246
142,EUROPE,RENOVISOR,rv,619
142,EUROPE,WHY_EUROPE,why,135
142,LATAM,WHY_LATAM,why,608
143,EUROPE,DIEGO,diego,250
143,EUROPE,RENOVISOR,rv,617
143,EUROPE,WHY_EUROPE,why,133
143,LATAM,WHY_LATAM,why,608
144,EUROPE,DIEGO,diego,262
144,EUROPE,RENOVISOR,rv,607
144,EUROPE,WHY_EUROPE,why,131
144,LATAM,WHY_LATAM,why,608
145,EUROPE,DIEGO,diego,235
145,EUROPE,RENOVISOR,rv,628
145,EUROPE,WHY_EUROPE,why,137
145,LATAM,WHY_LATAM,why,608
146,EUROPE,DIEGO,diego,262
146,EUROPE,RENOVISOR,rv,611
146,EUROPE,WHY_EUROPE,why,127
146,LATAM,WHY_LATAM,why,608
147,EUROPE,DIEGO,diego,244
147,EUROPE,RENOVISOR,rv,626
147,EUROPE,WHY_EUROPE,why,130
147,LATAM,WHY_LATAM,why,608
148,EUROPE,DIEGO,diego,246
148,EUROPE,RENOVISOR,rv,619
148,EUROPE,WHY_EUROPE,why,135
148,LATAM,WHY_LATAM,why,608
149,EUROPE,DIEGO,diego,260
149,EUROPE,RENOVISOR,rv,609
149,EUROPE,WHY_EUROPE,why,131
149,LATAM,WHY_LATAM,why,608
150,EUROPE,DIEGO,diego,245
150,EUROPE,RENOVISOR,rv,614
150,EUROPE,WHY_EUROPE,why,141
150,LATAM,WHY_LATAM,why,608
151,EUROPE,DIEGO,diego,242
151,EUROPE,RENOVISOR,rv,615
151,EUROPE,WHY_EUROPE,why,143
151,LATAM,WHY_LATAM,why,608
152,EUROPE,DIEGO,diego,240
152,EUROPE,RENOVISOR,rv,598
152,EUROPE,WHY_EUROPE,why,162
152,LATAM,WHY_LATAM,why,608
153,EUROPE,DIEGO,diego,256
153,EUROPE,RENOVISOR,rv,611
153,EUROPE,WHY_EUROPE,why,133
153,LATAM,WHY_LATAM,why,608
154,EUROPE,DIEGO,diego,267
154,EUROPE,RENOVISOR,rv,601
154,EUROPE,WHY_EUROPE,why,132
154,LATAM,WHY_LATAM,why,608
155,EUROPE,DIEGO,diego,238
155,EUROPE,RENOVISOR,rv,621
155,EUROPE,WHY_EUROPE,why,141
155,LATAM,WHY_LATAM,why,608
156,EUROPE,DIEGO,diego,264
156,EUROPE,RENOVISOR,rv,610
156,EUROPE,WHY_EUROPE,why,126
156,LATAM,WHY_LATAM,why,608
157,EUROPE,DIEGO,diego,247
157,EUROPE,RENOVISOR,rv,614
157,EUROPE,WHY_EUROPE,why,139
157,LATAM,WHY_LATAM,why,608
158,EUROPE,DIEGO,diego,248
158,EUROPE,RENOVISOR,rv,610
158,EUROPE,WHY_EUROPE,why,142
158,LATAM,WHY_LATAM,why,608
159,EUROPE,DIEGO,diego,241
159,EUROPE,RENOVISOR,rv,609
159,EUROPE,WHY_EUROPE,why,150
159,LATAM,WHY_LATAM,why,608
160,EUROPE,DIEGO,diego,235
160,EUROPE,RENOVISOR,rv,629
160,EUROPE,WHY_EUROPE,why,136
160,LATAM,WHY_LATAM,why,608
161,EUROPE,DIEGO,diego,261
161,EUROPE,RENOVISOR,rv,611
161,EUROPE,WHY_EUROPE,why,128
161,LATAM,WHY_LATAM,why,608
162,EUROPE,DIEGO,diego,259
162,EUROPE,RENOVISOR,rv,599
162,EUROPE,WHY_EUROPE,why,142
162,LATAM,WHY_LATAM,why,608
163,EUROPE,DIEGO,diego,267
163,EUROPE,RENOVISOR,rv,596
163,EUROPE,WHY_EUROPE,why,137
163,LATAM,WHY_LATAM,why,608
164,EUROPE,DIEGO,diego,236
164,EUROPE,RENOVISOR,rv,615
164,EUROPE,WHY_EUROPE,why,149
164,LATAM,WHY_LATAM,why,608
165,EUROPE,DIEGO,diego,265
165,EUROPE,RENOVISOR,rv,610
165,EUROPE,WHY_EUROPE,why,125
165,LATAM,WHY_LATAM,why,608
166,EUROPE,DIEGO,diego,241
166,EUROPE,RENOVISOR,rv,620
166,EUROPE,WHY_EUROPE,why,139
166,LATAM,WHY_LATAM,why,608
167,EUROPE,DIEGO,diego,252
167,EUROPE,RENOVISOR,rv,605
167,EUROPE,WHY_EUROPE,why,143
167,LATAM,WHY_LATAM,why,608
168,EUROPE,DIEGO,diego,243
168,EUROPE,RENOVISOR,rv,626
168,EUROPE,WHY_EUROPE,why,131
168,LATAM,WHY_LATAM,why,608
169,EUROPE,DIEGO,diego,251
169,EUROPE,RENOVISOR,rv,613
169,EUROPE,WHY_EUROPE,why,136
169,LATAM,WHY_LATAM,why,608
170,EUROPE,DIEGO,diego,264
170,EUROPE,RENOVISOR,rv,603
170,EUROPE,WHY_EUROPE,why,133
170,LATAM,WHY_LATAM,why,608
