analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
WHY_EUROPE,1711,WHY_EUROPE,EUROPE,482,why__5f93773959a2f6156eb0ef30,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f93773959a2f6156eb0ef30,5f93773959a2f6156eb0ef30,NA,FR,FR,western_europe,18_24,male,employed,usable_partial,TRUE,TRUE,31,0.3060218085565329,0.3264078704881891,0.9062757696287189,0.5784667962005309,0.9579589440451572,0.6203380251898851,0.5294996420902099,0.40810398348595744,0.8032432733042159
WHY_EUROPE,1712,WHY_EUROPE,EUROPE,483,why__5f958894bb9a453ea4a1dc13,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f958894bb9a453ea4a1dc13,5f958894bb9a453ea4a1dc13,NA,ES,ES,southern_europe,35_44,female,employed,usable_partial,TRUE,TRUE,30,0.8688217037710374,1.0352905763732887,0.43280290492483137,0.27980803599209064,0.27725262093309544,0.5968636213370806,0.7039596553953438,0.5935103332316988,0.048629974333006296
WHY_EUROPE,1713,WHY_EUROPE,EUROPE,484,why__5f969821c6763f56fd948f43,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f969821c6763f56fd948f43,5f969821c6763f56fd948f43,NA,IE,IE,northern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.4915866053498624,0.44580649245188925,0.8048180231848082,0.4436122926078878,0.5142512629022687,0.4607859381819844,1.004508984140663,0.477895209129747,1.392290757853106
WHY_EUROPE,1714,WHY_EUROPE,EUROPE,485,why__5f97b888f0dac318d718eada,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f97b888f0dac318d718eada,5f97b888f0dac318d718eada,NA,DE,DE,western_europe,25_34,female,employed,usable_partial,TRUE,TRUE,31,0.5912492855776873,0.5681977594262887,0.3268360850027874,0.28607503332015694,1.0523286248986126,0.624979490373307,0.8413280585089421,0.6275039274816293,1.2363143327255923
WHY_EUROPE,1715,WHY_EUROPE,EUROPE,486,why__5f97e6601f6d0e016087fc91,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f97e6601f6d0e016087fc91,5f97e6601f6d0e016087fc91,NA,PL,PL,eastern_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6061153382268991,0.4464088238216317,0.6812165455208999,0.42810154563259767,0.7701446608964211,1.1041374197695168,1.0397293928630968,0.7889057962070964,0.8234446944330642
WHY_EUROPE,1716,WHY_EUROPE,EUROPE,487,why__5f9817191e0ac10660e68c98,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f9817191e0ac10660e68c98,5f9817191e0ac10660e68c98,NA,NL,NL,western_europe,25_34,female,unknown,usable_complete,TRUE,TRUE,32,0.21241714285612875,0.39347099291664345,0.2916500660116007,0.22528467093759227,0.4856528189811285,0.720247231176394,0.8857036036533852,0.5438965489727344,1.1809205851090052
WHY_EUROPE,1717,WHY_EUROPE,EUROPE,488,why__5f9822ed09bb3d07b22d6c8d,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f9822ed09bb3d07b22d6c8d,5f9822ed09bb3d07b22d6c8d,NA,PL,PL,eastern_europe,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.6596203222373236,0.7679372491280161,0.6913156873093216,2.2119193625556757,0.35133992792431024,0.8784756934734126,0.780160533200194,0.2883565752975203,1.2393811398979908
WHY_EUROPE,1718,WHY_EUROPE,EUROPE,489,why__5f9aba6600cdf11f1c9b915c,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f9aba6600cdf11f1c9b915c,5f9aba6600cdf11f1c9b915c,NA,PL,PL,eastern_europe,25_34,male,employed,usable_partial,TRUE,TRUE,31,0.9967424281697652,0.9845369341253905,1.0892261986535163,0.9978760799811813,1.5540533934826068,1.518622227050338,1.5364651907627376,0.9243540000424216,1.2445114935409651
WHY_EUROPE,1719,WHY_EUROPE,EUROPE,490,why__5f9ba36928e9973d2510d2e8,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f9ba36928e9973d2510d2e8,5f9ba36928e9973d2510d2e8,NA,FR,FR,western_europe,55_64,male,employed,usable_complete,TRUE,TRUE,32,0.5304985004947534,0.723287401660367,0.3686368166139381,0.6723870190542853,0.4412432142289242,0.4358053456273313,0.3524234680917552,0.39789627283524864,0.368635751505889
WHY_EUROPE,1720,WHY_EUROPE,EUROPE,491,why__5f9d66b82d1236279a26cc2b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f9d66b82d1236279a26cc2b,5f9d66b82d1236279a26cc2b,NA,ES,ES,southern_europe,18_24,female,employed,usable_partial,TRUE,TRUE,31,0.47099822434538985,0.25454790511745495,0.3813880663708721,0.5505583685693657,0.35770645957825786,0.26072551693158147,0.45750612688392894,0.4960024704079486,0.7862366201840235
