analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance
WHY_LATAM,matrix_32_pos_0_1,5,100,100,0,0,608,265.79,0.0312758479171897,0.0013257665252320017,0.7168048277898742,0.0238204138453689,0.07590914823048389,0.0028414607447374875,-657.4867535475149,91.08702119594669,0.19611293383492381,NA,0.8038870661650762,NA
WHY_LATAM,matrix_32_pos_0_1,6,100,100,0,0,608,265.79,0.027509110299520904,0.0010966259906131594,0.7437182486586166,0.022060154181808306,0.07216335336355248,0.002807110872226725,-713.7925643248556,78.92979055425103,0.17917517609535302,NA,0.820824823904647,NA
WHY_LATAM,matrix_32_pos_0_1,7,100,100,0,0,608,265.79,0.024513548150192566,9.879926208502595e-4,0.7669333865923855,0.0214629864938449,0.06876557116567895,0.0029119331536996405,-740.8128921212535,71.80877682479709,0.17719356444775827,NA,0.8228064355522418,NA
WHY_LATAM,matrix_32_pos_0_1,8,100,100,0,0,608,265.79,0.02190563707384684,9.11848820166031e-4,0.7874205483788089,0.021505921773835673,0.06561757278392791,0.0031272899139230823,-746.3252880676862,67.21879314724492,0.17464790621681944,NA,0.8253520937831805,NA
WHY_LATAM,matrix_32_raw_0_1,2,100,100,0,0,608,265.79,0.06058559809430709,0.0021043971558150137,0.49851430040271616,0.023983485203646765,0.10323892343690792,0.002679473741254577,465.9190358488736,145.42568841923887,0.08695610585936607,NA,0.9130438941406339,NA
WHY_LATAM,matrix_32_raw_0_1,3,100,100,0,0,608,265.79,0.046058041917619655,0.0016452671945005534,0.5930788440145461,0.02375682347345531,0.09292532500251321,0.0028553449361448987,-61.84818457288977,130.2032713027285,0.10488660850629147,NA,0.8951133914937085,NA
WHY_LATAM,matrix_32_raw_0_1,4,100,100,0,0,608,265.79,0.038271998066881516,0.0015777633749625276,0.6478942409450557,0.026276011228652113,0.08635708708729492,0.003131911795316344,-324.79469506228446,123.39871472106266,0.12985370684428543,NA,0.8701462931557146,NA
WHY_LATAM,matrix_32_raw_0_1,5,100,100,0,0,608,265.79,0.03258693240714046,0.0014859144944344832,0.6938172833958006,0.026756472011191246,0.08045381004627326,0.003364681499588285,-507.3194535013226,114.32325877898151,0.15561206416009318,NA,0.8443879358399068,NA
WHY_LATAM,matrix_32_raw_0_1,6,100,100,0,0,608,265.79,0.028818421800518603,0.001362467882431951,0.7199413858824668,0.027585041093556088,0.07687191383737323,0.0035756556700924677,-576.7464775725456,106.5863281363066,0.14498958116034086,NA,0.8550104188396591,NA
WHY_LATAM,matrix_32_raw_0_1,7,100,100,0,0,608,265.79,0.025566924903796348,0.0012484689177365183,0.7446734101184269,0.027155995034383085,0.07333953037987823,0.0036990899187542823,-624.1045563470699,97.16432324212363,0.14605911514752057,NA,0.8539408848524794,NA
WHY_LATAM,matrix_32_raw_0_1,8,100,100,0,0,608,265.79,0.0226401113368061,0.0011312907021635568,0.7673276847537052,0.02557858525983525,0.06995975862362956,0.0036881064578824377,-649.7832600720463,84.56881949618094,0.14619759628511106,NA,0.8538024037148889,NA
WHY_LATAM,matrix_32_z_abs,2,100,100,0,0,608,265.79,0.048141899281392626,0.001683920636896792,0.5384180203191733,0.03031633739884101,0.07774695716036797,0.003065922296167408,-748.1197061584434,126.34956261981617,0.39237328331399685,NA,0.6076267166860032,NA
WHY_LATAM,matrix_32_z_abs,3,100,100,0,0,608,265.79,0.041553935671460936,0.0014617707846867087,0.5952555739786936,0.029974743747848576,0.07274183749514994,0.0030714179365867547,-880.8343617826425,110.2337462895315,0.3003646868120982,NA,0.6996353131879017,NA
WHY_LATAM,matrix_32_z_abs,4,100,100,0,0,608,265.79,0.037037978967404996,0.0012701296435601384,0.6271006134714968,0.030669642776755223,0.06975776053909209,0.003035451888073391,-914.1925508742329,96.77272059620594,0.2224564995906454,NA,0.7775435004093546,NA
WHY_LATAM,matrix_32_z_abs,5,100,100,0,0,608,265.79,0.03321786945704698,0.0012039270283760008,0.6542126808508296,0.030397874130923878,0.0671233911021368,0.0031134642238512932,-921.508184081781,88.3060912270731,0.18825446492769587,NA,0.8117455350723042,NA
WHY_LATAM,matrix_32_z_abs,6,100,100,0,0,608,265.79,0.029874666186047488,0.001114442022324357,0.678632607317593,0.029518412589268864,0.06466508015688799,0.0031821678296789046,-912.3515293649845,80.51544788497316,0.17179499159520298,NA,0.828205008404797,NA
WHY_LATAM,matrix_32_z_abs,7,100,100,1,0,608,265.79,0.026887147166682043,0.0010171646679427988,0.701744968688003,0.028577293193786577,0.0622549464654483,0.0032811078077997504,-892.3710320968022,73.8125832849946,0.1614034688166581,NA,0.8385965311833419,NA
WHY_LATAM,matrix_32_z_abs,8,100,100,2,0,608,265.79,0.024209198282235486,9.307227473752257e-4,0.7231085222283955,0.027985887533761526,0.05993835535434548,0.003342068195441779,-862.2898984916177,66.40020828039594,0.1522525822890244,NA,0.8477474177109756,NA
