bootstrap_id,n_draws,expected,ok
667,608,608,TRUE
668,608,608,TRUE
669,608,608,TRUE
670,608,608,TRUE
671,608,608,TRUE
672,608,608,TRUE
673,608,608,TRUE
674,608,608,TRUE
675,608,608,TRUE
676,608,608,TRUE
677,608,608,TRUE
678,608,608,TRUE
679,608,608,TRUE
680,608,608,TRUE
681,608,608,TRUE
682,608,608,TRUE
683,608,608,TRUE
684,608,608,TRUE
685,608,608,TRUE
686,608,608,TRUE
687,608,608,TRUE
688,608,608,TRUE
689,608,608,TRUE
690,608,608,TRUE
691,608,608,TRUE
692,608,608,TRUE
693,608,608,TRUE
694,608,608,TRUE
695,608,608,TRUE
696,608,608,TRUE
697,608,608,TRUE
698,608,608,TRUE
699,608,608,TRUE
700,608,608,TRUE
701,608,608,TRUE
702,608,608,TRUE
703,608,608,TRUE
704,608,608,TRUE
705,608,608,TRUE
706,608,608,TRUE
707,608,608,TRUE
708,608,608,TRUE
709,608,608,TRUE
710,608,608,TRUE
711,608,608,TRUE
712,608,608,TRUE
713,608,608,TRUE
714,608,608,TRUE
715,608,608,TRUE
716,608,608,TRUE
717,608,608,TRUE
718,608,608,TRUE
719,608,608,TRUE
720,608,608,TRUE
721,608,608,TRUE
722,608,608,TRUE
723,608,608,TRUE
724,608,608,TRUE
725,608,608,TRUE
726,608,608,TRUE
727,608,608,TRUE
728,608,608,TRUE
729,608,608,TRUE
730,608,608,TRUE
731,608,608,TRUE
732,608,608,TRUE
733,608,608,TRUE
734,608,608,TRUE
735,608,608,TRUE
736,608,608,TRUE
737,608,608,TRUE
738,608,608,TRUE
739,608,608,TRUE
740,608,608,TRUE
741,608,608,TRUE
742,608,608,TRUE
743,608,608,TRUE
744,608,608,TRUE
745,608,608,TRUE
746,608,608,TRUE
747,608,608,TRUE
748,608,608,TRUE
749,608,608,TRUE
750,608,608,TRUE
751,608,608,TRUE
752,608,608,TRUE
753,608,608,TRUE
754,608,608,TRUE
755,608,608,TRUE
756,608,608,TRUE
757,608,608,TRUE
758,608,608,TRUE
759,608,608,TRUE
760,608,608,TRUE
761,608,608,TRUE
762,608,608,TRUE
763,608,608,TRUE
764,608,608,TRUE
765,608,608,TRUE
766,608,608,TRUE
767,608,608,TRUE
768,608,608,TRUE
769,608,608,TRUE
770,608,608,TRUE
771,608,608,TRUE
772,608,608,TRUE
773,608,608,TRUE
774,608,608,TRUE
775,608,608,TRUE
776,608,608,TRUE
777,608,608,TRUE
778,608,608,TRUE
779,608,608,TRUE
780,608,608,TRUE
781,608,608,TRUE
782,608,608,TRUE
783,608,608,TRUE
784,608,608,TRUE
785,608,608,TRUE
786,608,608,TRUE
787,608,608,TRUE
788,608,608,TRUE
789,608,608,TRUE
790,608,608,TRUE
791,608,608,TRUE
792,608,608,TRUE
793,608,608,TRUE
794,608,608,TRUE
795,608,608,TRUE
796,608,608,TRUE
797,608,608,TRUE
798,608,608,TRUE
799,608,608,TRUE
800,608,608,TRUE
801,608,608,TRUE
802,608,608,TRUE
803,608,608,TRUE
804,608,608,TRUE
805,608,608,TRUE
806,608,608,TRUE
807,608,608,TRUE
808,608,608,TRUE
809,608,608,TRUE
810,608,608,TRUE
811,608,608,TRUE
812,608,608,TRUE
813,608,608,TRUE
814,608,608,TRUE
815,608,608,TRUE
816,608,608,TRUE
817,608,608,TRUE
818,608,608,TRUE
819,608,608,TRUE
820,608,608,TRUE
821,608,608,TRUE
822,608,608,TRUE
823,608,608,TRUE
824,608,608,TRUE
825,608,608,TRUE
826,608,608,TRUE
827,608,608,TRUE
828,608,608,TRUE
829,608,608,TRUE
830,608,608,TRUE
831,608,608,TRUE
832,608,608,TRUE
833,608,608,TRUE
834,608,608,TRUE
835,608,608,TRUE
836,608,608,TRUE
837,608,608,TRUE
838,608,608,TRUE
839,608,608,TRUE
840,608,608,TRUE
841,608,608,TRUE
842,608,608,TRUE
843,608,608,TRUE
844,608,608,TRUE
845,608,608,TRUE
846,608,608,TRUE
847,608,608,TRUE
848,608,608,TRUE
849,608,608,TRUE
850,608,608,TRUE
851,608,608,TRUE
852,608,608,TRUE
853,608,608,TRUE
854,608,608,TRUE
855,608,608,TRUE
856,608,608,TRUE
857,608,608,TRUE
858,608,608,TRUE
859,608,608,TRUE
860,608,608,TRUE
861,608,608,TRUE
862,608,608,TRUE
863,608,608,TRUE
864,608,608,TRUE
865,608,608,TRUE
866,608,608,TRUE
867,608,608,TRUE
868,608,608,TRUE
869,608,608,TRUE
870,608,608,TRUE
871,608,608,TRUE
872,608,608,TRUE
873,608,608,TRUE
874,608,608,TRUE
875,608,608,TRUE
876,608,608,TRUE
877,608,608,TRUE
878,608,608,TRUE
879,608,608,TRUE
880,608,608,TRUE
881,608,608,TRUE
882,608,608,TRUE
883,608,608,TRUE
884,608,608,TRUE
885,608,608,TRUE
886,608,608,TRUE
887,608,608,TRUE
888,608,608,TRUE
889,608,608,TRUE
890,608,608,TRUE
891,608,608,TRUE
892,608,608,TRUE
893,608,608,TRUE
894,608,608,TRUE
895,608,608,TRUE
896,608,608,TRUE
897,608,608,TRUE
898,608,608,TRUE
899,608,608,TRUE
900,608,608,TRUE
901,608,608,TRUE
902,608,608,TRUE
903,608,608,TRUE
904,608,608,TRUE
905,608,608,TRUE
906,608,608,TRUE
907,608,608,TRUE
908,608,608,TRUE
909,608,608,TRUE
910,608,608,TRUE
911,608,608,TRUE
912,608,608,TRUE
913,608,608,TRUE
914,608,608,TRUE
915,608,608,TRUE
916,608,608,TRUE
917,608,608,TRUE
918,608,608,TRUE
919,608,608,TRUE
920,608,608,TRUE
921,608,608,TRUE
922,608,608,TRUE
923,608,608,TRUE
924,608,608,TRUE
925,608,608,TRUE
926,608,608,TRUE
927,608,608,TRUE
928,608,608,TRUE
929,608,608,TRUE
930,608,608,TRUE
931,608,608,TRUE
932,608,608,TRUE
933,608,608,TRUE
934,608,608,TRUE
935,608,608,TRUE
936,608,608,TRUE
937,608,608,TRUE
938,608,608,TRUE
939,608,608,TRUE
940,608,608,TRUE
941,608,608,TRUE
942,608,608,TRUE
943,608,608,TRUE
944,608,608,TRUE
945,608,608,TRUE
946,608,608,TRUE
947,608,608,TRUE
948,608,608,TRUE
949,608,608,TRUE
950,608,608,TRUE
951,608,608,TRUE
952,608,608,TRUE
953,608,608,TRUE
954,608,608,TRUE
955,608,608,TRUE
956,608,608,TRUE
957,608,608,TRUE
958,608,608,TRUE
959,608,608,TRUE
960,608,608,TRUE
961,608,608,TRUE
962,608,608,TRUE
963,608,608,TRUE
964,608,608,TRUE
965,608,608,TRUE
966,608,608,TRUE
967,608,608,TRUE
968,608,608,TRUE
969,608,608,TRUE
970,608,608,TRUE
971,608,608,TRUE
972,608,608,TRUE
973,608,608,TRUE
974,608,608,TRUE
975,608,608,TRUE
976,608,608,TRUE
977,608,608,TRUE
978,608,608,TRUE
979,608,608,TRUE
980,608,608,TRUE
981,608,608,TRUE
982,608,608,TRUE
983,608,608,TRUE
984,608,608,TRUE
985,608,608,TRUE
986,608,608,TRUE
987,608,608,TRUE
988,608,608,TRUE
989,608,608,TRUE
990,608,608,TRUE
991,608,608,TRUE
992,608,608,TRUE
993,608,608,TRUE
994,608,608,TRUE
995,608,608,TRUE
996,608,608,TRUE
997,608,608,TRUE
998,608,608,TRUE
999,608,608,TRUE
1000,608,608,TRUE
