participant_id,year_of_birth,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation
PROLIFIC_69edcc3c9f52558843ab7d99,2001,Generación Z,Mujer,Belgium,Europa Occidental,NA,Clima templado,Empleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Derecha
PROLIFIC_6a229976e46891722ff3f05f,1997,Millennials,Mujer,Finland,Europa del Norte,Ciudad mediana,Clima frío,Desempleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_69eca1e06533d42ff1306a24,1998,Millennials,Mujer,France,Europa Occidental,Municipio pequeño,Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro
22,2004,Generación Z,Mujer,Czech Republic,Europa del Este,NA,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_69d763affd0080c0bffcd367,1973,Generación X,Mujer,Belgium,Europa Occidental,Municipio pequeño,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_6103a3ece71ab061d5624402,2001,Generación Z,Mujer,Latvia,Europa del Norte,NA,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_69e213021f9224d147d5908b,1983,Generación X,Mujer,Finland,Europa del Norte,Ciudad mediana,Clima frío,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Derecha
PROLIFIC_672b6f50809e58bcc13a57b4,1986,Millennials,Mujer,Slovenia,Europa del Sur,Municipio pequeño,Clima templado,NA,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_699776549800aa3b0399d642,1999,Millennials,Mujer,Poland,Europa del Este,Ciudad mediana,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_6a229862a12b21ee07229d8a,NA,NA,Hombre,Bulgaria,Europa del Este,Metrópolis,Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Extrema derecha
PROLIFIC_66045ed49119e654e5454985,1994,Millennials,Otro / Prefiere no decirlo,Greece,Europa del Sur,Ciudad grande,Clima subtropical,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Extrema izquierda
PROLIFIC_5d6558fa16871700012ea47b,1969,Boomers + generación silenciosa,Mujer,Slovenia,Europa del Sur,NA,Clima subtropical,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_6a0c5d35ab86f12c44875ea0,1977,Generación X,Mujer,Poland,Europa del Este,Metrópolis,Clima templado,Otra situación inactiva,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_57e928630cb6700001dd8f8a,1993,Millennials,Mujer,Portugal,Europa del Sur,NA,Clima subtropical,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_698fa8ec85144121c0643338,2000,Millennials,Mujer,Poland,Europa del Este,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Centro
PROLIFIC_697907c3546949f10030ddf1,1981,Generación X,Mujer,Germany,Europa Occidental,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Centro
PROLIFIC_5eda1423dd2241017d85fd44,1995,Millennials,Hombre,Finland,Europa del Norte,Municipio pequeño,Clima frío,Empleado/a,No universitaria,Sí,Pareja sin hijos,Alquiler,Centro
PROLIFIC_698eea589bb7dd5212c5e3c9,1994,Millennials,Mujer,France,Europa Occidental,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_69b9bf5f0faac70cd0e24cf6,1979,Generación X,Mujer,France,Europa Occidental,NA,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_6a0daf62ec01cd69c04d1da8,1991,Millennials,Hombre,United Kingdom,Europa del Norte,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Izquierda
PROLIFIC_6990691f5ced735f10ff3bba,1996,Millennials,Mujer,Poland,Europa del Este,Ciudad grande,Clima templado,Desempleado/a,Universitaria,No,Otro tipo de hogar,Alquiler,Izquierda
PROLIFIC_61034f24da19cc56177b8b59,1989,Millennials,Mujer,Czech Republic,Europa del Este,Ciudad mediana,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_697b1a2669af0b3f24790e20,1993,Millennials,Mujer,France,Europa Occidental,NA,Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Otro régimen,Centro
PROLIFIC_6a0c1bc666f7cca388e60c9c,1965,Boomers + generación silenciosa,Mujer,Sweden,Europa del Norte,Ciudad pequeña,Clima templado,Desempleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,NA
PROLIFIC_698ef5093a80fcd19f394ab2,1984,Generación X,Mujer,Poland,Europa del Este,Ciudad mediana,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Alquiler,Izquierda
PROLIFIC_6a2287e1de4099ccf09eac69,1987,Millennials,Mujer,Italy,Europa del Sur,Ciudad grande,Clima subtropical,Estudiante,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Izquierda
PROLIFIC_64edf002c925fb837ee0a770,1992,Millennials,Hombre,Estonia,Europa del Norte,NA,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Derecha
PROLIFIC_6a06ce99e7948a2b48b807b8,1994,Millennials,Mujer,Italy,Europa del Sur,Ciudad mediana,Clima subtropical,Empleado/a,Universitaria,No,Vive solo/a,Propiedad con hipoteca,Izquierda
PROLIFIC_69f349141b7a57cdd52b671c,1998,Millennials,Mujer,Poland,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Otro régimen,Extrema izquierda
PROLIFIC_69f732a6afef1c53157db063,1979,Generación X,Mujer,Germany,Europa Occidental,NA,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro
PROLIFIC_6a01d2282cff0f54d29e9ce9,1988,Millennials,Mujer,France,Europa Occidental,Ciudad pequeña,Clima templado,Otra situación inactiva,Universitaria,Sí,Hogar con hijos,Alquiler,Izquierda
PROLIFIC_5e9c3ff1cf719d151612648f,1969,Boomers + generación silenciosa,Mujer,Italy,Europa del Sur,Ciudad grande,Clima subtropical,Empleado/a,No universitaria,No,Vive solo/a,Propiedad con hipoteca,Centro
PROLIFIC_5cf101ea48405a0018415d09,1974,Generación X,Mujer,Poland,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,NA
PROLIFIC_5f21ff288900cb4709dd49aa,1960,Boomers + generación silenciosa,Mujer,Italy,Europa del Sur,Metrópolis,Clima subtropical,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_5d7e41aea60f7b00013cf1af,1999,Millennials,Mujer,Poland,Europa del Este,Municipio pequeño,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_6a204321d4201071efadc417,1987,Millennials,Mujer,France,Europa Occidental,NA,Clima subtropical,Otra situación inactiva,NA,Sí,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_6976fca13dd3674fd0702a52,1984,Generación X,Hombre,Czech Republic,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_6a098c627878fd02b2b0766e,1994,Millennials,Mujer,Germany,Europa Occidental,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_6973653f34c609a7c3420e1c,1990,Millennials,Mujer,Poland,Europa del Este,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro
PROLIFIC_698f1a372de6aef866bec656,1983,Generación X,Hombre,Poland,Europa del Este,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro
PROLIFIC_69fc2d7674f4ab68ebfd7559,1967,Boomers + generación silenciosa,Mujer,United Kingdom,Europa del Norte,NA,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Izquierda
PROLIFIC_6a19a8b91331b2d709fef8b0,2005,Generación Z,Mujer,Germany,Europa Occidental,Municipio pequeño,Clima templado,Desempleado/a,No universitaria,No,Hogar con hijos,Alquiler,Centro
PROLIFIC_6a005381c9f64426562d2587,1995,Millennials,Mujer,Poland,Europa del Este,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_69cac7e6b4b245b2c38f9112,2000,Millennials,Mujer,France,Europa Occidental,Ciudad pequeña,Clima templado,Estudiante,Universitaria,Sí,Pareja sin hijos,Propiedad con hipoteca,Izquierda
PROLIFIC_69f4823b807f06208c1f8ff8,1973,Generación X,Mujer,Italy,Europa del Sur,NA,Clima subtropical,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda
PROLIFIC_67458e548861194752950b3e,2003,Generación Z,Hombre,Latvia,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_69c6a6aade93df9f06f725a2,1969,Boomers + generación silenciosa,Mujer,France,Europa Occidental,Ciudad grande,Clima templado,Desempleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Izquierda
PROLIFIC_69f3101cd619e2288f7cffa7,2002,Generación Z,Mujer,Italy,Europa del Sur,Metrópolis,Clima subtropical,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_5e92267dcc3d6c553eb8c817,2001,Generación Z,Hombre,Poland,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,NA,NA
PROLIFIC_6a229b5352a32f629034f221,1992,Millennials,Hombre,Slovenia,Europa del Sur,Municipio pequeño,Clima subtropical,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_6a23e0de47bc759d7dfabea7,2003,Generación Z,Mujer,Belgium,Europa Occidental,Ciudad pequeña,Clima templado,Estudiante,Universitaria,Sí,Hogar con hijos,Otro régimen,NA
PROLIFIC_6a21ea8132a0738c3116b9e0,1998,Millennials,Mujer,Italy,Europa del Sur,Ciudad pequeña,Clima subtropical,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_6932b69b5d8649b7a1021ff0,2004,Generación Z,Hombre,Slovakia,Europa del Este,Municipio pequeño,Clima templado,Estudiante,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_697f4f0f25cc7707716e04f5,2004,Generación Z,Hombre,France,Europa Occidental,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_69d801b7ff73fd8726f49404,1989,Millennials,Mujer,Germany,Europa Occidental,Ciudad grande,Clima templado,Desempleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_6928b5026c84fcd91c5a7a68,1988,Millennials,Mujer,France,Europa Occidental,Metrópolis,Clima subtropical,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Derecha
PROLIFIC_6a00ddf17a4ca511079ba36,2005,Generación Z,Mujer,Italy,Europa del Sur,Ciudad grande,Clima subtropical,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_6a22f1c96d813b77a267cc7d,1999,Millennials,Hombre,Italy,Europa del Sur,Ciudad grande,Clima templado,Estudiante,Universitaria,Sí,Vive solo/a,Otro régimen,NA
PROLIFIC_6a0d86760c5c5b905946bc00,1968,Boomers + generación silenciosa,Mujer,Italy,Europa del Sur,Ciudad grande,Clima templado,Desempleado/a,Universitaria,No,Hogar con hijos,Alquiler,Extrema izquierda
PROLIFIC_646219bb0b91a6f3327e39fb,1991,Millennials,Mujer,Germany,Europa Occidental,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_6a0631964347cec04dfa71d1,1994,Millennials,Mujer,Poland,Europa del Este,NA,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Derecha
PROLIFIC_6a064be60a1feb17a9dfe824,1977,Generación X,Mujer,United Kingdom,Europa del Norte,Ciudad pequeña,Clima templado,Empleado/a,No universitaria,No,Pareja sin hijos,Alquiler,Centro
PROLIFIC_66cc80d93247b5e14b3b7112,1995,Millennials,Mujer,Italy,Europa del Sur,Municipio pequeño,Clima subtropical,Estudiante,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_6980bdf135e5d99f4cd191e6,1992,Millennials,Mujer,Romania,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Centro
PROLIFIC_602fe67919eaccd752eea5a5,1999,Millennials,Mujer,Portugal,Europa del Sur,Ciudad mediana,Clima subtropical,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Izquierda
PROLIFIC_6a10442ceffde6b06d1cef3d,1996,Millennials,Mujer,United Kingdom,Europa del Norte,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Derecha
PROLIFIC_6470e501cc85b0287c8da951,1999,Millennials,Mujer,France,Europa Occidental,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro
PROLIFIC_6985f197cf1559ac62ea5dc3,1995,Millennials,Hombre,France,Europa Occidental,Municipio pequeño,Clima templado,Empleado/a,Universitaria,Sí,Vivienda compartida,Alquiler,Centro
PROLIFIC_6a00c9657d955585296f7301,2006,Generación Z,Hombre,France,Europa Occidental,NA,Clima templado,Estudiante,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_5c66cc9246bfc200019044b8,1989,Millennials,NA,Hungary,Europa del Este,NA,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_5e86e0a50a340d32316afe9d,1986,Millennials,Mujer,Latvia,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_69d7f5e13c624f3ce83d2cfb,1994,Millennials,Hombre,Germany,Europa Occidental,Municipio pequeño,Clima frío,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_6a0d9e9144c2414b7e6adeda,2001,Generación Z,Mujer,Germany,Europa Occidental,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,Centro
PROLIFIC_6111037143ad4a71cf9e2852,1999,Millennials,Mujer,Hungary,Europa del Este,Metrópolis,Clima templado,Desempleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_6a25a6b9390e0020e7ef226e,2007,Generación Z,Mujer,Poland,Europa del Este,Municipio pequeño,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_69fb35cf0deb774f95e2f6cb,1989,Millennials,Mujer,France,Europa Occidental,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Centro
PROLIFIC_69fc88ab52f8fd41bd554aee,1965,Boomers + generación silenciosa,Mujer,United Kingdom,Europa del Norte,NA,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Izquierda
PROLIFIC_69f9f16dd6f231903e2a6b41,1997,Millennials,Mujer,Germany,Europa Occidental,Metrópolis,Clima templado,Desempleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Centro
PROLIFIC_6a229a63b2044a3b6694cdf5,1982,Generación X,Mujer,Romania,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_69de0876fb4170e1b31c0f7b,1985,Generación X,Hombre,Germany,Europa Occidental,Ciudad pequeña,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Alquiler,Izquierda
PROLIFIC_6a07318351b163db6f9887f1,1984,Generación X,Mujer,Italy,Europa del Sur,NA,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_69d023c8f299f5b1cc355e64,1988,Millennials,Mujer,Germany,Europa Occidental,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,Centro
PROLIFIC_698359ee7148b5a9731164bb,1994,Millennials,Hombre,Romania,Europa del Este,Ciudad mediana,Clima templado,Empleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Centro
PROLIFIC_66316420ced02e8c467d22a2,1997,Millennials,Hombre,Denmark,Europa del Norte,Ciudad mediana,Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_698e260e1c956e03673d79ab,1992,Millennials,Mujer,Sweden,Europa del Norte,Ciudad pequeña,Clima templado,Estudiante,Universitaria,Sí,Pareja sin hijos,Alquiler,Centro
PROLIFIC_6654840c725f74f1b0a206f9,2002,Generación Z,Mujer,Estonia,Europa del Norte,Ciudad pequeña,Clima templado,Estudiante,No universitaria,Sí,Vive solo/a,Alquiler,Izquierda
PROLIFIC_69d671f03dd875c20e4c0ce0,1993,Millennials,Mujer,Germany,Europa Occidental,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_60456799ca80066961f3fa3c,1998,Millennials,Mujer,Portugal,Europa del Sur,Ciudad grande,Clima subtropical,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_69e7b977a16a3c9a2b839a87,1995,Millennials,Hombre,Italy,Europa del Sur,Ciudad pequeña,Clima subtropical,Empleado/a,No universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Centro
PROLIFIC_62ead0772116e6bc70b7cd09,1971,Generación X,Mujer,United Kingdom,Europa del Norte,Ciudad mediana,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_6a0f3e08be88e41f0e239e45,2006,Generación Z,Mujer,Italy,Europa del Sur,Ciudad grande,Clima subtropical,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_6984b719db2917412dfc3135,1988,Millennials,Hombre,Germany,Europa Occidental,Municipio pequeño,Clima templado,Empleado/a,No universitaria,Sí,Vive solo/a,Alquiler,Extrema izquierda
PROLIFIC_6167579b785195f0db610d94,2002,Generación Z,Mujer,Latvia,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Otro régimen,Extrema izquierda
PROLIFIC_667971a555af1f83d3f29ae7,1994,Millennials,Hombre,Poland,Europa del Este,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Centro
PROLIFIC_6a0d70f4edf77457443338ce,1988,Millennials,Hombre,United Kingdom,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Alquiler,Derecha
PROLIFIC_697a77ec6ca000317de70f17,2000,Millennials,Mujer,France,Europa Occidental,NA,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_64a814776d0d667482bcf926,2001,Generación Z,Mujer,Slovenia,Europa del Sur,Ciudad pequeña,Clima templado,Estudiante,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_5cf510ccb0bafb00161ffd56,1998,Millennials,Mujer,United Kingdom,Europa del Norte,Ciudad mediana,Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Alquiler,Izquierda
PROLIFIC_6932bf332627def0f1f8a46b,1985,Generación X,Mujer,Hungary,Europa del Este,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,NA,Propiedad sin hipoteca,Centro
PROLIFIC_6646044a0b635b10c98237fb,1993,Millennials,Mujer,Poland,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Extrema izquierda
PROLIFIC_5b3f242f9c2ec600014ef9fc,1980,Generación X,Mujer,Italy,Europa del Sur,Municipio pequeño,Clima subtropical,Empleado/a,No universitaria,Sí,Vive solo/a,Otro régimen,Izquierda
PROLIFIC_697cae93b9bd8250922a71ce,1988,Millennials,Mujer,Denmark,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad con hipoteca,Izquierda
PROLIFIC_6a0202e1fdb933b3a6bc8fe9,2002,Generación Z,Mujer,France,Europa Occidental,Ciudad grande,Clima subtropical,Estudiante,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_6a2055cd337ccac293eb2ef8,1998,Millennials,Hombre,United Kingdom,Europa del Norte,Municipio pequeño,Clima templado,Empleado/a,No universitaria,No,Vivienda compartida,Alquiler,NA
PROLIFIC_6a01a5353d69fb639148aa20,1990,Millennials,Hombre,Italy,Europa del Sur,NA,Clima subtropical,Empleado/a,No universitaria,Sí,Vive solo/a,Alquiler,Derecha
PROLIFIC_696c724484bccbd980cd0e88,2004,Generación Z,Hombre,Poland,Europa del Este,Ciudad pequeña,Clima templado,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_63ed0392b8b24c34aaf26310,1979,Generación X,Mujer,United Kingdom,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Alquiler,Centro
PROLIFIC_6a01f97615e1e34226c0c6de,2002,Generación Z,Mujer,Italy,Europa del Sur,Ciudad pequeña,Clima subtropical,Desempleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Izquierda
PROLIFIC_60827e52a046c9b82574d391,1993,Millennials,Hombre,France,Europa Occidental,NA,Clima subtropical,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro
PROLIFIC_5e8f740429529124dfc3e7a5,2000,Millennials,Hombre,Poland,Europa del Este,Ciudad mediana,Clima templado,Estudiante,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_6a0252dc959d360ed8448c2f,2000,Millennials,Mujer,United Kingdom,Europa del Norte,Ciudad mediana,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Extrema izquierda
PROLIFIC_6a115c6b3c86f8c79ae47f0d,1997,Millennials,Hombre,United Kingdom,Europa del Norte,Ciudad mediana,Clima frío,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda
PROLIFIC_5d24b3cfa433c000166f91bf,1996,Millennials,Hombre,Germany,Europa Occidental,NA,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro
PROLIFIC_69a5621021a584cfa45f5f38,1992,Millennials,Mujer,Portugal,Europa del Sur,NA,Clima subtropical,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Izquierda
PROLIFIC_5e4f73d0ca55663b5b9d18b0,1980,Generación X,Mujer,France,Europa Occidental,Municipio pequeño,Clima subtropical,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro
