participant_id,year_of_birth,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation
PROLIFIC_5d6eb49ab682cc000173982b,1964,Boomers + Silent Generation,Female,Greece,Southern Europe,Large city,Warm/Mediterranean climate,Unemployed,Non-university education,No,Household with children,Rented home,Centre
PROLIFIC_6a1d394cf761db518876cad8,2000,Millennials,Female,United Kingdom,Northern Europe,Village or rural area,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Centre
PROLIFIC_6a1b5f584a440643c54aed9a,1988,Millennials,Female,United Kingdom,Northern Europe,Small town,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Right
PROLIFIC_69c648e30d13356cd9780c9a,1996,Millennials,Male,Belgium,Western Europe,Town,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Right
PROLIFIC_69ee50cfb4f7f782d21e0238,2000,Millennials,Male,Italy,Southern Europe,Metropolis,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Right
PROLIFIC_6a1eb7c1fd14b832013fb983,1992,Millennials,Female,Germany,Western Europe,Metropolis,Temperate climate,Employed,Non-university education,Yes,Household with children,Rented home,Left
PROLIFIC_69fb3f396267d7f728885605,1985,Generation X,Female,Germany,Western Europe,Town,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Far right
PROLIFIC_6a03950c7926c7ee5b8589ae,2004,Generation Z,Male,Italy,Southern Europe,Metropolis,Warm/Mediterranean climate,Student,University education,Yes,Household with children,Homeowner with mortgage,Right
PROLIFIC_6a1614592a9d17aadbee6b06,1999,Millennials,Female,Italy,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,Right
PROLIFIC_65b271a26aba0246730964f3,1999,Millennials,Female,Norway,Northern Europe,Small city,Cold/Polar climate,Employed,University education,No,Living alone,Rented home,Left
PROLIFIC_6a01d315cd2cd32b1511e127,2003,Generation Z,Male,France,Western Europe,Small city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_6a1836e6fc7d5c0c2643e609,2004,Generation Z,Female,Belgium,Western Europe,Large city,Temperate climate,Student,Non-university education,Yes,Household with children,Homeowner with mortgage,Right
PROLIFIC_6a07020572ab3b4d691a391c,1991,Millennials,Female,United Kingdom,Northern Europe,Village or rural area,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Far left
PROLIFIC_6a1eba8c12fabb0fa7678822,1998,Millennials,Female,United Kingdom,Northern Europe,Metropolis,Temperate climate,Unemployed,University education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_6a0dbd152f8b5e278c18f1c2,2002,Generation Z,Female,Italy,Southern Europe,Town,Warm/Mediterranean climate,Student,University education,Yes,Couple without children,Homeowner without mortgage,Right
179,1965,Boomers + Silent Generation,Female,Netherlands,Western Europe,Small city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Centre
180,1978,Generation X,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Far left
181,1959,Boomers + Silent Generation,Male,Netherlands,Western Europe,Small town,Temperate climate,Other inactive status,University education,NA,Couple without children,Homeowner without mortgage,Centre
182,1952,Boomers + Silent Generation,Male,Netherlands,Western Europe,Town,Temperate climate,Other inactive status,University education,Yes,Couple without children,Homeowner with mortgage,NA
183,1976,Generation X,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,No,Living alone,Rented home,Far left
184,1986,Millennials,Female,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Left
185,1961,Boomers + Silent Generation,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
186,1969,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner with mortgage,Far left
187,1998,Millennials,Female,Netherlands,Western Europe,Large city,Temperate climate,Employed,University education,Yes,Couple without children,Other tenure status,Far left
188,1981,Generation X,Male,Spain,Southern Europe,Small city,Temperate climate,Employed,University education,No,Household with children,Other tenure status,Far left
189,1956,Boomers + Silent Generation,Other / Prefer not to say,Netherlands,Western Europe,Small town,Temperate climate,Other inactive status,University education,Yes,Couple without children,Homeowner with mortgage,Left
190,1955,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,Yes,Couple without children,Homeowner without mortgage,Left
191,1984,Generation X,Male,Spain,Southern Europe,Small city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
192,1979,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Living alone,Homeowner with mortgage,Left
193,1988,Millennials,Female,Netherlands,Western Europe,Large city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
194,1973,Generation X,Male,Netherlands,Western Europe,Large city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
195,1979,Generation X,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,Non-university education,Yes,Household with children,Homeowner with mortgage,Far left
196,NA,NA,Male,Netherlands,Western Europe,Large city,Temperate climate,Other inactive status,University education,Yes,Living alone,Homeowner with mortgage,Far left
197,1962,Boomers + Silent Generation,Female,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Other inactive status,Non-university education,No,Couple without children,Homeowner without mortgage,Left
199,1979,Generation X,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Far left
200,1973,Generation X,Male,Spain,Southern Europe,Village or rural area,Temperate climate,Employed,Non-university education,No,Other household type,Other tenure status,Far left
201,1957,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
202,1990,Millennials,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner with mortgage,Left
203,1982,Generation X,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Living alone,Rented home,Far left
204,1953,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,No,Living alone,Rented home,Far left
205,1969,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Centre
206,1964,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Temperate climate,Other inactive status,University education,No,Household with children,Homeowner without mortgage,Left
207,1972,Generation X,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Rented home,Far left
209,1985,Generation X,Female,Spain,Southern Europe,Village or rural area,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Left
210,1977,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
211,1965,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Far left
212,1961,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
213,1979,Generation X,Female,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
214,1965,Boomers + Silent Generation,Male,NA,NA,Village or rural area,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
215,1973,Generation X,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Rented home,Far left
216,1981,Generation X,Male,Spain,Southern Europe,Small town,Cold/Polar climate,Employed,University education,No,Living alone,Homeowner without mortgage,Left
217,1960,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Far left
218,1986,Millennials,Female,Spain,Southern Europe,Town,Cold/Polar climate,Employed,University education,No,Household with children,Homeowner without mortgage,Far left
219,1967,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Centre
220,1979,Generation X,NA,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
221,1968,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
222,1984,Generation X,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,No,Living alone,Homeowner with mortgage,Left
223,1985,Generation X,Male,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Far left
224,1967,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Far left
225,1977,Generation X,Female,Spain,Southern Europe,Small town,Cold/Polar climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Far left
226,1965,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
227,1966,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,No,Living alone,Homeowner without mortgage,Left
228,1982,Generation X,Male,Spain,Southern Europe,Medium-sized city,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Far left
229,1977,Generation X,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Left
230,1965,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,No,Living alone,Homeowner without mortgage,NA
231,1988,Millennials,Female,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
232,1993,Millennials,Male,Spain,Southern Europe,Small city,Cold/Polar climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Far left
233,1967,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,No,Living alone,Homeowner with mortgage,Far left
234,1970,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,Far left
235,1973,Generation X,Female,Spain,Southern Europe,Medium-sized city,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Far left
236,1977,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Left
237,1967,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Cold/Polar climate,Employed,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left
238,1963,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Far left
239,1950,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,Non-university education,No,Couple without children,Homeowner without mortgage,Left
240,1978,Generation X,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Far left
241,1970,Boomers + Silent Generation,Female,Spain,Southern Europe,Village or rural area,Temperate climate,Employed,University education,No,Couple without children,Other tenure status,Far left
242,1996,Millennials,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Far left
243,1983,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
244,1969,Boomers + Silent Generation,Female,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Far left
245,1962,Boomers + Silent Generation,Female,Spain,Southern Europe,Town,Warm/Mediterranean climate,Other inactive status,University education,No,Household with children,Homeowner without mortgage,Far right
246,1957,Boomers + Silent Generation,Female,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner with mortgage,Left
247,1971,Generation X,Female,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
248,1972,Generation X,Female,Spain,Southern Europe,Large city,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Far left
249,1976,Generation X,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Far left
250,1959,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
251,1958,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Temperate climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Far left
252,1964,Boomers + Silent Generation,Male,NA,NA,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Far left
253,1962,Boomers + Silent Generation,Female,NA,NA,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,Yes,Household with children,Homeowner without mortgage,Left
254,1974,Generation X,Female,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Other inactive status,Non-university education,No,Household with children,Homeowner with mortgage,Left
255,1956,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
256,1949,Boomers + Silent Generation,Male,NA,NA,Village or rural area,Temperate climate,Other inactive status,University education,Yes,Couple without children,Homeowner without mortgage,Far left
257,1981,Generation X,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,Non-university education,Yes,Living alone,Homeowner without mortgage,Left
258,1969,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Far left
259,1966,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Temperate climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,Far left
PROLIFIC_qwertyuiop,1945,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Other inactive status,Non-university education,No,Living alone,Homeowner without mortgage,Far left
261,1965,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Left
262,1972,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Left
263,1962,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,Left
264,1979,Generation X,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Left
265,1969,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Left
266,1974,Generation X,Male,NA,NA,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
267,1963,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Left
268,1967,Boomers + Silent Generation,Female,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,Yes,Living alone,Homeowner without mortgage,Far left
269,1969,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
270,1958,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,Yes,Household with children,Homeowner without mortgage,Left
272,1973,Generation X,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Left
274,1963,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Other tenure status,Left
275,1991,Millennials,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Far left
276,1959,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Temperate climate,Other inactive status,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left
277,1977,Generation X,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
278,1946,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,NA,Shared household,Rented home,Left
279,1958,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Other inactive status,University education,NA,Living alone,Homeowner without mortgage,Left
280,1959,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,NA,Couple without children,Homeowner without mortgage,Left
281,1966,Boomers + Silent Generation,Female,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Centre
282,1963,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Far left
283,1985,Generation X,Male,Spain,Southern Europe,Small city,Temperate climate,Unemployed,Non-university education,No,Living alone,NA,Far left
284,1961,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
285,1961,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
286,1956,Boomers + Silent Generation,Male,NA,NA,Small city,Temperate climate,Other inactive status,University education,NA,Couple without children,Homeowner without mortgage,Far left
287,1990,Millennials,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Left
288,1973,Generation X,Female,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Left
289,1982,Generation X,Female,Spain,Southern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Far left
290,1990,Millennials,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Left
291,1964,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
292,1980,Generation X,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
293,1980,Generation X,Male,Spain,Southern Europe,Small city,Temperate climate,Employed,University education,Yes,NA,Homeowner without mortgage,Far left
294,1973,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
295,1977,Generation X,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
296,1972,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
297,1981,Generation X,Male,Spain,Southern Europe,Small city,Temperate climate,Employed,Non-university education,No,Household with children,Other tenure status,Far left
298,1979,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Far left
299,1967,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Right
300,1968,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Left
301,1968,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,No,Living alone,Homeowner with mortgage,Left
302,1949,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Temperate climate,Other inactive status,University education,Yes,Living alone,Homeowner without mortgage,Left
303,1961,Boomers + Silent Generation,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,NA
304,1985,Generation X,Male,Spain,Southern Europe,Small city,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Far left
305,1947,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Left
306,1971,Generation X,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Far left
307,1968,Boomers + Silent Generation,Female,Spain,Southern Europe,Large city,Temperate climate,Employed,University education,No,Living alone,Homeowner without mortgage,Far left
308,1961,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Temperate climate,Employed,University education,No,Living alone,Homeowner without mortgage,Far left
309,1971,Generation X,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
310,1981,Generation X,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Centre
311,1988,Millennials,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Left
312,1960,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Other inactive status,University education,No,Living alone,Homeowner with mortgage,Far left
313,1963,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,Far left
314,1970,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
315,1972,Generation X,Female,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
316,1970,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Far left
317,1993,Millennials,Female,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Far left
318,1983,Generation X,Female,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Living alone,Other tenure status,Far left
319,1971,Generation X,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,NA,No,Household with children,Homeowner with mortgage,Left
320,1966,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
321,1990,Millennials,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Left
322,1953,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Temperate climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Far left
323,1958,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Other inactive status,Non-university education,NA,Couple without children,Homeowner without mortgage,Left
324,1965,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Right
325,1977,Generation X,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
326,1977,Generation X,Female,Spain,Southern Europe,Small city,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,NA
327,1962,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Temperate climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Far left
328,1981,Generation X,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
329,1967,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Left
330,1992,Millennials,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
331,1989,Millennials,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Right
332,1975,Generation X,Female,Spain,Southern Europe,Large city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
333,1975,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Far left
334,1957,Boomers + Silent Generation,Female,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,NA,Couple without children,Homeowner with mortgage,Far left
335,1964,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left
336,1982,Generation X,Male,Spain,Southern Europe,Village or rural area,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner with mortgage,Far left
337,1977,Generation X,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Left
338,1969,Boomers + Silent Generation,Male,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,Non-university education,No,Living alone,Homeowner without mortgage,Far left
339,1950,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Other inactive status,University education,No,Couple without children,Homeowner without mortgage,Far left
340,1985,Generation X,Other / Prefer not to say,Spain,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,Far left
341,1956,Boomers + Silent Generation,Male,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Other inactive status,University education,No,Living alone,Homeowner without mortgage,Far left
342,1975,Generation X,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Far left
343,1983,Generation X,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Far left
344,1968,Boomers + Silent Generation,Male,Spain,Southern Europe,Small town,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Far left
345,1964,Boomers + Silent Generation,Male,Spain,Southern Europe,Small city,Warm/Mediterranean climate,Employed,Non-university education,No,Couple without children,Homeowner without mortgage,NA
346,1984,Generation X,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,No,Couple without children,Homeowner with mortgage,Left
347,1968,Boomers + Silent Generation,Female,Spain,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
348,1989,Millennials,Male,Spain,Southern Europe,Village or rural area,Temperate climate,Unemployed,Non-university education,Yes,Couple without children,Homeowner without mortgage,Far left
349,NA,NA,NA,Spain,Southern Europe,Town,Temperate climate,Other inactive status,University education,Yes,Couple without children,Homeowner without mortgage,Left
350,1975,Generation X,Female,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
351,1987,Millennials,Male,Spain,Southern Europe,Town,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Far left
352,1963,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Temperate climate,Other inactive status,University education,Yes,Household with children,Homeowner without mortgage,Far left
353,1968,Boomers + Silent Generation,Male,Spain,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Far left
