analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance
LATAM,matrix_32_raw_0_1,5,100,100,0,0,608,265.79,0.03258693240714046,0.001485914494434483,0.6938172833958007,0.02675647201119121,0.08045381004627325,0.0033646814995882796,-507.31945350132304,114.32325877898133,0.1556121287680852,NA,0.8443878712319148,NA
LATAM,matrix_32_raw_0_1,6,100,100,0,0,608,265.79,0.028818421800518603,0.0013624678824319509,0.7199413858824668,0.027585041093556098,0.07687191383737323,0.003575655670092482,-576.7464775725456,106.58632813630699,0.1449895704301894,NA,0.8550104295698105,NA
LATAM,matrix_32_raw_0_1,7,100,100,0,0,608,265.79,0.025566924903796348,0.0012484689177365187,0.744673410118427,0.027155995034383044,0.07333953037987821,0.003699089918754282,-624.1045563470702,97.16432324212364,0.14605891292689255,NA,0.8539410870731075,NA
LATAM,matrix_32_raw_0_1,8,100,100,0,0,608,265.79,0.0226401113368061,0.0011312907021635572,0.767327684753705,0.025578585259835432,0.06995975862362958,0.003688106457882458,-649.7832600720462,84.56881949618145,0.1461976881793938,NA,0.8538023118206062,NA
LATAM,matrix_32_z_abs,2,100,100,0,0,608,265.79,0.048141899281392626,0.0016839206368967903,0.5384180203191734,0.030316337398840983,0.07774695716036796,0.003065922296167407,-748.1197061584437,126.34956261981606,0.3923726338695212,NA,0.6076273661304789,NA
LATAM,matrix_32_z_abs,3,100,100,0,0,608,265.79,0.041553935671460936,0.0014617707846867089,0.5952555739786936,0.02997474374784877,0.07274183749514995,0.003071417936586761,-880.8343617826423,110.23374628953171,0.300364214534511,NA,0.699635785465489,NA
LATAM,matrix_32_z_abs,4,100,100,0,0,608,265.79,0.037037978967405,0.0012701296435601388,0.6271006134714968,0.03066964277675516,0.06975776053909209,0.003035451888073383,-914.1925508742329,96.77272059620567,0.22245676878321122,NA,0.7775432312167888,NA
LATAM,matrix_32_z_abs,5,100,100,0,0,608,265.79,0.03321786945704699,0.0012039270283760012,0.6542126808508295,0.030397874130923767,0.06712339110213682,0.0031134642238512863,-921.5081840817808,88.30609122707293,0.18832048751170372,NA,0.8116795124882963,NA
LATAM,matrix_32_z_abs,6,100,100,0,0,608,265.79,0.029874666186047488,0.001114442022324357,0.6786326073175929,0.029518412589268902,0.06466508015688799,0.0031821678296789033,-912.3515293649845,80.51544788497318,0.1715570348970939,NA,0.828442965102906,NA
LATAM,matrix_32_z_abs,7,100,100,1,0,608,265.79,0.026887147166682043,0.0010171646679427988,0.7017449686880032,0.028577293193786327,0.06225494646544829,0.003281107807799726,-892.3710320968027,73.8125832849941,0.1612647612900579,NA,0.838735238709942,NA
LATAM,matrix_32_z_abs,8,100,100,2,0,608,265.79,0.02420919828223549,9.307227473752258e-4,0.7231085222283952,0.027985887533761755,0.05993835535434552,0.003342068195441804,-862.289898491617,66.4002082803965,0.15188429684560348,NA,0.8481157031543965,NA
