analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
LATAM,matrix_32_ext_0_1,3,det_21_rights_and_duties,0.39928244050918016,0.12699473779699305,0.3938708991834897,21.08,0.98,0.69,0.49
LATAM,matrix_32_ext_0_1,3,det_08_trust,0.3908530285705879,0.08452793743019199,0.3835343873789206,22.36,1,0.87,0.43
LATAM,matrix_32_ext_0_1,3,det_07_legal,0.38342453138691235,0.09393940268699681,0.3784140597224757,22.36,1,0.76,0.45
LATAM,matrix_32_ext_0_1,3,det_02_credit_score,0.37909515963392765,0.06683414308528636,0.3820944753440335,23.21,1,0.9,0.36
LATAM,matrix_32_ext_0_1,3,det_27_fun,0.36337003951548336,0.044614822006792676,0.36036382950476137,24.39,1,0.96,0.21
LATAM,matrix_32_ext_0_1,3,det_05_frugality,0.3550637473005696,0.08551864563387034,0.345872075217299,24.48,1,0.73,0.25
LATAM,matrix_32_ext_0_1,3,det_23_support,0.3500988348783816,0.07922747546773459,0.3486262689666543,25.23,1,0.68,0.24
LATAM,matrix_32_ext_0_1,3,det_25_agreement,0.31160217316457367,0.042691085788951075,0.30626198794195036,28.15,1,0.55,0.04
LATAM,matrix_32_ext_0_1,3,det_32_own_significance,0.3010600605006404,0.053730006096710616,0.29450006512844173,28.36,0.99,0.43,0.05
LATAM,matrix_32_ext_0_1,3,det_26_novelty,0.2999847639459678,0.07966788310327749,0.28558140968485934,28,0.96,0.44,0.11
LATAM,matrix_32_ext_0_1,4,det_24_socialising,0.7174538772631935,0.03194666063296727,0.7187753128183756,2.48,1,1,1
LATAM,matrix_32_ext_0_1,4,det_28_recognition,0.7119682802245977,0.03415914714318384,0.7109422691141394,2.69,1,1,1
LATAM,matrix_32_ext_0_1,4,det_06_climate_protection,0.6959317298126801,0.06820388333794938,0.7072527313089081,3.71,1,1,1
LATAM,matrix_32_ext_0_1,4,det_31_approval,0.6690140410114979,0.0430546108887662,0.6749560866536632,4.84,1,1,1
LATAM,matrix_32_ext_0_1,4,det_19_wellbeing,0.6600016918713187,0.0764454292250436,0.6751952954421707,5.33,1,1,0.99
LATAM,matrix_32_ext_0_1,4,det_30_authority,0.6464086827515672,0.03497754123278372,0.6450186789375809,5.81,1,1,1
LATAM,matrix_32_ext_0_1,4,det_20_coziness,0.6041129049721301,0.07514783017865599,0.6133934013063553,8.41,1,1,0.98
LATAM,matrix_32_ext_0_1,4,det_29_trends,0.5575346049220553,0.04148260603353889,0.5551537631104377,10.59,1,1,1
LATAM,matrix_32_ext_0_1,4,det_22_peer_pressure,0.5337594722006648,0.04568302536679449,0.5312115206872495,12.1,1,1,1
LATAM,matrix_32_ext_0_1,4,det_14_environmental_concerns,0.5198011945462404,0.11428405648116095,0.5208041041395165,13.54,1,0.97,0.82
LATAM,matrix_32_ext_0_1,4,det_16_commitment,0.5183702485446793,0.08665350027884372,0.5285526117380448,13.03,1,0.99,0.89
LATAM,matrix_32_ext_0_1,4,det_15_self_satisfaction,0.5128118405055956,0.09627261737366208,0.5073589927746351,13.33,1,1,0.87
LATAM,matrix_32_ext_0_1,4,det_09_safety,0.4991196278076122,0.09389239993318703,0.5040704866013151,14.49,1,1,0.83
LATAM,matrix_32_ext_0_1,4,det_12_own_competence,0.4846819131938236,0.0798759448811407,0.4963419266317094,15.34,1,0.99,0.84
LATAM,matrix_32_ext_0_1,4,det_04_added_value,0.4703882692934828,0.071263312360703407,0.4674630488750722,16.58,1,1,0.85
LATAM,matrix_32_ext_0_1,4,det_10_cost_efficiency,0.45762586522489074,0.10718948140703749,0.45582300341806015,17.39,1,0.93,0.65
LATAM,matrix_32_ext_0_1,4,det_11_knowledge,0.4458717750916772,0.08112884204168141,0.44356954378611907,18.24,1,0.97,0.73
LATAM,matrix_32_ext_0_1,4,det_01_profits,0.4379086571204777,0.09068643976260544,0.4315423165378005,18.42,1,0.93,0.64
LATAM,matrix_32_ext_0_1,4,det_03_risk_profile,0.43413149046418537,0.08354142340332892,0.43395954837882605,19.29,1,0.95,0.65
LATAM,matrix_32_ext_0_1,4,det_08_trust,0.41978386091338366,0.08725024416045027,0.4150947987853091,19.83,1,0.92,0.53
LATAM,matrix_32_ext_0_1,4,det_21_rights_and_duties,0.41760497287915527,0.08367818389020193,0.4134996474543545,19.79,1,0.9,0.56
LATAM,matrix_32_ext_0_1,4,det_13_technical_fit,0.41566967489349677,0.08804671584322797,0.4112539775827795,20.45,1,0.91,0.54
LATAM,matrix_32_ext_0_1,4,det_18_autonomy,0.400753821225785,0.08806931818236453,0.3862989198284488,21.28,1,0.88,0.45
LATAM,matrix_32_ext_0_1,4,det_07_legal,0.3634849385355705,0.07094246804806456,0.3553345551308128,23.75,1,0.77,0.26
LATAM,matrix_32_ext_0_1,4,det_17_adherence,0.3606790200618238,0.07075916685930717,0.3509106423474958,24.42,1,0.76,0.28
LATAM,matrix_32_ext_0_1,4,det_23_support,0.3606656195684545,0.07435610204295633,0.34894019746835653,24.11,1,0.79,0.32
LATAM,matrix_32_ext_0_1,4,det_27_fun,0.3554694970950464,0.04448587648175682,0.35151456185160357,24.6,1,0.91,0.17
LATAM,matrix_32_ext_0_1,4,det_05_frugality,0.3517383894957343,0.07882670314717194,0.35250031229129763,24.48,0.97,0.73,0.22
LATAM,matrix_32_ext_0_1,4,det_02_credit_score,0.3499677884018756,0.07610239950427722,0.3572047504866965,24.63,0.99,0.69,0.28
LATAM,matrix_32_ext_0_1,4,det_26_novelty,0.3168933997387903,0.06562077502203852,0.3110637625395839,27.16,0.99,0.57,0.1
LATAM,matrix_32_ext_0_1,4,det_25_agreement,0.30013616035759066,0.04696372548148155,0.29805557127086435,28.5,1,0.47,0.02
LATAM,matrix_32_ext_0_1,4,det_32_own_significance,0.27702503373055254,0.058912518499740885,0.2727255329279668,29.39,0.91,0.34,0.02
LATAM,matrix_32_ext_0_1,5,det_24_socialising,0.7176106764303994,0.03264072632081775,0.7190969712364282,3.05,1,1,1
LATAM,matrix_32_ext_0_1,5,det_28_recognition,0.7117719840803112,0.03506111914632053,0.7081904180415755,3.23,1,1,1
LATAM,matrix_32_ext_0_1,5,det_19_wellbeing,0.6990949723145985,0.0802573739928732,0.7111100495870463,4.08,1,1,1
LATAM,matrix_32_ext_0_1,5,det_06_climate_protection,0.6913594489747287,0.07302708850151196,0.702000591591542,4.29,1,1,0.99
LATAM,matrix_32_ext_0_1,5,det_31_approval,0.6732490753783967,0.04014822544018469,0.6771194296656289,5.12,1,1,1
LATAM,matrix_32_ext_0_1,5,det_20_coziness,0.6553450619014777,0.0895049710609975,0.6724309827599054,6.15,1,1,0.99
LATAM,matrix_32_ext_0_1,5,det_30_authority,0.6367945743318878,0.036155578536734644,0.6355225396822866,6.85,1,1,1
LATAM,matrix_32_ext_0_1,5,det_29_trends,0.5617935408124524,0.04023748517268821,0.5614145551484162,10.57,1,1,1
LATAM,matrix_32_ext_0_1,5,det_14_environmental_concerns,0.5454748273539923,0.11060376976619521,0.5553244562093265,11.96,1,0.99,0.87
LATAM,matrix_32_ext_0_1,5,det_22_peer_pressure,0.5225866121661872,0.046677719031698275,0.5214470303669658,12.64,1,1,1
LATAM,matrix_32_ext_0_1,5,det_09_safety,0.5145292251807274,0.11508673927396953,0.49781340600099966,13.48,1,0.99,0.81
LATAM,matrix_32_ext_0_1,5,det_10_cost_efficiency,0.4971730259636613,0.1030962037357923,0.5047936831176386,14.71,1,0.97,0.82
LATAM,matrix_32_ext_0_1,5,det_16_commitment,0.4834339843392507,0.1029564266694773,0.4858028715620122,15.5,1,0.97,0.78
LATAM,matrix_32_ext_0_1,5,det_04_added_value,0.48312929434336566,0.08251602758073694,0.4744327163784209,14.9,1,1,0.88
LATAM,matrix_32_ext_0_1,5,det_11_knowledge,0.46074752779813727,0.11154773882777272,0.4635276393435662,16.79,1,0.94,0.65
LATAM,matrix_32_ext_0_1,5,det_12_own_competence,0.45401658678741935,0.07756118510993089,0.4518700743955956,16.86,1,0.99,0.77
LATAM,matrix_32_ext_0_1,5,det_15_self_satisfaction,0.4442592099166502,0.0775933204354333,0.4398013750200863,17.81,1,0.98,0.63
LATAM,matrix_32_ext_0_1,5,det_13_technical_fit,0.43832974568681315,0.10105237176636331,0.4447959335392166,18.42,1,0.9,0.65
LATAM,matrix_32_ext_0_1,5,det_03_risk_profile,0.42991357489690013,0.0989651205287509,0.42633962390889796,18.91,1,0.91,0.58
LATAM,matrix_32_ext_0_1,5,det_21_rights_and_duties,0.4160851079879084,0.09317993835999258,0.40769404364946943,19.62,0.99,0.88,0.54
LATAM,matrix_32_ext_0_1,5,det_08_trust,0.3999666061986821,0.08952723549026574,0.37812813043478133,20.89,1,0.88,0.43
LATAM,matrix_32_ext_0_1,5,det_01_profits,0.39572952235299025,0.09633725009990077,0.37622755482061293,21.13,1,0.86,0.38
LATAM,matrix_32_ext_0_1,5,det_07_legal,0.36773749098995406,0.07966142932102072,0.3586680421389095,23.27,1,0.74,0.32
LATAM,matrix_32_ext_0_1,5,det_18_autonomy,0.3677170563015912,0.08393831566453612,0.35248439244721436,23,1,0.75,0.36
LATAM,matrix_32_ext_0_1,5,det_27_fun,0.36072514745109396,0.04646010253854772,0.35679059906471466,23.56,1,0.91,0.19
LATAM,matrix_32_ext_0_1,5,det_17_adherence,0.35701509890354194,0.0756111081155737,0.3538185250247943,23.64,1,0.75,0.29
LATAM,matrix_32_ext_0_1,5,det_23_support,0.343946612799875,0.06915343512866207,0.33307287643298755,24.47,1,0.71,0.23
LATAM,matrix_32_ext_0_1,5,det_05_frugality,0.3401249702058612,0.07938856752967222,0.3239646805516284,24.88,0.99,0.63,0.18
LATAM,matrix_32_ext_0_1,5,det_02_credit_score,0.3217210293028746,0.07069886872939876,0.3078530515499294,26.05,0.98,0.57,0.19
LATAM,matrix_32_ext_0_1,5,det_32_own_significance,0.31233072221677693,0.09331634093363658,0.29868545374555155,26.61,0.95,0.47,0.17
LATAM,matrix_32_ext_0_1,5,det_25_agreement,0.3007669843606206,0.04590580750563595,0.29962908064674787,27.66,1,0.49,0.01
LATAM,matrix_32_ext_0_1,5,det_26_novelty,0.29786736157736843,0.06444644001108171,0.2917635128236486,27.9,0.97,0.47,0.04
LATAM,matrix_32_ext_0_1,6,det_28_recognition,0.7184519771572544,0.039330267248177134,0.7196502898799679,3.33,1,1,1
LATAM,matrix_32_ext_0_1,6,det_24_socialising,0.7133155741610752,0.03475971163586913,0.7164047863243208,3.3,1,1,1
LATAM,matrix_32_ext_0_1,6,det_20_coziness,0.7113534285132262,0.07999074388606663,0.7155686528530758,4.12,1,1,1
LATAM,matrix_32_ext_0_1,6,det_19_wellbeing,0.6880016914744912,0.09755724262475945,0.7037917866677732,4.89,1,1,0.99
LATAM,matrix_32_ext_0_1,6,det_06_climate_protection,0.684881646969543,0.07393594731813259,0.6999489773627613,5,1,1,1
LATAM,matrix_32_ext_0_1,6,det_31_approval,0.6768495099649385,0.04428299192877669,0.6796554312736987,5.22,1,1,1
LATAM,matrix_32_ext_0_1,6,det_30_authority,0.6292027496309202,0.044830684111840435,0.6329728777169779,7.17,1,1,1
LATAM,matrix_32_ext_0_1,6,det_14_environmental_concerns,0.5605089272293494,0.10125568673039433,0.5668799559593705,11.06,1,1,0.95
LATAM,matrix_32_ext_0_1,6,det_29_trends,0.5530714972663844,0.0475244864331259,0.5570460101779285,11.21,1,1,0.99
LATAM,matrix_32_ext_0_1,6,det_22_peer_pressure,0.5145875081628697,0.05031938596783967,0.5176863912798562,13.24,1,1,0.99
LATAM,matrix_32_ext_0_1,6,det_09_safety,0.5075105575632424,0.10120680690138219,0.49925308584181133,13.5,1,0.99,0.85
LATAM,matrix_32_ext_0_1,6,det_04_added_value,0.49871130042748407,0.08145385776876098,0.4846532220933191,14.11,1,0.99,0.93
LATAM,matrix_32_ext_0_1,6,det_10_cost_efficiency,0.4914343689374158,0.10099186713023679,0.48114030059164375,14.8,1,0.98,0.86
LATAM,matrix_32_ext_0_1,6,det_11_knowledge,0.47753573002114924,0.11615285478571208,0.47128462269296023,15.63,1,0.93,0.69
LATAM,matrix_32_ext_0_1,6,det_16_commitment,0.4674776399246016,0.10877458931343557,0.4587654332008766,16.39,1,0.96,0.66
LATAM,matrix_32_ext_0_1,6,det_12_own_competence,0.4471253262356593,0.10246166707394634,0.4489289152494807,17.38,1,0.91,0.65
LATAM,matrix_32_ext_0_1,6,det_13_technical_fit,0.4414488172899008,0.10964453421849067,0.43174614115085663,18.09,1,0.9,0.6
LATAM,matrix_32_ext_0_1,6,det_03_risk_profile,0.4221388425325779,0.09641616481858943,0.4084298143402718,19.04,1,0.87,0.53
LATAM,matrix_32_ext_0_1,6,det_21_rights_and_duties,0.41896475806542677,0.10070304080952545,0.41511052899200906,19.43,1,0.88,0.55
LATAM,matrix_32_ext_0_1,6,det_15_self_satisfaction,0.41092361031704755,0.07443016725975223,0.40427697924380035,19.61,1,0.95,0.53
LATAM,matrix_32_ext_0_1,6,det_01_profits,0.40804081243660417,0.11176910854375738,0.38772208660224816,20.39,1,0.88,0.41
LATAM,matrix_32_ext_0_1,6,det_07_legal,0.38409837179856776,0.09293595073853349,0.36895211464620425,21.9,1,0.77,0.38
LATAM,matrix_32_ext_0_1,6,det_08_trust,0.37592454451619745,0.0896520983890955,0.3600128114962734,22.03,1,0.8,0.38
LATAM,matrix_32_ext_0_1,6,det_18_autonomy,0.35828091575411114,0.09052826586850293,0.34252070295949033,23.23,1,0.71,0.31
LATAM,matrix_32_ext_0_1,6,det_17_adherence,0.3576132748413587,0.08003374620733464,0.3408932128132335,23.74,1,0.74,0.32
LATAM,matrix_32_ext_0_1,6,det_27_fun,0.356892568793924,0.04838846329176265,0.3490973534598931,23.47,1,0.88,0.23
LATAM,matrix_32_ext_0_1,6,det_23_support,0.3475568715811224,0.0759647243516144,0.33489420559894234,24.09,0.99,0.71,0.19
LATAM,matrix_32_ext_0_1,6,det_05_frugality,0.3386471973211311,0.0773177316347585,0.33434709290398745,24.59,0.99,0.64,0.2
LATAM,matrix_32_ext_0_1,6,det_02_credit_score,0.32040331479494855,0.07306742536917743,0.30850318440812086,25.84,0.98,0.59,0.15
LATAM,matrix_32_ext_0_1,6,det_32_own_significance,0.30970935023869894,0.08119857556856618,0.29697089578725844,26.58,0.95,0.47,0.12
LATAM,matrix_32_ext_0_1,6,det_26_novelty,0.2980505022392083,0.06041340982959827,0.2973404542893373,27.58,0.96,0.5,0.04
LATAM,matrix_32_ext_0_1,6,det_25_agreement,0.29425871905519957,0.046987073829859144,0.2901550402594205,28.04,1,0.44,0.01
LATAM,matrix_32_ext_0_1,7,det_28_recognition,0.7349673483010426,0.050450287414605804,0.7305023107869528,3.16,1,1,1
LATAM,matrix_32_ext_0_1,7,det_20_coziness,0.7306633066286261,0.07874386402493373,0.7281990336564816,3.52,1,1,1
LATAM,matrix_32_ext_0_1,7,det_24_socialising,0.6950003654316108,0.05514091474579093,0.7046245098469226,4.39,1,1,0.99
LATAM,matrix_32_ext_0_1,7,det_06_climate_protection,0.6836043784079939,0.07983615233180927,0.6902563233817689,5.1,1,1,1
LATAM,matrix_32_ext_0_1,7,det_31_approval,0.6816246502032808,0.05456803969135946,0.6835740888927628,5.28,1,1,1
LATAM,matrix_32_ext_0_1,7,det_19_wellbeing,0.6809216614251202,0.09649554653603687,0.6970257128665605,5.36,1,1,0.98
LATAM,matrix_32_ext_0_1,7,det_30_authority,0.60253624226414,0.06905267597242389,0.6147852097751513,8.64,1,1,0.98
LATAM,matrix_32_ext_0_1,7,det_14_environmental_concerns,0.5558734137876141,0.09410192230139777,0.5447591856512897,11.05,1,1,0.98
LATAM,matrix_32_ext_0_1,7,det_29_trends,0.529991840389781,0.07384932427538601,0.5404644316091001,12.35,1,1,0.97
LATAM,matrix_32_ext_0_1,7,det_04_added_value,0.5207641641904552,0.0894799733833732,0.5194359502353525,12.81,1,1,0.93
LATAM,matrix_32_ext_0_1,7,det_09_safety,0.5141931260922812,0.11820898811297927,0.47179961434343176,13.36,1,1,0.86
LATAM,matrix_32_ext_0_1,7,det_22_peer_pressure,0.49703052836315703,0.06047859055017231,0.5021596576397558,14.24,1,1,0.92
LATAM,matrix_32_ext_0_1,7,det_11_knowledge,0.48497228349174776,0.12086605857935218,0.4863077283099405,15.42,1,0.96,0.72
LATAM,matrix_32_ext_0_1,7,det_10_cost_efficiency,0.46653322185270685,0.10196748955156512,0.4437784614297058,16.36,1,0.99,0.7
LATAM,matrix_32_ext_0_1,7,det_16_commitment,0.46390363664366274,0.110496536890635,0.4512881982389514,16.39,1,0.97,0.64
LATAM,matrix_32_ext_0_1,7,det_13_technical_fit,0.45980384800732294,0.11600234900820872,0.4591619279402831,17.05,1,0.91,0.66
LATAM,matrix_32_ext_0_1,7,det_01_profits,0.45353699547489035,0.1408953856639429,0.4152287310952921,17.87,1,0.91,0.55
LATAM,matrix_32_ext_0_1,7,det_12_own_competence,0.4256980132820241,0.09843076656346643,0.4289888953798408,18.56,1,0.93,0.57
LATAM,matrix_32_ext_0_1,7,det_07_legal,0.4234293799109562,0.13911068878522773,0.3738319795888188,19.42,1,0.84,0.42
LATAM,matrix_32_ext_0_1,7,det_21_rights_and_duties,0.42164729932664835,0.11260159186963614,0.4119792309410235,19.35,1,0.86,0.52
LATAM,matrix_32_ext_0_1,7,det_15_self_satisfaction,0.38795045723249116,0.08342307814187598,0.37433132792036744,21.36,1,0.84,0.42
LATAM,matrix_32_ext_0_1,7,det_03_risk_profile,0.38448603325936825,0.08481789762238857,0.36546809204080366,21.66,1,0.88,0.39
LATAM,matrix_32_ext_0_1,7,det_08_trust,0.3794682622052863,0.11916768673718411,0.34155028725223846,22.22,0.99,0.76,0.36
LATAM,matrix_32_ext_0_1,7,det_18_autonomy,0.36813214302171793,0.11266305864681771,0.35197773440116087,22.69,0.99,0.73,0.31
LATAM,matrix_32_ext_0_1,7,det_17_adherence,0.35780964899707635,0.08517703321803251,0.34393756090443595,23.64,1,0.71,0.26
LATAM,matrix_32_ext_0_1,7,det_05_frugality,0.3527065095063118,0.08423140206950447,0.33633114455414015,23.81,1,0.66,0.28
LATAM,matrix_32_ext_0_1,7,det_27_fun,0.3493303178123411,0.04874819253398743,0.341687140629061,23.88,1,0.85,0.19
LATAM,matrix_32_ext_0_1,7,det_23_support,0.34559626812284133,0.06709002364472061,0.3314278653923396,24.25,1,0.71,0.2
LATAM,matrix_32_ext_0_1,7,det_02_credit_score,0.32884254785459666,0.08192116658555042,0.31606964637467105,25.09,0.98,0.59,0.2
LATAM,matrix_32_ext_0_1,7,det_32_own_significance,0.31951033536128415,0.08664775976660775,0.30758552296209596,26.09,0.96,0.53,0.13
LATAM,matrix_32_ext_0_1,7,det_25_agreement,0.3118131084657848,0.07310377418727217,0.3022237762855599,26.55,0.97,0.52,0.07
LATAM,matrix_32_ext_0_1,7,det_26_novelty,0.30199309975646965,0.0674593132864029,0.2995091673092757,27.08,0.97,0.49,0.08
LATAM,matrix_32_ext_0_1,8,det_28_recognition,0.7474634025789934,0.055257349768719856,0.7433196466710239,3.07,1,1,1
LATAM,matrix_32_ext_0_1,8,det_20_coziness,0.7384690662592941,0.08127628324808212,0.7414560602899775,3.49,1,1,1
LATAM,matrix_32_ext_0_1,8,det_31_approval,0.6773555139979475,0.06982756237451454,0.685986840218237,5.55,1,1,1
LATAM,matrix_32_ext_0_1,8,det_24_socialising,0.6745029323833377,0.06682776454713919,0.6827037744616804,5.62,1,1,0.99
LATAM,matrix_32_ext_0_1,8,det_06_climate_protection,0.6728946697480421,0.0956557051357119,0.6854805507368886,5.96,1,1,0.99
LATAM,matrix_32_ext_0_1,8,det_19_wellbeing,0.6695412807079654,0.10431645614223214,0.6743530469082806,6.48,1,1,0.98
LATAM,matrix_32_ext_0_1,8,det_30_authority,0.5691955634581748,0.08306475998449907,0.5835211987745015,10.51,1,1,0.98
LATAM,matrix_32_ext_0_1,8,det_14_environmental_concerns,0.5509605281851049,0.10882217714612642,0.5541080242493681,11.58,1,1,0.96
LATAM,matrix_32_ext_0_1,8,det_04_added_value,0.5286342635558534,0.10029175579164787,0.5249142920902848,12.77,1,1,0.89
