comparison_region,subsample,det_col,n_rows,n_non_missing,pct_non_missing,min_value,max_value,n_below_0,n_above_100
EUROPE,RENOVISOR,det_16_commitment,1229,912,74.206672091131,0,100,0,0
EUROPE,RENOVISOR,det_17_adherence,1229,899,73.14890154597234,0,100,0,0
EUROPE,RENOVISOR,det_18_autonomy,1229,901,73.31163547599675,0,100,0,0
EUROPE,RENOVISOR,det_19_wellbeing,1229,921,74.93897477624084,0,100,0,0
EUROPE,RENOVISOR,det_20_coziness,1229,904,73.55573637103336,0,100,0,0
EUROPE,RENOVISOR,det_21_rights_and_duties,1229,911,74.12530512611879,0,100,0,0
EUROPE,RENOVISOR,det_22_peer_pressure,1229,914,74.36940602115541,0,100,0,0
EUROPE,RENOVISOR,det_23_support,1229,884,71.92839707078926,0,100,0,0
EUROPE,RENOVISOR,det_24_socialising,1229,899,73.14890154597234,0,100,0,0
EUROPE,RENOVISOR,det_25_agreement,1229,904,73.55573637103336,0,100,0,0
EUROPE,RENOVISOR,det_26_novelty,1229,898,73.06753458096013,0,100,0,0
EUROPE,RENOVISOR,det_27_fun,1229,888,72.25386493083808,0,100,0,0
EUROPE,RENOVISOR,det_28_recognition,1229,918,74.69487388120423,0,100,0,0
EUROPE,RENOVISOR,det_29_trends,1229,908,73.88120423108218,0,100,0,0
EUROPE,RENOVISOR,det_30_authority,1229,887,72.17249796582587,0,100,0,0
EUROPE,RENOVISOR,det_31_approval,1229,920,74.85760781122865,0,100,0,0
EUROPE,RENOVISOR,det_32_own_significance,1229,906,73.71847030105776,0,100,0,0
EUROPE,WHY_EUROPE,det_01_profits,990,969,97.87878787878788,0,100,0,0
EUROPE,WHY_EUROPE,det_02_credit_score,990,964,97.37373737373737,0,100,0,0
EUROPE,WHY_EUROPE,det_03_risk_profile,990,965,97.47474747474747,0,100,0,0
EUROPE,WHY_EUROPE,det_04_added_value,990,959,96.86868686868686,0,100,0,0
EUROPE,WHY_EUROPE,det_05_frugality,990,968,97.77777777777777,0,100,0,0
EUROPE,WHY_EUROPE,det_06_climate_protection,990,967,97.67676767676768,0,100,0,0
EUROPE,WHY_EUROPE,det_07_legal,990,966,97.57575757575758,0,100,0,0
EUROPE,WHY_EUROPE,det_08_trust,990,961,97.07070707070707,0,100,0,0
EUROPE,WHY_EUROPE,det_09_safety,990,967,97.67676767676768,0,100,0,0
EUROPE,WHY_EUROPE,det_10_cost_efficiency,990,969,97.87878787878788,0,100,0,0
EUROPE,WHY_EUROPE,det_11_knowledge,990,974,98.38383838383838,15,100,0,0
EUROPE,WHY_EUROPE,det_12_own_competence,990,961,97.07070707070707,0,100,0,0
EUROPE,WHY_EUROPE,det_13_technical_fit,990,968,97.77777777777777,4,100,0,0
EUROPE,WHY_EUROPE,det_14_environmental_concerns,990,969,97.87878787878788,0,100,0,0
EUROPE,WHY_EUROPE,det_15_self_satisfaction,990,974,98.38383838383838,0,100,0,0
EUROPE,WHY_EUROPE,det_16_commitment,990,965,97.47474747474747,0,100,0,0
EUROPE,WHY_EUROPE,det_17_adherence,990,968,97.77777777777777,0,100,0,0
EUROPE,WHY_EUROPE,det_18_autonomy,990,956,96.56565656565657,0,100,0,0
EUROPE,WHY_EUROPE,det_19_wellbeing,990,967,97.67676767676768,0,100,0,0
EUROPE,WHY_EUROPE,det_20_coziness,990,968,97.77777777777777,0,100,0,0
EUROPE,WHY_EUROPE,det_21_rights_and_duties,990,963,97.27272727272727,0,100,0,0
EUROPE,WHY_EUROPE,det_22_peer_pressure,990,967,97.67676767676768,0,100,0,0
EUROPE,WHY_EUROPE,det_23_support,990,968,97.77777777777777,0,100,0,0
EUROPE,WHY_EUROPE,det_24_socialising,990,967,97.67676767676768,0,100,0,0
EUROPE,WHY_EUROPE,det_25_agreement,990,964,97.37373737373737,0,100,0,0
EUROPE,WHY_EUROPE,det_26_novelty,990,965,97.47474747474747,0,100,0,0
EUROPE,WHY_EUROPE,det_27_fun,990,963,97.27272727272727,0,100,0,0
EUROPE,WHY_EUROPE,det_28_recognition,990,971,98.08080808080808,0,100,0,0
EUROPE,WHY_EUROPE,det_29_trends,990,972,98.18181818181819,0,93,0,0
EUROPE,WHY_EUROPE,det_30_authority,990,965,97.47474747474747,0,100,0,0
EUROPE,WHY_EUROPE,det_31_approval,990,969,97.87878787878788,0,96,0,0
EUROPE,WHY_EUROPE,det_32_own_significance,990,964,97.37373737373737,0,100,0,0
LATAM,WHY_LATAM,det_01_profits,638,609,95.45454545454545,0,100,0,0
LATAM,WHY_LATAM,det_02_credit_score,638,616,96.55172413793103,0,100,0,0
LATAM,WHY_LATAM,det_03_risk_profile,638,613,96.08150470219435,0,100,0,0
LATAM,WHY_LATAM,det_04_added_value,638,603,94.5141065830721,0,100,0,0
LATAM,WHY_LATAM,det_05_frugality,638,605,94.82758620689656,0,100,0,0
LATAM,WHY_LATAM,det_06_climate_protection,638,602,94.35736677115987,0,100,0,0
LATAM,WHY_LATAM,det_07_legal,638,610,95.61128526645768,0,100,0,0
LATAM,WHY_LATAM,det_08_trust,638,606,94.98432601880877,0,100,0,0
LATAM,WHY_LATAM,det_09_safety,638,609,95.45454545454545,0,100,0,0
LATAM,WHY_LATAM,det_10_cost_efficiency,638,612,95.92476489028213,20,100,0,0
LATAM,WHY_LATAM,det_11_knowledge,638,614,96.23824451410658,0,100,0,0
LATAM,WHY_LATAM,det_12_own_competence,638,614,96.23824451410658,5,100,0,0
LATAM,WHY_LATAM,det_13_technical_fit,638,610,95.61128526645768,4,100,0,0
LATAM,WHY_LATAM,det_14_environmental_concerns,638,610,95.61128526645768,0,100,0,0
LATAM,WHY_LATAM,det_15_self_satisfaction,638,612,95.92476489028213,0,100,0,0
LATAM,WHY_LATAM,det_16_commitment,638,612,95.92476489028213,0,100,0,0
LATAM,WHY_LATAM,det_17_adherence,638,617,96.70846394984326,0,100,0,0
LATAM,WHY_LATAM,det_18_autonomy,638,610,95.61128526645768,0,100,0,0
LATAM,WHY_LATAM,det_19_wellbeing,638,608,95.29780564263324,0,100,0,0
LATAM,WHY_LATAM,det_20_coziness,638,606,94.98432601880877,0,100,0,0
LATAM,WHY_LATAM,det_21_rights_and_duties,638,612,95.92476489028213,0,100,0,0
LATAM,WHY_LATAM,det_22_peer_pressure,638,610,95.61128526645768,0,100,0,0
LATAM,WHY_LATAM,det_23_support,638,612,95.92476489028213,0,100,0,0
LATAM,WHY_LATAM,det_24_socialising,638,613,96.08150470219435,0,100,0,0
LATAM,WHY_LATAM,det_25_agreement,638,614,96.23824451410658,0,100,0,0
LATAM,WHY_LATAM,det_26_novelty,638,611,95.7680250783699,0,100,0,0
LATAM,WHY_LATAM,det_27_fun,638,612,95.92476489028213,0,100,0,0
LATAM,WHY_LATAM,det_28_recognition,638,611,95.7680250783699,0,100,0,0
LATAM,WHY_LATAM,det_29_trends,638,610,95.61128526645768,0,100,0,0
LATAM,WHY_LATAM,det_30_authority,638,607,95.141065830721,0,100,0,0
LATAM,WHY_LATAM,det_31_approval,638,607,95.141065830721,0,100,0,0
LATAM,WHY_LATAM,det_32_own_significance,638,609,95.45454545454545,0,100,0,0
