harmonised_variable,source_columns,n_source_columns
city_size,rv_decision__what_is_the_approximate_population_size_of_the_city_where_you_live | rv_concerns2__what_is_the_approximate_population_size_of_the_city_where_you_live | rv_energy_crisis__what_is_the_approximate_population_size_of_the_city_where_you_live | rv_poverty__what_is_the_approximate_population_size_of_the_city_where_you_live,4
climate_zone,rv_decision__in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region | rv_concerns2__in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region | rv_energy_crisis__in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region | rv_poverty__in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region | why__in_which_climate_zone_do_you_live_id270,5
household_type,rv_decision__what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household | rv_concerns2__what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household | rv_energy_crisis__what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household | rv_poverty__what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household,4
tenure,rv_decision__what_is_the_current_tenure_status_of_your_home | rv_concerns2__what_is_the_current_tenure_status_of_your_home | rv_energy_crisis__what_is_the_current_tenure_status_of_your_home | rv_poverty__what_is_the_current_tenure_status_of_your_home,4
education,diego__q4 | rv_decision__what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished | rv_poverty__what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished | rv_poverty__which_factors_regularly_limit_where_you_go_or_how_often_you_visit_certain_services_please_consider_the_places_you_skip_because_the_cost_in_money_time_or_comfort_feels_too_high_educational_activities | why__what_is_the_highest_level_of_education_you_have_completed_id178,5
employment,diego__q5 | prolific_employment_status | rv_decision__what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status | rv_poverty__what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status,4
num_children,diego__q6,1
health_condition,rv_decision__do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks | rv_concerns2__do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks | rv_energy_crisis__do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks | rv_poverty__do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks,4
income,diego__q7,1
travel_distance,rv_decision__in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc | rv_concerns2__in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc | rv_energy_crisis__in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc | rv_poverty__in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc,4
travel_time,rv_decision__in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport | rv_concerns2__in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport | rv_energy_crisis__in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport | rv_poverty__in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport,4
work_from_home,rv_decision__do_you_currently_work_or_study_from_home | rv_concerns2__do_you_currently_work_or_study_from_home | rv_energy_crisis__do_you_currently_work_or_study_from_home | rv_poverty__do_you_currently_work_or_study_from_home,4
travel_role,rv_decision__which_of_the_following_best_describes_your_usual_travel_role | rv_concerns2__which_of_the_following_best_describes_your_usual_travel_role | rv_energy_crisis__which_of_the_following_best_describes_your_usual_travel_role | rv_poverty__which_of_the_following_best_describes_your_usual_travel_role,4
vote_status,rv_decision__which_of_the_following_best_describes_your_general_approach_to_voting_in_elections | rv_concerns2__which_of_the_following_best_describes_your_general_approach_to_voting_in_elections | rv_energy_crisis__which_of_the_following_best_describes_your_general_approach_to_voting_in_elections | rv_poverty__which_of_the_following_best_describes_your_general_approach_to_voting_in_elections,4
political_left_right,rv_decision__on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically | rv_concerns2__on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically | rv_energy_crisis__on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically | rv_energy_crisis__if_conventional_policies_fail_to_secure_enough_energy_to_prevent_severe_economic_collapse_or_widespread_freezing_during_the_winter_governments_may_consider_extreme_historically_controversial_measures_please_rate_your_level_of_support_for_the_european_union_or_your_national_government_implementing_the_following_policies_to_ensure_energy_survival_geopolitical_realignment_completely_abandoning_the_historic_alliance_with_the_united_states_in_order_to_secure_guaranteed_long_term_energy_and_mineral_contracts_by_aligning_directly_with_competing_global_powers_like_china | rv_poverty__on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically,5
self_classification,rv_decision__which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household | rv_concerns2__which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household | rv_energy_crisis__which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household | rv_poverty__which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household,4
energy_efficiency_goal,rv_decision__on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal | rv_concerns2__on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal | rv_energy_crisis__on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal | rv_poverty__on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal,4
climate_awareness,rv_decision__on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change | rv_concerns2__on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change | rv_energy_crisis__on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change | rv_poverty__on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change | why__on_a_scale_of_0_10_where_0_is_climate_change_does_not_exist_and_10_is_i_am_a_climate_change_expert_activist_how_would_you_assess_your_level_of_awareness_of_climate_change_id86 | why__on_a_scale_of_0_10_where_0_is_climate_change_does_not_exist_and_10_is_they_are_climate_change_experts_activists_how_would_you_assess_the_level_of_awareness_of_climate_change_of_your_peers_or_relatives_id87,6
energy_transition_awareness,rv_decision__on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition | rv_concerns2__on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition | rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_digital_exclusion_in_energy_transition | rv_concerns2__we_noticed_you_have_concerns_about_digital_exclusion_in_energy_transition_could_you_tell_us_why_please_select_up_to_three_concerns | rv_energy_crisis__on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition | rv_poverty__on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition | why__on_a_scale_of_0_10_where_0_is_it_is_the_first_time_i_hear_about_it_and_10_is_i_am_an_expert_or_activist_how_would_you_assess_your_level_of_awareness_about_the_energy_transition_id88 | why__on_a_scale_of_0_10_where_0_is_it_is_the_first_time_they_hear_about_it_and_10_is_they_are_experts_or_activists_how_would_you_assess_the_level_of_awareness_about_the_energy_transition_of_your_peers_or_relatives_id89,8
renovation_role,rv_decision__which_statement_best_describes_your_role_or_situation_regarding_household_renovation_decisions,1
household_decision,rv_decision__in_your_household_how_are_decisions_usually_made,1
