analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
DIEGO,matrix_32_ext_0_1,4,det_32_own_significance,0.28589034544723485,0.12980432005971954,0.2689730893294083,14.19,0.72,0.4,0.15
DIEGO,matrix_32_ext_0_1,4,det_17_adherence,0.2823805114196332,0.11659431586832229,0.25914210419045597,14.14,0.73,0.36,0.14
DIEGO,matrix_32_ext_0_1,4,det_25_agreement,0.2816657500988351,0.10912143828418643,0.26714627326245355,13.91,0.78,0.36,0.17
DIEGO,matrix_32_ext_0_1,4,det_10_cost_efficiency,0.2710572361043228,0.11752550310376482,0.2614060945044221,15.09,0.7,0.36,0.13
DIEGO,matrix_32_ext_0_1,4,det_31_approval,0.2703687045291028,0.11501824031854975,0.24175364122806586,15.21,0.73,0.37,0.12
DIEGO,matrix_32_ext_0_1,4,det_08_trust,0.270002262006078,0.13626025888008142,0.24088352768760216,16.29,0.66,0.28,0.14
DIEGO,matrix_32_ext_0_1,4,det_09_safety,0.2687874395696567,0.11340195672061718,0.23912876577630676,15.21,0.68,0.37,0.11
DIEGO,matrix_32_ext_0_1,4,det_07_legal,0.26769986760783226,0.11407787814156839,0.25346534047522723,15.07,0.7,0.3,0.14
DIEGO,matrix_32_ext_0_1,4,det_28_recognition,0.2676570082784213,0.11124047384202118,0.23877514337254735,15.56,0.74,0.34,0.13
DIEGO,matrix_32_ext_0_1,4,det_15_self_satisfaction,0.2642645024662298,0.13238712880234518,0.23504730529286239,16.44,0.69,0.26,0.12
DIEGO,matrix_32_ext_0_1,4,det_23_support,0.2642003235604156,0.11158487810171153,0.23991830473169584,15.85,0.69,0.28,0.15
DIEGO,matrix_32_ext_0_1,4,det_16_commitment,0.26325262946709743,0.10957982838718716,0.24057039920933426,15.63,0.7,0.29,0.12
