participant_id,year_of_birth,age,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation,vote_type,source_survey,identifier_type,row_quality
422,NA,NA,NA,NA,España,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,NA,NA,NA,NA,Propiedad con hipoteca,Izquierda,Partidos regionalistas/independentistas,concerns1,sin_identificador,usable
423,NA,NA,NA,NA,Irlanda,Europa del Norte,Municipio mediano (10.000-50.000 hab.),Clima templado,NA,NA,NA,NA,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,concerns1,sin_identificador,usable
424,NA,NA,NA,NA,España,Europa del Sur,Ciudad pequeña (50.000-250.000 hab.),Clima cálido/mediterráneo,NA,NA,NA,NA,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,concerns1,sin_identificador,usable
425,NA,NA,NA,NA,Bélgica,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,NA,NA,NA,NA,Alquiler,Izquierda,Partidos nacionales,concerns1,sin_identificador,usable
426,NA,NA,NA,NA,España,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,NA,NA,NA,NA,Propiedad sin hipoteca,Extrema izquierda,Voto variable según candidato/programa,concerns1,sin_identificador,usable
427,NA,NA,NA,NA,España,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,NA,NA,NA,NA,NA,Extrema izquierda,Voto variable según candidato/programa,concerns1,sin_identificador,usable
428,NA,NA,NA,NA,Irlanda,Europa del Norte,Municipio mediano (10.000-50.000 hab.),Clima templado,NA,NA,NA,NA,NA,NA,Partidos regionalistas/independentistas,concerns1,sin_identificador,usable
429,NA,NA,NA,NA,Países Bajos,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,NA,NA,NA,NA,NA,Izquierda,Partidos nacionales,concerns1,sin_identificador,usable
430,NA,NA,NA,NA,Alemania,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,NA,NA,NA,NA,NA,Izquierda,Partidos nacionales,concerns1,sin_identificador,usable
431,NA,NA,NA,NA,España,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,NA,NA,NA,NA,NA,Extrema izquierda,Partidos nacionales,concerns1,sin_identificador,usable
433,2000,26,Millennials,Hombre,NA,NA,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,NA,NA,Propiedad sin hipoteca,Centro,No vota / blanco / nulo,rvs,sin_identificador,sin_pais
434,1994,32,Millennials,Hombre,Irlanda,Europa del Norte,Municipio mediano (10.000-50.000 hab.),Clima frío/polar,Empleado/a,Universitaria,NA,NA,Propiedad con hipoteca,NA,Partidos nacionales,rvs,sin_identificador,usable
436,1996,30,Millennials,Mujer,Alemania,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,Universitaria,NA,NA,Alquiler,NA,Partidos nacionales,rvs,sin_identificador,usable
437,1996,30,Millennials,Mujer,España,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,NA,NA,Propiedad con hipoteca,Extrema izquierda,No vota / blanco / nulo,rvs,sin_identificador,usable
438,1985,41,Generación X,Mujer,España,Europa del Sur,Metrópolis (>1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,NA,NA,Propiedad con hipoteca,Extrema izquierda,Partidos nacionales,rvs,sin_identificador,usable
439,1982,44,Generación X,Hombre,España,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,NA,NA,Propiedad sin hipoteca,Izquierda,Partidos nacionales,rvs,sin_identificador,usable
