section_order,row_order,row_type,characteristic,profile_group,value
4,3,data,  Other / Prefer not to say,Activist,2 (2.9%)
4,3,data,  Other / Prefer not to say,Careful,0 (0.0%)
4,3,data,  Other / Prefer not to say,Early adopter,0 (0.0%)
4,3,data,  Other / Prefer not to say,Fearful,0 (0.0%)
4,3,data,  Other / Prefer not to say,Homo economicus,0 (0.0%)
4,3,data,  Other / Prefer not to say,Influencer,0 (0.0%)
4,3,data,  Other / Prefer not to say,Stubborn,1 (1.8%)
4,3,data,  Other / Prefer not to say,Total,4 (1.0%)
4,3,data,  Other / Prefer not to say,Uninterested,1 (11.1%)
5,0,header,Country of residence,Activist,
5,0,header,Country of residence,Careful,
5,0,header,Country of residence,Early adopter,
5,0,header,Country of residence,Fearful,
5,0,header,Country of residence,Homo economicus,
5,0,header,Country of residence,Influencer,
5,0,header,Country of residence,Stubborn,
5,0,header,Country of residence,Total,
5,0,header,Country of residence,Uninterested,
5,1,data,  Other European country,Activist,30 (42.9%)
5,1,data,  Other European country,Careful,72 (88.9%)
5,1,data,  Other European country,Early adopter,1 (100.0%)
5,1,data,  Other European country,Fearful,32 (47.1%)
5,1,data,  Other European country,Homo economicus,51 (85.0%)
5,1,data,  Other European country,Influencer,4 (11.4%)
5,1,data,  Other European country,Stubborn,6 (11.8%)
5,1,data,  Other European country,Total,210 (53.0%)
5,1,data,  Other European country,Uninterested,6 (66.7%)
5,1,data,  Spain,Activist,40 (57.1%)
5,1,data,  Spain,Careful,9 (11.1%)
5,1,data,  Spain,Early adopter,0 (0.0%)
5,1,data,  Spain,Fearful,36 (52.9%)
5,1,data,  Spain,Homo economicus,9 (15.0%)
5,1,data,  Spain,Influencer,31 (88.6%)
5,1,data,  Spain,Stubborn,45 (88.2%)
5,1,data,  Spain,Total,186 (47.0%)
5,1,data,  Spain,Uninterested,3 (33.3%)
5,2,data,  Other European country,Activist,30 (42.9%)
5,2,data,  Other European country,Careful,72 (88.9%)
5,2,data,  Other European country,Early adopter,1 (100.0%)
5,2,data,  Other European country,Fearful,32 (47.1%)
5,2,data,  Other European country,Homo economicus,51 (85.0%)
5,2,data,  Other European country,Influencer,4 (11.4%)
5,2,data,  Other European country,Stubborn,6 (11.8%)
5,2,data,  Other European country,Total,210 (53.0%)
5,2,data,  Other European country,Uninterested,6 (66.7%)
5,2,data,  Spain,Activist,40 (57.1%)
5,2,data,  Spain,Careful,9 (11.1%)
5,2,data,  Spain,Early adopter,0 (0.0%)
5,2,data,  Spain,Fearful,36 (52.9%)
5,2,data,  Spain,Homo economicus,9 (15.0%)
5,2,data,  Spain,Influencer,31 (88.6%)
5,2,data,  Spain,Stubborn,45 (88.2%)
5,2,data,  Spain,Total,186 (47.0%)
5,2,data,  Spain,Uninterested,3 (33.3%)
6,0,header,European region,Activist,
6,0,header,European region,Careful,
6,0,header,European region,Early adopter,
6,0,header,European region,Fearful,
6,0,header,European region,Homo economicus,
6,0,header,European region,Influencer,
6,0,header,European region,Stubborn,
6,0,header,European region,Total,
6,0,header,European region,Uninterested,
6,1,data,  Eastern Europe,Activist,3 (4.3%)
6,1,data,  Eastern Europe,Careful,19 (23.5%)
6,1,data,  Eastern Europe,Early adopter,0 (0.0%)
6,1,data,  Eastern Europe,Fearful,10 (14.7%)
6,1,data,  Eastern Europe,Homo economicus,14 (23.3%)
6,1,data,  Eastern Europe,Influencer,1 (2.9%)
6,1,data,  Eastern Europe,Stubborn,1 (2.0%)
6,1,data,  Eastern Europe,Total,50 (12.6%)
6,1,data,  Eastern Europe,Uninterested,1 (11.1%)
6,1,data,  Northern Europe,Activist,11 (15.7%)
6,1,data,  Northern Europe,Careful,20 (24.7%)
6,1,data,  Northern Europe,Early adopter,0 (0.0%)
6,1,data,  Northern Europe,Fearful,5 (7.4%)
6,1,data,  Northern Europe,Homo economicus,9 (15.0%)
6,1,data,  Northern Europe,Influencer,2 (5.7%)
6,1,data,  Northern Europe,Stubborn,0 (0.0%)
6,1,data,  Northern Europe,Total,50 (12.6%)
6,1,data,  Northern Europe,Uninterested,2 (22.2%)
6,1,data,  Other region,Activist,0 (0.0%)
6,1,data,  Other region,Careful,0 (0.0%)
6,1,data,  Other region,Early adopter,0 (0.0%)
6,1,data,  Other region,Fearful,0 (0.0%)
6,1,data,  Other region,Homo economicus,0 (0.0%)
6,1,data,  Other region,Influencer,0 (0.0%)
6,1,data,  Other region,Stubborn,0 (0.0%)
6,1,data,  Other region,Total,0 (0.0%)
6,1,data,  Other region,Uninterested,0 (0.0%)
6,1,data,  Southern Europe,Activist,44 (62.9%)
6,1,data,  Southern Europe,Careful,21 (25.9%)
6,1,data,  Southern Europe,Early adopter,0 (0.0%)
6,1,data,  Southern Europe,Fearful,46 (67.6%)
6,1,data,  Southern Europe,Homo economicus,17 (28.3%)
6,1,data,  Southern Europe,Influencer,31 (88.6%)
6,1,data,  Southern Europe,Stubborn,46 (90.2%)
6,1,data,  Southern Europe,Total,226 (57.1%)
6,1,data,  Southern Europe,Uninterested,4 (44.4%)
6,1,data,  Western Europe,Activist,12 (17.1%)
6,1,data,  Western Europe,Careful,21 (25.9%)
6,1,data,  Western Europe,Early adopter,1 (100.0%)
6,1,data,  Western Europe,Fearful,7 (10.3%)
6,1,data,  Western Europe,Homo economicus,20 (33.3%)
6,1,data,  Western Europe,Influencer,1 (2.9%)
6,1,data,  Western Europe,Stubborn,4 (7.8%)
6,1,data,  Western Europe,Total,70 (17.7%)
6,1,data,  Western Europe,Uninterested,2 (22.2%)
6,2,data,  Eastern Europe,Activist,3 (4.3%)
6,2,data,  Eastern Europe,Careful,19 (23.5%)
6,2,data,  Eastern Europe,Early adopter,0 (0.0%)
6,2,data,  Eastern Europe,Fearful,10 (14.7%)
6,2,data,  Eastern Europe,Homo economicus,14 (23.3%)
6,2,data,  Eastern Europe,Influencer,1 (2.9%)
6,2,data,  Eastern Europe,Stubborn,1 (2.0%)
6,2,data,  Eastern Europe,Total,50 (12.6%)
6,2,data,  Eastern Europe,Uninterested,1 (11.1%)
6,2,data,  Northern Europe,Activist,11 (15.7%)
6,2,data,  Northern Europe,Careful,20 (24.7%)
6,2,data,  Northern Europe,Early adopter,0 (0.0%)
6,2,data,  Northern Europe,Fearful,5 (7.4%)
6,2,data,  Northern Europe,Homo economicus,9 (15.0%)
6,2,data,  Northern Europe,Influencer,2 (5.7%)
6,2,data,  Northern Europe,Stubborn,0 (0.0%)
6,2,data,  Northern Europe,Total,50 (12.6%)
6,2,data,  Northern Europe,Uninterested,2 (22.2%)
6,2,data,  Other region,Activist,0 (0.0%)
6,2,data,  Other region,Careful,0 (0.0%)
6,2,data,  Other region,Early adopter,0 (0.0%)
6,2,data,  Other region,Fearful,0 (0.0%)
6,2,data,  Other region,Homo economicus,0 (0.0%)
6,2,data,  Other region,Influencer,0 (0.0%)
6,2,data,  Other region,Stubborn,0 (0.0%)
6,2,data,  Other region,Total,0 (0.0%)
6,2,data,  Other region,Uninterested,0 (0.0%)
6,2,data,  Southern Europe,Activist,44 (62.9%)
6,2,data,  Southern Europe,Careful,21 (25.9%)
6,2,data,  Southern Europe,Early adopter,0 (0.0%)
6,2,data,  Southern Europe,Fearful,46 (67.6%)
6,2,data,  Southern Europe,Homo economicus,17 (28.3%)
6,2,data,  Southern Europe,Influencer,31 (88.6%)
6,2,data,  Southern Europe,Stubborn,46 (90.2%)
6,2,data,  Southern Europe,Total,226 (57.1%)
6,2,data,  Southern Europe,Uninterested,4 (44.4%)
6,2,data,  Western Europe,Activist,12 (17.1%)
6,2,data,  Western Europe,Careful,21 (25.9%)
6,2,data,  Western Europe,Early adopter,1 (100.0%)
6,2,data,  Western Europe,Fearful,7 (10.3%)
6,2,data,  Western Europe,Homo economicus,20 (33.3%)
6,2,data,  Western Europe,Influencer,1 (2.9%)
6,2,data,  Western Europe,Stubborn,4 (7.8%)
6,2,data,  Western Europe,Total,70 (17.7%)
6,2,data,  Western Europe,Uninterested,2 (22.2%)
6,3,data,  Eastern Europe,Activist,3 (4.3%)
6,3,data,  Eastern Europe,Careful,19 (23.5%)
6,3,data,  Eastern Europe,Early adopter,0 (0.0%)
6,3,data,  Eastern Europe,Fearful,10 (14.7%)
6,3,data,  Eastern Europe,Homo economicus,14 (23.3%)
6,3,data,  Eastern Europe,Influencer,1 (2.9%)
6,3,data,  Eastern Europe,Stubborn,1 (2.0%)
6,3,data,  Eastern Europe,Total,50 (12.6%)
6,3,data,  Eastern Europe,Uninterested,1 (11.1%)
6,3,data,  Northern Europe,Activist,11 (15.7%)
6,3,data,  Northern Europe,Careful,20 (24.7%)
6,3,data,  Northern Europe,Early adopter,0 (0.0%)
6,3,data,  Northern Europe,Fearful,5 (7.4%)
6,3,data,  Northern Europe,Homo economicus,9 (15.0%)
6,3,data,  Northern Europe,Influencer,2 (5.7%)
6,3,data,  Northern Europe,Stubborn,0 (0.0%)
6,3,data,  Northern Europe,Total,50 (12.6%)
6,3,data,  Northern Europe,Uninterested,2 (22.2%)
6,3,data,  Other region,Activist,0 (0.0%)
6,3,data,  Other region,Careful,0 (0.0%)
6,3,data,  Other region,Early adopter,0 (0.0%)
6,3,data,  Other region,Fearful,0 (0.0%)
6,3,data,  Other region,Homo economicus,0 (0.0%)
6,3,data,  Other region,Influencer,0 (0.0%)
6,3,data,  Other region,Stubborn,0 (0.0%)
6,3,data,  Other region,Total,0 (0.0%)
6,3,data,  Other region,Uninterested,0 (0.0%)
6,3,data,  Southern Europe,Activist,44 (62.9%)
6,3,data,  Southern Europe,Careful,21 (25.9%)
6,3,data,  Southern Europe,Early adopter,0 (0.0%)
6,3,data,  Southern Europe,Fearful,46 (67.6%)
6,3,data,  Southern Europe,Homo economicus,17 (28.3%)
6,3,data,  Southern Europe,Influencer,31 (88.6%)
6,3,data,  Southern Europe,Stubborn,46 (90.2%)
6,3,data,  Southern Europe,Total,226 (57.1%)
6,3,data,  Southern Europe,Uninterested,4 (44.4%)
6,3,data,  Western Europe,Activist,12 (17.1%)
6,3,data,  Western Europe,Careful,21 (25.9%)
6,3,data,  Western Europe,Early adopter,1 (100.0%)
6,3,data,  Western Europe,Fearful,7 (10.3%)
6,3,data,  Western Europe,Homo economicus,20 (33.3%)
6,3,data,  Western Europe,Influencer,1 (2.9%)
6,3,data,  Western Europe,Stubborn,4 (7.8%)
6,3,data,  Western Europe,Total,70 (17.7%)
6,3,data,  Western Europe,Uninterested,2 (22.2%)
6,4,data,  Eastern Europe,Activist,3 (4.3%)
6,4,data,  Eastern Europe,Careful,19 (23.5%)
6,4,data,  Eastern Europe,Early adopter,0 (0.0%)
6,4,data,  Eastern Europe,Fearful,10 (14.7%)
6,4,data,  Eastern Europe,Homo economicus,14 (23.3%)
6,4,data,  Eastern Europe,Influencer,1 (2.9%)
6,4,data,  Eastern Europe,Stubborn,1 (2.0%)
6,4,data,  Eastern Europe,Total,50 (12.6%)
6,4,data,  Eastern Europe,Uninterested,1 (11.1%)
6,4,data,  Northern Europe,Activist,11 (15.7%)
6,4,data,  Northern Europe,Careful,20 (24.7%)
6,4,data,  Northern Europe,Early adopter,0 (0.0%)
6,4,data,  Northern Europe,Fearful,5 (7.4%)
6,4,data,  Northern Europe,Homo economicus,9 (15.0%)
6,4,data,  Northern Europe,Influencer,2 (5.7%)
6,4,data,  Northern Europe,Stubborn,0 (0.0%)
6,4,data,  Northern Europe,Total,50 (12.6%)
6,4,data,  Northern Europe,Uninterested,2 (22.2%)
6,4,data,  Other region,Activist,0 (0.0%)
6,4,data,  Other region,Careful,0 (0.0%)
6,4,data,  Other region,Early adopter,0 (0.0%)
6,4,data,  Other region,Fearful,0 (0.0%)
6,4,data,  Other region,Homo economicus,0 (0.0%)
6,4,data,  Other region,Influencer,0 (0.0%)
6,4,data,  Other region,Stubborn,0 (0.0%)
6,4,data,  Other region,Total,0 (0.0%)
6,4,data,  Other region,Uninterested,0 (0.0%)
6,4,data,  Southern Europe,Activist,44 (62.9%)
6,4,data,  Southern Europe,Careful,21 (25.9%)
6,4,data,  Southern Europe,Early adopter,0 (0.0%)
6,4,data,  Southern Europe,Fearful,46 (67.6%)
6,4,data,  Southern Europe,Homo economicus,17 (28.3%)
6,4,data,  Southern Europe,Influencer,31 (88.6%)
6,4,data,  Southern Europe,Stubborn,46 (90.2%)
6,4,data,  Southern Europe,Total,226 (57.1%)
6,4,data,  Southern Europe,Uninterested,4 (44.4%)
6,4,data,  Western Europe,Activist,12 (17.1%)
6,4,data,  Western Europe,Careful,21 (25.9%)
6,4,data,  Western Europe,Early adopter,1 (100.0%)
6,4,data,  Western Europe,Fearful,7 (10.3%)
6,4,data,  Western Europe,Homo economicus,20 (33.3%)
6,4,data,  Western Europe,Influencer,1 (2.9%)
6,4,data,  Western Europe,Stubborn,4 (7.8%)
6,4,data,  Western Europe,Total,70 (17.7%)
6,4,data,  Western Europe,Uninterested,2 (22.2%)
6,5,data,  Eastern Europe,Activist,3 (4.3%)
6,5,data,  Eastern Europe,Careful,19 (23.5%)
6,5,data,  Eastern Europe,Early adopter,0 (0.0%)
6,5,data,  Eastern Europe,Fearful,10 (14.7%)
6,5,data,  Eastern Europe,Homo economicus,14 (23.3%)
6,5,data,  Eastern Europe,Influencer,1 (2.9%)
6,5,data,  Eastern Europe,Stubborn,1 (2.0%)
6,5,data,  Eastern Europe,Total,50 (12.6%)
6,5,data,  Eastern Europe,Uninterested,1 (11.1%)
6,5,data,  Northern Europe,Activist,11 (15.7%)
6,5,data,  Northern Europe,Careful,20 (24.7%)
6,5,data,  Northern Europe,Early adopter,0 (0.0%)
6,5,data,  Northern Europe,Fearful,5 (7.4%)
6,5,data,  Northern Europe,Homo economicus,9 (15.0%)
6,5,data,  Northern Europe,Influencer,2 (5.7%)
6,5,data,  Northern Europe,Stubborn,0 (0.0%)
6,5,data,  Northern Europe,Total,50 (12.6%)
6,5,data,  Northern Europe,Uninterested,2 (22.2%)
6,5,data,  Other region,Activist,0 (0.0%)
6,5,data,  Other region,Careful,0 (0.0%)
6,5,data,  Other region,Early adopter,0 (0.0%)
6,5,data,  Other region,Fearful,0 (0.0%)
6,5,data,  Other region,Homo economicus,0 (0.0%)
6,5,data,  Other region,Influencer,0 (0.0%)
6,5,data,  Other region,Stubborn,0 (0.0%)
6,5,data,  Other region,Total,0 (0.0%)
6,5,data,  Other region,Uninterested,0 (0.0%)
6,5,data,  Southern Europe,Activist,44 (62.9%)
6,5,data,  Southern Europe,Careful,21 (25.9%)
6,5,data,  Southern Europe,Early adopter,0 (0.0%)
6,5,data,  Southern Europe,Fearful,46 (67.6%)
6,5,data,  Southern Europe,Homo economicus,17 (28.3%)
6,5,data,  Southern Europe,Influencer,31 (88.6%)
6,5,data,  Southern Europe,Stubborn,46 (90.2%)
6,5,data,  Southern Europe,Total,226 (57.1%)
6,5,data,  Southern Europe,Uninterested,4 (44.4%)
6,5,data,  Western Europe,Activist,12 (17.1%)
