section_order,row_order,row_type,characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
10,4,data,  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
10,4,data,  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
10,5,data,  Hogar con hijos,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,5,data,  Otro tipo de hogar,4 (1.0%),1 (1.3%),0 (0.0%),0 (0.0%),1 (1.8%),2 (3.7%),0 (0.0%),0 (0.0%),0 (0.0%)
10,5,data,  Pareja sin hijos,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,5,data,  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
10,5,data,  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
11,0,header,Régimen de tenencia,,,,,,,,,
11,1,data,  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
11,1,data,  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
11,1,data,  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,1,data,  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
11,2,data,  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
11,2,data,  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
11,2,data,  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,2,data,  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
11,3,data,  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
11,3,data,  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
