age_group,gender_pyramid,generation_pyramid,n,total_valid,pct_total,pct_signed,n_signed
40-44,Mujer,Generación X,15,381,3.937007874015748,3.937007874015748,15
40-44,Mujer,Boomers + generación silenciosa,0,381,0,0,0
45-49,Hombre,Generación Z,0,381,0,-0,0
45-49,Hombre,Millennials,0,381,0,-0,0
45-49,Hombre,Generación X,20,381,5.2493438320209975,-5.2493438320209975,-20
45-49,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
45-49,Mujer,Generación Z,0,381,0,0,0
45-49,Mujer,Millennials,0,381,0,0,0
45-49,Mujer,Generación X,13,381,3.4120734908136483,3.4120734908136483,13
45-49,Mujer,Boomers + generación silenciosa,0,381,0,0,0
50-54,Hombre,Generación Z,0,381,0,-0,0
50-54,Hombre,Millennials,0,381,0,-0,0
50-54,Hombre,Generación X,16,381,4.199475065616798,-4.199475065616798,-16
50-54,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
50-54,Mujer,Generación Z,0,381,0,0,0
50-54,Mujer,Millennials,0,381,0,0,0
50-54,Mujer,Generación X,13,381,3.4120734908136483,3.4120734908136483,13
50-54,Mujer,Boomers + generación silenciosa,0,381,0,0,0
55-59,Hombre,Generación Z,0,381,0,-0,0
55-59,Hombre,Millennials,0,381,0,-0,0
55-59,Hombre,Generación X,3,381,0.7874015748031497,-0.7874015748031497,-3
55-59,Hombre,Boomers + generación silenciosa,22,381,5.774278215223097,-5.774278215223097,-22
55-59,Mujer,Generación Z,0,381,0,0,0
55-59,Mujer,Millennials,0,381,0,0,0
55-59,Mujer,Generación X,3,381,0.7874015748031497,0.7874015748031497,3
55-59,Mujer,Boomers + generación silenciosa,13,381,3.4120734908136483,3.4120734908136483,13
60-64,Hombre,Generación Z,0,381,0,-0,0
60-64,Hombre,Millennials,0,381,0,-0,0
60-64,Hombre,Generación X,0,381,0,-0,0
60-64,Hombre,Boomers + generación silenciosa,21,381,5.511811023622047,-5.511811023622047,-21
60-64,Mujer,Generación Z,0,381,0,0,0
60-64,Mujer,Millennials,0,381,0,0,0
60-64,Mujer,Generación X,0,381,0,0,0
60-64,Mujer,Boomers + generación silenciosa,10,381,2.6246719160104988,2.6246719160104988,10
65-69,Hombre,Generación Z,0,381,0,-0,0
65-69,Hombre,Millennials,0,381,0,-0,0
65-69,Hombre,Generación X,0,381,0,-0,0
65-69,Hombre,Boomers + generación silenciosa,16,381,4.199475065616798,-4.199475065616798,-16
65-69,Mujer,Generación Z,0,381,0,0,0
65-69,Mujer,Millennials,0,381,0,0,0
65-69,Mujer,Generación X,0,381,0,0,0
65-69,Mujer,Boomers + generación silenciosa,6,381,1.5748031496062993,1.5748031496062993,6
70-74,Hombre,Generación Z,0,381,0,-0,0
70-74,Hombre,Millennials,0,381,0,-0,0
70-74,Hombre,Generación X,0,381,0,-0,0
70-74,Hombre,Boomers + generación silenciosa,9,381,2.3622047244094486,-2.3622047244094486,-9
70-74,Mujer,Generación Z,0,381,0,0,0
70-74,Mujer,Millennials,0,381,0,0,0
70-74,Mujer,Generación X,0,381,0,0,0
70-74,Mujer,Boomers + generación silenciosa,0,381,0,0,0
75-79,Hombre,Generación Z,0,381,0,-0,0
75-79,Hombre,Millennials,0,381,0,-0,0
75-79,Hombre,Generación X,0,381,0,-0,0
75-79,Hombre,Boomers + generación silenciosa,5,381,1.3123359580052494,-1.3123359580052494,-5
75-79,Mujer,Generación Z,0,381,0,0,0
75-79,Mujer,Millennials,0,381,0,0,0
75-79,Mujer,Generación X,0,381,0,0,0
75-79,Mujer,Boomers + generación silenciosa,0,381,0,0,0
80+,Hombre,Generación Z,0,381,0,-0,0
80+,Hombre,Millennials,0,381,0,-0,0
80+,Hombre,Generación X,0,381,0,-0,0
80+,Hombre,Boomers + generación silenciosa,1,381,0.26246719160104987,-0.26246719160104987,-1
80+,Mujer,Generación Z,0,381,0,0,0
80+,Mujer,Millennials,0,381,0,0,0
80+,Mujer,Generación X,0,381,0,0,0
80+,Mujer,Boomers + generación silenciosa,1,381,0.26246719160104987,0.26246719160104987,1
