comparison_region,subsample,dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
EUROPE,RENOVISOR,rv,det_18_autonomy,1229,328,0.26688364524003255,0
EUROPE,RENOVISOR,rv,det_19_wellbeing,1229,308,0.25061025223759154,0
EUROPE,RENOVISOR,rv,det_20_coziness,1229,325,0.2644426362896664,0
EUROPE,RENOVISOR,rv,det_21_rights_and_duties,1229,318,0.25874694873881204,0
EUROPE,RENOVISOR,rv,det_22_peer_pressure,1229,315,0.2563059397884459,0
EUROPE,RENOVISOR,rv,det_23_support,1229,345,0.2807160292921074,0
EUROPE,RENOVISOR,rv,det_24_socialising,1229,330,0.26851098454027666,0
EUROPE,RENOVISOR,rv,det_25_agreement,1229,325,0.2644426362896664,0
EUROPE,RENOVISOR,rv,det_26_novelty,1229,331,0.2693246541903987,0
EUROPE,RENOVISOR,rv,det_27_fun,1229,341,0.2774613506916192,0
EUROPE,RENOVISOR,rv,det_28_recognition,1229,311,0.2530512611879577,0
EUROPE,RENOVISOR,rv,det_29_trends,1229,321,0.2611879576891782,0
EUROPE,RENOVISOR,rv,det_30_authority,1229,342,0.27827502034174123,0
EUROPE,RENOVISOR,rv,det_31_approval,1229,309,0.25142392188771356,0
EUROPE,RENOVISOR,rv,det_32_own_significance,1229,323,0.2628152969894223,0
EUROPE,WHY_EUROPE,why,det_01_profits,990,21,0.021212121212121213,0
EUROPE,WHY_EUROPE,why,det_02_credit_score,990,26,0.026262626262626262,0
EUROPE,WHY_EUROPE,why,det_03_risk_profile,990,25,0.025252525252525252,0
EUROPE,WHY_EUROPE,why,det_04_added_value,990,31,0.031313131313131314,0
EUROPE,WHY_EUROPE,why,det_05_frugality,990,22,0.022222222222222223,0
EUROPE,WHY_EUROPE,why,det_06_climate_protection,990,23,0.023232323232323233,0
EUROPE,WHY_EUROPE,why,det_07_legal,990,24,0.024242424242424242,0
EUROPE,WHY_EUROPE,why,det_08_trust,990,29,0.029292929292929294,0
EUROPE,WHY_EUROPE,why,det_09_safety,990,23,0.023232323232323233,0
EUROPE,WHY_EUROPE,why,det_10_cost_efficiency,990,21,0.021212121212121213,0
EUROPE,WHY_EUROPE,why,det_11_knowledge,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_12_own_competence,990,29,0.029292929292929294,0
EUROPE,WHY_EUROPE,why,det_13_technical_fit,990,22,0.022222222222222223,0
EUROPE,WHY_EUROPE,why,det_14_environmental_concerns,990,21,0.021212121212121213,0
EUROPE,WHY_EUROPE,why,det_15_self_satisfaction,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_16_commitment,990,25,0.025252525252525252,0
EUROPE,WHY_EUROPE,why,det_17_adherence,990,22,0.022222222222222223,0
EUROPE,WHY_EUROPE,why,det_18_autonomy,990,34,0.03434343434343434,0
EUROPE,WHY_EUROPE,why,det_19_wellbeing,990,23,0.023232323232323233,0
EUROPE,WHY_EUROPE,why,det_20_coziness,990,22,0.022222222222222223,0
EUROPE,WHY_EUROPE,why,det_21_rights_and_duties,990,27,0.02727272727272727,0
EUROPE,WHY_EUROPE,why,det_22_peer_pressure,990,23,0.023232323232323233,0
EUROPE,WHY_EUROPE,why,det_23_support,990,22,0.022222222222222223,0
EUROPE,WHY_EUROPE,why,det_24_socialising,990,23,0.023232323232323233,0
EUROPE,WHY_EUROPE,why,det_25_agreement,990,26,0.026262626262626262,0
EUROPE,WHY_EUROPE,why,det_26_novelty,990,25,0.025252525252525252,0
EUROPE,WHY_EUROPE,why,det_27_fun,990,27,0.02727272727272727,0
EUROPE,WHY_EUROPE,why,det_28_recognition,990,19,0.01919191919191919,0
EUROPE,WHY_EUROPE,why,det_29_trends,990,18,0.01818181818181818,0
EUROPE,WHY_EUROPE,why,det_30_authority,990,25,0.025252525252525252,0
EUROPE,WHY_EUROPE,why,det_31_approval,990,21,0.021212121212121213,0
EUROPE,WHY_EUROPE,why,det_32_own_significance,990,26,0.026262626262626262,0
LATAM,WHY_LATAM,why,det_01_profits,638,29,0.045454545454545456,0
LATAM,WHY_LATAM,why,det_02_credit_score,638,22,0.034482758620689655,0
LATAM,WHY_LATAM,why,det_03_risk_profile,638,25,0.03918495297805643,0
LATAM,WHY_LATAM,why,det_04_added_value,638,35,0.054858934169279,0
LATAM,WHY_LATAM,why,det_05_frugality,638,33,0.05172413793103448,0
LATAM,WHY_LATAM,why,det_06_climate_protection,638,36,0.05642633228840126,0
LATAM,WHY_LATAM,why,det_07_legal,638,28,0.0438871473354232,0
LATAM,WHY_LATAM,why,det_08_trust,638,32,0.050156739811912224,0
LATAM,WHY_LATAM,why,det_09_safety,638,29,0.045454545454545456,0
LATAM,WHY_LATAM,why,det_10_cost_efficiency,638,26,0.04075235109717868,0
LATAM,WHY_LATAM,why,det_11_knowledge,638,24,0.03761755485893417,0
LATAM,WHY_LATAM,why,det_12_own_competence,638,24,0.03761755485893417,0
LATAM,WHY_LATAM,why,det_13_technical_fit,638,28,0.0438871473354232,0
LATAM,WHY_LATAM,why,det_14_environmental_concerns,638,28,0.0438871473354232,0
LATAM,WHY_LATAM,why,det_15_self_satisfaction,638,26,0.04075235109717868,0
LATAM,WHY_LATAM,why,det_16_commitment,638,26,0.04075235109717868,0
LATAM,WHY_LATAM,why,det_17_adherence,638,21,0.032915360501567396,0
LATAM,WHY_LATAM,why,det_18_autonomy,638,28,0.0438871473354232,0
LATAM,WHY_LATAM,why,det_19_wellbeing,638,30,0.047021943573667714,0
LATAM,WHY_LATAM,why,det_20_coziness,638,32,0.050156739811912224,0
LATAM,WHY_LATAM,why,det_21_rights_and_duties,638,26,0.04075235109717868,0
LATAM,WHY_LATAM,why,det_22_peer_pressure,638,28,0.0438871473354232,0
LATAM,WHY_LATAM,why,det_23_support,638,26,0.04075235109717868,0
LATAM,WHY_LATAM,why,det_24_socialising,638,25,0.03918495297805643,0
LATAM,WHY_LATAM,why,det_25_agreement,638,24,0.03761755485893417,0
LATAM,WHY_LATAM,why,det_26_novelty,638,27,0.04231974921630094,0
LATAM,WHY_LATAM,why,det_27_fun,638,26,0.04075235109717868,0
LATAM,WHY_LATAM,why,det_28_recognition,638,27,0.04231974921630094,0
LATAM,WHY_LATAM,why,det_29_trends,638,28,0.0438871473354232,0
LATAM,WHY_LATAM,why,det_30_authority,638,31,0.048589341692789965,0
LATAM,WHY_LATAM,why,det_31_approval,638,31,0.048589341692789965,0
LATAM,WHY_LATAM,why,det_32_own_significance,638,29,0.045454545454545456,0
