sample_label,n_participants,boot_id,model_type,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
bootstrap,300,5,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,900,300,890.564674702124,1140.289202394988,-393.282337351062,51,24
bootstrap,600,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,1800,600,3625.4666559847924,3663.935449591982,-1805.7333279923962,6,6
bootstrap,600,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,1800,600,2152.06939212884,2239.998063230988,-1060.03469606442,15,13
bootstrap,600,1,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,1800,600,1717.7335184058823,2003.5016994878636,-806.8667592029411,51,26
bootstrap,600,2,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,1800,600,3647.606274719306,3686.0750683264955,-1816.803137359653,0,0
bootstrap,600,2,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,1800,600,2242.522026004554,2330.450697106702,-1105.261013002277,15,13
bootstrap,600,2,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,1800,600,1814.7662904299214,2100.5344715119027,-855.3831452149607,51,30
bootstrap,600,3,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,1800,600,3682.57768919709,3721.0464828042795,-1834.288844598545,0,0
bootstrap,600,3,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,1800,600,2224.8831311829276,2312.811802285076,-1096.4415655914638,15,12
bootstrap,600,3,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,1800,600,1796.4251073305709,2082.193288412552,-846.2125536652854,51,30
bootstrap,600,4,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,1800,600,3653.148127260774,3691.6169208679635,-1819.574063630387,6,6
bootstrap,600,4,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,1800,600,2218.591363004199,2306.5200341063473,-1093.2956815020996,15,12
bootstrap,600,4,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,1800,600,1806.856518187192,2092.624699269173,-851.428259093596,51,29
bootstrap,600,5,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,1800,600,3583.4073887413315,3621.876182348521,-1784.7036943706657,6,6
bootstrap,600,5,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,1800,600,2200.560372974896,2288.489044077044,-1084.280186487448,15,12
bootstrap,600,5,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,1800,600,1740.8109159392375,2026.5790970212188,-818.4054579696187,51,30
bootstrap,1000,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,3000,1000,6142.47351999047,6184.518092964022,-3064.236759995235,6,6
bootstrap,1000,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,3000,1000,3684.2336747129557,3780.3355557953596,-1826.1168373564778,15,14
bootstrap,1000,1,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,3000,1000,2962.8158540929207,3275.1469676107336,-1429.4079270464604,51,36
bootstrap,1000,2,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,3000,1000,6076.263470405653,6118.308043379205,-3031.1317352028263,0,0
bootstrap,1000,2,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,3000,1000,3629.7907218951204,3725.8926029775243,-1798.8953609475602,15,13
