term,estimate,std.error,statistic,p.value,coef.type,sample_label,n_participants,boot_id,model_type,formula,is_dimension_term,is_interaction_term,is_archetype_term,is_significant
z_COMPETENCE,-0.2185397326855344,0.024750073534708077,-8.829861954917703,1.04804992785838e-18,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_AUTONOMY,2.540539095585029,0.04428132033998615,57.37270424818195,0,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_PHYSIOLOGICAL,-0.6593740618513863,0.025491849929997236,-25.866073418056473,1.604671360684219e-147,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_RELATEDNESS,-0.1368231777073313,0.026978410867685657,-5.071580323184124,3.9452567867155855e-7,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_STIMULATION,0.2213882573535203,0.03004698086537493,7.3680699683421524,1.7311592971940469e-13,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_POPULARITY,0.12507619955547325,0.026121638826961686,4.788221764492613,1.6826564848943672e-6,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_MEANING,1.0347785148443485,0.0329301411129163,31.423446115706863,9.680624872817532e-217,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
Knowledge|Considering,0.8343128265989125,0.11298738526734318,7.384123675619339,1.5346075131176205e-13,intercept,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
Considering|Done,5.736539499428754,0.14220503170822896,40.3399192737341,0,intercept,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,3.5398012535760803,0.14926891709651985,23.71425560277351,2.570123743897751e-124,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful,6.361566773313634,0.18625713142018163,34.154755443765715,1.1365421145533882e-255,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus,5.945598830620438,0.2623292675942743,22.66464159773459,1.0005915523500177e-113,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G5_Uninterested,4.859916316623071,0.29719921538673566,16.3523860932776,4.18275264324307e-60,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
z_FINANCIAL,-1.0132751115295457,0.06526010973402771,-15.526714798047715,2.2880490778853302e-54,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_SECURITY,-1.374647086776217,0.08043712622070653,-17.08970908538436,1.77054915595683e-65,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_COMPETENCE,0.07447431562959404,0.055815901749005394,1.3342849133655919,0.18211050000660375,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,FALSE
z_AUTONOMY,2.933488331514874,0.08756866463021895,33.4992927424699,4.935336941383082e-246,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_PHYSIOLOGICAL,0.6402996010392529,0.06881676422442448,9.304413078056312,1.347344001089527e-20,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_RELATEDNESS,0.009693981476706817,0.06719608816901562,0.14426407460392537,0.8852919458170948,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,FALSE
z_STIMULATION,-0.082858318286263,0.07507068661860596,-1.103737317699275,0.26970710264140657,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,FALSE
z_POPULARITY,0.41262041855253306,0.06396355291507354,6.450867716813392,1.1121154231865467e-10,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_MEANING,1.4365585077037337,0.08103453251688854,17.72773240105184,2.5615943843909833e-70,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,2.1858284904872947,0.08897871476010691,24.565745823374133,2.9361194719279086e-133,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,0.9046404664807159,0.09389432235325917,9.634666333467765,5.707712820138181e-22,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,-0.594597184751616,0.11141452212658393,-5.336801463601511,9.460052605534025e-8,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G5_Uninterested:z_FINANCIAL,0.9236336444291933,0.1572828257415935,5.872438011424524,4.294323038588805e-9,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,-0.08300575860736287,0.10758410853288738,-0.7715429326812597,0.440385185037734,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G3_Fearful_Careful:z_SECURITY,-0.7817970318432178,0.11159075728582483,-7.005929978956492,2.453506046513356e-12,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus:z_SECURITY,1.0932897287648342,0.12627033240066243,8.658326211542455,4.787418311980654e-18,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G5_Uninterested:z_SECURITY,0.3896717475871236,0.20515400984806753,1.899410827386244,0.057510481001880116,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,-1.1728352087784366,0.08469666323832084,-13.84747832955702,1.3175681273430437e-43,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,-0.13326900626902036,0.07933013808801685,-1.6799290847213488,0.09297111414784293,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,-1.0546877985877126,0.11775813040044797,-8.956390484471383,3.3548035070003206e-19,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G5_Uninterested:z_COMPETENCE,-0.5871496310328113,0.1683258127719366,-3.4881734498340786,4.863324782089534e-4,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,-0.15777979995442326,0.10139757027616168,-1.5560510920005437,0.11969594358654537,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,-0.3651781426959879,0.10476742835915255,-3.4856075825792256,4.910207347975051e-4,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,-0.36697514157138894,0.14150390322984982,-2.5933923601760878,0.009503428245449802,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G5_Uninterested:z_AUTONOMY,-0.6460390624805958,0.196295831456209,-3.2911501873880527,9.97786272048667e-4,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,-0.9366438175409374,0.0888686528474459,-10.539642354529702,5.671416551998425e-26,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,-1.8693931134876323,0.09888786633690701,-18.90417078187009,1.0538319705278466e-79,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,-0.591387519135931,0.11982566788616715,-4.9353993144252,7.998693697842625e-7,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,-2.633615863789398,0.12242517818724576,-21.512044358729533,1.200933951829686e-102,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,-0.5468175598531051,0.08416172343305536,-6.497223886914096,8.181566169597767e-11,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,-0.07002730925300163,0.09614275562491224,-0.7283680272927017,0.4663883297895314,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,-0.06004480568735243,0.11829441683989915,-0.5075878244416021,0.6117424310813868,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G5_Uninterested:z_RELATEDNESS,0.13787448653899947,0.15084026282439977,0.9140430012343961,0.36069425089986495,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,-0.7033706986597712,0.0974472453837449,-7.217963893077884,5.277172260338425e-13,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful:z_STIMULATION,0.922214352776112,0.10651895518039106,8.657748766070146,4.811726020152304e-18,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus:z_STIMULATION,1.564309258719656,0.13151691478841465,11.89435793286611,1.2662307162379958e-32,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G5_Uninterested:z_STIMULATION,0.9512542960756383,0.17625614483301127,5.396999332856601,6.776463997887556e-8,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,-0.4540462715372288,0.08195081318462807,-5.540473045878166,3.016556693728127e-8,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful:z_POPULARITY,-0.591599656204402,0.08980304287986415,-6.587746219199126,4.465530649249212e-11,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus:z_POPULARITY,-0.21419742568633118,0.11294793909887181,-1.8964261534584363,0.057903716277325684,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
macro_archetype_5G5_Uninterested:z_POPULARITY,-0.16448598254855673,0.13370018040883813,-1.2302599895196815,0.21859976192494152,location,full,5000,0,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),FALSE,TRUE,TRUE,FALSE
