n_participants,model_type,term,n_boot,n_significant,significance_rate,mean_estimate,sd_estimate,mean_p_value
300,M0,Knowledge|Considering,3,3,1,-1.3079453745503644,0.11674892365403529,1.1014885787807123e-15
300,M0,macro_archetype_5G5_Uninterested,3,3,1,-1.882792267877013,0.17138200687421037,2.0026686672215094e-10
300,M0,macro_archetype_5G3_Fearful_Careful,3,3,1,-1.1523662667256582,0.25477923159598975,2.3502600652783923e-6
300,M0,Considering|Done,3,3,1,0.6118557548811838,0.04354652806213204,3.605623826329994e-5
300,M0,macro_archetype_5G2_EarlyAdopter_Influencer,3,3,1,0.5619267075112692,0.12045299372769075,0.004282523011637158
300,M0,macro_archetype_5G4_HomoEconomicus,3,1,0.3333333333333333,-0.4407610759699338,0.06791375982273297,0.08322176238336947
300,M1,z_AUTONOMY,3,3,1,2.5992721344103793,0.12953960705045797,7.232957277995014e-42
300,M1,Considering|Done,3,3,1,4.788717553758182,0.3165341034200649,1.4334233840498274e-39
300,M1,macro_archetype_5G3_Fearful_Careful,3,3,1,5.843216962579762,0.36649725123457705,1.1183550063776771e-27
300,M1,z_SECURITY,3,3,1,-1.5568960548383508,0.04262804741575954,4.2800685336682556e-23
300,M1,macro_archetype_5G4_HomoEconomicus,3,3,1,5.88427721607832,0.3343996903940677,3.641310806740581e-20
300,M1,macro_archetype_5G5_Uninterested,3,3,1,3.942512425284127,0.38232356218649083,1.3423093371630687e-12
300,M1,z_MEANING,3,3,1,0.9406859274436542,0.10175899566665325,6.225410727600237e-11
300,M1,z_PHYSIOLOGICAL,3,3,1,-0.7459972763741207,0.10075295058195323,7.048407845747799e-10
300,M1,macro_archetype_5G2_EarlyAdopter_Influencer,3,3,1,1.7908938494264333,0.37007714281035414,7.978635150922966e-7
300,M1,Knowledge|Considering,3,3,1,0.9731548483491146,0.330737112810168,0.0044956224984367315
300,M1,z_COMPETENCE,3,3,1,-0.31320273418432687,0.08476753281700297,0.011146696515326909
300,M1,z_STIMULATION,3,2,0.6666666666666666,0.2866341657270974,0.06472343227319906,0.040046161153002996
300,M1,z_POPULARITY,3,1,0.3333333333333333,0.12646322166276325,0.15099108458159907,0.455412357082446
300,M1,z_FINANCIAL,3,0,0,-0.0927316655133983,0.120290253275657,0.3624882179476736
300,M1,z_RELATEDNESS,3,0,0,-0.012008928395976642,0.13629445169252638,0.3861146212896624
300,M2,Considering|Done,4,4,1,5.978891360698566,0.24866605438050535,5.2047684299060706e-20
300,M2,macro_archetype_5G3_Fearful_Careful,4,4,1,6.619505084381808,0.35301488624282934,2.7834954365288395e-14
300,M2,z_AUTONOMY,4,4,1,3.0600540148207678,0.38418360676933827,9.132980231884588e-14
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer,4,4,1,3.986875154584723,0.4415230533511824,3.540445302061751e-9
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,4,4,1,2.1622491949391645,0.22900603729288213,3.0596025747434846e-8
300,M2,macro_archetype_5G4_HomoEconomicus,4,4,1,6.7761825273346465,0.23621156011927555,1.2563115533152094e-6
300,M2,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,4,4,1,-2.5287452836402333,0.5288501318442701,3.3679413341515306e-5
300,M2,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,4,4,1,-1.9595676805497062,0.5316780960575908,3.2149794790406076e-4
300,M2,z_SECURITY,4,4,1,-1.5705945266739108,0.3862869555923148,4.564681169832193e-4
300,M2,z_MEANING,4,4,1,1.5201468814612653,0.3610709723279672,7.666014012930711e-4
300,M2,z_FINANCIAL,4,4,1,-0.9646546223301444,0.11939938085857281,8.143919774834535e-4
300,M2,macro_archetype_5G3_Fearful_Careful:z_MEANING,4,4,1,-1.5506336592834922,0.28635028054879,0.006489299455311924
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,4,4,1,-1.298934869252275,0.4363132356733255,0.009984914557885763
300,M2,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,4,3,0.75,1.4854228060004933,0.24825478083707428,0.021001725214626444
300,M2,macro_archetype_5G4_HomoEconomicus:z_MEANING,4,3,0.75,-1.4836396115593697,0.6837920005754952,0.09848412329602389
300,M2,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,4,3,0.75,0.863114595752977,0.4456530577015541,0.1238157723880737
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,4,3,0.75,-1.0290735495889558,0.6160338948994347,0.15831986803017656
300,M2,z_PHYSIOLOGICAL,4,3,0.75,0.752267080608272,0.5272511528712799,0.21568272862999913
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,4,2,0.5,-1.00516655634332,0.3391496151831558,0.06997232069834905
300,M2,macro_archetype_5G3_Fearful_Careful:z_SECURITY,4,2,0.5,-0.6729459156580357,0.9329630396538408,0.1309837569632017
300,M2,macro_archetype_5G5_Uninterested:z_MEANING,4,2,0.5,-1.676423990077615,0.9313729830168143,0.13825503615055504
300,M2,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,4,2,0.5,0.9261483778908222,0.4388627656097417,0.145697306723111
300,M2,macro_archetype_5G4_HomoEconomicus:z_SECURITY,4,2,0.5,0.9288153439884118,0.8398529712642449,0.3278842478441276
300,M2,Knowledge|Considering,4,1,0.25,0.8825666568815905,0.3763177250742198,0.11464431769420565
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,4,1,0.25,-0.5486136785325542,0.1473701744982571,0.15179995022252116
300,M2,macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,4,1,0.25,-0.8484630654334683,0.2926977342769083,0.15331716258737638
300,M2,macro_archetype_5G5_Uninterested,4,1,0.25,2.847846080207411,1.3833725577397726,0.1663674588361343
300,M2,macro_archetype_5G3_Fearful_Careful:z_POPULARITY,4,1,0.25,-0.428981563272684,0.5739720813253109,0.1835744876275887
300,M2,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,4,1,0.25,-0.7484013511970757,0.33686370360326057,0.1977173027047608
300,M2,macro_archetype_5G5_Uninterested:z_FINANCIAL,4,1,0.25,0.6449735100823024,0.9005561968246877,0.2954308713697018
300,M2,z_POPULARITY,4,1,0.25,0.2396573297635921,0.307992184988797,0.30235340227414376
300,M2,macro_archetype_5G5_Uninterested:z_POPULARITY,4,1,0.25,0.8010348881469609,0.5546780160903408,0.30968795085105216
300,M2,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,4,1,0.25,-0.5681210661795856,0.6994065751037336,0.3357470494105672
300,M2,macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,4,1,0.25,-0.18421333873942075,0.8774494665658953,0.4509141378163889
300,M2,macro_archetype_5G5_Uninterested:z_RELATEDNESS,4,1,0.25,-0.12404613392311253,0.939569696257754,0.475716482221727
300,M2,z_RELATEDNESS,4,1,0.25,0.07697528518791474,0.4017856897591601,0.5380772457787273
300,M2,macro_archetype_5G5_Uninterested:z_SECURITY,4,0,0,0.541616374877631,1.0247294650133074,0.35053366510682127
300,M2,macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,4,0,0,-0.33263499811054825,0.16710986322206672,0.38887229692595793
300,M2,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,4,0,0,-0.4449669285989483,0.2775481779061081,0.3958622611497752
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,4,0,0,-0.34303993649741654,0.3637892315133605,0.4065973473037345
300,M2,macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,4,0,0,0.1082053049894825,0.4672534683249455,0.42815934253576193
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,4,0,0,-0.3499720057016266,0.228353247363171,0.4678967108226419
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,4,0,0,0.3190717659694216,0.13853260973721446,0.47278350408356706
300,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,4,0,0,0.2497776858592483,0.418385801932659,0.49150684864594923
300,M2,macro_archetype_5G5_Uninterested:z_STIMULATION,4,0,0,-0.04517747336755207,0.8359836050217873,0.5096692335106154
300,M2,macro_archetype_5G5_Uninterested:z_COMPETENCE,4,0,0,-0.532374482072036,0.4747074764099829,0.5476031119207505
300,M2,macro_archetype_5G5_Uninterested:z_AUTONOMY,4,0,0,-0.4648120322327093,0.7661132107934849,0.5558692781992899
300,M2,macro_archetype_5G4_HomoEconomicus:z_POPULARITY,4,0,0,-0.10631696173235342,0.383401233540893,0.5612303357470472
300,M2,z_COMPETENCE,4,0,0,0.036651750281038696,0.18397301070709723,0.6050252278240734
300,M2,z_STIMULATION,4,0,0,0.13112180492422448,0.22902463523096622,0.6091687591780323
300,M2,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,4,0,0,-0.17343281306090516,0.31604549150693,0.6385120911947695
600,M0,Knowledge|Considering,3,3,1,-1.3172372151589251,0.08514000562059003,8.242261463937975e-31
600,M0,macro_archetype_5G5_Uninterested,3,3,1,-2.0705960989768806,0.14502842390891996,2.577287581609026e-17
600,M0,macro_archetype_5G3_Fearful_Careful,3,3,1,-1.080075647784262,0.07041044280154261,9.811460599485046e-15
600,M0,Considering|Done,3,3,1,0.5617658143770506,0.03998324440582407,5.137983055490109e-8
600,M0,macro_archetype_5G2_EarlyAdopter_Influencer,3,3,1,0.5812352481700556,0.07173131249677489,2.1965290059484333e-5
600,M0,macro_archetype_5G4_HomoEconomicus,3,3,1,-0.5042247071506998,0.07229486484155118,0.005100902586250939
600,M1,z_AUTONOMY,5,5,1,2.5251163887193027,0.1413569798283204,6.253289345458409e-81
600,M1,Considering|Done,5,5,1,4.564260959484892,0.5636280113217846,7.963296726633666e-72
600,M1,macro_archetype_5G3_Fearful_Careful,5,5,1,5.636034880591964,0.44837293646728343,1.9673392966987037e-53
600,M1,z_SECURITY,5,5,1,-1.491898218008973,0.051711844370894655,9.199685306770306e-47
600,M1,macro_archetype_5G4_HomoEconomicus,5,5,1,5.488488951836057,0.4717069804092864,3.784944735540386e-36
600,M1,z_MEANING,5,5,1,1.018208125311594,0.12875808466346034,1.6695091458350428e-20
600,M1,macro_archetype_5G5_Uninterested,5,5,1,3.70117486024227,0.4914333663026728,5.0278440026269496e-18
600,M1,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,1.7332301411803082,0.26563254036091294,1.3306097182749604e-14
600,M1,z_PHYSIOLOGICAL,5,5,1,-0.6509944673853671,0.127837686405875,1.9144552504692664e-14
600,M1,Knowledge|Considering,5,4,0.8,0.8765680484908214,0.4953716556098531,0.011367601632658209
600,M1,z_COMPETENCE,5,4,0.8,-0.2276806944537254,0.07589912846640377,0.02586327169252473
600,M1,z_STIMULATION,5,3,0.6,0.19456174378282265,0.09383050577459738,0.09143037969322007
600,M1,z_POPULARITY,5,3,0.6,0.15341614039140442,0.08641397987331584,0.17875220145626608
600,M1,z_RELATEDNESS,5,2,0.4,-0.10160965661262124,0.0748120014363929,0.3404547176940358
600,M1,z_FINANCIAL,5,1,0.2,-0.08424736903114723,0.10431289013651725,0.5200265359038714
600,M2,Considering|Done,5,5,1,5.580842545406666,0.65578636430604,1.1017408174880434e-38
600,M2,macro_archetype_5G3_Fearful_Careful,5,5,1,6.252583586055454,0.593819759199963,6.982116645795626e-28
600,M2,z_AUTONOMY,5,5,1,2.8544282352705004,0.18274197143826615,1.003538297429157e-26
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,5,5,1,2.1457193616214045,0.15399498331325423,3.721175829302885e-15
600,M2,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,5,5,1,-2.1725216674563543,0.1437088985625685,8.125717280465939e-13
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,3.441325360030375,0.708237334460766,9.387329874541267e-13
600,M2,macro_archetype_5G4_HomoEconomicus,5,5,1,5.909990140330537,0.5503000390283257,1.2954942269673841e-10
600,M2,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,5,5,1,-2.934692791699812,0.2968991962902456,1.4768746756908188e-10
600,M2,z_MEANING,5,5,1,1.453828544994704,0.18695190291926772,5.469392781937148e-9
600,M2,z_FINANCIAL,5,5,1,-0.9915600804880259,0.0894741160099381,6.839250251240677e-7
600,M2,macro_archetype_5G5_Uninterested,5,5,1,4.481941488763811,0.26839689361387187,3.843612047307495e-6
600,M2,z_SECURITY,5,5,1,-1.3556041712216094,0.29383876821229865,8.32467867179467e-6
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,5,5,1,-1.2426150315317406,0.26885122543813716,2.199134441245207e-5
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,5,5,1,-1.1610317964209682,0.2815025216645857,3.6656719802155883e-4
600,M2,macro_archetype_5G3_Fearful_Careful:z_MEANING,5,5,1,-1.1436326836454724,0.17698084922533977,0.0014890758498141202
600,M2,z_PHYSIOLOGICAL,5,5,1,0.8312825618004388,0.1830306522516112,0.002336885921745407
600,M2,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,5,5,1,0.8830743782552398,0.1473969237686504,0.0027208372574203895
600,M2,macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,5,5,1,-1.1890853426323509,0.2126286583246577,0.004411980255147134
600,M2,macro_archetype_5G4_HomoEconomicus:z_MEANING,5,5,1,-1.3970670192503227,0.4853537649062026,0.004815417624866544
600,M2,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,5,5,1,1.5378869587205504,0.4154684232599123,0.00686904291517564
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,5,4,0.8,-0.8050570614544318,0.18640314749987918,0.013436213669710668
600,M2,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,5,4,0.8,0.800463384937889,0.23115315634102399,0.027033952399581094
600,M2,macro_archetype_5G4_HomoEconomicus:z_SECURITY,5,4,0.8,1.1214789480902394,0.4348285693198431,0.04603780027379749
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,5,4,0.8,-0.6466951728399429,0.2335047779577891,0.05729584066742336
600,M2,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,5,4,0.8,-0.6838468191500484,0.15005321244451225,0.05735578815376918
600,M2,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,5,4,0.8,-0.7944956588313925,0.2976126345109717,0.09682250644371836
600,M2,macro_archetype_5G5_Uninterested:z_STIMULATION,5,3,0.6,1.2048813592212402,0.40631048453195023,0.051346812923278716
600,M2,macro_archetype_5G3_Fearful_Careful:z_SECURITY,5,3,0.6,-0.8193796160514043,0.3762480307861188,0.08552462525443963
600,M2,Knowledge|Considering,5,3,0.6,0.5264176375802956,0.6337982943047867,0.22343961046075841
600,M2,z_POPULARITY,5,3,0.6,0.38139932319009817,0.3634498363350358,0.33342396530296164
600,M2,macro_archetype_5G5_Uninterested:z_FINANCIAL,5,2,0.4,0.9492387721700253,0.43011688461603853,0.11151985439426602
600,M2,macro_archetype_5G5_Uninterested:z_MEANING,5,2,0.4,-1.1151013635308604,0.754603721210675,0.18852552084504876
600,M2,macro_archetype_5G5_Uninterested:z_AUTONOMY,5,2,0.4,-0.9290829730314824,0.7030196336511374,0.3001582423025316
600,M2,macro_archetype_5G3_Fearful_Careful:z_POPULARITY,5,1,0.2,-0.5047152837694256,0.3554675537729133,0.1756346252111378
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,5,1,0.2,-0.46521574870552185,0.3572742627480131,0.2088362048205532
600,M2,macro_archetype_5G5_Uninterested:z_POPULARITY,5,1,0.2,0.2194222223304739,0.8335000901520446,0.22958930967109586
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,5,0,0,0.3899968058576103,0.10845600014818223,0.18513565276943197
600,M2,macro_archetype_5G4_HomoEconomicus:z_POPULARITY,5,0,0,-0.10117066818602086,0.43551762157368956,0.31220649667763123
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,5,0,0,-0.032396313879177435,0.35800888195192454,0.3297542398033396
600,M2,macro_archetype_5G5_Uninterested:z_SECURITY,5,0,0,0.07074838599920892,0.9280036609621045,0.34951066123130786
600,M2,z_RELATEDNESS,5,0,0,0.0233867766538531,0.24290747742976357,0.3836126938323699
600,M2,macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,5,0,0,-0.21667785479824903,0.20942956132116564,0.3918783466493187
600,M2,macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,5,0,0,0.08100921831806503,0.2892979136829834,0.4356529079722406
600,M2,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,5,0,0,-0.22783914598669802,0.24796423419307986,0.4767258182663706
600,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,5,0,0,0.0714121917075625,0.23361103971920158,0.4781476356389939
600,M2,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,5,0,0,-0.08035782985444787,0.37977679422297594,0.4928197959675084
600,M2,macro_archetype_5G5_Uninterested:z_COMPETENCE,5,0,0,-0.40038921715502046,0.4295930837509683,0.5129808715418235
600,M2,macro_archetype_5G5_Uninterested:z_RELATEDNESS,5,0,0,0.33008839442465526,0.18952973179475274,0.5215148850962362
600,M2,macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,5,0,0,-0.04393694231529354,0.2990738707584975,0.5254727646246999
600,M2,z_COMPETENCE,5,0,0,0.06935909804774094,0.07411835397417431,0.5861907688083065
600,M2,z_STIMULATION,5,0,0,-0.05842457267693071,0.12510291091292758,0.6083486774736612
1000,M0,Knowledge|Considering,4,4,1,-1.220424922097618,0.10674311650167108,6.749191067279277e-45
1000,M0,macro_archetype_5G5_Uninterested,4,4,1,-1.7993731111729856,0.1851696163216097,2.0325558749183043e-25
1000,M0,macro_archetype_5G3_Fearful_Careful,4,4,1,-1.0361447786922091,0.09832951558159948,5.9680692889377926e-21
1000,M0,Considering|Done,4,4,1,0.5865257124905089,0.08326075038990528,6.37138353042827e-10
1000,M0,macro_archetype_5G2_EarlyAdopter_Influencer,4,4,1,0.6032776662297454,0.13210727136904005,3.0165089579149947e-6
1000,M0,macro_archetype_5G4_HomoEconomicus,4,4,1,-0.470254378117762,0.09791642199604572,0.0011571935063798028
1000,M1,z_AUTONOMY,5,5,1,2.56562221142455,0.059291703233124896,5.647035757632083e-142
1000,M1,Considering|Done,5,5,1,4.713605436862511,0.2083678335875893,3.9128114552754136e-128
1000,M1,macro_archetype_5G3_Fearful_Careful,5,5,1,5.973870918837192,0.0875308648946442,6.1577647641891566e-96
1000,M1,z_SECURITY,5,5,1,-1.5712285257061918,0.08365030688203254,6.376406058038156e-76
