bootstrap_id,target_sample_type,row_quality_final,n,prop_within_type
29,abstention,usable_complete,420,0.8300395256916996
29,abstention,usable_complete_limited_metadata,20,0.039525691699604744
29,abstention,usable_partial,63,0.12450592885375494
29,abstention,usable_partial_limited_metadata,3,0.005928853754940711
29,voter,usable_complete,321,0.6497975708502024
29,voter,usable_complete_limited_metadata,11,0.022267206477732792
29,voter,usable_partial,161,0.3259109311740891
29,voter,usable_partial_limited_metadata,1,0.0020242914979757085
30,abstention,usable_complete,446,0.8814229249011858
30,abstention,usable_complete_limited_metadata,18,0.03557312252964427
30,abstention,usable_partial,40,0.07905138339920949
30,abstention,usable_partial_limited_metadata,2,0.003952569169960474
30,voter,usable_complete,306,0.6194331983805668
30,voter,usable_complete_limited_metadata,12,0.024291497975708502
30,voter,usable_partial,176,0.3562753036437247
31,abstention,usable_complete,424,0.8379446640316206
31,abstention,usable_complete_limited_metadata,27,0.0533596837944664
31,abstention,usable_partial,50,0.09881422924901186
31,abstention,usable_partial_limited_metadata,5,0.009881422924901186
31,voter,usable_complete,319,0.64574898785425106
31,voter,usable_complete_limited_metadata,9,0.018218623481781375
31,voter,usable_partial,166,0.3360323886639676
32,abstention,usable_complete,424,0.8379446640316206
32,abstention,usable_complete_limited_metadata,17,0.03359683794466403
32,abstention,usable_partial,62,0.1225296442687747
32,abstention,usable_partial_limited_metadata,3,0.005928853754940711
32,voter,usable_complete,316,0.6396761133603239
32,voter,usable_complete_limited_metadata,16,0.032388663967611336
32,voter,usable_partial,161,0.3259109311740891
32,voter,usable_partial_limited_metadata,1,0.0020242914979757085
33,abstention,usable_complete,432,0.8537549407114624
33,abstention,usable_complete_limited_metadata,16,0.03162055335968379
33,abstention,usable_partial,55,0.10869565217391304
33,abstention,usable_partial_limited_metadata,3,0.005928853754940711
33,voter,usable_complete,309,0.6255060728744939
33,voter,usable_complete_limited_metadata,8,0.016194331983805668
33,voter,usable_partial,176,0.3562753036437247
33,voter,usable_partial_limited_metadata,1,0.0020242914979757085
34,abstention,usable_complete,438,0.8656126482213439
34,abstention,usable_complete_limited_metadata,21,0.041501976284584984
34,abstention,usable_partial,47,0.09288537549407115
34,voter,usable_complete,301,0.6093117408906883
34,voter,usable_complete_limited_metadata,11,0.022267206477732792
34,voter,usable_partial,180,0.3643724696356275
34,voter,usable_partial_limited_metadata,2,0.004048582995951417
35,abstention,usable_complete,426,0.841897233201581
35,abstention,usable_complete_limited_metadata,26,0.05138339920948617
35,abstention,usable_partial,53,0.10474308300395258
35,abstention,usable_partial_limited_metadata,1,0.001976284584980237
35,voter,usable_complete,320,0.6477732793522267
35,voter,usable_complete_limited_metadata,4,0.008097165991902834
35,voter,usable_partial,169,0.34210526315789475
35,voter,usable_partial_limited_metadata,1,0.0020242914979757085
36,abstention,usable_complete,422,0.83399209486166
36,abstention,usable_complete_limited_metadata,25,0.04940711462450593
36,abstention,usable_partial,54,0.1067193675889328
36,abstention,usable_partial_limited_metadata,5,0.009881422924901186
36,voter,usable_complete,346,0.7004048582995951
36,voter,usable_complete_limited_metadata,6,0.012145748987854251
36,voter,usable_partial,139,0.2813765182186235
36,voter,usable_partial_limited_metadata,3,0.006072874493927126
37,abstention,usable_complete,438,0.8656126482213439
37,abstention,usable_complete_limited_metadata,31,0.06126482213438735
37,abstention,usable_partial,33,0.06521739130434782
37,abstention,usable_partial_limited_metadata,4,0.007905138339920948
37,voter,usable_complete,295,0.597165991902834
37,voter,usable_complete_limited_metadata,8,0.016194331983805668
37,voter,usable_partial,187,0.3785425101214575
37,voter,usable_partial_limited_metadata,4,0.008097165991902834
38,abstention,usable_complete,436,0.8616600790513834
38,abstention,usable_complete_limited_metadata,21,0.041501976284584984
38,abstention,usable_partial,49,0.09683794466403162
38,voter,usable_complete,327,0.6619433198380567
38,voter,usable_complete_limited_metadata,5,0.010121457489878543
38,voter,usable_partial,161,0.3259109311740891
38,voter,usable_partial_limited_metadata,1,0.0020242914979757085
39,abstention,usable_complete,437,0.8636363636363636
39,abstention,usable_complete_limited_metadata,13,0.025691699604743084
39,abstention,usable_partial,55,0.10869565217391304
39,abstention,usable_partial_limited_metadata,1,0.001976284584980237
39,voter,usable_complete,302,0.611336032388664
39,voter,usable_complete_limited_metadata,19,0.038461538461538464
39,voter,usable_partial,171,0.34615384615384615
39,voter,usable_partial_limited_metadata,2,0.004048582995951417
40,abstention,usable_complete,432,0.8537549407114624
40,abstention,usable_complete_limited_metadata,29,0.05731225296442688
40,abstention,usable_partial,43,0.08498023715415019
40,abstention,usable_partial_limited_metadata,2,0.003952569169960474
40,voter,usable_complete,322,0.6518218623481782
40,voter,usable_complete_limited_metadata,7,0.01417004048582996
